year, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM
2.032000000000000000e+03, 1.741768104038306026e-10, 9.800788023044027854e-10, -3.022465014157092647e-09, 3.522885523344544251e-10
2.033000000000000000e+03, 1.794663747326318675e-10, 9.709005846787326121e-10, -3.150006462349950132e-09, 3.545127218917318353e-10
2.034000000000000000e+03, 1.818206313097766137e-10, 1.132409106924293694e-09, -2.930747170480877773e-09, 3.550704038058157795e-10
2.035000000000000000e+03, 1.854559781732427333e-10, 1.214779515186817529e-09, -3.143439452531296218e-09, 3.551381693510547255e-10
2.036000000000000000e+03, 1.458915473662015888e-10, 1.084114982485391482e-09, -2.998003879646251355e-09, 3.593252289533206926e-10
2.037000000000000000e+03, 1.468057289130197531e-10, 1.016121359489621768e-09, -2.833613471931515585e-09, 3.581281397713496696e-10
2.038000000000000000e+03, 1.451668608939305447e-10, 1.224157080997110662e-09, -3.232133687224574314e-09, 3.589000358947616017e-10
2.039000000000000000e+03, 1.458114473757275097e-10, 1.257300553026815534e-09, -3.349354615389045585e-09, 3.652374410006532010e-10
2.040000000000000000e+03, 1.454686816694735339e-10, 1.192194614180692056e-09, -3.323949482516685892e-09, 3.642638931682913263e-10
2.041000000000000000e+03, 1.331895363450386675e-10, 1.119062533321401641e-09, -3.409845172892914429e-09, 3.634308188877539108e-10
2.042000000000000000e+03, 1.304496926025209714e-10, 1.388092672860825256e-09, -3.120308905801347281e-09, 3.666494632337459144e-10
2.043000000000000000e+03, 1.290175037804174789e-10, 1.301382428718291475e-09, -3.140581382458843454e-09, 3.671068587749952045e-10
2.044000000000000000e+03, 1.253751035236153392e-10, 1.240167273351049186e-09, -3.102686689776447516e-09, 3.635074294515434231e-10
2.045000000000000000e+03, 1.222534355533764273e-10, 1.152716501276692113e-09, -3.288993609503778471e-09, 3.655121697788370932e-10
2.046000000000000000e+03, 1.326848419177103321e-10, 1.309815090230411137e-09, -3.499544420285326375e-09, 3.639797797625033876e-10
2.047000000000000000e+03, 1.335849918205171667e-10, 1.229281197356457619e-09, -3.071823957148040592e-09, 3.625961913615256960e-10
2.048000000000000000e+03, 1.330059999707785582e-10, 1.276318459739419659e-09, -3.075735012143275292e-09, 3.626057749825050777e-10
2.049000000000000000e+03, 1.336167170814277480e-10, 1.178167474961483677e-09, -3.388973237088434767e-09, 3.620642653301993994e-10
2.050000000000000000e+03, 1.337211055429944827e-10, 1.243919453687586072e-09, -3.074148208826923750e-09, 3.621756798472442694e-10
2.051000000000000000e+03, 1.089475788332661741e-10, 1.098892704286866161e-09, -3.182398901752474102e-09, 3.611989296479465999e-10
2.052000000000000000e+03, 1.050875149108159092e-10, 1.061186615595075231e-09, -3.096224656384532470e-09, 3.604657377908075277e-10
2.053000000000000000e+03, 1.005462256580526955e-10, 1.164766982435781679e-09, -2.960420928347709007e-09, 3.539998497374582725e-10
2.054000000000000000e+03, 9.852999816547675136e-11, 1.184026500190076608e-09, -3.287022502211798301e-09, 3.544661557421019347e-10
2.055000000000000000e+03, 9.774146352104967684e-11, 1.191634307634379169e-09, -3.188223492340617573e-09, 3.524237449775198092e-10
2.056000000000000000e+03, 1.096231895901171414e-10, 9.298701852795603834e-10, -3.226570841010455272e-09, 3.657249568859235122e-10
2.057000000000000000e+03, 1.093509532857702253e-10, 1.094593856393541613e-09, -3.138491394013988814e-09, 3.638409647111606942e-10
2.058000000000000000e+03, 1.093970534794976308e-10, 1.263435205673414121e-09, -2.931483882975721259e-09, 3.670781939723923479e-10
2.059000000000000000e+03, 1.090217198203568950e-10, 1.226078924777455781e-09, -3.071873430320038908e-09, 3.681715719695149141e-10
2.060000000000000000e+03, 1.085196111803770906e-10, 1.408894617765868076e-09, -3.366695358250783467e-09, 3.661392217190887064e-10
2.061000000000000000e+03, 1.114676987735506093e-10, 1.270300211658630875e-09, -3.153699651794842414e-09, 3.928438193451406695e-10
2.062000000000000000e+03, 1.130934141165676494e-10, 1.291957209109712468e-09, -2.866196893130755254e-09, 3.944203548158442097e-10
2.063000000000000000e+03, 1.140811785677469326e-10, 1.182415012839881689e-09, -2.802507706691538119e-09, 3.954744185888889904e-10
2.064000000000000000e+03, 1.203121003755837804e-10, 1.370837728268294507e-09, -2.991835265373602514e-09, 3.956413688839181761e-10
2.065000000000000000e+03, 1.234324522276310839e-10, 1.170792581720855340e-09, -3.251525275994358760e-09, 3.994578651408302245e-10
2.066000000000000000e+03, 1.416568906159631255e-10, 1.159874269453813928e-09, -2.600260598042759210e-09, 3.799496669776814898e-10
2.067000000000000000e+03, 1.426663582340508202e-10, 1.137180131613685400e-09, -3.244399585211402339e-09, 3.795488086892351986e-10
2.068000000000000000e+03, 1.439922132606206645e-10, 1.026943741080156520e-09, -2.972074041869571556e-09, 3.778189139847019929e-10
2.069000000000000000e+03, 1.463982110603630797e-10, 1.209903563603408508e-09, -3.070984466088349671e-09, 3.763452484744524412e-10
2.070000000000000000e+03, 1.485388809339732854e-10, 1.151113199928945346e-09, -2.924156278077493637e-09, 3.755596238483806204e-10
2.071000000000000000e+03, 1.146877739498606423e-10, 1.240272622114068905e-09, -3.045978481477148235e-09, 3.783620779774386457e-10
2.072000000000000000e+03, 1.137694860003407199e-10, 1.206129336422722618e-09, -3.048081565379646460e-09, 3.774123605036892589e-10
2.073000000000000000e+03, 1.143243793055356643e-10, 1.289294457407431929e-09, -2.898118069011647590e-09, 3.761614061480834441e-10
2.074000000000000000e+03, 1.142692337031448667e-10, 1.308386513245971321e-09, -3.429195402641759990e-09, 3.751270743577644348e-10
2.075000000000000000e+03, 1.132642412163591356e-10, 1.376236808761905271e-09, -3.026493137849087927e-09, 3.748671578877938752e-10
2.076000000000000000e+03, 1.291253381941735221e-10, 1.019129230439888506e-09, -3.297586695509221324e-09, 4.103823393371468448e-10
2.077000000000000000e+03, 1.299347651351758282e-10, 1.168508956045083486e-09, -3.053487721703869790e-09, 4.106138917684153705e-10
2.078000000000000000e+03, 1.286547881354150895e-10, 1.169520097064376684e-09, -3.117459149536907736e-09, 4.104121327941234226e-10
2.079000000000000000e+03, 1.287019740561172715e-10, 1.102819324168380441e-09, -3.156163955393524483e-09, 4.126987031828102384e-10
2.080000000000000000e+03, 1.286114002211723950e-10, 1.126683957982221876e-09, -2.805615397152937656e-09, 4.106443022313667133e-10
2.081000000000000000e+03, 1.348249885601776870e-10, 1.105426937197273023e-09, -3.202139453486107298e-09, 4.126320366572416420e-10
2.082000000000000000e+03, 1.377862568448165494e-10, 1.088074217820919161e-09, -2.961769908043381201e-09, 4.133382450219540254e-10
2.083000000000000000e+03, 1.398698746924583483e-10, 1.071265508030673646e-09, -3.148086180950981814e-09, 4.105730309108316962e-10
2.084000000000000000e+03, 1.441833891811461417e-10, 1.092330586229238689e-09, -3.049749385228840954e-09, 4.132484772125566350e-10
2.085000000000000000e+03, 1.456760716593064477e-10, 1.044547562541437742e-09, -3.429221367412186521e-09, 4.166270364332778333e-10
2.086000000000000000e+03, 1.394059884539783535e-10, 9.496380926549488913e-10, -3.563500320244111057e-09, 4.100299674878326277e-10
2.087000000000000000e+03, 1.379207752363004936e-10, 1.074097101198432247e-09, -3.087780316762098727e-09, 4.105445956961603295e-10
2.088000000000000000e+03, 1.378792961948405068e-10, 1.121873743863567792e-09, -3.187511275715271224e-09, 4.105112537554188483e-10
2.089000000000000000e+03, 1.384984096744764984e-10, 1.240631404128505708e-09, -3.184757665439426374e-09, 4.045677274719391790e-10
2.090000000000000000e+03, 1.396961904588881681e-10, 1.103933852080052066e-09, -3.416938194827261438e-09, 4.055351030528469665e-10
2.091000000000000000e+03, 1.293666697195583382e-10, 1.253308202350477481e-09, -2.887338669027157999e-09, 3.438657156369567424e-10
2.092000000000000000e+03, 1.284130584552026030e-10, 1.186710761375973180e-09, -3.185045861249991130e-09, 3.391915105402342427e-10
2.093000000000000000e+03, 1.292309802144641509e-10, 1.153658976106743474e-09, -2.792046224260076319e-09, 3.326071141716998220e-10
2.094000000000000000e+03, 1.274888249893813056e-10, 1.168484706913632563e-09, -3.030238196544027321e-09, 3.297662913804514866e-10
2.095000000000000000e+03, 1.269662476116815940e-10, 9.831065389371477964e-10, -3.069816245950896822e-09, 3.264937057667827678e-10
2.096000000000000000e+03, 1.149516425418463201e-10, 1.101390909051130344e-09, -3.260775047592196411e-09, 3.124869997605449113e-10
2.097000000000000000e+03, 1.139765653170302867e-10, 1.115715874990996633e-09, -3.147006158481026454e-09, 3.080254631814118169e-10
2.098000000000000000e+03, 1.181329480067873326e-10, 1.070882841268270087e-09, -3.403433529934590187e-09, 3.075579862890784109e-10
2.099000000000000000e+03, 1.348006790354616207e-10, 1.152789114906039101e-09, -3.102499550880150622e-09, 3.014580739371490318e-10
2.100000000000000000e+03, 1.349670611756112486e-10, 1.137607744333222063e-09, -3.317343229982966447e-09, 2.973258873178134475e-10
