year, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg
2.039000000000000000e+03, 1.458114473757275097e-10, 1.525856375468498994e-10, 1.350522858035329137e-11, 3.648006731055860288e-10, 2.568339082547532633e-10, 1.779487627595356282e-12, 2.142998490357673969e-09, 2.282994636830098653e-11, 1.829621473711195727e-09, 1.487603001104892582e-10
2.040000000000000000e+03, 1.454686816694735339e-10, 1.473407495641275275e-10, 1.295004558523554018e-11, 3.638560366041383756e-10, 2.559017504810737736e-10, 1.709531047704506437e-12, 2.273737533567092735e-09, 2.234800969962920704e-11, 2.019124697552867016e-09, 1.430749198771520468e-10
2.041000000000000000e+03, 1.331895363450386675e-10, 1.463930136184770751e-10, 1.276669400752362720e-11, 3.630458558731989909e-10, 2.573611016308371573e-10, 1.241744199600826102e-12, 2.014315453569490235e-09, 2.078257303726585064e-11, 2.130741463919349573e-09, 1.328304246121475750e-10
2.042000000000000000e+03, 1.304496926025209714e-10, 1.409808808097045914e-10, 1.301302657376595838e-11, 3.662058227512368502e-10, 2.583426828772282388e-10, 1.139786821291934418e-12, 1.985039344642673568e-09, 2.007674392316502924e-11, 2.058471640363598500e-09, 1.274388277541140200e-10
2.043000000000000000e+03, 1.290175037804174789e-10, 1.408154687008737059e-10, 1.313713050724252896e-11, 3.666574593206390035e-10, 2.637605440748798330e-10, 1.044912471296030067e-12, 2.015362420523168559e-09, 2.001351355509518179e-11, 2.207268082319257787e-09, 1.225824970023283763e-10
2.044000000000000000e+03, 1.253751035236153392e-10, 1.460022647325060189e-10, 1.299254158749247217e-11, 3.631227730269838208e-10, 2.583091976136463474e-10, 8.796610417068002799e-13, 2.046517027859418997e-09, 2.007544802627090982e-11, 2.023193703123904101e-09, 1.179279447159819497e-10
2.045000000000000000e+03, 1.222534355533764273e-10, 1.434758724443765730e-10, 1.388962120283246617e-11, 3.650812798851464986e-10, 2.564213377601418837e-10, 7.866796474349137648e-13, 2.148273274287464838e-09, 2.012545558103466751e-11, 1.893265868733800747e-09, 1.113179927963066785e-10
2.046000000000000000e+03, 1.326848419177103321e-10, 1.385131073767350790e-10, 1.401136664521680144e-11, 3.635656787989928991e-10, 2.580273304537772055e-10, 9.130560588534222302e-13, 2.147309604549439580e-09, 2.157572550920875540e-11, 2.102337787629631526e-09, 1.054029254273184229e-10
2.047000000000000000e+03, 1.335849918205171667e-10, 1.376081639762380513e-10, 1.369455322374410627e-11, 3.621938279852703220e-10, 2.585631083376648399e-10, 1.065531637052838541e-12, 1.852113990130806328e-09, 2.118363111900064291e-11, 2.232650460853643072e-09, 9.948251035569989335e-11
2.048000000000000000e+03, 1.330059999707785582e-10, 1.393275617143410337e-10, 1.317681000758403319e-11, 3.621897689776822350e-10, 2.626111689599021948e-10, 1.100932392207732657e-12, 2.061644420921919024e-09, 2.135209456385353845e-11, 2.122396827050532196e-09, 9.542972440117642807e-11
2.049000000000000000e+03, 1.336167170814277480e-10, 1.421950963271255017e-10, 1.336148426750086556e-11, 3.616495011312763832e-10, 2.663262416176452630e-10, 1.068019745962506574e-12, 2.202482457065343746e-09, 2.156234495568007399e-11, 2.185118433867667657e-09, 9.011998954635035971e-11
2.050000000000000000e+03, 1.337211055429944827e-10, 1.288468110937130757e-10, 1.207612728798639938e-11, 3.617514272920394703e-10, 2.382414841778373692e-10, 1.005365169482276606e-12, 2.109224032944281814e-09, 2.202555786787830702e-11, 2.255194140825858552e-09, 8.638582497803216261e-11
2.051000000000000000e+03, 1.089475788332661741e-10, 1.275109243836962554e-10, 1.104897764383372992e-11, 3.607763138585884065e-10, 2.386221993603874276e-10, 7.996744055691233066e-13, 2.210305293473557108e-09, 1.766922725727723479e-11, 1.978535072168861191e-09, 7.418870127919369448e-11
2.052000000000000000e+03, 1.050875149108159092e-10, 1.262630554083706396e-10, 1.095384966347207175e-11, 3.600381409201545927e-10, 2.393583830271469221e-10, 7.012847464548530660e-13, 2.139847755228176776e-09, 1.760355154754431658e-11, 2.015540416899808604e-09, 6.957883797288906017e-11
