year, CNRM-ESM2-1, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM5-0
2.053000000000000000e+03, 3.358520659692899102e+01, 1.444258572428462806e+01, 1.313678731044144499e+01, 6.782257669973802194e+00, 1.900069902437658698e+01, 1.586529992220554419e+01, 1.730306528370895691e+01, 8.814199294991281519e+00, 7.849578232472627093e+00, 3.450350739807426947e+01, 3.270767259329124244e+01, 2.337327913613048835e+01, 1.508952801332807780e+01, 4.286884682207172403e+01, 4.746100423690578829e+00, 2.529217674599528465e+01
2.054000000000000000e+03, 3.381177150635476636e+01, 1.461135991363994258e+01, 1.335109952371997899e+01, 6.879525510099623986e+00, 1.922241170424797119e+01, 1.596934042498603645e+01, 1.729582421276244375e+01, 8.872711163309650928e+00, 8.124900529292286677e+00, 3.447832124127621256e+01, 3.275959033903253470e+01, 2.347743722577928693e+01, 1.518346273579407324e+01, 4.293977791982008796e+01, 4.690062191788292978e+00, 2.526638063976148629e+01
2.055000000000000000e+03, 3.424017318416156286e+01, 1.469186048576506742e+01, 1.349372136688235102e+01, 6.963648189261061106e+00, 1.932327453151396668e+01, 1.606364613575870592e+01, 1.728472854807478853e+01, 8.913807348685526932e+00, 9.071234811382392849e+00, 3.470693519951039718e+01, 3.293119583125767491e+01, 2.371464104073178092e+01, 1.521991891765447313e+01, 4.300646131945708817e+01, 4.416125491751397014e+00, 2.522048500689203365e+01
2.056000000000000000e+03, 3.457361635749371231e+01, 1.463449533857216345e+01, 1.365908190346612194e+01, 7.001211556174186335e+00, 1.933480371412175813e+01, 1.606802595739426565e+01, 1.740252444572989177e+01, 8.914205985164391777e+00, 8.929817199478483403e+00, 3.482412876889345199e+01, 3.324988199221229479e+01, 2.384601651753030538e+01, 1.504202825096856166e+01, 4.307343214461818093e+01, 4.540573880099348258e+00, 2.536946503625209459e+01
2.057000000000000000e+03, 3.485379522292186039e+01, 1.477131956234746468e+01, 1.373342386094340206e+01, 7.051326437217051435e+00, 1.958436053299561408e+01, 1.611763977865083319e+01, 1.755259727334171416e+01, 9.081493487161502287e+00, 8.551574670927998056e+00, 3.520651717943860604e+01, 3.352183216894447781e+01, 2.385427438259140942e+01, 1.504003754903084555e+01, 4.301502406720972260e+01, 4.688995835559008896e+00, 2.549093720826146381e+01
2.058000000000000000e+03, 3.516683087514971362e+01, 1.477508816885120346e+01, 1.376430951595570207e+01, 7.106832542112591966e+00, 1.960967887850048541e+01, 1.625174937757333993e+01, 1.764595769774921408e+01, 9.100863746162442425e+00, 8.671058421174622666e+00, 3.546124222258999481e+01, 3.380664365281117512e+01, 2.391220689339999339e+01, 1.519719188200867244e+01, 4.298988592517907392e+01, 4.942685653353468211e+00, 2.550912075944268764e+01
2.059000000000000000e+03, 3.524751443045624200e+01, 1.485500091215380181e+01, 1.389023736601253489e+01, 7.169843802897629459e+00, 1.969945335589662960e+01, 1.633952104453255672e+01, 1.778378088977826366e+01, 9.098503625751128254e+00, 9.048607450073125946e+00, 3.565106411330544489e+01, 3.409727896299553151e+01, 2.393374412345941593e+01, 1.535488769883980886e+01, 4.302247948708959058e+01, 4.955992693325350196e+00, 2.555179972114569864e+01
2.060000000000000000e+03, 3.557627877056700783e+01, 1.495339641358524574e+01, 1.407902454456309371e+01, 7.152301498477286579e+00, 2.004218417864092316e+01, 1.644342166865379440e+01, 1.792474057893989325e+01, 9.204903497200767504e+00, 9.059341310936476432e+00, 3.591580864428306796e+01, 3.431178162813639432e+01, 2.394059623806712622e+01, 1.545049921011866800e+01, 4.306136352426955227e+01, 4.564339853517981105e+00, 2.566085740791098146e+01
2.061000000000000000e+03, 3.595289457242849096e+01, 1.492243440781407671e+01, 1.416949075571011285e+01, 7.166036766003639258e+00, 2.028307488910368761e+01, 1.658598163188403163e+01, 1.801191558230170386e+01, 9.248829279747882381e+00, 8.771683066852421717e+00, 3.625723390246483291e+01, 3.456588565604108965e+01, 2.388781960567779805e+01, 1.547624422470887318e+01, 4.305379842577964666e+01, 4.532643529426308326e+00, 2.569998555474253621e+01
2.062000000000000000e+03, 3.622478286910138223e+01, 1.506047831261667902e+01, 1.418477160493994838e+01, 7.327590000285572280e+00, 2.019720947510422704e+01, 1.667798020483801480e+01, 1.809130007929201867e+01, 9.272634699503734979e+00, 8.893397777864988640e+00, 3.663748403810304666e+01, 3.473013178853091176e+01, 2.384930634028743413e+01, 1.541816905561635487e+01, 4.308421719370623038e+01, 4.588744565437378853e+00, 2.566076743462912191e+01
