year, CESM2-WACCM, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR
2.057000000000000000e+03, 1.923068044598883097e-09, 2.146210593765393116e-10, 7.366547548655720825e-11, 2.825281097710068272e-09, 5.372001587457706795e-13, 4.307824505315271622e-11, 2.180633929272906254e-09, 1.654248878112858286e-09
2.058000000000000000e+03, 1.963520547921547026e-09, 2.144545874361875736e-10, 7.526933245254683390e-11, 2.618869082149079866e-09, 5.914338088616513413e-13, 4.224727345899622000e-11, 2.181412263689218454e-09, 1.693682190582993507e-09
2.059000000000000000e+03, 2.018516456338897909e-09, 2.141757354578671946e-10, 7.560480623857223800e-11, 2.760062260051881406e-09, 6.664333046587141329e-13, 4.145280697621788009e-11, 2.182265095322250873e-09, 1.669495907803816504e-09
2.060000000000000000e+03, 1.986143521266986231e-09, 2.138031949536526215e-10, 7.587833647238730880e-11, 3.055227877161400762e-09, 6.900748602901560822e-13, 4.064586345000924582e-11, 2.196156500575040777e-09, 1.644954252396426092e-09
2.061000000000000000e+03, 2.125830462230798859e-09, 2.133245534612558438e-10, 7.434928880107727053e-11, 2.843539325966092855e-09, 6.322618482623805335e-13, 4.115399133981289593e-11, 2.200530447087177553e-09, 1.624126838589480081e-09
2.062000000000000000e+03, 2.160582941130027011e-09, 2.127116827276969539e-10, 7.343091935435067388e-11, 2.557252445784034942e-09, 5.888603494859001580e-13, 4.183755759071940827e-11, 2.227407227921671622e-09, 1.659932563876254899e-09
2.063000000000000000e+03, 2.018697002578686284e-09, 2.121451582711598299e-10, 7.317317652079391122e-11, 2.493955171832430184e-09, 5.599871552603394805e-13, 4.275754038072002724e-11, 2.232254518259695013e-09, 1.678522345326224641e-09
2.064000000000000000e+03, 2.150277863550002063e-09, 2.117496362241919656e-10, 7.362415244725908339e-11, 2.683718937160124913e-09, 5.267127191117826058e-13, 4.372528582425871267e-11, 2.238880224853817019e-09, 1.659715592221357897e-09
2.065000000000000000e+03, 2.276791909718304451e-09, 2.113100422962134324e-10, 7.484893520182495228e-11, 2.944286300161067402e-09, 4.959490617415505901e-13, 4.498132567125355004e-11, 2.214351820137496185e-09, 1.649312290539370181e-09
2.066000000000000000e+03, 2.247389822407691210e-09, 2.107443130679602956e-10, 6.754622044553433257e-11, 2.293997500308746992e-09, 4.493440312580641390e-13, 4.553426274397575049e-11, 2.212449141789734751e-09, 1.627935864434741527e-09
2.067000000000000000e+03, 2.189155771140404848e-09, 2.101368667854263168e-10, 6.406746008176286043e-11, 2.938991360084050505e-09, 4.451400194475695494e-13, 4.703604796379646923e-11, 2.217825162240594392e-09, 1.642010112069304461e-09
2.068000000000000000e+03, 2.204693106545678214e-09, 2.094576078468266574e-10, 6.235220987561869239e-11, 2.667733120688237112e-09, 4.184650464772068052e-13, 4.846181883503039101e-11, 2.228892613395500715e-09, 1.673851719123348791e-09
2.069000000000000000e+03, 2.176852516680766195e-09, 2.088650085794182140e-10, 6.133873362760703415e-11, 2.767535373380938204e-09, 4.553146884351205996e-13, 4.985994893394246057e-11, 2.238872755683762500e-09, 1.624323772011958304e-09
2.070000000000000000e+03, 2.189600781717225429e-09, 2.083566701136827615e-10, 6.061627582614199179e-11, 2.621725379301482264e-09, 5.089443204331547434e-13, 5.123697152057796798e-11, 2.217629801481098176e-09, 1.589925865523651644e-09
