year, CMCC-CM2-SR5, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, CanESM5, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, EC-Earth3-Veg, UKESM1-0-LL, MIROC-ES2L
2.045000000000000000e+03, 5.316415707277692526e+00, 4.975938318154141449e+00, 5.279745914183010314e+00, 5.309996078227515071e+00, 7.538142971922352942e+00, 5.117411962888366084e+00, 7.672076471427324407e+00, 5.558646972141022324e+00, 6.125911579237738103e+00, 4.722788838750577867e+00, 6.247211541955069336e+00, 3.774582357081643469e+00, 4.394219638905053849e+00, 6.769037608782330295e+00, 5.489123471576839108e+00, 7.121449004219616796e+00
2.046000000000000000e+03, 4.743041326125546853e+00, 5.200460152834080141e+00, 5.315132238293268863e+00, 5.478145178041007313e+00, 7.326720941360207462e+00, 5.432621617239491663e+00, 7.400675704156708612e+00, 5.757060383179228857e+00, 6.196661627500400726e+00, 5.140790345742551892e+00, 6.148508727446264643e+00, 3.402457211333430820e+00, 4.628068367194414279e+00, 7.031575316960051225e+00, 6.169404838610555331e+00, 6.940779086977914680e+00
2.047000000000000000e+03, 4.699275030413410548e+00, 5.194554056953800902e+00, 5.246839491728953142e+00, 5.760621342412846069e+00, 7.689163674612938593e+00, 4.805148993465381935e+00, 7.246570958474733537e+00, 5.760098503382020674e+00, 6.355096278571101820e+00, 5.060809595201454236e+00, 5.983523034487308045e+00, 3.568456672017392250e+00, 4.442979173645801083e+00, 7.256002266511084819e+00, 5.833951889434485949e+00, 6.936041489570553331e+00
2.048000000000000000e+03, 5.755267596218129000e+00, 5.182657150107258026e+00, 5.354311882401701084e+00, 5.675026078851442612e+00, 7.681776560454273373e+00, 5.290767900893653675e+00, 7.404002091091859583e+00, 5.858918876282702470e+00, 6.336332164301097691e+00, 4.850226397659720412e+00, 5.918475125784710578e+00, 3.743179433912063203e+00, 4.621888251318037710e+00, 6.880501352758177092e+00, 6.214359760004421140e+00, 7.300125852955447137e+00
2.049000000000000000e+03, 4.563754761241532343e+00, 5.346191571204792936e+00, 5.485669714194332691e+00, 5.973088959417908406e+00, 7.848458495769242482e+00, 5.598642452243225875e+00, 7.369370825669577130e+00, 5.640522419501013296e+00, 6.446439109031021353e+00, 4.840040453766611961e+00, 6.379251062413278994e+00, 3.596032040957218623e+00, 4.626003541251677120e+00, 7.502001471658125809e+00, 5.582632444636688618e+00, 7.419606741334694888e+00
2.050000000000000000e+03, 4.954536864791522888e+00, 5.228026181978552067e+00, 5.197569497796132865e+00, 5.209343969149232478e+00, 8.107528757278924303e+00, 5.236357088571129914e+00, 7.067704475879405202e+00, 5.716124050616701702e+00, 6.253323137914240881e+00, 5.097793286402168000e+00, 5.791982942811409352e+00, 3.810473663170136582e+00, 4.657034277715641046e+00, 7.091564566019642690e+00, 5.905000804039985951e+00, 7.013348406344722896e+00
2.051000000000000000e+03, 5.054993556461944593e+00, 4.857317616404762006e+00, 5.358453996172287681e+00, 5.929410051237957724e+00, 7.530809862658505160e+00, 5.297731897503261678e+00, 7.392918645535418776e+00, 5.619818826771704856e+00, 6.522479332946018005e+00, 4.572092054312341780e+00, 6.132711172938135391e+00, 3.465132406501171491e+00, 4.600425644359011024e+00, 7.514106353969647323e+00, 5.578704484336759251e+00, 7.315114690011938592e+00
2.052000000000000000e+03, 5.184453610943310586e+00, 4.899490647079034034e+00, 5.479386690272511018e+00, 5.703038819510608093e+00, 7.876980634104294943e+00, 5.056612790244173539e+00, 7.652289045839753889e+00, 5.192897568982761669e+00, 6.481088637508635841e+00, 4.798765087268731300e+00, 5.786590737048957322e+00, 3.908218772849565426e+00, 4.484585225538213038e+00, 7.378602781654647558e+00, 5.575035945488686195e+00, 7.493463066049206311e+00
2.053000000000000000e+03, 4.548712659414031911e+00, 5.082220781219583650e+00, 5.237111668220002514e+00, 5.227685154323795658e+00, 7.839098177276736301e+00, 5.076398709989459412e+00, 7.846871782730699074e+00, 5.681960302513838990e+00, 6.527086983377348162e+00, 4.931776205322092821e+00, 5.864184935036925950e+00, 3.786628926990524224e+00, 4.638001231989393958e+00, 7.795506188439943251e+00, 5.884394752639584780e+00, 7.292631934801515392e+00
2.054000000000000000e+03, 5.344149275615776240e+00, 5.315599077384371540e+00, 5.385223929464666881e+00, 5.901239853518091216e+00, 7.310163171747283251e+00, 4.930731323978671199e+00, 7.800415333716143707e+00, 5.211728842821686136e+00, 6.355081252437709161e+00, 5.090918882101528986e+00, 6.412560732727916601e+00, 4.017955734018752167e+00, 4.720197811090152129e+00, 7.561092934386022257e+00, 5.871956051774747110e+00, 7.169937435589800678e+00
