year, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, CanESM5, CESM2-WACCM, IPSL-CM6A-LR
2.041000000000000000e+03, 1.285962654056495502e+01, 2.314251406592200411e+01, 4.524438228991473077e-01, 2.465386337410748308e+00, 1.975400681080198062e+00, 2.512128140795433673e+00, 1.968132567149429235e+01, 4.101219186712978804e+00, 1.772553693533493124e+00, 6.291924096503461072e+00, 7.620684738142244008e+00, 1.821728449033436670e+00, 6.076678509109989079e+00
2.042000000000000000e+03, 1.285476599417138566e+01, 2.316345076774387479e+01, 5.890147237549910875e-01, 2.530875056919434041e+00, 1.970533150407614675e+00, 2.397735466238075652e+00, 1.969597524792379417e+01, 4.113368746091062178e+00, 1.818619716112975793e+00, 6.376509187324868044e+00, 7.577829367598417853e+00, 1.860240565601305462e+00, 6.133787261853770545e+00
2.043000000000000000e+03, 1.287938687984081199e+01, 2.318837421560866474e+01, 3.924651948858679518e-01, 2.615741350386605379e+00, 1.870959668676604348e+00, 2.503328510732770518e+00, 1.976670787604059853e+01, 4.132690021709348294e+00, 1.740759840673849368e+00, 6.440337865715679122e+00, 7.498572131633023830e+00, 1.908325833219780332e+00, 6.150959211739318810e+00
2.044000000000000000e+03, 1.292027663653519554e+01, 2.330710114453592041e+01, 3.453327441932025899e-01, 2.642668829801541275e+00, 1.909115077183141329e+00, 2.295340844568838801e+00, 1.974290477471395988e+01, 4.055464198327915604e+00, 1.838352320211375401e+00, 6.391066700652821453e+00, 7.477482561302818631e+00, 1.923962343573668576e+00, 6.154319045264954546e+00
2.045000000000000000e+03, 1.296773170512651419e+01, 2.345879628654741467e+01, 4.682328137928559730e-01, 2.727285263292205997e+00, 1.948496963001655979e+00, 2.443900339981844638e+00, 1.993613343146534689e+01, 4.073969657856846283e+00, 1.819639811917958427e+00, 6.419680240119086001e+00, 7.557409762509348816e+00, 1.843506279301003969e+00, 6.172003618921364065e+00
2.046000000000000000e+03, 1.299113804978989961e+01, 2.344976021484473705e+01, 5.248956543028460153e-01, 2.677346677155455712e+00, 1.892039463253228693e+00, 2.871950159460022522e+00, 1.996643538536492457e+01, 4.125908045807011426e+00, 1.723948250921853775e+00, 6.493822674663610961e+00, 7.448030769761258441e+00, 1.859467633084777027e+00, 6.229569773757688722e+00
2.047000000000000000e+03, 1.300686724844335629e+01, 2.333069671658055100e+01, 4.945127807332611036e-01, 2.584726110429952595e+00, 1.925795697578218002e+00, 2.750388815756526384e+00, 2.000500858869203569e+01, 4.142041778047324208e+00, 1.706525060788606440e+00, 6.592181123594685666e+00, 7.370313160693953591e+00, 1.921799461438778778e+00, 6.254643323411642086e+00
2.048000000000000000e+03, 1.301269936846596309e+01, 2.333132998537871217e+01, 3.989148491538740959e-01, 2.561838490999835738e+00, 1.921275814292539463e+00, 2.262858695767758110e+00, 2.001775226122917317e+01, 4.104867513885856134e+00, 1.759616452739829029e+00, 6.623952801761000764e+00, 7.540843915448609103e+00, 1.926350062897336679e+00, 6.216272327527297747e+00
2.049000000000000000e+03, 1.297709474678904051e+01, 2.347443824369310761e+01, 4.305257185581211066e-01, 2.530132420642368540e+00, 1.925820887491912048e+00, 2.606026261893744866e+00, 2.004561175193905598e+01, 4.082658474595360687e+00, 1.747348139824449031e+00, 6.618712751276248696e+00, 7.592853509391138900e+00, 1.928351260559219682e+00, 6.228206483390738235e+00
2.050000000000000000e+03, 1.300691552340920509e+01, 2.365330451890406138e+01, 3.677068415490356568e-01, 2.525426904283516016e+00, 2.005361307138037397e+00, 2.568039266768456397e+00, 2.011506798738744450e+01, 4.062329306561908382e+00, 1.706195794230455087e+00, 6.610859540888620600e+00, 7.368543995305871341e+00, 1.911616365637518467e+00, 6.291317882622703195e+00
2.051000000000000000e+03, 1.298563991901971981e+01, 2.383520279765768635e+01, 5.486943539738174946e-01, 2.580632286855356394e+00, 1.975793467005141801e+00, 2.537657308480338880e+00, 2.000522705148838298e+01, 4.031679212282351266e+00, 1.813780914655682475e+00, 6.713005997810160608e+00, 7.295353643920907238e+00, 1.945808441088836327e+00, 6.293709810519386494e+00
2.052000000000000000e+03, 1.299914660686988732e+01, 2.398945429658374451e+01, 4.035585890480487548e-01, 2.554728554144162889e+00, 1.982053868558535603e+00, 2.428055893385301367e+00, 2.016983302019920643e+01, 4.032230934269502853e+00, 1.869787530522849517e+00, 6.659698844639452275e+00, 7.532008630893536782e+00, 2.008293821683678093e+00, 6.300672828589161334e+00
2.053000000000000000e+03, 1.302154476692500396e+01, 2.399231094784648732e+01, 4.817457823380615900e-01, 2.567208983969991642e+00, 2.015489613738497443e+00, 2.763834924777361923e+00, 2.020636193410467385e+01, 4.054256616343622888e+00, 1.747993029469633974e+00, 6.685620147487759901e+00, 7.823831266525211880e+00, 1.975318837144415696e+00, 6.295489222460205703e+00
2.054000000000000000e+03, 1.298633506721753683e+01, 2.407706967817914645e+01, 4.143748272649867559e-01, 2.507986138800857301e+00, 1.944519520532923984e+00, 2.376059960203328103e+00, 2.020135732007101126e+01, 4.052125666768217727e+00, 1.719869464378274149e+00, 6.748619059940525133e+00, 7.835846243488201246e+00, 2.065403958381126337e+00, 6.255073751961782058e+00
2.055000000000000000e+03, 1.305891363611937273e+01, 2.411635715074856634e+01, 5.368613001717341682e-01, 2.500257916613101372e+00, 2.059509404709922276e+00, 2.107868502623144291e+00, 2.028997823486512431e+01, 4.017513235075095501e+00, 1.777947389838369308e+00, 6.821063525147659234e+00, 7.777161459414904776e+00, 2.042977062778827957e+00, 6.282502378309761326e+00
2.056000000000000000e+03, 1.300573222343701474e+01, 2.409361952850055388e+01, 3.960138787689194695e-01, 2.479873244444262603e+00, 2.113626455171176755e+00, 2.439973011144950465e+00, 2.041102827750682280e+01, 3.983093052397315148e+00, 1.840611480647126763e+00, 6.886180688426692953e+00, 7.855396132421803124e+00, 1.998604101151276735e+00, 6.312533360944513561e+00
