year, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.057000000000000000e+03, 1.588496985220168549e-09, 1.547350890692001797e-09, 1.043289385412136095e-10, 2.484908554637771539e-09, 1.094593856393541613e-09, 3.149374723799897012e-10, 2.848480859672684090e-10, 2.803498797890881051e-09, 1.641339865397891616e-09
2.058000000000000000e+03, 1.629304323284102205e-09, 2.098420778157472182e-09, 1.054827691510068577e-10, 2.486950535784092758e-09, 1.263435205673414121e-09, 3.139132974310449950e-10, 2.837075311782251602e-10, 2.597045352611932394e-09, 1.680534136515384027e-09
2.059000000000000000e+03, 1.684373112581489083e-09, 1.740088402450232475e-09, 1.079550179050014096e-10, 2.528851062940619815e-09, 1.226078924777455781e-09, 3.129454765944094954e-10, 2.839734654572492411e-10, 2.738232604250452653e-09, 1.656498169711021489e-09
2.060000000000000000e+03, 1.652135433571030475e-09, 2.107049163296277579e-09, 1.085045000502713589e-10, 2.507829524097960645e-09, 1.408894617765868076e-09, 3.114084860321417366e-10, 2.823834639605780143e-10, 3.033342566406087868e-09, 1.631089625225631590e-09
2.061000000000000000e+03, 1.790491888828089210e-09, 2.121197314526003804e-09, 1.088344081718492398e-10, 2.445993078394285492e-09, 1.270300211658630875e-09, 3.058009664389334354e-10, 2.767553157075004502e-10, 2.820353054910021927e-09, 1.609870902480809599e-09
2.062000000000000000e+03, 1.824092210117866182e-09, 1.908637812745981246e-09, 1.073797492548592958e-10, 2.263594381842700849e-09, 1.291957209109712468e-09, 3.048926235871397155e-10, 2.754740161063374521e-10, 2.533775230960337626e-09, 1.645169270966193351e-09
2.063000000000000000e+03, 1.681464230315177864e-09, 1.820234222188185140e-09, 1.046878688799714468e-10, 2.448276828610769900e-09, 1.182415012839881689e-09, 3.045794275970678667e-10, 2.743871773028991042e-10, 2.470248790712291855e-09, 1.663514896545032522e-09
2.064000000000000000e+03, 1.812537448871030029e-09, 2.073217408041997567e-09, 1.034217715426985284e-10, 2.526465492430450027e-09, 1.370837728268294507e-09, 3.040385226770541855e-10, 2.725892683894148185e-10, 2.659432217241796183e-09, 1.644993802868786126e-09
2.065000000000000000e+03, 1.938702335848980229e-09, 1.819084383539414189e-09, 1.012169874058875482e-10, 2.640120534169581992e-09, 1.170792581720855340e-09, 3.029084337688933413e-10, 2.694702443078302629e-10, 2.919487042637106660e-09, 1.636651534280791523e-09
2.066000000000000000e+03, 1.910689788172220195e-09, 1.951281078699150705e-09, 9.893619858176921641e-11, 2.507396916257366907e-09, 1.159874269453813928e-09, 3.014071868285985168e-10, 2.682190739929042904e-10, 2.273912326955194794e-09, 1.616914242767054414e-09
2.067000000000000000e+03, 1.853752106118852875e-09, 1.868704041479872618e-09, 9.817627279801316151e-11, 2.451036748520810445e-09, 1.137180131613685400e-09, 2.997000794061099150e-10, 2.667266608837271740e-10, 2.919535617949075114e-09, 1.631055317500846441e-09
2.068000000000000000e+03, 1.870618302408921764e-09, 2.035922657878892185e-09, 9.788663700193696104e-11, 2.526792486969743608e-09, 1.026943741080156520e-09, 2.984692056999152348e-10, 2.650991235331067236e-10, 2.648056659843403610e-09, 1.662681115604193187e-09
2.069000000000000000e+03, 1.843744185743394469e-09, 1.847687280481943278e-09, 9.858089869404410792e-11, 2.502539617963498999e-09, 1.209903563603408508e-09, 2.969402497125048864e-10, 2.636120041606843074e-10, 2.748062276104500380e-09, 1.613855884996924769e-09
