year, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, ACCESS-ESM1-5, MIROC-ES2L, CMCC-CM2-SR5, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
2.044000000000000000e+03, 1.379682445708037886e+00, 3.420256349224994330e-01, 1.141838893145425381e-02, 4.094940226914563497e-01, 1.358019715714203768e+00, 5.325877192354906420e-01, 1.008125323351223512e+00, 1.918471084986379457e-02, 1.474926271834940726e-03
2.045000000000000000e+03, 1.386698107563326676e+00, 3.435447069782122664e-01, 1.141933762087892282e-02, 4.091906148402058574e-01, 1.357018010635712590e+00, 5.341211901069456980e-01, 1.009998380562438847e+00, 1.886403160034499579e-02, 1.424702518077851799e-03
2.046000000000000000e+03, 1.388553287020999338e+00, 3.455702957565456312e-01, 1.139816221118640331e-02, 4.132654928028851038e-01, 1.354526752838646431e+00, 5.353428698283456688e-01, 1.012180053290782311e+00, 1.882413719737910385e-02, 1.434808894019605399e-03
2.047000000000000000e+03, 1.389698140010092287e+00, 3.471083824870639933e-01, 1.136730170188020826e-02, 4.164692258357418631e-01, 1.348582243126040581e+00, 5.364688769996630580e-01, 1.000392460705142206e+00, 1.874837635921819401e-02, 1.452190854968730483e-03
2.048000000000000000e+03, 1.383219362580724310e+00, 3.489910781438521070e-01, 1.135274516080454939e-02, 4.193097085210107378e-01, 1.343954393129089153e+00, 5.372570100133425841e-01, 9.949059613507119648e-01, 1.868145547191446196e-02, 1.446472422648547099e-03
2.049000000000000000e+03, 1.387032233176864526e+00, 3.507330578247757069e-01, 1.133629459149733572e-02, 4.220382558900033221e-01, 1.342093780838269357e+00, 5.378969101636058570e-01, 1.013502266111525385e+00, 1.853445496060422346e-02, 1.427050864190206828e-03
2.050000000000000000e+03, 1.387846996015820844e+00, 3.527240589693724782e-01, 1.132495334210564288e-02, 4.242937621490096012e-01, 1.342507035967993811e+00, 5.385584093793781557e-01, 1.021147776436382104e+00, 1.843626269149338179e-02, 1.400788266835080540e-03
2.051000000000000000e+03, 1.389328860940520327e+00, 3.542969036854127785e-01, 1.114254824962672592e-02, 4.235018628833273069e-01, 1.343584573106878066e+00, 5.398385066793717213e-01, 1.016546971506792740e+00, 1.784250759889735929e-02, 1.347419683692236379e-03
2.052000000000000000e+03, 1.382369300456395278e+00, 3.557361814472018158e-01, 1.094870728002017568e-02, 4.225828075139644868e-01, 1.345476754275193088e+00, 5.416303571342681034e-01, 9.914416480234793383e-01, 1.725791577897739862e-02, 1.316134018466611324e-03
2.053000000000000000e+03, 1.387939049298449357e+00, 3.573557217795957919e-01, 1.078981008014651480e-02, 4.217421730206097896e-01, 1.342376910369452947e+00, 5.431261021556506030e-01, 1.005475952461900357e+00, 1.677230042715820504e-02, 1.314590088525397545e-03
2.054000000000000000e+03, 1.393222061538821555e+00, 3.587471796972314109e-01, 1.066371848951657049e-02, 4.210219792457104426e-01, 1.337444223646810704e+00, 5.443939926856233846e-01, 1.003580990757684033e+00, 1.635536561437438488e-02, 1.307071710995308779e-03
2.055000000000000000e+03, 1.402708212947010091e+00, 3.600931688683148280e-01, 1.050396543591152788e-02, 4.204250718936505260e-01, 1.338774746670768456e+00, 5.453144249671662003e-01, 1.001142954750850356e+00, 1.594498574545739206e-02, 1.289279707232617684e-03
2.056000000000000000e+03, 1.401192690867415491e+00, 3.619834613109924604e-01, 1.035833792403980692e-02, 4.248613429880780945e-01, 1.340900453170048578e+00, 5.460459926591221258e-01, 1.002603338858605531e+00, 1.616972321946486338e-02, 1.242881951923706244e-03
2.057000000000000000e+03, 1.406949509469089810e+00, 3.634678993145850634e-01, 1.023707367753095253e-02, 4.279516506947774745e-01, 1.346386318839105867e+00, 5.466914605096039326e-01, 1.011578328871030497e+00, 1.636653827737374889e-02, 1.211891849961744963e-03
2.058000000000000000e+03, 1.415374195916392575e+00, 3.648196777092190812e-01, 1.012217382157726102e-02, 4.310436433413463719e-01, 1.350911681224349348e+00, 5.472874367685867103e-01, 1.015318854899628809e+00, 1.655135460966107239e-02, 1.206809145535372475e-03
2.059000000000000000e+03, 1.412988905738477685e+00, 3.658031336847815118e-01, 1.005807873496692567e-02, 4.335961880379503586e-01, 1.352640986761275865e+00, 5.479643778436028567e-01, 1.020520997225641269e+00, 1.671687196873758094e-02, 1.208030429742976359e-03
2.060000000000000000e+03, 1.410653875585185846e+00, 3.667562739580893516e-01, 1.001634861867395365e-02, 4.359923185845159810e-01, 1.356973048828171269e+00, 5.487353412617488324e-01, 1.018363930579408549e+00, 1.691986339423303190e-02, 1.196160846026216463e-03
2.061000000000000000e+03, 1.408885253535372861e+00, 3.677715809619059306e-01, 1.010484399931623964e-02, 4.372232450549583538e-01, 1.359959051234442828e+00, 5.494389586920034318e-01, 1.031992485361908685e+00, 1.706988500517725438e-02, 1.158434692052360800e-03
2.062000000000000000e+03, 1.416535281233461063e+00, 3.689715873578542360e-01, 1.023801070790907215e-02, 4.382844506863313727e-01, 1.366451123954444125e+00, 5.499225978918959035e-01, 1.036745728016946977e+00, 1.716449103780008298e-02, 1.122019901355216084e-03
2.063000000000000000e+03, 1.421231359505876091e+00, 3.701476530672177523e-01, 1.037349651361277325e-02, 4.394183916825245007e-01, 1.371566045030790937e+00, 5.503885619313404476e-01, 1.026414337422524081e+00, 1.718052715395648397e-02, 1.089821855147637313e-03
2.064000000000000000e+03, 1.419277465574048991e+00, 3.710001322774655885e-01, 1.054640387316906069e-02, 4.408503182104633322e-01, 1.375313273967510685e+00, 5.508013012722798862e-01, 1.038622757363939719e+00, 1.733804060165753183e-02, 1.059207861261844338e-03
2.065000000000000000e+03, 1.418844859805500791e+00, 3.717741144184544266e-01, 1.074607287855924159e-02, 4.428019636119523983e-01, 1.373950129713792379e+00, 5.509694057627706476e-01, 1.050249059216442404e+00, 1.745507214678887475e-02, 1.030367415939915455e-03
2.066000000000000000e+03, 1.416222249733891880e+00, 3.720416857272101363e-01, 1.072458713998656298e-02, 4.400245027320266455e-01, 1.373312620275147111e+00, 5.508145280361732565e-01, 1.047125692528770857e+00, 1.800272223483907752e-02, 9.990648093440304082e-04
2.067000000000000000e+03, 1.419371054353213424e+00, 3.721000947784064428e-01, 1.073559546194129306e-02, 4.376510326554994279e-01, 1.374385401436391652e+00, 5.505943179907097917e-01, 1.041612928309584740e+00, 1.845206405404100844e-02, 9.768459175618932760e-04
2.068000000000000000e+03, 1.425625633609137077e+00, 3.725042186402736655e-01, 1.073242786624487542e-02, 4.356118848082119466e-01, 1.376978481554715472e+00, 5.503241832663120503e-01, 1.042129081499975740e+00, 1.881623940388644708e-02, 9.513469564045399238e-04
2.069000000000000000e+03, 1.417989763568070494e+00, 3.730169293221565208e-01, 1.074363903826164833e-02, 4.337835625634791636e-01, 1.380293944804446893e+00, 5.502104699335454985e-01, 1.039322675832981879e+00, 1.912201782204730680e-02, 9.394014177374042113e-04
2.070000000000000000e+03, 1.412521934938903767e+00, 3.728125319825051354e-01, 1.076973269429643172e-02, 4.321065924036623374e-01, 1.379400351330507091e+00, 5.501359454054174369e-01, 1.039660814318435600e+00, 1.937952915143813584e-02, 9.313999018172145102e-04
2.071000000000000000e+03, 1.418106374000436265e+00, 3.723571066077213110e-01, 1.065225049040340738e-02, 4.301041440352927347e-01, 1.378064394182200170e+00, 5.497862224129198561e-01, 1.039044379840481147e+00, 1.895368047439438541e-02, 9.272623175058752019e-04
2.072000000000000000e+03, 1.418900680587048768e+00, 3.725274262702709671e-01, 1.056044308378577094e-02, 4.274711800033705877e-01, 1.378596421828287566e+00, 5.491649275961513199e-01, 1.047938881159653945e+00, 1.850019068309557285e-02, 9.147176478776661247e-04
2.073000000000000000e+03, 1.412830033451392797e+00, 3.727245383574860349e-01, 1.055363101432814539e-02, 4.250799436977670820e-01, 1.375916236443545770e+00, 5.483879775306097493e-01, 1.054050561543232067e+00, 1.804906145099960738e-02, 9.032023485856054525e-04
2.074000000000000000e+03, 1.409152821586834969e+00, 3.727227805084953882e-01, 1.059689606669459404e-02, 4.228892859158112638e-01, 1.371988150690568009e+00, 5.474139181757222694e-01, 1.042146016825416632e+00, 1.762047868965496353e-02, 8.859786367868517035e-04
2.075000000000000000e+03, 1.406524225122836924e+00, 3.725565569661256071e-01, 1.069712462509332662e-02, 4.200565758185000886e-01, 1.369260924981718253e+00, 5.464228551978136394e-01, 1.034680104719745364e+00, 1.718293175119939981e-02, 8.733960068796097539e-04
2.076000000000000000e+03, 1.406534416806261456e+00, 3.725347912196412814e-01, 1.085709345100235867e-02, 4.206906181138311274e-01, 1.365980271370275556e+00, 5.455511065272129478e-01, 1.044180238477944167e+00, 1.712922213686482453e-02, 8.493567174417843710e-04
2.077000000000000000e+03, 1.398589050750784990e+00, 3.724343967115107956e-01, 1.108797165530391905e-02, 4.210705959907265483e-01, 1.364620759557861440e+00, 5.447992293537450292e-01, 1.047720931878550754e+00, 1.711321441262282986e-02, 8.340291486087362312e-04
2.078000000000000000e+03, 1.397924149153619400e+00, 3.722958249591263313e-01, 1.119631986766530217e-02, 4.214228913026128454e-01, 1.365953351391077764e+00, 5.440867553453899719e-01, 1.045166128184044529e+00, 1.707934748186775917e-02, 8.345572447098485074e-04
2.079000000000000000e+03, 1.391318214680777876e+00, 3.718025820555736494e-01, 1.138223917508573470e-02, 4.216990719091891493e-01, 1.365752027470579000e+00, 5.433296330640693395e-01, 1.022998371170242837e+00, 1.707319438380974427e-02, 8.283104320257614816e-04
2.080000000000000000e+03, 1.401830591738378873e+00, 3.708924092711144427e-01, 1.161776525450950240e-02, 4.210828087466647607e-01, 1.365796451965690883e+00, 5.424240065847127923e-01, 1.023540413810287042e+00, 1.715601270289821012e-02, 8.226435992708182625e-04
2.081000000000000000e+03, 1.400672461206767583e+00, 3.703655679582147364e-01, 1.176617794684911046e-02, 4.200783109221558620e-01, 1.365496649764766035e+00, 5.415097529907793028e-01, 1.045590492900947632e+00, 1.749248712413166776e-02, 8.052970586305718175e-04
2.082000000000000000e+03, 1.402062469323175131e+00, 3.699816255259615883e-01, 1.190281903534371952e-02, 4.189222045166814956e-01, 1.368445918008614814e+00, 5.406171386337842444e-01, 1.041198657964121033e+00, 1.779936033403380080e-02, 7.831853767187226673e-04
2.083000000000000000e+03, 1.411633487180079527e+00, 3.698130617212579407e-01, 1.210164475619666252e-02, 4.178044929928676487e-01, 1.370734726091342059e+00, 5.398240062591004307e-01, 1.051071033079306050e+00, 1.803959716856664772e-02, 7.646934959709087570e-04
2.084000000000000000e+03, 1.408612083859291930e+00, 3.693776477277629922e-01, 1.234668927855907782e-02, 4.167665698113249828e-01, 1.367837571141263364e+00, 5.390979400386435305e-01, 1.062181515044934077e+00, 1.827653337996615335e-02, 7.514788572664671002e-04
2.085000000000000000e+03, 1.399275191834142618e+00, 3.689539683179312024e-01, 1.260582549964672262e-02, 4.158478127875748775e-01, 1.362738350626412132e+00, 5.384948925515723461e-01, 1.064818713024922481e+00, 1.841098696955119352e-02, 7.383168861723830162e-04
2.086000000000000000e+03, 1.395812788778041824e+00, 3.677390421720249103e-01, 1.273268079672784658e-02, 4.171226937246242938e-01, 1.364043476984389880e+00, 5.380308048293312995e-01, 1.075570301223343295e+00, 1.827809420565469287e-02, 7.223373216045019061e-04
2.087000000000000000e+03, 1.396947248888943838e+00, 3.665991340027306977e-01, 1.287129542278801775e-02, 4.180757103682818387e-01, 1.366487624343648344e+00, 5.374895733989217828e-01, 1.079707782104051716e+00, 1.809359859997421507e-02, 7.081171949759699092e-04
2.088000000000000000e+03, 1.391356279599885726e+00, 3.655566439463474038e-01, 1.306370514627748503e-02, 4.188995602670544938e-01, 1.364167637747430772e+00, 5.371077651534793551e-01, 1.084457684621067397e+00, 1.801837896518333412e-02, 7.038296531385252516e-04
2.089000000000000000e+03, 1.385185842732175932e+00, 3.646302010215793366e-01, 1.343771976674742324e-02, 4.196660276011527357e-01, 1.359799282713670232e+00, 5.367958004177861842e-01, 1.090857956582777621e+00, 1.791268276619713273e-02, 7.109695890838914649e-04
2.090000000000000000e+03, 1.387527666167202689e+00, 3.635978766822633435e-01, 1.389524484027489584e-02, 4.203529903786428767e-01, 1.360877027799345607e+00, 5.361571886474331139e-01, 1.070796033078834864e+00, 1.778279223379175891e-02, 7.159863541224949441e-04
2.091000000000000000e+03, 1.389649038942162962e+00, 3.635221680528377131e-01, 1.422170955579390647e-02, 4.182125533484815083e-01, 1.359759962721959869e+00, 5.350596713973511109e-01, 1.077281327034886438e+00, 1.781849851570465465e-02, 8.060063831691423103e-04
2.092000000000000000e+03, 1.392437866942781044e+00, 3.628340071589654103e-01, 1.459615824746727901e-02, 4.158197314275999812e-01, 1.358152605990732065e+00, 5.341107894554142366e-01, 1.066451348307489777e+00, 1.780018177473510418e-02, 8.868739868263758683e-04
2.093000000000000000e+03, 1.386288804780436479e+00, 3.622404118803963513e-01, 1.493108962908178648e-02, 4.136985281454798602e-01, 1.357151088903255864e+00, 5.333366891680386690e-01, 1.055170840506313157e+00, 1.778442034406708949e-02, 9.310776507139994921e-04
2.094000000000000000e+03, 1.384319711506449391e+00, 3.616031710728855875e-01, 1.543283985933278056e-02, 4.117175184490332596e-01, 1.360033995824428521e+00, 5.324928759680069845e-01, 1.057862617782026504e+00, 1.773991679764190879e-02, 1.041058371875416182e-03
2.095000000000000000e+03, 1.379904301144449397e+00, 3.605433667137284970e-01, 1.595200362168548366e-02, 4.091213323737289964e-01, 1.357616981987676885e+00, 5.314726630219599457e-01, 1.032300363520400666e+00, 1.771851463224872331e-02, 1.061911613341051360e-03
2.096000000000000000e+03, 1.382801044304480254e+00, 3.597563657090488975e-01, 1.584953704358918816e-02, 4.074304382237332045e-01, 1.354634141497715216e+00, 5.305009845919084199e-01, 1.024089217267289742e+00, 1.753537244877369575e-02, 9.817554488904445178e-04
2.097000000000000000e+03, 1.378478726403289389e+00, 3.587502148376305322e-01, 1.576022326103583213e-02, 4.053346597043877009e-01, 1.353936622020933234e+00, 5.295500457269787242e-01, 1.024430892254704295e+00, 1.732029223658322278e-02, 9.255793733872286298e-04
2.098000000000000000e+03, 1.372160634745554830e+00, 3.573657444841226716e-01, 1.563056681949900883e-02, 4.033954506724347633e-01, 1.356377391442251001e+00, 5.286794558775489428e-01, 1.021015734182656898e+00, 1.729032645982178304e-02, 8.915715142086875307e-04
2.099000000000000000e+03, 1.365680459188016282e+00, 3.546812479643491334e-01, 1.555276838956790725e-02, 4.014901555668479727e-01, 1.355696766754741267e+00, 5.278796260440441479e-01, 1.027550666490256726e+00, 1.788854270576425640e-02, 8.666138069432594102e-04
2.100000000000000000e+03, 1.356534546448042056e+00, 3.535519235735186117e-01, 1.547595061093793092e-02, 3.985846375215348347e-01, 1.352377969707682315e+00, 5.105006575665161916e-01, 1.012546281057080888e+00, 1.838829484471572739e-02, 8.658189091507329654e-04
