year, TaiESM1, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5
2.039000000000000000e+03, 6.899930188023633093e+01, 1.349097501072301952e+02, 1.116718299780935411e+02, 1.037601208840292912e+02, 9.460056530734246394e+01, 1.024313483144005659e+02, 5.987026453028847328e+01, 1.026585986417951801e+02, 2.046988497500103676e+02, 3.873782275072644410e+01, 1.216398489016377056e+02, 1.468420755331198393e+02, 2.767318805740865173e+02
2.040000000000000000e+03, 6.889790175655407722e+01, 1.349637070763830025e+02, 1.116612922826745375e+02, 1.039213154778718717e+02, 9.462143193000670749e+01, 1.025378533101459624e+02, 5.990150955203164784e+01, 1.027899430731359445e+02, 2.049269814481169192e+02, 3.879528110329938073e+01, 1.216826497193636669e+02, 1.470285545103281493e+02, 2.766970158695073110e+02
2.041000000000000000e+03, 6.889530518144127313e+01, 1.349977867767060502e+02, 1.116784897269801178e+02, 1.041085560842811049e+02, 9.465390568357950940e+01, 1.026866250816364072e+02, 6.000886109350198439e+01, 1.029016891310815396e+02, 2.052066943231659195e+02, 3.884730400102706227e+01, 1.217265013485709488e+02, 1.471985704025541111e+02, 2.768046639345029689e+02
2.042000000000000000e+03, 6.904959338208324482e+01, 1.350586469047202343e+02, 1.117201541039609509e+02, 1.043359464041039075e+02, 9.469290988107314888e+01, 1.028440209385258441e+02, 6.019944740623719071e+01, 1.029845020503064035e+02, 2.054387922154361661e+02, 3.890470992073057488e+01, 1.217732178196116877e+02, 1.473625221485951613e+02, 2.769385245841809251e+02
2.043000000000000000e+03, 6.912170202427917332e+01, 1.351263447569634764e+02, 1.117713744750334399e+02, 1.045587113965407724e+02, 9.473527863257940851e+01, 1.029083635976995197e+02, 6.030462953771607459e+01, 1.030332878565002375e+02, 2.054995715845155644e+02, 3.895334692922862274e+01, 1.218283309801353624e+02, 1.475188329937903120e+02, 2.771393897771856132e+02
2.044000000000000000e+03, 6.909414156573882337e+01, 1.352165823648238927e+02, 1.117848503683495665e+02, 1.047654520065127173e+02, 9.475465321762406745e+01, 1.029607000924496560e+02, 6.043884375391674979e+01, 1.031180083973450508e+02, 2.055306769588348175e+02, 3.900859324685603013e+01, 1.219021962930381591e+02, 1.476579622393508657e+02, 2.773218996368746048e+02
2.045000000000000000e+03, 6.911907306209636204e+01, 1.352578582364699571e+02, 1.118158031213732784e+02, 1.050106759393176219e+02, 9.476964809831711989e+01, 1.030335928079138483e+02, 6.040654685114873246e+01, 1.032309850895573220e+02, 2.055181180831401662e+02, 3.905971186752583435e+01, 1.219750898125396077e+02, 1.478453185203144358e+02, 2.772377936787440831e+02
2.046000000000000000e+03, 6.904902952361597102e+01, 1.352986237591046006e+02, 1.118700296566023979e+02, 1.052557788967991854e+02, 9.479912841628387810e+01, 1.031081869173639376e+02, 6.041309374397037857e+01, 1.033251548278897616e+02, 2.055662457948992596e+02, 3.911078172962481148e+01, 1.220312218230253762e+02, 1.480474604927204894e+02, 2.771751366271487313e+02
2.047000000000000000e+03, 6.917004488965928033e+01, 1.353147736234165848e+02, 1.119081560920015903e+02, 1.054640009095059838e+02, 9.483308057804380553e+01, 1.031336975762355621e+02, 6.048635994374226499e+01, 1.034022862269446961e+02, 2.054593888216724906e+02, 3.916749669234123843e+01, 1.221052041654672422e+02, 1.482212282215982100e+02, 2.773603922092723906e+02
2.048000000000000000e+03, 6.922867577531313543e+01, 1.353387827112825903e+02, 1.119480206393666322e+02, 1.056834447162332253e+02, 9.485711356889859758e+01, 1.032366935809066888e+02, 6.061847876623652809e+01, 1.034200113388525040e+02, 2.057140027110556559e+02, 3.922508168039898635e+01, 1.221791036234939867e+02, 1.483669619519705236e+02, 2.774980080391984529e+02
2.049000000000000000e+03, 6.923602112109155371e+01, 1.354120754571355008e+02, 1.120097756765537298e+02, 1.059663027948215301e+02, 9.487420700745022373e+01, 1.033451979496513360e+02, 6.073696886843882936e+01, 1.034777687334029395e+02, 2.058772139034187774e+02, 3.927770538560020697e+01, 1.222597280049274957e+02, 1.485413176441392409e+02, 2.776348773626876323e+02
2.050000000000000000e+03, 6.922482789842955242e+01, 1.355165703140690994e+02, 1.120557136342915783e+02, 1.062464185560175594e+02, 9.488815820050585614e+01, 1.034647200036497878e+02, 6.091049989134582177e+01, 1.035858838164228075e+02, 2.060365711321467472e+02, 3.931672789153825676e+01, 1.223452640305656161e+02, 1.487384453592412115e+02, 2.776955585978600425e+02
2.051000000000000000e+03, 6.933309457650334195e+01, 1.356360393474772650e+02, 1.121309540006267440e+02, 1.064829460354910964e+02, 9.490299850948846938e+01, 1.035844415648374479e+02, 6.107385546806674625e+01, 1.037355843408091829e+02, 2.060362168279995387e+02, 3.935604541277781010e+01, 1.224130128409986327e+02, 1.488843782490593810e+02, 2.777441940517680337e+02
2.052000000000000000e+03, 6.939254144826085735e+01, 1.357399458291623944e+02, 1.122103358987212118e+02, 1.067496991885040387e+02, 9.492659030626568040e+01, 1.037052330925800021e+02, 6.115950156096754853e+01, 1.038949775822428450e+02, 2.063062767041224390e+02, 3.940062189425942307e+01, 1.225161507257964644e+02, 1.490381913196347057e+02, 2.778900175323433928e+02
2.053000000000000000e+03, 6.937402353697240187e+01, 1.358075023174887690e+02, 1.122027121977112216e+02, 1.069845989542620543e+02, 9.494230292507198499e+01, 1.037753047986357728e+02, 6.133478834866868112e+01, 1.040398628505163430e+02, 2.063913551678336660e+02, 3.944658690997834327e+01, 1.226209193722912261e+02, 1.491851966983186344e+02, 2.780085873735124551e+02
2.054000000000000000e+03, 6.948191376538505892e+01, 1.358709731023880067e+02, 1.122094566256293717e+02, 1.072224309187244415e+02, 9.495180331754332315e+01, 1.038489441763853449e+02, 6.148215742271649731e+01, 1.041778049529495576e+02, 2.065121863115945189e+02, 3.949976895576651259e+01, 1.227477031125525002e+02, 1.493687448139867513e+02, 2.781008474291837160e+02
2.055000000000000000e+03, 6.960841054930999405e+01, 1.359362879516181408e+02, 1.122642457773033726e+02, 1.074891293585508549e+02, 9.495527797313421559e+01, 1.039457394415489091e+02, 6.161086766956957916e+01, 1.042800538821005176e+02, 2.065696208585756892e+02, 3.954838464295132638e+01, 1.228797447721150604e+02, 1.495668174381945335e+02, 2.780947286104099589e+02
2.056000000000000000e+03, 6.949569149427856019e+01, 1.359772833549478435e+02, 1.123241499150907430e+02, 1.077169673659647771e+02, 9.494268089032472346e+01, 1.040623966006772747e+02, 6.169987353461660717e+01, 1.043403076242731657e+02, 2.067822584280708043e+02, 3.960407573630113376e+01, 1.229978879468096551e+02, 1.497412678593816224e+02, 2.781721914236894690e+02
2.057000000000000000e+03, 6.963451147420632026e+01, 1.360353411027774939e+02, 1.123280354419309219e+02, 1.079399427683547259e+02, 9.491600409381915426e+01, 1.041149106808710627e+02, 6.179147861948145959e+01, 1.043973367569540329e+02, 2.070042173243724903e+02, 3.967085503823999915e+01, 1.231355658598826608e+02, 1.499334273504213968e+02, 2.782735425903279634e+02
2.058000000000000000e+03, 6.967632166485019241e+01, 1.360953613576155306e+02, 1.123647174735493763e+02, 1.081659516612797347e+02, 9.486774463612233887e+01, 1.041413545896297279e+02, 6.195342944330980117e+01, 1.044118494680786711e+02, 2.072338967955945179e+02, 3.974098937796151176e+01, 1.232877750706228710e+02, 1.501090503362427455e+02, 2.783184654776007960e+02
