year, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, UKESM1-0-LL, INM-CM5-0, CESM2-WACCM
2.035000000000000000e+03, 1.374217877253654629e+00, 2.866119490452568197e+00, 1.024355262144598600e+00, 2.535666726925160042e+00, 2.862298091904847741e+00, 1.325076306092163758e+00, 1.161797943275210576e+00, 2.324855127741016325e+00, 1.617273385545643372e+00, 9.402135132707994947e-01, 1.208592281317625527e+00, 1.694774436035953569e+00, 1.016164062146057034e+00, 2.395395489321923588e+00, 1.162420869988727068e+00, 2.427420163805549258e+00
2.036000000000000000e+03, 1.377928246545372604e+00, 2.537433105494363073e+00, 1.045276711146077453e+00, 2.539870500998812286e+00, 3.083724233629496325e+00, 1.315661926617385680e+00, 1.176069181257785701e+00, 2.351720024971392320e+00, 1.642974442005353808e+00, 9.578034487103763706e-01, 1.095468645891368720e+00, 1.770975133282661762e+00, 1.034385686219133627e+00, 2.430323099328267844e+00, 1.177359313497100990e+00, 2.412677318654748326e+00
2.037000000000000000e+03, 1.350348303325411115e+00, 2.723268006969239430e+00, 1.043812534686637150e+00, 2.676148033828306794e+00, 3.172403822068196266e+00, 1.320125665273675697e+00, 1.159993296682418018e+00, 2.376800619412098303e+00, 1.698051526145843981e+00, 9.658207617993981309e-01, 1.214636369591274745e+00, 1.766033680206331669e+00, 1.022876159636128657e+00, 2.385598890693791940e+00, 1.182350468053952053e+00, 2.368140247711242097e+00
2.038000000000000000e+03, 1.344346808395319393e+00, 2.934324545934742012e+00, 1.038094511130976505e+00, 2.596540457137894720e+00, 3.065500382853585837e+00, 1.338775051473991118e+00, 1.170534647113112614e+00, 2.355089490219347326e+00, 1.699419296908275090e+00, 9.842120765017088324e-01, 1.206047709563178749e+00, 1.760340094912820064e+00, 1.013897840517395510e+00, 2.385749982836850691e+00, 1.196243750225045144e+00, 2.381534474865147466e+00
2.039000000000000000e+03, 1.339878764755329188e+00, 3.214628023934135825e+00, 1.084893392035642501e+00, 2.590711069363602181e+00, 2.815266671542706600e+00, 1.337144071682572655e+00, 1.163484128477860313e+00, 2.356899807556790183e+00, 1.650853741559035859e+00, 9.938823872437509976e-01, 1.181387285311329638e+00, 1.765324669296084226e+00, 1.036760805400174013e+00, 2.386874193906558972e+00, 1.139429248074878664e+00, 2.390577817741740496e+00
2.040000000000000000e+03, 1.351220087623902666e+00, 3.062121348826420508e+00, 1.065356066786420586e+00, 2.583018588050889353e+00, 2.889833499341921019e+00, 1.336559428372174452e+00, 1.142708256704475955e+00, 2.331854861176238636e+00, 1.718563351035189424e+00, 9.939170317273268163e-01, 1.129038136740191156e+00, 1.785414823990880029e+00, 1.078764253332000100e+00, 2.411391597810699672e+00, 1.190107952292746019e+00, 2.515627198266715325e+00
2.041000000000000000e+03, 1.343581757533434784e+00, 2.937510007717548888e+00, 1.074182525303277069e+00, 2.491231362301669972e+00, 3.094081833091387068e+00, 1.335444619567478064e+00, 1.175233604474762439e+00, 2.341935470430101862e+00, 1.754216981061059943e+00, 1.005612489300029555e+00, 1.241432392761581571e+00, 1.796284952462195550e+00, 1.052063246076640812e+00, 2.361621001533884545e+00, 1.187610795341938807e+00, 2.528920016968575268e+00
2.042000000000000000e+03, 1.364017702542578814e+00, 2.900128238703369554e+00, 1.102860097578545640e+00, 2.545309809326827377e+00, 3.053112495991527453e+00, 1.344557386114217490e+00, 1.155467756227589904e+00, 2.445395955702575286e+00, 1.723900426886693316e+00, 9.942379100046335738e-01, 1.244871647792223701e+00, 1.878600929600340752e+00, 1.027990128930832414e+00, 2.396198672452310330e+00, 1.162724437665337840e+00, 2.482301357551505383e+00
2.043000000000000000e+03, 1.361961753392794350e+00, 2.942331532990034582e+00, 1.098312498490616074e+00, 2.597887147583906486e+00, 2.925614141200872265e+00, 1.358426602639885683e+00, 1.193537185383702681e+00, 2.406123169217254887e+00, 1.757100831385496775e+00, 9.966916970089028105e-01, 1.288445209815280545e+00, 1.819294400646041199e+00, 1.013110685368592057e+00, 2.440032931802650129e+00, 1.198115160475640151e+00, 2.504434072169865910e+00
2.044000000000000000e+03, 1.346435940347319837e+00, 3.009234832094845213e+00, 1.089742511265023417e+00, 2.676574186645391151e+00, 2.935362573803592667e+00, 1.337832208547506729e+00, 1.141609026955712869e+00, 2.434284770304528056e+00, 1.701667370006156865e+00, 9.817887645704156396e-01, 1.234856238761131042e+00, 1.886631013856006511e+00, 1.052781079817898924e+00, 2.435855058013117524e+00, 1.178387531346474448e+00, 2.578272832283011962e+00
