year, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
2.042000000000000000e+03, 1.500447613491723833e-10, 2.869486492299232432e-10, 2.461528403506818853e-10, 2.025098909851181182e-10, 2.886810873259887702e-10, 3.951260519255843818e-10, 3.969006454075438469e-10, 1.500447613491723833e-10, 2.461528403506818853e-10, 3.630838007271055857e-10, 2.057675991413789646e-10, 2.869486492299232432e-10
2.043000000000000000e+03, 1.317847970655979359e-10, 3.073892301140008357e-10, 3.451212268687309446e-10, 2.467915310268396522e-10, 1.685531572871693292e-10, 4.410622414760591101e-10, 4.428370113683411026e-10, 1.317847970655979359e-10, 3.451212268687309446e-10, 2.972322026981826575e-10, 2.500277248869047260e-10, 3.073892301140008357e-10
2.044000000000000000e+03, 2.122544972775773813e-10, 5.004443609727345855e-10, 4.241830375422853321e-10, 2.463118854806503778e-10, 3.989581466013293770e-10, 5.235891370162590727e-10, 5.254023461235663208e-10, 2.122544972775773813e-10, 4.241830375422853321e-10, 1.744889498840881222e-10, 1.710977241054420960e-10, 5.004443609727345855e-10
2.045000000000000000e+03, 1.197468389397436059e-10, 6.670964609507334277e-10, 3.013925198939041989e-10, 3.609293750926633271e-10, 2.024586560124446909e-10, 4.105954484348593608e-10, 4.124023735207613632e-10, 1.197468389397436059e-10, 3.013925198939041989e-10, 3.161441348270339190e-10, 4.149886496877132779e-10, 6.670964609507334277e-10
2.046000000000000000e+03, 1.485196338145389238e-10, 4.651853015844110837e-10, 3.067696573168951868e-10, 2.193345068377483719e-10, 2.668137104041004929e-10, 3.700194044612607482e-10, 3.717935997677355682e-10, 1.485196338145389238e-10, 3.067696573168951868e-10, 2.442934398339760226e-10, 1.808097716941381211e-10, 4.651853015844110837e-10
2.047000000000000000e+03, 1.525264179644429199e-10, 4.826216435547146938e-10, 2.166822158734872050e-10, 2.657630318133371441e-10, 3.659531964557057648e-10, 5.290714865795867983e-10, 5.308389965023195031e-10, 1.525264179644429199e-10, 2.166822158734872050e-10, 2.301305281432355050e-10, 5.407783482962947209e-10, 4.826216435547146938e-10
2.048000000000000000e+03, 1.310627263009450518e-10, 4.406332083199330383e-10, 2.177126091556719443e-10, 2.275666508384644813e-10, 3.718686985628916398e-10, 6.685682490746950445e-10, 6.703490790392344775e-10, 1.310627263009450518e-10, 2.177126091556719443e-10, 2.111758240926368173e-10, 7.038107095505738838e-10, 4.406332083199330383e-10
2.049000000000000000e+03, 7.631363549716054844e-11, 6.041011459661663378e-10, 2.909335256406162128e-10, 2.370764009721003422e-10, 1.759025148149578543e-10, 5.701143877625997161e-10, 5.719631035741206754e-10, 7.631363549716054844e-11, 2.909335256406162128e-10, 2.054138402679972756e-10, 3.872296085933814730e-10, 6.041011459661663378e-10
2.050000000000000000e+03, 1.901759006839208350e-10, 4.784195824527303911e-10, 3.981359808865923048e-10, 3.064255222114624505e-10, 3.137428463864616728e-10, 4.321908344153286643e-10, 4.339416997974635623e-10, 1.901759006839208350e-10, 3.981359808865923048e-10, 3.910078698962991588e-10, 3.725502236849757040e-10, 4.784195824527303911e-10
2.051000000000000000e+03, 1.752616657397091538e-10, 2.952884930425463948e-10, 4.005836078542716008e-10, 3.226729763138405392e-10, 1.883141407676448364e-10, 5.203376081103734996e-10, 5.219992239683335341e-10, 1.752616657397091538e-10, 4.005836078542716008e-10, 4.049443277955478524e-10, 3.558200958255349646e-10, 2.952884930425463948e-10
2.052000000000000000e+03, 1.648443228570417261e-10, 3.740797539705283456e-10, 3.816606884914352268e-10, 3.176953256595108518e-10, 1.920162467682308276e-10, 3.812075876346668401e-10, 3.828087047640440577e-10, 1.648443228570417261e-10, 3.816606884914352268e-10, 2.437163895127700525e-10, 1.881495146180609866e-10, 3.740797539705283456e-10
2.053000000000000000e+03, 1.539442149690710421e-10, 4.786858992506461894e-10, 7.542925667029363091e-10, 2.333422273719259605e-10, 2.443925579908499984e-10, 5.549975466086140733e-10, 5.567004644743328771e-10, 1.539442149690710421e-10, 7.542925667029363091e-10, 2.653182605865352884e-10, 2.492427037374080706e-10, 4.786858992506461894e-10
