year, TaiESM1, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, GFDL-ESM4, EC-Earth3-Veg, CMCC-CM2-SR5
2.065000000000000000e+03, 5.315422101420230305e+00, 6.230822577847335175e+00, 6.458727064522781447e+00, 4.635358574179972102e+00, 7.886700162612517495e+00, 7.413912160920535399e+00, 7.064345963337286705e+00, 6.074100972341685001e+00, 7.336691905440088313e+00, 6.174704330481264769e+00, 3.725980035024777148e+00, 5.137501923352826516e+00, 6.299936079113378717e+00, 5.011955842826584906e+00, 5.580905813281598959e+00, 6.014960880279476285e+00
2.066000000000000000e+03, 5.289768646569003252e+00, 6.133624340534241881e+00, 6.148380737922851225e+00, 4.692814433178594591e+00, 7.628142708624120694e+00, 7.376063954367426234e+00, 7.149596085714044591e+00, 6.300963541528539658e+00, 7.372673697590059305e+00, 6.349658780085891685e+00, 3.921583633964389470e+00, 5.257235299187930977e+00, 6.113673430062893210e+00, 5.123867600234593311e+00, 5.487617880759050770e+00, 5.707954823011001544e+00
2.067000000000000000e+03, 5.453378664386392849e+00, 6.360399072746913518e+00, 6.261162742483850963e+00, 4.617582355213520451e+00, 7.915078643440975448e+00, 7.406045914288217347e+00, 7.088897731205063835e+00, 6.370749963883826972e+00, 7.306233473292732761e+00, 6.382476381659675901e+00, 3.854077904447531289e+00, 5.116289780265210752e+00, 6.424658183999910399e+00, 5.039737037545087617e+00, 5.406041829625118034e+00, 5.674491866418686747e+00
2.068000000000000000e+03, 5.465056453013498405e+00, 6.364948222188242077e+00, 6.234669246843313140e+00, 4.675344377685892283e+00, 7.703178485859472069e+00, 7.381348072140681893e+00, 7.203426186105024165e+00, 6.016675297386663956e+00, 7.421976542310158464e+00, 6.255491194129455756e+00, 3.781389589730964840e+00, 5.223794142736557511e+00, 6.558390244817601911e+00, 5.060722073861855463e+00, 5.549447153659092358e+00, 5.341389589249802228e+00
2.069000000000000000e+03, 5.225690394349408407e+00, 6.430335512068877435e+00, 5.877892794600843018e+00, 4.608557885820134814e+00, 7.772145755672132061e+00, 7.416367681878849538e+00, 7.376770876583481851e+00, 6.237383831107637278e+00, 7.398495009379063347e+00, 6.125829445161927289e+00, 3.876291288162768023e+00, 5.116218903337991897e+00, 6.665169448937790619e+00, 5.383022026348681877e+00, 5.923783756865435457e+00, 6.523584506798824734e+00
2.070000000000000000e+03, 5.208764848421642668e+00, 6.335158500116781610e+00, 6.239421954689264638e+00, 4.652799680048213204e+00, 8.015510817367161422e+00, 7.322106873294025320e+00, 7.265776791938759693e+00, 6.482652744133816647e+00, 7.428622506099588740e+00, 6.344459257116455753e+00, 4.008196755079480589e+00, 5.183168590450604185e+00, 6.164323907287227122e+00, 5.088537378891280660e+00, 5.448229431853068405e+00, 6.260098470941606763e+00
2.071000000000000000e+03, 5.388484864711151623e+00, 6.076529468449465732e+00, 6.176997879740450337e+00, 4.592136879749024736e+00, 7.910136324050778711e+00, 7.587103592802248997e+00, 7.399634408555638032e+00, 6.482607450798125726e+00, 7.759016455882227881e+00, 6.354180089500355066e+00, 3.799037951997350948e+00, 4.927949950169638882e+00, 6.091530894231520499e+00, 5.427113580010632710e+00, 5.770328357248786233e+00, 5.792280069315022928e+00
2.072000000000000000e+03, 5.311215664376460310e+00, 6.184163699343256049e+00, 6.207877829870628084e+00, 4.634188540901281961e+00, 7.799376819927696936e+00, 7.525469731258698225e+00, 7.527205477838426084e+00, 6.142372439713934540e+00, 7.267583208624380120e+00, 6.541558659899888717e+00, 3.937223287792278814e+00, 5.014004995521851527e+00, 6.221745661939801941e+00, 5.257466457317212516e+00, 5.151332618829026266e+00, 5.541976156395312714e+00
2.073000000000000000e+03, 5.539977503932004943e+00, 6.473617866153916545e+00, 6.302616050897105637e+00, 4.626918691947432549e+00, 8.326626863123340883e+00, 7.655376643272216342e+00, 7.449858908810700342e+00, 6.509279586220215741e+00, 7.726409851939554763e+00, 6.415051545891341078e+00, 3.943169542454602272e+00, 5.097888106837701550e+00, 6.504502974231434642e+00, 5.326370726397159139e+00, 5.800217812621023761e+00, 6.155030195275260851e+00
2.074000000000000000e+03, 5.466506237943615787e+00, 6.722695898684251326e+00, 6.506274436602239142e+00, 4.620616969070430180e+00, 7.855319833254940320e+00, 7.699044046688962695e+00, 7.438320643899706930e+00, 6.766301247712354971e+00, 7.737831486894771515e+00, 6.803618436394192059e+00, 3.859584948725378162e+00, 4.999036221998423457e+00, 6.620627814058110516e+00, 5.408799588499054067e+00, 5.735493495426602806e+00, 5.742338494870878662e+00
