year, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2
2.053000000000000000e+03, 1.600997684747347897e-09, 1.654066125732997272e-09, 1.488217274557991920e-09, 1.395401635779810981e-09, 2.253805007678944847e-09, 1.513436288613966977e-09, -7.898182057237166907e-10
2.054000000000000000e+03, 1.901568618503204827e-09, 1.506550877645961772e-09, 1.910841554344571850e-09, 7.968202499175354922e-10, 1.657095858449943727e-09, 1.265149963805073156e-09, -1.620736602137334491e-10
2.055000000000000000e+03, 5.428892396678820205e-10, 1.885648686611815017e-09, 6.184344347084239118e-10, 1.548127614010651387e-09, 1.943277627702135606e-09, 1.638983301730077489e-09, -6.320196069111661190e-10
2.056000000000000000e+03, 1.269984340365121132e-09, 2.190348894290768859e-09, 5.787091310115204094e-10, 1.341065627009305929e-09, 1.747030399330650657e-09, 1.483885019703474440e-09, -2.792876709614968934e-09
2.057000000000000000e+03, 2.000276892179396381e-09, 1.336723058056866399e-09, 1.659394956764470382e-09, 1.440915811146728106e-09, 2.032924631041184432e-09, 1.667341385309057859e-09, -1.812847910478480760e-09
2.058000000000000000e+03, 2.082806286338674425e-09, 2.194207602517407226e-09, 1.101433945232202716e-09, 1.240951911577740074e-09, 1.599591003940909050e-09, 1.545816641415890087e-09, -1.178252858665739331e-09
2.059000000000000000e+03, 1.859382272909557578e-09, 1.770597163433633372e-09, 1.509277643927030255e-09, 1.287539475636768309e-09, 6.372108492962279901e-10, 2.006019799353757707e-09, 1.707598642416487306e-10
2.060000000000000000e+03, 2.425998241475138189e-09, 1.675756891220560014e-09, 7.674100666598868124e-10, 1.338729908861488457e-09, 1.465194460715090400e-09, 1.853962198399921422e-09, -1.663870823015418988e-09
2.061000000000000000e+03, 1.114096089101114682e-09, 1.937465254792994316e-09, 8.748091837197033827e-10, 1.039705726852430246e-09, 1.537490356657504782e-09, 1.644822524770410739e-09, -2.831298237435706964e-09
2.062000000000000000e+03, 1.517265832995837773e-09, 1.917334172255523629e-09, 1.288944466220073034e-09, 1.910864225449065869e-09, 1.440978110507967663e-09, 1.818379879253616491e-09, -1.313655243628723146e-09
2.063000000000000000e+03, 1.477732127310735947e-09, 2.170052537959333963e-09, 8.807380837479166110e-10, 1.674575163705543912e-09, 1.126706651175963280e-09, 1.850524803618183348e-09, 1.108036891750782808e-09
2.064000000000000000e+03, 1.902023415906184660e-09, 1.562938469745794980e-09, 1.399846353663777894e-09, 7.075522574621749723e-10, 1.446189610841576519e-09, 2.309678676082987687e-09, -2.508541480863869878e-09
2.065000000000000000e+03, 1.585520176650746833e-09, 1.965867150700875796e-09, 1.482626215500216662e-09, 1.430326059970366035e-09, 1.400777679156292319e-09, 2.279892231462521787e-09, -2.632251651288239911e-09
2.066000000000000000e+03, 9.874814072543824690e-10, 2.582993792369059459e-09, 6.381385471749643651e-10, 1.315664088332076533e-09, 1.530745696267945110e-09, 1.732947612248086654e-09, -8.348054220943853317e-10
2.067000000000000000e+03, 1.629154575581158398e-09, 1.936018021933403542e-09, 1.413504618573657143e-09, 1.760432913726592203e-09, 1.350289473656782696e-09, 1.774509364856690412e-09, -3.088031960354186000e-10
2.068000000000000000e+03, 1.239837222673544473e-09, 2.237585275777166447e-09, 1.676937556694550589e-09, 1.702746091913189443e-09, 8.166353933371086247e-10, 2.048926253439536018e-09, -1.713213000829630201e-10
2.069000000000000000e+03, 1.553558309276491462e-09, 1.968518289828023954e-09, 1.227628959454989046e-09, 9.708752805779259956e-10, 1.333084395514575149e-09, 2.272835163132999643e-09, -2.401343646670442760e-09
2.070000000000000000e+03, 9.911320258013685379e-10, 1.819486830518260741e-09, 1.205064783960295893e-09, 1.382496126051442448e-09, 1.804162734273448789e-09, 1.539039989155510684e-09, -1.309319331018048916e-09
2.071000000000000000e+03, 2.371592452313362817e-09, 2.095599652736684843e-09, -8.670128978279261076e-11, 1.719461468619155049e-09, 1.291609950371205400e-09, 1.732745645741698295e-09, -2.975262980396402693e-09
2.072000000000000000e+03, 1.022737028313289737e-09, 2.067872351509939356e-09, 6.718640074503685528e-10, 9.886927903694644032e-10, 8.027752674662841740e-10, 1.270455765064283751e-09, -1.857372982628574491e-10
2.073000000000000000e+03, 1.539559150386423362e-09, 1.961335079728866920e-09, 9.775205564104604479e-10, 7.667191348957338721e-10, 1.794135832310427745e-09, 2.175571225310099820e-09, -1.039132597142660611e-09
2.074000000000000000e+03, 2.031947948338456745e-09, 1.427247767440340053e-09, 1.780005111572020638e-09, 1.670230622481666744e-09, 2.049212157803232361e-09, 2.099214164776504149e-09, -2.798968562763218342e-10
2.075000000000000000e+03, 1.760232784184193668e-09, 2.412654719059554655e-09, 2.177849840853907120e-10, 7.121915250959590191e-10, 9.801756101082230453e-10, 2.480228483766815153e-09, -1.990568161817637740e-09
2.076000000000000000e+03, 1.018793134988951515e-09, 2.264775850087026050e-09, 1.322963832374729091e-09, 7.206910931017913459e-10, 8.499239071583787312e-10, 2.397760755128646802e-09, -2.669516888682493295e-09
2.077000000000000000e+03, 2.284899523984104017e-09, 1.902202301615741213e-09, 1.063640782043989164e-09, 2.072544119246900970e-09, 7.939486607870319129e-10, 1.865706892162544766e-09, -2.261544869852515775e-10
2.078000000000000000e+03, 1.605294063268187951e-09, 1.981801694109472370e-09, 5.205292679945378440e-10, 9.848659639844046505e-10, 1.446764652207944312e-09, 2.422553555488461205e-09, 2.429791037430186331e-10
2.079000000000000000e+03, 1.057768803757297314e-09, 2.561208605726456049e-09, 1.256154212327181444e-09, 1.526211881898095106e-09, 1.330523022599081394e-09, 3.030887491783062516e-09, -3.230823612859425206e-09
2.080000000000000000e+03, 1.319003135915204522e-09, 2.438813552521234588e-09, 6.347591927740771547e-10, 1.518535839553969209e-09, 1.260509933085921064e-09, 1.960643041025865530e-09, -1.423285134919334891e-09
2.081000000000000000e+03, 2.032608854016163830e-09, 2.368766703449424283e-09, 2.342387275352713715e-10, 1.349055944841992913e-09, 1.263200094824725443e-09, 2.870316413486434763e-09, -1.545869326647964172e-09
2.082000000000000000e+03, 1.193004529226736087e-09, 1.643916950982619332e-09, 1.355027751845012015e-09, 1.187248979817692718e-09, 1.409827223378707620e-09, 2.262209175026890746e-09, 3.570013360169688385e-10
2.083000000000000000e+03, 1.678886386350700023e-09, 2.296115372276583832e-09, 4.840858575775651739e-10, 1.973656657437086748e-09, 2.022443329216451556e-09, 1.788806985604631659e-09, -7.144837465791156368e-10
2.084000000000000000e+03, 1.514628941667724332e-09, 1.718329849453559890e-09, 7.218448004395279410e-10, 9.610651329846180831e-10, 1.628565009862419178e-09, 2.984715390622914095e-09, -2.808638483336101077e-09
2.085000000000000000e+03, 1.100159258125985787e-09, 2.332158389630231244e-09, 2.474255667513207364e-10, 1.843983783055693444e-09, 1.307821126650955707e-10, 2.109596752495548934e-09, -1.559615780605414996e-09
2.086000000000000000e+03, 1.272680681284660629e-09, 2.518520909489153339e-09, 2.059012480043214801e-10, -4.379394341282566917e-10, 1.752005977227726420e-09, 2.246720782240912136e-09, -1.656489684173165643e-09
2.087000000000000000e+03, 2.293849835347427110e-09, 2.753032818711494250e-09, 7.040373782787248191e-10, 1.666070547023366357e-09, 8.285071869521316026e-10, 2.486079597962448222e-09, -1.059290407129806665e-09
2.088000000000000000e+03, 1.388357321574783353e-09, 2.038552898445351521e-09, 1.212513712487785570e-09, 1.563788046463026400e-09, 1.325135837098150854e-09, 1.821918490749983719e-09, -9.693288577903885053e-10
2.089000000000000000e+03, 1.032742783324195143e-09, 2.260658808791020735e-09, 1.009910520861387964e-09, 7.492641708382749877e-10, 9.748578041228431257e-10, 2.401003111086533871e-09, -7.538824674038714457e-10
2.090000000000000000e+03, 1.230434347940653629e-09, 2.171866087926130428e-09, 7.609823428185038628e-10, 8.742699092610600512e-10, 7.756158024084131373e-10, 1.273456403383776637e-09, -9.179228661067402733e-10
2.091000000000000000e+03, 1.009962983321551746e-09, 2.251936163301843448e-09, 6.556489090388786933e-10, 1.713073506300240356e-10, 1.901184593781301715e-09, 2.618410850647419087e-09, -1.228763206125330122e-09
2.092000000000000000e+03, 4.106768030026642131e-10, 1.446158478677641310e-09, 1.023831285294670898e-09, 1.778736542003193107e-09, 9.088396531746870641e-10, 1.780317936737290542e-09, -1.925767388365094699e-09
2.093000000000000000e+03, 1.213278243221299168e-09, 2.256347649894682997e-09, 5.182244708953138804e-10, 1.044609812598963388e-09, 3.317451547076844976e-10, 2.307006687738304383e-09, -1.718600677610899235e-10
2.094000000000000000e+03, 1.821183053133867069e-09, 2.473264255789492020e-09, 9.834649891377735356e-10, 4.149743674110798746e-10, 2.159418991660851514e-09, 2.280832932141143672e-09, -5.627672545541683495e-10
2.095000000000000000e+03, 7.669588779840779030e-10, 2.553183307814887979e-09, 1.150377271098748919e-09, 6.769066609994617607e-10, 1.701035931056086320e-09, 2.408513498092333188e-09, -1.292488510294542815e-09
2.096000000000000000e+03, 2.172521209541160508e-09, 2.436563877048684536e-09, 1.302784031910254599e-09, 1.860554644594484283e-09, 1.555504447632893044e-09, 3.079944478739684165e-09, -1.442735059982176161e-09
2.097000000000000000e+03, 7.375086074195010271e-11, 2.005605761855571873e-09, 1.200190572280050178e-09, 1.075698264113043328e-09, -4.816640100542558575e-10, 3.401910307725282088e-09, -4.206544967683344153e-10
2.098000000000000000e+03, 1.936978193131701319e-09, 2.241806744845876412e-09, 4.231165697725164967e-10, 1.678227967806162083e-09, 1.311772781093617232e-09, 3.029673977234978703e-09, -3.021867266039423521e-10
2.099000000000000000e+03, 1.539148666077495344e-09, 2.253041832076408204e-09, 1.171142921413846190e-09, 9.253201251309787810e-10, 1.111534796051291908e-09, 2.584999525600321698e-09, -2.071046887223463015e-09
2.100000000000000000e+03, 1.726302094672894167e-09, 1.942828295781785721e-09, 8.836580906356530400e-10, 1.264214270701295839e-09, 5.289605668135951842e-10, 2.929352379741857068e-09, -1.780255795108109814e-09
