year, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR
2.040000000000000000e+03, 2.143372660427927334e-10, 1.187582704040132485e-09, 1.001578992531124303e-09, 1.594806733229404188e-11, 5.410755323108019740e-11, 1.195128182600522408e-09, 2.793165207254859414e-12, 6.610440013347015761e-10
2.041000000000000000e+03, 2.129766699510502959e-10, 1.163103676690191152e-09, 9.979339751233490816e-10, 1.372135971290329078e-11, 7.200698548121997586e-11, 1.273998446982107292e-09, 2.380043610209649662e-12, 6.488763993477296510e-10
2.042000000000000000e+03, 2.117057381889283300e-10, 1.169999859250743409e-09, 9.899017403354781525e-10, 1.330237138482036738e-11, 6.125546677772919343e-11, 1.243632402135223768e-09, 2.333002287359273437e-12, 6.506128244357665188e-10
2.043000000000000000e+03, 2.103998516899929824e-10, 1.184907789469232606e-09, 9.803670150863616228e-10, 1.304322285327661454e-11, 7.367537421229262418e-11, 1.262544156751266950e-09, 2.547306827739125560e-12, 6.487099363660630836e-10
2.044000000000000000e+03, 2.090617289946315036e-10, 1.176732106241170135e-09, 9.772650295250323390e-10, 8.808229791365517794e-12, 6.090287802495248312e-11, 1.166579004135084577e-09, 2.691188644981428171e-12, 6.442908616604873871e-10
2.045000000000000000e+03, 2.080330993130884467e-10, 1.157692300400722757e-09, 9.773614290736383482e-10, 8.432741726744273959e-12, 7.197693446833364330e-11, 1.172352780521894063e-09, 2.581621766247292831e-12, 6.345159243238110138e-10
2.046000000000000000e+03, 2.072945215465199187e-10, 1.155870578371016221e-09, 9.768460578021298457e-10, 8.269226313724007372e-12, 6.233439795059580941e-11, 1.186740352919116128e-09, 2.480662310785311313e-12, 6.255916745342485364e-10
2.047000000000000000e+03, 2.064541104275220467e-10, 1.184564675579899242e-09, 9.793938504625747562e-10, 8.006514932747960475e-12, 7.203867574554576541e-11, 1.218475111863202872e-09, 2.511838849732231044e-12, 6.273026256985623035e-10
2.048000000000000000e+03, 2.055085442518002757e-10, 1.202193881072736289e-09, 9.730708919775012603e-10, 7.729785130740250493e-12, 6.078690368434069262e-11, 1.172245338974431164e-09, 2.538274579857221988e-12, 6.225253700677466841e-10
2.049000000000000000e+03, 2.044927112521223024e-10, 1.188971666071356009e-09, 9.520485368857668872e-10, 6.322967181953782729e-12, 6.984149456495696322e-11, 1.092926873104332722e-09, 2.534046501084381772e-12, 6.162343033647793188e-10
2.050000000000000000e+03, 2.034705942108296651e-10, 1.179305945444689779e-09, 9.414078271315235548e-10, 3.491044613933325351e-12, 6.113131900811590066e-11, 1.205639405826478256e-09, 2.445961279747517640e-12, 6.239800175001347017e-10
2.051000000000000000e+03, 2.012573505286859164e-10, 1.172362190499166388e-09, 9.366860971142768249e-10, 3.392340283772051901e-12, 7.022360340157767589e-11, 1.148035896737303775e-09, 2.243741607006376505e-12, 6.170628194923373239e-10
2.052000000000000000e+03, 1.981899341122240494e-10, 1.181236420077311116e-09, 9.271492511148893503e-10, 3.366454535122407717e-12, 6.010573048172061435e-11, 1.149255739392899957e-09, 1.965311420847584272e-12, 6.152618318040295143e-10
2.053000000000000000e+03, 1.955868638053783791e-10, 1.197528866730823019e-09, 9.229523719783267325e-10, 3.300992060532658382e-12, 6.969466773397473459e-11, 1.148138026239872723e-09, 1.726226172016032394e-12, 6.163866051725891170e-10
2.054000000000000000e+03, 1.933746695097970990e-10, 1.221918930212363366e-09, 9.243772564978141307e-10, 3.217630414270354049e-12, 6.025003699505931553e-11, 1.185484081394343310e-09, 1.760054609147108200e-12, 6.109925336122666914e-10
2.055000000000000000e+03, 1.914465446449300962e-10, 1.195625716302868375e-09, 9.273275523292389513e-10, 3.099877602802755843e-12, 7.265742977431784539e-11, 1.162896648063568070e-09, 1.825558315550511220e-12, 6.005465615261177680e-10
2.056000000000000000e+03, 1.897432699936963889e-10, 1.189427036800787933e-09, 9.294204787514759689e-10, 3.053349935880593693e-12, 6.574340780271503296e-11, 1.156026924242258967e-09, 1.705428565650399064e-12, 5.861891132746065076e-10
2.057000000000000000e+03, 1.882373584677443484e-10, 1.264025925888200249e-09, 9.317404346852243840e-10, 2.980720127471846616e-12, 7.156045654401791042e-11, 1.188198032093584209e-09, 1.683249732133404224e-12, 5.911432795588270656e-10
2.058000000000000000e+03, 1.865591464846184812e-10, 1.267349895162774483e-09, 9.330749350681190743e-10, 2.829548370003040760e-12, 6.233460958395015446e-11, 1.134405278432646677e-09, 1.577621908832136559e-12, 5.963795660408485903e-10
2.059000000000000000e+03, 1.847428677648621248e-10, 1.240846344233117818e-09, 9.230472923345066133e-10, 2.732987480731659881e-12, 6.934956399342980001e-11, 1.149877485254829147e-09, 1.448972973016818260e-12, 6.007741184692134939e-10
2.060000000000000000e+03, 1.831193723475444930e-10, 1.236561389687335558e-09, 9.140382841013941930e-10, 2.691212093701597815e-12, 6.165468452434322886e-11, 1.104980548832380605e-09, 1.359810859038208072e-12, 6.012445506753869594e-10
2.061000000000000000e+03, 1.818564802702583268e-10, 1.244069589063596246e-09, 9.114150434070530005e-10, 2.567122996626104953e-12, 6.740672287815358632e-11, 1.115543973681209077e-09, 1.272700746148114175e-12, 5.967258612347926051e-10
2.062000000000000000e+03, 1.807378342495002564e-10, 1.257704398979926934e-09, 9.118445769649272585e-10, 2.516908746017333066e-12, 5.745443876531460057e-11, 1.104422941139266618e-09, 1.309776048448869987e-12, 5.885528135315183842e-10
2.063000000000000000e+03, 1.795094027158514204e-10, 1.275946837967874808e-09, 9.108080683901187229e-10, 2.465630262345868561e-12, 6.466953128605912987e-11, 1.086037348118297167e-09, 1.388493828426540415e-12, 5.816195277887875887e-10
2.064000000000000000e+03, 1.782826688578517388e-10, 1.314060306707470277e-09, 9.067307052928700871e-10, 2.433938478465896415e-12, 5.542329024277575870e-11, 1.069871071149636872e-09, 1.237804213785452046e-12, 5.780045127592382600e-10
2.065000000000000000e+03, 1.770021447509014605e-10, 1.287205846375361831e-09, 9.061607197167515451e-10, 2.394701373720074389e-12, 6.337742702818440825e-11, 1.061422523180202673e-09, 1.220595341530546792e-12, 5.699897536538961686e-10
2.066000000000000000e+03, 1.757698487484575949e-10, 1.235910412870301104e-09, 9.129494490224835157e-10, 2.339984052842231972e-12, 6.049710632370301351e-11, 1.106360552712961602e-09, 1.310240422642953007e-12, 5.646181789832229935e-10
2.067000000000000000e+03, 1.745850490902320599e-10, 1.273644125168301094e-09, 9.185173660825178218e-10, 2.322872535263910304e-12, 6.479608396052987486e-11, 1.115106711242627024e-09, 1.378944970007340602e-12, 5.662457164899855717e-10
2.068000000000000000e+03, 1.736748027622536547e-10, 1.319143994319234872e-09, 9.137109920450400828e-10, 2.248166018058467340e-12, 5.539488564986806789e-11, 1.059414418640890356e-09, 1.422390573842970909e-12, 5.637251889092107333e-10
2.069000000000000000e+03, 1.729278550231272722e-10, 1.313501051536502864e-09, 9.040453438820588266e-10, 2.188410660923650571e-12, 6.207680695859356704e-11, 1.076924819354623145e-09, 1.379739851256008581e-12, 5.670313996180720860e-10
2.070000000000000000e+03, 1.718349764490423297e-10, 1.327113321118084198e-09, 9.005780082461400446e-10, 2.106045098163846344e-12, 5.468725196414036738e-11, 1.145761335806867572e-09, 1.419864411484838850e-12, 5.651719112636154267e-10
2.071000000000000000e+03, 1.705228694506107663e-10, 1.362470201918001277e-09, 9.053240260166241772e-10, 2.053074920569007393e-12, 8.732187837413371387e-11, 9.993474748189252928e-10, 1.416918619477752932e-12, 5.617285857088497239e-10
