year, CESM2-WACCM, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR, GFDL-ESM4
2.035000000000000000e+03, 9.668032228735024916e-10, 1.976245602377141634e-09, 2.190783236831992828e-10, 7.071954942906904423e-10, 1.897527221976012200e-10, 1.161026488658355387e-09, 1.445840497241095505e-10, 6.545083743018190788e-10, 3.095551084565227461e-10
2.036000000000000000e+03, 1.002471375323804997e-09, 2.033823217271913037e-09, 2.164666785997407228e-10, 7.091343927750563564e-10, 1.885084046119489279e-10, 1.204883124810832524e-09, 1.442618647062709936e-10, 6.483995862756038734e-10, 3.241561234910087373e-10
2.037000000000000000e+03, 9.924391342836858991e-10, 2.054999474642615660e-09, 2.141623100990972609e-10, 6.381572469620135046e-10, 1.872900207716065531e-10, 1.187139732905003856e-09, 1.438386568219549675e-10, 6.505648608093231414e-10, 3.325894892575450047e-10
2.038000000000000000e+03, 9.796196158943991864e-10, 1.954725145670941615e-09, 2.133549860590452777e-10, 6.335712173945290026e-10, 1.858312553683955360e-10, 1.249911877858335487e-09, 1.435737853275192771e-10, 6.398257956226481455e-10, 3.341197327172869338e-10
2.039000000000000000e+03, 1.016714773953341456e-09, 1.951569565792190189e-09, 2.112494615049135919e-10, 6.703402480194887595e-10, 1.844405504830809798e-10, 1.278428400676577085e-09, 1.426826661092096509e-10, 6.398366883752434394e-10, 3.018378180711114074e-10
2.040000000000000000e+03, 1.021576835627586445e-09, 1.979246962448440414e-09, 2.096748698073643872e-10, 6.605915597591347371e-10, 1.832100933101200431e-10, 1.185297134224999376e-09, 1.423875683998244479e-10, 6.305336978250527948e-10, 3.228270252681663645e-10
2.041000000000000000e+03, 9.981530410308744677e-10, 2.047104411309172234e-09, 2.080372889401509674e-10, 5.716177280885864615e-10, 1.817487745594181083e-10, 1.264669384167468343e-09, 1.421104240661118160e-10, 6.195464937090170417e-10, 3.432078101498744890e-10
2.042000000000000000e+03, 1.005948104370747538e-09, 2.005959608807859948e-09, 2.063941839050802323e-10, 6.491033127767413218e-10, 1.806937222017827375e-10, 1.234001136441038654e-09, 1.418292586319615042e-10, 6.215816199293381143e-10, 3.163089717345292220e-10
2.043000000000000000e+03, 1.021578731290417710e-09, 2.017657505228644499e-09, 2.048971115654176833e-10, 7.488853656881421156e-10, 1.794576351030839247e-10, 1.252918417049275575e-09, 1.415130236482887992e-10, 6.200878148782149867e-10, 3.499593669316783474e-10
2.044000000000000000e+03, 1.013837840194175458e-09, 1.959696561678189139e-09, 2.030045023971635570e-10, 6.726364329984979619e-10, 1.783481681302582368e-10, 1.157012019259616712e-09, 1.441001070185541158e-10, 6.161868456292349751e-10, 2.864543636623641987e-10
2.045000000000000000e+03, 9.947203046615682216e-10, 1.946612999152366402e-09, 2.036046487923704174e-10, 6.270295413992159931e-10, 1.794603170294286712e-10, 1.162855867372802887e-09, 1.434750046965215314e-10, 6.067715362657755318e-10, 3.301986981415555917e-10
2.046000000000000000e+03, 9.938904427009195073e-10, 2.003292527017900482e-09, 2.013056518785823953e-10, 5.621181855323489361e-10, 1.778890976934864164e-10, 1.177604842893826645e-09, 1.432173675985717595e-10, 5.980189029358540693e-10, 3.392327230850901335e-10
2.047000000000000000e+03, 1.023568833266735767e-09, 1.930334484194343780e-09, 1.992257170775278609e-10, 6.109057076505987454e-10, 1.765866771267295714e-10, 1.209373041015394838e-09, 1.428230553732462944e-10, 5.998537602598877933e-10, 3.147737203223666741e-10
2.048000000000000000e+03, 1.042184235816032243e-09, 1.987972599688050869e-09, 1.975768348841662731e-10, 6.271883151625262281e-10, 1.753219658426759401e-10, 1.163114973813434911e-09, 1.427797313389426360e-10, 5.953618124412715811e-10, 3.049842618994969945e-10
2.049000000000000000e+03, 1.029847593963460444e-09, 2.030467170096959968e-09, 1.955156608777823939e-10, 5.899281899853264888e-10, 1.738576221767385811e-10, 1.083782679031013024e-09, 1.428516937991543033e-10, 5.891346477866138267e-10, 3.110502168350636404e-10
2.050000000000000000e+03, 1.020827674383223905e-09, 1.985029090737788030e-09, 1.927429243726167219e-10, 6.517155486171188600e-10, 1.724516653969276135e-10, 1.196290422248429748e-09, 1.340068526473354721e-10, 5.971017082610144790e-10, 2.990855691943218051e-10
2.051000000000000000e+03, 1.014130033286028565e-09, 1.952577324824758342e-09, 1.711696202540557061e-10, 6.407993686040357146e-10, 1.620377578740768236e-10, 1.138561802350228157e-09, 1.335549719633806055e-10, 5.908706522872073829e-10, 3.407776244797967148e-10
2.052000000000000000e+03, 1.023044280458033743e-09, 2.005766071164780587e-09, 1.699471765216063846e-10, 6.009984756073137544e-10, 1.610261546347207078e-10, 1.139942022946562096e-09, 1.334506032840134789e-10, 5.892155912945267590e-10, 3.074892054912223079e-10
2.053000000000000000e+03, 1.039285651982710047e-09, 1.875846248689178396e-09, 1.689580562072055313e-10, 6.561978998770253548e-10, 1.600064390684035630e-10, 1.138944488089639757e-09, 1.331901843285176856e-10, 5.904411411934554552e-10, 3.387141046333912750e-10
2.054000000000000000e+03, 1.063710106924188567e-09, 1.980719854340565036e-09, 1.679199537101398733e-10, 6.502026568349019003e-10, 1.589831630707003679e-10, 1.176013125309774299e-09, 1.329222383334246701e-10, 5.852733558469577159e-10, 3.027323212626705702e-10
2.055000000000000000e+03, 1.037456731635834411e-09, 1.955626685770723277e-09, 1.667676211925976315e-10, 6.582617708630253318e-10, 1.582023437221928288e-10, 1.153587359274192616e-09, 1.322636037142526064e-10, 5.758552837093926912e-10, 3.298328857955354915e-10
2.056000000000000000e+03, 1.029314142002400230e-09, 1.889336340587056123e-09, 1.654624719743306422e-10, 6.269857719067341323e-10, 1.573303757540039030e-10, 1.147079767899120003e-09, 1.320090459700398512e-10, 5.624421605244272139e-10, 3.114678897476780360e-10
2.057000000000000000e+03, 1.102518656677377049e-09, 2.052953185968342345e-09, 1.641156038832833355e-10, 6.404560317555424489e-10, 1.566351793074589273e-10, 1.179357664438621045e-09, 1.314389175195111220e-10, 5.676917230423948409e-10, 2.877706146984962645e-10
2.058000000000000000e+03, 1.104852232219540622e-09, 1.914021582951866788e-09, 1.629472375980548833e-10, 5.481316575181375266e-10, 1.531792586482500523e-10, 1.125694432033975246e-09, 1.314362458723541973e-10, 5.730673889267563395e-10, 3.691618360528467031e-10
2.059000000000000000e+03, 1.077660473159689737e-09, 1.962872961856444983e-09, 1.618465867961411212e-10, 5.407529069813572342e-10, 1.519971766993176347e-10, 1.141167405971132187e-09, 1.317509247355373768e-10, 5.774278775553597306e-10, 3.010647003657362447e-10
2.060000000000000000e+03, 1.072368109639981991e-09, 1.985556203600725422e-09, 1.606232876391468214e-10, 5.255713757831364499e-10, 1.507193566151862034e-10, 1.096576780427198129e-09, 1.317684520879311206e-10, 5.784426330883638625e-10, 3.511875723877333368e-10
2.061000000000000000e+03, 1.078614975798270438e-09, 1.950953942176252163e-09, 1.594045049641414584e-10, 5.759680882434878614e-10, 1.516687486186747780e-10, 1.106949481806306598e-09, 1.316944307311567028e-10, 5.744200410315519610e-10, 2.840991305387279295e-10
2.062000000000000000e+03, 1.091017133440583164e-09, 1.892166645846042747e-09, 1.584381775213520090e-10, 6.214216654628218050e-10, 1.497591424457922318e-10, 1.095835173266298841e-09, 1.317314711045717042e-10, 5.665805844221145036e-10, 3.915233830328595982e-10
2.063000000000000000e+03, 1.108104144866860201e-09, 1.979065892254201963e-09, 1.572625015253184424e-10, 5.752735957271764494e-10, 1.485294306077218642e-10, 1.077526776216365271e-09, 1.320395811442369835e-10, 5.598898904043436091e-10, 2.704971767177925629e-10
2.064000000000000000e+03, 1.144969452270099437e-09, 1.954637260702086894e-09, 1.561549855203710002e-10, 5.260468960955263587e-10, 1.470955632738533855e-10, 1.061368063770399731e-09, 1.319596926052604674e-10, 5.564512209866158837e-10, 3.918050723663487426e-10
2.065000000000000000e+03, 1.116350025115386716e-09, 1.939850875887748376e-09, 1.549581626279680037e-10, 6.096010828065149377e-10, 1.460917774605700756e-10, 1.052788751460462702e-09, 1.315297500220307744e-10, 5.482513810985337894e-10, 2.785712076721104391e-10
2.066000000000000000e+03, 1.066008345639347223e-09, 2.069455616689568529e-09, 1.542035079003425759e-10, 5.592409084121102281e-10, 1.448566374506691895e-10, 1.097070849585706672e-09, 1.312666943452049269e-10, 5.430792903304608171e-10, 3.504342982672554237e-10
2.067000000000000000e+03, 1.103259743517883188e-09, 2.000713151814822251e-09, 1.531893162221201820e-10, 5.727054906029163870e-10, 1.437332635877560866e-10, 1.105727047783211955e-09, 1.312492271145832674e-10, 5.451284493281725718e-10, 2.687448642328465965e-10
2.068000000000000000e+03, 1.148095485159290836e-09, 1.975130762973616340e-09, 1.520357468529835675e-10, 5.302279015476914158e-10, 1.426708164581604418e-10, 1.050240921022354962e-09, 1.313646935853877973e-10, 5.428688047658846837e-10, 3.743345660548577916e-10
2.069000000000000000e+03, 1.141791551375737556e-09, 2.039509986265052761e-09, 1.509008598767270271e-10, 5.188909843292116318e-10, 1.416771312570444111e-10, 1.066927374089838021e-09, 1.313204063927468351e-10, 5.463865296164842876e-10, 2.846800752990333564e-10
2.070000000000000000e+03, 1.154741226082471156e-09, 2.019698194645470274e-09, 1.499612988218731936e-10, 5.512394954164755901e-10, 1.405281517308870736e-10, 1.135613092765435686e-09, 1.310661395590012071e-10, 5.448381161028585397e-10, 3.806727802630787106e-10
2.071000000000000000e+03, 1.181198212521986527e-09, 2.009178029318995847e-09, 1.488019577658610979e-10, 5.373271955890159372e-10, 1.394509949398252792e-10, 9.892800956800485798e-10, 1.315703060925448376e-10, 5.418116377858527523e-10, 2.888916661176954863e-10
2.072000000000000000e+03, 1.146389728546531627e-09, 1.937587931032758371e-09, 1.478998053584006462e-10, 5.330285380226831433e-10, 1.386502519943533525e-10, 1.074518286106406015e-09, 1.316403211435048196e-10, 5.396977058593742959e-10, 3.806113691729746846e-10
2.073000000000000000e+03, 1.115084909694928959e-09, 1.992170417925845407e-09, 1.471772377306832253e-10, 6.160873437035760086e-10, 1.378501813359154250e-10, 1.073680298452140813e-09, 1.315799621450287918e-10, 5.373736841172123283e-10, 3.559689022312918088e-10
2.074000000000000000e+03, 1.142072046683492125e-09, 2.017916637371139281e-09, 1.466091928589328940e-10, 5.619384823000478406e-10, 1.370096926831108015e-10, 1.021608623239011190e-09, 1.323230203184497501e-10, 5.378904769791787531e-10, 3.528105842528409072e-10
2.075000000000000000e+03, 1.133250446842417850e-09, 2.049242745531836575e-09, 1.462191860584760814e-10, 5.321797934213513747e-10, 1.362027139307150240e-10, 9.972257085345610323e-10, 1.323182687280062036e-10, 5.368361489003063809e-10, 3.089045986538317505e-10
2.076000000000000000e+03, 1.175106087352481935e-09, 1.968597651348805340e-09, 1.454039781501191341e-10, 5.850541862215853861e-10, 1.354998508725127739e-10, 1.022466425673258828e-09, 1.323443410656436289e-10, 5.279773055564627613e-10, 3.604700934715849914e-10
2.077000000000000000e+03, 1.171321929756377896e-09, 2.014063073942414142e-09, 1.446276735554494193e-10, 5.414277778838039828e-10, 1.347130664677431764e-10, 1.094785633426057889e-09, 1.322984787791482102e-10, 5.209201602177692400e-10, 3.530904729015562278e-10
2.078000000000000000e+03, 1.148731993734677241e-09, 2.045119894564600367e-09, 1.437193441361878740e-10, 5.116503224760283324e-10, 1.339284997041385717e-10, 1.102268301421209033e-09, 1.319348042351613585e-10, 5.158822587260456120e-10, 3.687011163449810787e-10
2.079000000000000000e+03, 1.130618369073214173e-09, 1.987877883335482603e-09, 1.427432127447283953e-10, 5.892640292710454851e-10, 1.329825021333010597e-10, 1.028821679341694728e-09, 1.319635951040724428e-10, 5.134413655317130606e-10, 3.525965817679269897e-10
2.080000000000000000e+03, 1.187478994753746148e-09, 2.042163402670633005e-09, 1.421630611327715676e-10, 5.855820068146742008e-10, 1.323900250215051993e-10, 1.092236927268135440e-09, 1.341933958234177995e-10, 5.087994252754727163e-10, 3.575023837911042600e-10
2.081000000000000000e+03, 1.226442390772708342e-09, 2.049441083919718335e-09, 1.449816197401396123e-10, 5.405986088699118297e-10, 1.363579699421463022e-10, 1.037313030356330034e-09, 1.420210370257577988e-10, 5.063593916591082790e-10, 3.691128845847370929e-10
2.082000000000000000e+03, 1.260579600004506563e-09, 2.028047471001893505e-09, 1.567728094144688025e-10, 5.210082591657429054e-10, 1.519556090520966650e-10, 9.998743158495985223e-10, 1.416999078851664554e-10, 5.045395948399171341e-10, 3.498228020941677811e-10
2.083000000000000000e+03, 1.228261860770740703e-09, 2.040200562641486783e-09, 1.557962096393659684e-10, 5.163775815022747672e-10, 1.510156405245571825e-10, 1.023226232269134212e-09, 1.408248473746806846e-10, 5.013994718759321629e-10, 3.586761051582208486e-10
2.084000000000000000e+03, 1.239371179171428603e-09, 2.062130037159006377e-09, 1.550509222475830667e-10, 4.831399845813577748e-10, 1.497251315591113026e-10, 1.039780631676046815e-09, 1.402861512899278344e-10, 4.992547293904166776e-10, 3.563451703203479287e-10
2.085000000000000000e+03, 1.240067799373127957e-09, 2.053203874607826535e-09, 1.540819143873591481e-10, 5.732499477075089938e-10, 1.482848458183309199e-10, 9.588805656939892681e-10, 1.403792030310794208e-10, 4.981496810385234006e-10, 3.731262834551039565e-10
2.086000000000000000e+03, 1.310674172459902534e-09, 2.030700188201948245e-09, 1.532576544337463961e-10, 5.110698400954160951e-10, 1.472922317737459257e-10, 1.078604740235641628e-09, 1.396525121374534100e-10, 4.921320654010982578e-10, 3.802250668262291708e-10
2.087000000000000000e+03, 1.270156983728989422e-09, 2.033819884039747242e-09, 1.523560949801962934e-10, 5.163246660937400094e-10, 1.459617597258721259e-10, 1.012069781057751473e-09, 1.382975870132126461e-10, 5.037588595331193211e-10, 3.690300606135619173e-10
2.088000000000000000e+03, 1.321304281756042006e-09, 2.068983997660935119e-09, 1.515644100769422379e-10, 4.887650193816807378e-10, 1.443638491748712274e-10, 1.050907783941992156e-09, 1.375730782085678813e-10, 5.147475468378879210e-10, 3.624515996290741888e-10
2.089000000000000000e+03, 1.344075456218838942e-09, 2.085938455427778707e-09, 1.509135086903628790e-10, 4.994775919210883359e-10, 1.426639855500453496e-10, 1.028346114335368063e-09, 1.372499137023918990e-10, 5.191745386622440535e-10, 3.713508888721332886e-10
2.090000000000000000e+03, 1.318887298558417907e-09, 2.080495191758894395e-09, 1.500256027224417420e-10, 5.321047983097746355e-10, 1.414647663110065399e-10, 1.019119927770307146e-09, 1.366099974790715767e-10, 5.193139034324633356e-10, 3.929877698048533562e-10
2.091000000000000000e+03, 1.290364870344967465e-09, 2.061145481690892610e-09, 1.487953129971701842e-10, 5.157045663577290411e-10, 1.403912986431754281e-10, 1.107574959849723101e-09, 1.364328837689685826e-10, 5.111861199811341336e-10, 3.639542930989979425e-10
2.092000000000000000e+03, 1.362856944230654537e-09, 2.114001030976454636e-09, 1.479440694771362838e-10, 5.080708440973904673e-10, 1.393144369763333325e-10, 1.055923681965292280e-09, 1.358215911938592342e-10, 5.095130207065822726e-10, 3.773636251243833506e-10
2.093000000000000000e+03, 1.321017387110990243e-09, 2.056522694895223057e-09, 1.471615929075932959e-10, 4.632095996652797342e-10, 1.385338870798760110e-10, 9.284717705484993550e-10, 1.355517396989127284e-10, 5.075862879224713901e-10, 4.018253832263514353e-10
2.094000000000000000e+03, 1.387307547782405172e-09, 2.135248873235874489e-09, 1.462505411388228347e-10, 5.283588168164798551e-10, 1.376439672635818759e-10, 1.096739395172965299e-09, 1.351969978750370442e-10, 5.035919014521109134e-10, 3.951771631640141179e-10
2.095000000000000000e+03, 1.380458211028562795e-09, 2.115758082850226028e-09, 1.452638630465738469e-10, 5.557008013466684428e-10, 1.368558919530108549e-10, 1.052718274559124860e-09, 1.348184602046081093e-10, 5.047727684882858018e-10, 3.603504819781624919e-10
2.096000000000000000e+03, 1.333964398812602465e-09, 2.110894876206139596e-09, 1.445429641350926603e-10, 5.254669546190504757e-10, 1.361379037232506086e-10, 1.055369163862097003e-09, 1.339719342805868973e-10, 4.979370322398249216e-10, 3.823552994648241857e-10
2.097000000000000000e+03, 1.338530334451384320e-09, 2.127375331245682127e-09, 1.438908913947721129e-10, 5.215796382352536119e-10, 1.352843277774259512e-10, 1.051331413796724893e-09, 1.338827118336883285e-10, 4.939884050671675780e-10, 4.075706789207746108e-10
2.098000000000000000e+03, 1.375634038625730547e-09, 2.136803151745981895e-09, 1.432988746129021842e-10, 5.790954394211649085e-10, 1.342135724115954713e-10, 1.062760511848217987e-09, 1.338186726862934970e-10, 4.972361678377940611e-10, 3.732302804496069070e-10
2.099000000000000000e+03, 1.364136593395225602e-09, 2.128528848925162686e-09, 1.425712263192572611e-10, 5.661625444436530043e-10, 1.335028410792623943e-10, 1.044194475345086382e-09, 1.409845344722616915e-10, 5.046899638460208939e-10, 4.142718463367810035e-10
2.100000000000000000e+03, 1.332296867807741788e-09, 2.170712743924907123e-09, 1.482587945896402180e-10, 5.378225111537270376e-10, 1.440434175139170290e-10, 1.008104572269766594e-09, 0.000000000000000000e+00, 5.186805652393510650e-10, 3.782231229680595452e-10
