year, NorESM2-MM, GFDL-ESM4, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, CESM2-WACCM, CNRM-ESM2-1
2.025000000000000000e+03, 3.945047783337648717e+00, 1.193182102210329987e+01, 3.910122271097153934e+00, 1.884718760537703597e+00, 5.378175076965109547e+00, 7.377310492774914685e+00, 7.596630207557453218e+00, 2.242318753670214804e+01, 2.423033529938743769e+01, 4.651595580638236527e+00, 6.067529273633868847e+00, 4.056929670725311077e+00, 2.720473666230371990e+01
2.026000000000000000e+03, 3.992092555697233980e+00, 1.194803495433826335e+01, 4.142536373359572366e+00, 1.852608924265819690e+00, 5.395465688767937529e+00, 7.361093959893387328e+00, 7.606716712627851429e+00, 2.257450031040754723e+01, 2.417567907076899658e+01, 4.641700780172271834e+00, 5.765432793507748066e+00, 4.116906521584173362e+00, 2.737278402995995918e+01
2.027000000000000000e+03, 4.067852657479736678e+00, 1.199175169466983348e+01, 4.253344388125347209e+00, 1.877375444999696441e+00, 5.457944598643062584e+00, 7.377894685609092562e+00, 7.677884924493090679e+00, 2.279944186519090721e+01, 2.420480291104429327e+01, 4.640643836240335496e+00, 5.406283432661908250e+00, 4.163462213297821179e+00, 2.754187266373296339e+01
2.028000000000000000e+03, 4.015089350658101353e+00, 1.208038555899341304e+01, 4.095000755306278606e+00, 1.800670250904541136e+00, 5.507464978897942842e+00, 7.385369833014395091e+00, 7.665496682594464595e+00, 2.290357509715246209e+01, 2.441476596799306265e+01, 4.651045464326682755e+00, 5.416357032199355714e+00, 4.118766242566175961e+00, 2.757510876079180306e+01
2.029000000000000000e+03, 4.092485681468850167e+00, 1.205096793620027462e+01, 4.020156775555969730e+00, 1.811159617551142631e+00, 5.547018631558836788e+00, 7.405001356888330832e+00, 7.673678466649747953e+00, 2.305482315133675186e+01, 2.447110290994838877e+01, 4.695410565736656494e+00, 5.722969676254551885e+00, 3.901111654831172171e+00, 2.766671578252472230e+01
2.030000000000000000e+03, 4.118549248224315562e+00, 1.216713890974373058e+01, 4.051462267254229310e+00, 1.836891289435797159e+00, 5.544556455731812328e+00, 7.491141085136423072e+00, 7.747308266152218792e+00, 2.323179964027709943e+01, 2.448760236265575685e+01, 4.854041499561220441e+00, 5.639583830037402379e+00, 3.780966668096369165e+00, 2.778167718334281489e+01
2.031000000000000000e+03, 4.086034500708217720e+00, 1.222648582562767494e+01, 4.278819607218329324e+00, 1.706750140925461290e+00, 5.545277808212867754e+00, 7.465902482677506669e+00, 7.839456462899910605e+00, 2.336379723067510028e+01, 2.456116145630860714e+01, 4.931532537316480003e+00, 5.633671895349090519e+00, 3.960210664778768486e+00, 2.787205742834832023e+01
2.032000000000000000e+03, 4.084266319471731244e+00, 1.234752246404593734e+01, 4.167055024614843894e+00, 1.842400173181181877e+00, 5.548795077340463955e+00, 7.465922701221445301e+00, 7.789904762335447153e+00, 2.345367038344695132e+01, 2.463218089127250821e+01, 4.987086722542504624e+00, 5.895426403769176815e+00, 4.155306050409349083e+00, 2.796534036706036730e+01
2.033000000000000000e+03, 4.023059925708002638e+00, 1.243423665280455026e+01, 4.044386521108018329e+00, 1.891664662433550692e+00, 5.546230600095658936e+00, 7.502837865547788532e+00, 7.725877968552813613e+00, 2.352687021231714937e+01, 2.469522531309863567e+01, 5.082628863948523978e+00, 5.883982869541265259e+00, 4.009358862451779082e+00, 2.805242692481764166e+01
2.034000000000000000e+03, 4.001776187180571043e+00, 1.258285610174755043e+01, 4.061539149276419458e+00, 1.745328298881140272e+00, 5.571624770115452208e+00, 7.569420950087103250e+00, 7.750748188864968746e+00, 2.363195667431226354e+01, 2.473238108800203605e+01, 5.046439909226300813e+00, 5.764000412906318260e+00, 3.828138402356292325e+00, 2.817853489659763255e+01
2.035000000000000000e+03, 4.057500219158750809e+00, 1.261335791066685452e+01, 4.061733848310143280e+00, 1.788817493792248525e+00, 5.610164861359704602e+00, 7.607827679802387166e+00, 7.761095520139002168e+00, 2.367265669431222364e+01, 2.481441723746100436e+01, 4.936412020441804493e+00, 5.291680601752435820e+00, 3.881788456612746963e+00, 2.827709056963353973e+01
2.036000000000000000e+03, 4.009180969575837139e+00, 1.252962710337867414e+01, 4.117676654468466424e+00, 1.692929002204965894e+00, 5.636665963446574779e+00, 7.606119975000654065e+00, 7.787818180642859467e+00, 2.369061341488788486e+01, 2.486462236334229559e+01, 4.955630329767551245e+00, 5.707162228591246667e+00, 4.080173222275238487e+00, 2.857161149974786696e+01
2.037000000000000000e+03, 4.107005299431724765e+00, 1.261862025839567103e+01, 4.325560217007667241e+00, 1.910770285702704019e+00, 5.625905068179479329e+00, 7.599368065647740700e+00, 7.816723996852128487e+00, 2.377327172215214901e+01, 2.496587989575706246e+01, 5.002199125173143024e+00, 5.918525128918432188e+00, 4.178597826810979576e+00, 2.851250624233479414e+01
2.038000000000000000e+03, 4.178757525266716399e+00, 1.274843910738670161e+01, 4.281134011342851764e+00, 1.900203953602858764e+00, 5.653705796749629364e+00, 7.620747067683751652e+00, 7.779097347795718598e+00, 2.392476970261317959e+01, 2.497953698475074091e+01, 5.032023038073406340e+00, 5.726959470956201947e+00, 4.037415271447668985e+00, 2.863953152028303606e+01
2.039000000000000000e+03, 4.266954938204380987e+00, 1.276039435717920512e+01, 4.294785207244967040e+00, 1.964642396245090961e+00, 5.671520277175071456e+00, 7.673136781586180177e+00, 7.700550138929831867e+00, 2.410819113626726562e+01, 2.502883897685742198e+01, 5.116270631212015196e+00, 5.510960890693308301e+00, 3.947008019289194092e+00, 2.879448883912782975e+01
2.040000000000000000e+03, 4.261217821059436694e+00, 1.279889530656290297e+01, 4.361475392468064705e+00, 1.671972549508010220e+00, 5.689841617998086853e+00, 7.725994647297020457e+00, 7.614010477868534466e+00, 2.424508760624577519e+01, 2.504668953163252354e+01, 5.053391801001906991e+00, 5.427507300498305653e+00, 3.902695694750284439e+00, 2.890447438860569207e+01
2.041000000000000000e+03, 4.179758575731494119e+00, 1.286806115251965288e+01, 4.523363050182623191e+00, 1.868201999877732611e+00, 5.722814048053046498e+00, 7.735197587388412011e+00, 7.669203108079016395e+00, 2.439541207719953775e+01, 2.512944989586153710e+01, 5.134203824418513307e+00, 5.746203431415584539e+00, 4.019587765704367932e+00, 2.883933037171223290e+01
2.042000000000000000e+03, 4.016157573548593263e+00, 1.289402676561237904e+01, 4.326715281839176974e+00, 1.938150660786569057e+00, 5.764577483020810966e+00, 7.757023396177319619e+00, 7.691657086233838925e+00, 2.445333164888750233e+01, 2.533375591480486833e+01, 5.186800884738964612e+00, 5.700536800113777502e+00, 4.120897009031066816e+00, 2.896198492864074225e+01
2.043000000000000000e+03, 4.040124985300040272e+00, 1.303265897139872109e+01, 4.142878594933207204e+00, 1.823331093860621976e+00, 5.773980454890555336e+00, 7.783571142912061980e+00, 7.712237957169808311e+00, 2.450103770318334995e+01, 2.543405847613557924e+01, 5.271473732413802793e+00, 6.301882317022564628e+00, 4.134969651042839978e+00, 2.900220744756714097e+01
2.044000000000000000e+03, 4.184506000532814518e+00, 1.309502838117179380e+01, 4.135347017379032764e+00, 1.857786390357845097e+00, 5.753709236845716113e+00, 7.843613534708177681e+00, 7.732965382114045383e+00, 2.458402698165680533e+01, 2.555250311658169693e+01, 5.243622652391575656e+00, 5.776277132814993109e+00, 4.032540792453416678e+00, 2.919212193797434196e+01
2.045000000000000000e+03, 4.218559324617084272e+00, 1.321346350342678555e+01, 4.245263548745485949e+00, 1.784552554770510113e+00, 5.762663471861218412e+00, 7.857637773521550351e+00, 7.699848749025396621e+00, 2.472092194142418364e+01, 2.550346970566286231e+01, 5.226962052251606039e+00, 5.099178633572983621e+00, 4.153227707722577655e+00, 2.932898071356029135e+01
2.046000000000000000e+03, 4.169354638227557253e+00, 1.334382623199057782e+01, 4.172658525019864229e+00, 1.777086377059692524e+00, 5.792637050583551606e+00, 7.915706732014482050e+00, 7.788849278062934367e+00, 2.484194410430308508e+01, 2.549180919416876989e+01, 5.140602470046694350e+00, 5.613870855695779483e+00, 4.118161473891797542e+00, 2.936552137964642384e+01
2.047000000000000000e+03, 4.092987362875781798e+00, 1.349897854501682026e+01, 4.213607250910363256e+00, 1.873401286445061098e+00, 5.802734709648047051e+00, 7.914490892577048520e+00, 7.704441178550686331e+00, 2.490743764194067822e+01, 2.556426464457329573e+01, 5.174361641443553594e+00, 5.963734575830496709e+00, 4.118831337884524046e+00, 2.940020449454384632e+01
2.048000000000000000e+03, 4.058536959165557789e+00, 1.358241196518525307e+01, 4.400979118398275602e+00, 1.772228831373339419e+00, 5.776825914724938116e+00, 7.915751170580089813e+00, 7.741974167495510706e+00, 2.512138800051174314e+01, 2.568976430799116528e+01, 5.108338540927894300e+00, 5.931720260764596908e+00, 4.084216093791872559e+00, 2.947332056548544443e+01
