year, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, TaiESM1, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, CMCC-CM2-SR5, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM
2.045000000000000000e+03, 7.390981943999999260e+01, 6.329956377599999229e+01, 8.025699920399999598e+01, 8.578388818799999171e+01, 6.397085483999999411e+01, 5.348763800999999773e+01, 4.886750363399999486e+01, 7.172244305999998915e+01, 5.295062723399999527e+01, 5.279306155199999750e+01, 9.155967505199998868e+01, 5.034023483399999321e+01, 8.418003029999999853e+01, 5.356972621799999246e+01, 5.775162451199999225e+01, 5.392022126399999848e+01
2.046000000000000000e+03, 7.394550242399999718e+01, 6.262655399999999872e+01, 8.224940426399999183e+01, 8.528735386799999674e+01, 6.267686574599999716e+01, 5.167978162199999304e+01, 4.890159404999999282e+01, 7.502451454799999908e+01, 5.281914576599999833e+01, 5.271661434599999296e+01, 9.012560698799998704e+01, 5.023546435799999443e+01, 8.197684649999999351e+01, 5.225791534199999688e+01, 6.014731588199999379e+01, 5.463088896599999345e+01
2.047000000000000000e+03, 7.284024446399999420e+01, 6.392668472999999807e+01, 8.264979320399999096e+01, 8.500005302399999607e+01, 6.368947882199999810e+01, 5.201964115199999839e+01, 4.747784614199999709e+01, 7.677280731599999797e+01, 5.379846076799999821e+01, 5.335392536999999891e+01, 9.335159787599999959e+01, 5.232533930999999683e+01, 8.105141469599999482e+01, 5.208177889799999605e+01, 5.894983483199999341e+01, 5.352867422999999292e+01
2.048000000000000000e+03, 7.232107517999999402e+01, 6.218764777799999877e+01, 8.090643581999999867e+01, 8.368275488399999062e+01, 6.140305180799999363e+01, 5.387962260599999809e+01, 4.790528508599999924e+01, 7.997520927599998686e+01, 5.351566168799999446e+01, 5.161627994399999864e+01, 9.567594298799998853e+01, 5.199265816199999790e+01, 8.120191237199999534e+01, 5.217984403199999832e+01, 6.031185496199999818e+01, 5.369661919799999339e+01
2.049000000000000000e+03, 7.355309997599999861e+01, 6.230085019199999863e+01, 8.362687309199999675e+01, 8.366917863599999805e+01, 6.068267495999999284e+01, 5.288111400599999712e+01, 4.870536128999999903e+01, 7.646749153199999682e+01, 5.016194605799999806e+01, 5.226980047199999291e+01, 9.475663705199998788e+01, 4.945123499399999645e+01, 8.251362075599999457e+01, 5.164690139999999730e+01, 5.890164782399999410e+01, 5.370076223999999598e+01
2.050000000000000000e+03, 7.398067294799999161e+01, 6.474796100999999737e+01, 8.296151079599999889e+01, 8.409923506799999871e+01, 6.302141231399999555e+01, 5.173301438999999391e+01, 4.902208522199999408e+01, 7.576496405999999695e+01, 4.851843559199999589e+01, 5.239764347399999878e+01, 9.373860766799998601e+01, 5.029656535799999517e+01, 8.028871653599999547e+01, 5.216541236999999853e+01, 5.902715716199999463e+01, 5.389772032799999835e+01
2.051000000000000000e+03, 7.256653563599999757e+01, 6.383726440199999530e+01, 8.234286119999998732e+01, 8.343376239599999167e+01, 6.388187995799999186e+01, 5.214485483999999360e+01, 4.625934240599999470e+01, 7.552344560399998841e+01, 5.092237756799999460e+01, 5.081396074199999902e+01, 9.768292556399998716e+01, 5.095577813399999911e+01, 8.083144321199999638e+01, 5.262161214599999681e+01, 5.775668603999999817e+01, 5.398728650999999701e+01
2.052000000000000000e+03, 7.297612520399999880e+01, 6.575555591999999194e+01, 8.350631096399999365e+01, 8.490414416399998743e+01, 6.254392967999999797e+01, 5.423360632199999287e+01, 4.853303281799999525e+01, 7.603123827599999629e+01, 5.071753547999999512e+01, 5.240564179199999728e+01, 9.698817959999999516e+01, 5.131265133599999473e+01, 8.238496964399999456e+01, 5.216685119999999642e+01, 6.098654008799999815e+01, 5.416940690999999930e+01
2.053000000000000000e+03, 7.371432777599999042e+01, 6.475317233399999850e+01, 8.427241501199999618e+01, 8.429350471199998651e+01, 6.150336388199999504e+01, 5.316998376599999432e+01, 4.837010207399999473e+01, 7.432987107599998922e+01, 5.114363808599999572e+01, 5.061626944199999656e+01, 9.330096682799998575e+01, 5.279898637799999506e+01, 8.358077534399998854e+01, 5.187924682199999893e+01, 5.988635942399999834e+01, 5.373251504999999639e+01
2.054000000000000000e+03, 7.390986674399999856e+01, 6.288070262399999422e+01, 8.386963721999998711e+01, 8.585795048399999985e+01, 6.379351214399999748e+01, 5.341788037799999245e+01, 4.882042826999999363e+01, 7.390800611999999603e+01, 5.243427647999999408e+01, 5.287647032999999652e+01, 9.521588005199998861e+01, 5.082952375799999345e+01, 8.301411284399999602e+01, 5.249845618199999819e+01, 6.110044417799999650e+01, 5.362042033799999530e+01
