year, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.035000000000000000e+03, 4.431322430999999540e+01, 8.701630718399999864e+01, 4.526964811799999922e+01, 4.308897313800000006e+01, 5.080263537599999779e+01, 6.791193241199999875e+01, 4.322146769999999805e+01, 4.325691022199999480e+01, 7.059266585999999677e+01, 6.360217140599999652e+01, 4.505167916999999989e+01, 4.860517141799999763e+01, 4.672878730199999353e+01, 4.935564149399999678e+01
2.036000000000000000e+03, 4.493517730199999960e+01, 8.845185743999999772e+01, 4.578027114599999692e+01, 4.301451664199999669e+01, 5.084714449799999869e+01, 6.984138373199999705e+01, 4.325165159399999482e+01, 4.465341102599999346e+01, 7.224467921999999476e+01, 6.329896853399999657e+01, 4.589773486199999297e+01, 4.919433091199999808e+01, 4.740698080799999303e+01, 4.952027518199999889e+01
2.037000000000000000e+03, 4.517053046999999566e+01, 8.818746749999999679e+01, 4.498042357799999991e+01, 4.305426776999999561e+01, 5.076014455799999325e+01, 6.924590521199999671e+01, 4.344326432999999810e+01, 4.455547597799999693e+01, 7.180876497599999198e+01, 6.395399884799999768e+01, 4.639186850399999429e+01, 4.961106732599999702e+01, 4.632433021799999295e+01, 4.912616190599999300e+01
2.038000000000000000e+03, 4.536918361799999388e+01, 8.766666622799999686e+01, 4.499591563799999960e+01, 4.376548340999999454e+01, 5.104998799199999837e+01, 6.998573977199998808e+01, 4.368009180600000008e+01, 4.389273511199999689e+01, 7.257967826399999467e+01, 6.569387544599999273e+01, 4.514453692199999324e+01, 4.896520216199999709e+01, 4.621340627999999384e+01, 4.974712545599999913e+01
2.039000000000000000e+03, 4.440382329599999878e+01, 8.869371490799998980e+01, 4.536550178999999616e+01, 4.341721559399999819e+01, 5.123152103399999646e+01, 6.859266062399998987e+01, 4.298779776599999991e+01, 4.495348000799999966e+01, 7.153392085199999428e+01, 6.556122714599999313e+01, 4.599470806199999373e+01, 4.945225991399999543e+01, 4.638048794999999558e+01, 4.996616268599999700e+01
2.040000000000000000e+03, 4.563233971199999672e+01, 8.939614777199999196e+01, 4.544498433599999743e+01, 4.360224518999999788e+01, 5.089944695399999830e+01, 6.955570699199999751e+01, 4.295243014199999720e+01, 4.493795246999999904e+01, 7.210398135599999137e+01, 6.456750413399998934e+01, 4.712629463999999757e+01, 5.003290468799999502e+01, 4.432911056999999744e+01, 5.012089012799999921e+01
2.041000000000000000e+03, 4.499321536799999421e+01, 8.928367462799999998e+01, 4.622732548199999769e+01, 4.395052088999999995e+01, 5.071185899999999691e+01, 7.013643454799999688e+01, 4.413922442999999873e+01, 4.460718713399999302e+01, 7.154865604799999801e+01, 6.328676015999999294e+01, 4.588049649599999924e+01, 5.085453968999999574e+01, 4.739267528999999968e+01, 5.042362390199999567e+01
2.042000000000000000e+03, 4.592175740999999789e+01, 8.843319601199999624e+01, 4.552180603199999354e+01, 4.373695909799999981e+01, 5.076622706399999885e+01, 7.018120778399999438e+01, 4.315503317399999617e+01, 4.535157076199999437e+01, 7.231681781999999714e+01, 6.524126683199999377e+01, 4.660977832199999682e+01, 5.003230550399999288e+01, 4.678465332599999726e+01, 4.973049415799999906e+01
2.043000000000000000e+03, 4.596625864799999306e+01, 9.000499755599999219e+01, 4.605320734199999322e+01, 4.392995941799999571e+01, 5.081902226999999783e+01, 6.931138183199999503e+01, 4.495299119999999959e+01, 4.484226436199999455e+01, 7.200651934799999765e+01, 6.654092057999999099e+01, 4.601135118599999885e+01, 4.981630361399999884e+01, 4.572399515399999359e+01, 4.994897162399999502e+01
2.044000000000000000e+03, 4.506995428199999765e+01, 8.931133958399999528e+01, 4.634995715999999533e+01, 4.436431262999999348e+01, 5.035910912999999312e+01, 6.876125996399998996e+01, 4.455540502199999509e+01, 4.523339354399999479e+01, 7.193032048799999245e+01, 6.526553772599999093e+01, 4.587105146399999711e+01, 4.975733917799999517e+01, 4.698269152199999610e+01, 5.024632456799999858e+01
2.045000000000000000e+03, 4.630454137799999614e+01, 8.897308444799999450e+01, 4.570243241399999334e+01, 4.453838740799999840e+01, 5.070427064999999800e+01, 6.921955688399999929e+01, 4.511758940999999368e+01, 4.531694423399999749e+01, 7.369754273999998873e+01, 6.446243800799999235e+01, 4.605282496799999592e+01, 5.033503139399999782e+01, 4.624242334199999505e+01, 4.972572827999999845e+01
2.046000000000000000e+03, 4.589463644999999303e+01, 9.025776647999998659e+01, 4.605910063199999627e+01, 4.356321150599999470e+01, 5.091865237799999733e+01, 7.128349347599998964e+01, 4.444155217799999491e+01, 4.497273273599999754e+01, 7.288339359599999057e+01, 6.541844790599999726e+01, 4.708934627399999329e+01, 5.063995297799999662e+01, 4.652664942599999875e+01, 5.031065800799999721e+01
2.047000000000000000e+03, 4.607393437799999703e+01, 9.091329742799999281e+01, 4.556758447799999345e+01, 4.401773987400000010e+01, 5.069918546999999620e+01, 7.101155854799999645e+01, 4.415561526599999809e+01, 4.546906207199999983e+01, 7.360950999599999989e+01, 6.753719012399999144e+01, 4.648344510599999779e+01, 5.001518539799999274e+01, 4.772574669599999453e+01, 5.028028883999999721e+01
2.048000000000000000e+03, 4.558183086599999712e+01, 9.054906451199998685e+01, 4.636898913599999617e+01, 4.444407899999999501e+01, 5.120288634599999256e+01, 7.185357763199999681e+01, 4.472014514399999996e+01, 4.563614374199999446e+01, 7.279116656399999385e+01, 6.561039965399999119e+01, 4.697630942399999299e+01, 4.986212542199999831e+01, 4.709802655799999371e+01, 5.089281650999999584e+01
2.049000000000000000e+03, 4.605932532599999973e+01, 9.036969562799998812e+01, 4.592198210399999425e+01, 4.415615531999999632e+01, 5.176219701599999468e+01, 7.096961566799998877e+01, 4.417932245399999402e+01, 4.456175952599999590e+01, 7.317104922000000045e+01, 6.589803556799999740e+01, 4.684086624599999737e+01, 5.048515852199999898e+01, 4.830732966599999401e+01, 5.012586887399999824e+01
2.050000000000000000e+03, 4.601870695799999567e+01, 9.062436459599999239e+01, 4.587251788799999730e+01, 4.386143168999999631e+01, 5.107740460199999433e+01, 7.061507218799999919e+01, 4.441918132799999341e+01, 4.468454099999999585e+01, 7.322078149200000041e+01, 6.671540138399998909e+01, 4.657132805399999853e+01, 5.028591801599999656e+01, 4.700302435799999756e+01, 5.078720244599999489e+01
2.051000000000000000e+03, 4.597177744799999743e+01, 9.223066652399998588e+01, 4.560383116799999925e+01, 4.412104392599999869e+01, 5.026621195799999953e+01, 7.154595183600000041e+01, 4.433594599799999969e+01, 4.621198321799999320e+01, 7.246808024399999226e+01, 6.676955657999999971e+01, 4.548653695799999497e+01, 5.057430290999999301e+01, 4.543228715399999373e+01, 5.014974556799999306e+01
