year, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, NorESM2-LM, INM-CM4-8, ACCESS-ESM1-5, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, GFDL-ESM4
2.035000000000000000e+03, 2.844298114874999950e+00, 1.570559813999999887e+00, 1.084571699062499839e+00, 2.577830248124999724e+00, 1.024258421531250018e+00, 3.434663860874999752e+00, 2.720196317249999662e+00, 3.692715557624999700e+00, 2.595671493749999836e+00, 8.006901704999999092e-01, 1.136516664937499810e+00, 3.478038425999999905e+00, 2.794278569624999875e+00, 3.029683229999999838e+00, 3.922842126374999516e+00, 2.728890644624999862e+00
2.036000000000000000e+03, -1.472139899999999946e+00, 5.167237041562499078e-01, -3.887797499999999795e-01, 3.869232897374999869e+00, -5.985269799499510959e-04, 3.525598409624999707e+00, 4.271187550499999652e+00, 2.872055461499999574e+00, 5.926882245749999889e+00, 2.033609923687500043e+00, 6.532859297249999919e+00, 2.533783079250000014e+00, 2.206606441499999960e+00, 2.583445134374999785e+00, 3.468789508499999563e+00, 9.070576492499998755e-01
2.037000000000000000e+03, -4.447368634570312423e-02, 5.590547849249999146e+00, 1.083050087062499944e+00, 3.881624574374999526e+00, 2.440218230999999793e+00, 4.169926932749999260e+00, 8.473547657812499079e-01, 2.554610389874999665e+00, 2.697927466499999927e+00, 1.807494339937499861e+00, 6.568730018999999309e+00, 3.193624111499999696e+00, -7.694749507499999419e-01, 3.851872082999999503e+00, 2.803419574874999931e+00, 1.858535232749999766e+00
2.038000000000000000e+03, 1.006331806968749909e+00, 3.599326867499999860e+00, 3.161519231624999815e+00, 1.355522851687499974e+00, 1.941473804062499919e+00, 3.171884227874999684e+00, 2.385167708250000018e+00, 2.841927494624999717e+00, 4.653703955249999247e+00, 1.094428931835937369e-01, 5.019498395999999474e+00, 4.376034402749999330e+00, 3.252846994874999620e+00, 2.300443287749999843e+00, 2.878332850124999620e+00, 2.759645143124999755e+00
2.039000000000000000e+03, 2.179544888671874903e-01, 1.962401635687499812e+00, 3.358198915874999635e+00, 9.316079324999999856e-02, 2.088277702874999697e+00, 2.394268800749999926e+00, 4.394082849749999298e+00, 3.958353633374999792e+00, 1.344911603624999952e+00, -1.228134904312499831e+00, 1.957369179937499926e+00, 2.958457942124999906e+00, 2.175095818124999969e+00, 2.762247355874999588e+00, 3.357673397999999754e+00, 2.585962840499999693e+00
2.040000000000000000e+03, 7.788057263437498934e-01, 2.776800727124999923e+00, 1.010355110718749838e+00, 2.680228625624999861e+00, 4.762838717999999361e+00, 2.912888422124999988e+00, 3.987741243374999911e+00, 3.760710376499999619e+00, 4.573098431999999214e+00, 1.211288644124999925e+00, 2.642068833749999790e+00, 4.606075725749999350e+00, 3.845742827343749948e-01, 3.354610710374999805e+00, 2.815340921999999857e+00, 4.358698472249999512e+00
2.041000000000000000e+03, 1.091894579999999948e+00, 2.789550386999999798e+00, 2.829990379499999875e+00, 4.368854542499999383e+00, 4.395408839999999651e-01, 3.448027240874999677e+00, 2.874048388874999915e+00, 3.156426167624999835e+00, 4.729569716249999445e+00, 5.391951367499999703e-01, 3.623917309874999937e+00, 3.608808362999999630e+00, 3.325986370124999869e+00, 3.622269307499999869e+00, 3.300588556874999746e+00, 5.627884994999999835e-01
2.042000000000000000e+03, -1.727868873339843611e-02, 7.595512121249999860e-01, 1.680682910062499813e+00, 3.326683118624999658e+00, 4.725196559999999546e-01, 4.085271743624999452e+00, 1.161926057812499913e+00, 2.968313927624999682e+00, 5.437275005249999182e+00, -5.689999212187499822e-01, 3.483105127874999596e+00, 3.241527295499999628e+00, 1.302910948687499904e+00, 4.344574778999999332e+00, 4.260391890749999355e+00, -4.256386510781249854e-01
2.043000000000000000e+03, 8.937041242499998983e-01, 2.532771217124999641e+00, 1.670995691437499930e+00, 1.972092211171874720e-01, 4.341847407749999554e+00, 2.160071131499999630e+00, 3.835635970499999825e+00, 2.969078182874999694e+00, 3.601100521124999787e+00, -6.956758448437500020e-01, 4.122440122499999582e+00, 1.847200381312499751e+00, 3.292452268874999532e+00, 2.638206905624999710e+00, 3.031681823999999636e+00, 3.616010396999999710e+00
2.044000000000000000e+03, -3.435444684843749763e-01, 2.839063631624999751e+00, 1.622092224937499827e+00, 1.745487665437499780e+00, 9.413232994687499300e-01, 5.040956672999999277e+00, 1.534858721437499796e+00, 3.825900462374999922e+00, 3.082955417999999614e+00, 1.966618466999999759e+00, 4.492423923749999659e+00, 2.512883827125000025e+00, 1.689801002437499866e+00, 2.528194555124999798e+00, 4.100515703999999317e+00, 2.715701698124999730e+00
