year, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, CanESM5, MPI-ESM1-2-LR, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, NorESM2-LM
2.025000000000000000e+03, 1.310729663676416067e+03, 2.894146532540416047e+03, 1.201868348850176062e+03, 8.666090401955839297e+02, 5.129243218411519365e+02, 1.593175839866879869e+03, 1.878617621528575910e+03, 1.361074733449215955e+03, 7.184944086384639377e+02, 1.787159514185727858e+03, 5.569544139571199821e+02, 1.462259196887039934e+03, 3.135442895503359750e+02, 2.453245859463168017e+03
2.026000000000000000e+03, 1.310749796335615883e+03, 2.894772792459264110e+03, 1.202243353182208011e+03, 8.665028739727359834e+02, 5.129685130280960266e+02, 1.593869208649728080e+03, 1.878786333212671934e+03, 1.360945213341695990e+03, 7.195356697722879744e+02, 1.788354723053568023e+03, 5.573950507581439524e+02, 1.462809221136383940e+03, 3.125358782054399853e+02, 2.453814942629887810e+03
2.027000000000000000e+03, 1.310632624259071918e+03, 2.895427506536448163e+03, 1.203046243631104062e+03, 8.664467709624319696e+02, 5.136670827479040327e+02, 1.594717598908415994e+03, 1.879286965338111941e+03, 1.360823746297855905e+03, 7.199456378224639366e+02, 1.788905418391552075e+03, 5.579166208491519683e+02, 1.463289317949439919e+03, 3.127584111984639890e+02, 2.454277993791487916e+03
2.028000000000000000e+03, 1.310656246579199887e+03, 2.895587762503680096e+03, 1.203755986976767872e+03, 8.664950893445119391e+02, 5.133092247306240097e+02, 1.595568673521663868e+03, 1.879902487838719935e+03, 1.360779722883072054e+03, 7.207565813350399822e+02, 1.788053270036479944e+03, 5.584242322964479399e+02, 1.463711835357183872e+03, 3.125870487142399838e+02, 2.454825870557183862e+03
2.029000000000000000e+03, 1.310725637144576012e+03, 2.895320132354047928e+03, 1.204007510999040051e+03, 8.666575599042560043e+02, 5.131153472225280439e+02, 1.596576782876672041e+03, 1.880366746959871989e+03, 1.360819719766016078e+03, 7.214914233958400018e+02, 1.788935617380351914e+03, 5.589157711708160150e+02, 1.464197032443903936e+03, 3.119905851310080038e+02, 2.455445419589631911e+03
2.030000000000000000e+03, 1.310566991790080010e+03, 2.895432338374655956e+03, 1.204570957021184086e+03, 8.668303652290559285e+02, 5.135898739998719975e+02, 1.597815209852927865e+03, 1.880853823094784047e+03, 1.360809116565503928e+03, 7.222762615603199947e+02, 1.790578442371072015e+03, 5.594556284272639459e+02, 1.464679008305151910e+03, 3.116548059299839792e+02, 2.455858810191871726e+03
2.031000000000000000e+03, 1.310457067470847960e+03, 2.895597963051007810e+03, 1.205345930182656048e+03, 8.668945884119040102e+02, 5.137187230187520299e+02, 1.599068534996991957e+03, 1.881221042798591952e+03, 1.360815290580992041e+03, 7.222918979256319290e+02, 1.791888138960895958e+03, 5.598100974469119819e+02, 1.465336272519168006e+03, 3.109931796398079769e+02, 2.456208313155584165e+03
2.032000000000000000e+03, 1.310502298845183986e+03, 2.895791236579328142e+03, 1.206337664974847939e+03, 8.669098892328960346e+02, 5.135452130508799655e+02, 1.599915448860671859e+03, 1.881585041276927996e+03, 1.360815424798719960e+03, 7.224464496394240314e+02, 1.793118781308927964e+03, 5.602203339325440083e+02, 1.465862540230655895e+03, 3.110472022753280044e+02, 2.456747868422144165e+03
2.033000000000000000e+03, 1.310639872016384061e+03, 2.896344750489599846e+03, 1.207407917137919867e+03, 8.669262637957119750e+02, 5.137703968440320068e+02, 1.601060728733695896e+03, 1.882054266454015988e+03, 1.360861327261696033e+03, 7.228522569400320208e+02, 1.795316730822655927e+03, 5.605424564797440325e+02, 1.466336328810496070e+03, 3.111185054433279902e+02, 2.457247158370304078e+03
2.034000000000000000e+03, 1.310696914550783958e+03, 2.896992485244928048e+03, 1.207371946786815897e+03, 8.670418923683839694e+02, 5.141282213068799365e+02, 1.601916903620607854e+03, 1.882440545075199907e+03, 1.361066546167807928e+03, 7.238797607567360046e+02, 1.796144988422144024e+03, 5.609616855531519377e+02, 1.466891319115776014e+03, 3.105654948495359804e+02, 2.457598540382207830e+03
2.035000000000000000e+03, 1.310758520487936039e+03, 2.897071942139903967e+03, 1.207494084919296029e+03, 8.671766469672959374e+02, 5.137701284085759426e+02, 1.602731471011839858e+03, 1.882817562673151997e+03, 1.361096610938880076e+03, 7.254279622492159660e+02, 1.796609650196480061e+03, 5.614244682792959793e+02, 1.467579319189504076e+03, 3.106207254446080128e+02, 2.458061591543807936e+03
2.036000000000000000e+03, 1.310771808043007923e+03, 2.897087242960895765e+03, 1.208247314808832016e+03, 8.672488561049599411e+02, 5.135394752430080416e+02, 1.603862121152511918e+03, 1.883210686398463849e+03, 1.361339008155647889e+03, 7.261363634176000232e+02, 1.796151430873087975e+03, 5.618918144081919763e+02, 1.468286646616063990e+03, 3.106770968903679773e+02, 2.458583966941183917e+03
2.037000000000000000e+03, 1.310868310589439943e+03, 2.897510834110463747e+03, 1.209334612623360044e+03, 8.674379688837119602e+02, 5.139351155507199564e+02, 1.604589447020543957e+03, 1.883452009873407860e+03, 1.361653480292352015e+03, 7.259655042498559396e+02, 1.795643282554879988e+03, 5.624656958586880364e+02, 1.469050748141567965e+03, 3.102777320407039952e+02, 2.459122985336831789e+03
2.038000000000000000e+03, 1.310952733540352028e+03, 2.897928788115455973e+03, 1.209962483154944039e+03, 8.677446563921919278e+02, 5.135970210938879745e+02, 1.605586013650943869e+03, 1.883907007971327857e+03, 1.362016941899775929e+03, 7.272880186327039382e+02, 1.796167537000447965e+03, 5.627188304936960321e+02, 1.469721702563839926e+03, 3.104616438824959914e+02, 2.459451550334975764e+03
2.039000000000000000e+03, 1.310967229054975860e+03, 2.897716724105216144e+03, 1.209733507710976028e+03, 8.677476762910720254e+02, 5.135497764536320346e+02, 1.606907655618560057e+03, 1.884359455932416040e+03, 1.362480798367744001e+03, 7.281437237575679546e+02, 1.798293008941055859e+03, 5.631083303403520404e+02, 1.470204886384640076e+03, 3.105788830679039734e+02, 2.459832728682496054e+03
2.040000000000000000e+03, 1.310992998858751889e+03, 2.898021935218687759e+03, 1.210075628699647950e+03, 8.676252697231359434e+02, 5.137199980871679372e+02, 1.607806914396159982e+03, 1.884689631543295945e+03, 1.363116185092095975e+03, 7.290527804293119516e+02, 1.799808863961088036e+03, 5.636751318056959690e+02, 1.470753434238976070e+03, 3.107828604600319977e+02, 2.460314301890559818e+03
2.041000000000000000e+03, 1.311210431578111866e+03, 2.898183801798656077e+03, 1.210927240183807953e+03, 8.675588990566400298e+02, 5.135888002580479679e+02, 1.608945349165055859e+03, 1.885038194982912046e+03, 1.363640707973120016e+03, 7.298374843760640260e+02, 1.800217959596031960e+03, 5.643051498209280226e+02, 1.471311108898815974e+03, 3.104452693196799942e+02, 2.461041225105408103e+03
2.042000000000000000e+03, 1.311276735135744048e+03, 2.898274532982783967e+03, 1.211805292560384032e+03, 8.674075014594559434e+02, 5.134395501445119407e+02, 1.610370741436415983e+03, 1.885188250402816038e+03, 1.364193416577023982e+03, 7.306952027668479559e+02, 1.801313176256511952e+03, 5.648400074670080357e+02, 1.471782884212736008e+03, 3.095891279872000155e+02, 2.461596349628415737e+03
2.043000000000000000e+03, 1.311369345368063932e+03, 2.898636383977471723e+03, 1.212310756524032058e+03, 8.670924253429759574e+02, 5.134045528719359481e+02, 1.611394554265599936e+03, 1.885682842730495850e+03, 1.364738072117248066e+03, 7.311210756177920302e+02, 1.801769382313983897e+03, 5.653288284323839434e+02, 1.472273315790848073e+03, 3.094335696404480132e+02, 2.462038194388991997e+03
2.044000000000000000e+03, 1.311654423822335957e+03, 2.898585918111743922e+03, 1.212743340261376034e+03, 8.668296270315520360e+02, 5.136351724830719832e+02, 1.612275559432192040e+03, 1.886187635605504056e+03, 1.365426340626431966e+03, 7.314246761185279411e+02, 1.802557106159616069e+03, 5.658516735918079803e+02, 1.472700396601343982e+03, 3.096674440314880030e+02, 2.462404608786432163e+03
2.045000000000000000e+03, 1.311647981371392007e+03, 2.898968438636543851e+03, 1.213493885796352060e+03, 8.669122380431359716e+02, 5.136688611327999752e+02, 1.613460701970431955e+03, 1.886584383209471980e+03, 1.366057700818943886e+03, 7.321393855201280303e+02, 1.802524759687167943e+03, 5.662112428851199866e+02, 1.473082917126143911e+03, 3.096428486328319991e+02, 2.462821489049600132e+03
2.046000000000000000e+03, 1.311824746119167912e+03, 2.899346664194048117e+03, 1.214319995912191871e+03, 8.669907554140160073e+02, 5.134862579138559795e+02, 1.614391904567296024e+03, 1.887022872526848005e+03, 1.366621146841087921e+03, 7.330102572482560390e+02, 1.802133246574592022e+03, 5.666471149568000101e+02, 1.473691728740351891e+03, 3.092526776975360008e+02, 2.463241322102784125e+03
2.047000000000000000e+03, 1.312009832366079991e+03, 2.899647580340224067e+03, 1.214820091166719976e+03, 8.671136988528639904e+02, 5.136283273789439363e+02, 1.615200163725311995e+03, 1.887562427793408006e+03, 1.367349680668671908e+03, 7.337091960668159345e+02, 1.802267464302591861e+03, 5.671452640542719337e+02, 1.474444555976703896e+03, 3.090985621913599743e+02, 2.463765039677439745e+03
2.048000000000000000e+03, 1.312242968559615974e+03, 2.899386661076991913e+03, 1.215358706909183866e+03, 8.673691822981120367e+02, 5.139162244055039537e+02, 1.616327592640511966e+03, 1.888101983059968006e+03, 1.368143175876607984e+03, 7.339910532956159841e+02, 1.803937132838912021e+03, 5.675170471608320213e+02, 1.474991761653760022e+03, 3.091248688660480184e+02, 2.464300031541247790e+03
2.049000000000000000e+03, 1.312343900291072032e+03, 2.899500477710335872e+03, 1.215904704626688044e+03, 8.674496458260480267e+02, 5.136265489940479938e+02, 1.617125919686656061e+03, 1.888499267534848059e+03, 1.368997203279871883e+03, 7.345176565514240110e+02, 1.805556335509503924e+03, 5.678935949967359420e+02, 1.475567824142335894e+03, 3.088113362534400039e+02, 2.464716374933504085e+03
2.050000000000000000e+03, 1.312195321266176052e+03, 2.900054260056063868e+03, 1.216703836979199878e+03, 8.670868553072639315e+02, 5.133249282048000168e+02, 1.617995113693184067e+03, 1.888770924216320054e+03, 1.369852438642687957e+03, 7.350307709255679356e+02, 1.806438011764736075e+03, 5.683345002332159766e+02, 1.476243476185087957e+03, 3.087835531837440044e+02, 2.465325186547711837e+03
2.051000000000000000e+03, 1.312282965442559998e+03, 2.900383630360575808e+03, 1.217213461692415876e+03, 8.666558821826560006e+02, 5.137124147855359979e+02, 1.619216629235711935e+03, 1.889108079149056039e+03, 1.370923093458943868e+03, 7.352308895580159742e+02, 1.806138303578112073e+03, 5.686236052193279420e+02, 1.476943287418879891e+03, 3.090041400197119970e+02, 2.465685426929664118e+03
2.052000000000000000e+03, 1.312635421196288007e+03, 2.900648844591104080e+03, 1.217711141027840085e+03, 8.663521474641919440e+02, 5.142255291596800362e+02, 1.620166756532223872e+03, 1.889566701125631880e+03, 1.372101256675327932e+03, 7.360427054858239444e+02, 1.807233520238592064e+03, 5.690163262914560391e+02, 1.477378152857600071e+03, 3.090351443148799717e+02, 2.466144719994879779e+03
2.053000000000000000e+03, 1.312955262042112054e+03, 2.900350881234944154e+03, 1.218760186789887939e+03, 8.660978048696320002e+02, 5.137346278195200284e+02, 1.621241706315775900e+03, 1.889908553678847966e+03, 1.372928708968448063e+03, 7.365288420966400054e+02, 1.807320627544063882e+03, 5.695610489405439694e+02, 1.477910326149120010e+03, 3.092560666951679877e+02, 2.466670316617728076e+03
2.054000000000000000e+03, 1.313262083768320053e+03, 2.900066876522495932e+03, 1.219818359357439931e+03, 8.659403003658239868e+02, 5.134809563136000179e+02, 1.622262969008128039e+03, 1.890331071086591919e+03, 1.373886486675455899e+03, 7.375801695600639505e+02, 1.807792402857983916e+03, 5.700290661580800133e+02, 1.478507460820992037e+03, 3.090259504005119879e+02, 2.467113503555583975e+03
2.055000000000000000e+03, 1.313431332323327979e+03, 2.900490467672063915e+03, 1.220902838599680081e+03, 8.660066039234559412e+02, 5.132917764259840396e+02, 1.623087468511231918e+03, 1.890704196370431873e+03, 1.375023579267071909e+03, 7.387701439365119995e+02, 1.808283102871552046e+03, 5.706468032512000264e+02, 1.479112111685632044e+03, 3.084142866595839791e+02, 2.467468375228415880e+03
2.056000000000000000e+03, 1.313356036177920032e+03, 2.900953787269119857e+03, 1.221766663897087938e+03, 8.663627506647039809e+02, 5.139308541378560449e+02, 1.624001357021184049e+03, 1.890823918583807881e+03, 1.375950352678911941e+03, 7.396806098943999359e+02, 1.808551538327551953e+03, 5.711679706890239459e+02, 1.479608046190591949e+03, 3.083556670668800166e+02, 2.467726878572544138e+03
2.057000000000000000e+03, 1.313286645612543907e+03, 2.900650455203840011e+03, 1.222588613263360003e+03, 8.667018517544960332e+02, 5.142665326755840169e+02, 1.625278036049920047e+03, 1.891236369661952040e+03, 1.376977655169024047e+03, 7.403986076303359596e+02, 1.809278193106943945e+03, 5.715433776742399914e+02, 1.480134448119807985e+03, 3.085164599050240213e+02, 2.468120404951039745e+03
2.058000000000000000e+03, 1.313314831335424060e+03, 2.900831380701184116e+03, 1.223517131505663883e+03, 8.666742029025280090e+02, 5.137739536138240055e+02, 1.626403585916928023e+03, 1.891751228866560041e+03, 1.377904025927679868e+03, 7.406904640798719583e+02, 1.810234897072127978e+03, 5.719525404180479882e+02, 1.480761915998207996e+03, 3.091217818583040184e+02, 2.468678482264063859e+03
2.059000000000000000e+03, 1.313342882840576067e+03, 2.901212827484159789e+03, 1.224382433198079980e+03, 8.665485751091199518e+02, 5.137355673436160259e+02, 1.627524169728000061e+03, 1.892038186369024061e+03, 1.378953876996095914e+03, 7.416916612218880118e+02, 1.808676092379135980e+03, 5.723502275461120234e+02, 1.481258387374080030e+03, 3.097300566015999834e+02, 2.469262329380863775e+03
2.060000000000000000e+03, 1.313095251132416024e+03, 2.901422207139839884e+03, 1.225044395032575949e+03, 8.666635325931520129e+02, 5.130682032455680428e+02, 1.628637639999487874e+03, 1.892478688952319999e+03, 1.379924539604991878e+03, 7.421672617410559951e+02, 1.808526976483327871e+03, 5.728007964590079837e+02, 1.481824517750784025e+03, 3.094389047951360112e+02, 2.469619885408255868e+03
2.061000000000000000e+03, 1.313325166100479919e+03, 2.901135786508287765e+03, 1.225740179734528056e+03, 8.668374787686399259e+02, 5.133314377646080402e+02, 1.629636890984447973e+03, 1.892973147062271892e+03, 1.380896275955711872e+03, 7.422090705633279413e+02, 1.809934115143679946e+03, 5.733639069368319952e+02, 1.482403935682559904e+03, 3.087253026897919881e+02, 2.469892078960639992e+03
2.062000000000000000e+03, 1.313553873108991866e+03, 2.900550328778751918e+03, 1.226641049124863912e+03, 8.667863418142719638e+02, 5.137408689438719875e+02, 1.630814248894464072e+03, 1.893302517366784059e+03, 1.381709098516480026e+03, 7.418363479326719698e+02, 1.811184084844544032e+03, 5.738839335239680395e+02, 1.482880542834687958e+03, 3.086878559436800060e+02, 2.470473510158336012e+03
2.063000000000000000e+03, 1.313723792752640065e+03, 2.900518921830399904e+03, 1.227440718348287874e+03, 8.667754701783039764e+02, 5.132432567173119651e+02, 1.631921142497280016e+03, 1.893814289563647890e+03, 1.382460852011008001e+03, 7.425093827297280313e+02, 1.811750349438975945e+03, 5.742814864343040426e+02, 1.483435801575423966e+03, 3.089911209000960071e+02, 2.471022460665855760e+03
2.064000000000000000e+03, 1.313676279676928061e+03, 2.901004253134848113e+03, 1.227645131948032031e+03, 8.667058782863359738e+02, 5.136018529320959942e+02, 1.632932204642303986e+03, 1.894301365698559948e+03, 1.383312866148351986e+03, 7.437817667911680246e+02, 1.811706191806463949e+03, 5.745939453050880275e+02, 1.483884894093311914e+03, 3.092445239705600102e+02, 2.471125539880959877e+03
2.065000000000000000e+03, 1.313372142305280022e+03, 2.901441534492671963e+03, 1.228192471842816076e+03, 8.668044612075519808e+02, 5.140734940282879961e+02, 1.634056278114303950e+03, 1.894630333349887906e+03, 1.384277086306304000e+03, 7.442651519385599386e+02, 1.813197887635456027e+03, 5.750441786736639642e+02, 1.484115480150016083e+03, 3.093026738012159740e+02, 2.471459473588223773e+03
2.066000000000000000e+03, 1.313106122768384012e+03, 2.901671583678463776e+03, 1.229233464541184048e+03, 8.670122302504960317e+02, 5.134670983331840262e+02, 1.635080493596671886e+03, 1.894741331410943985e+03, 1.385209899515903999e+03, 7.447143115653119594e+02, 1.814970366951424012e+03, 5.754915934699520221e+02, 1.484465654202367887e+03, 3.091104740147200118e+02, 2.471927893458943799e+03
2.067000000000000000e+03, 1.313162494214143862e+03, 2.901245308174336060e+03, 1.230346129506303896e+03, 8.670291416842239869e+02, 5.132497998315519681e+02, 1.635742052777983872e+03, 1.895034999799808020e+03, 1.386158953070591906e+03, 7.452345394790399951e+02, 1.814759376683007986e+03, 5.759562552442879451e+02, 1.485025476345856077e+03, 3.090045426728959796e+02, 2.472232836136960032e+03
2.068000000000000000e+03, 1.312990292869119912e+03, 2.901138470862847953e+03, 1.230772405010432067e+03, 8.671763785318399869e+02, 5.136261127864320315e+02, 1.636973231996928007e+03, 1.895495635042304002e+03, 1.387095927029759878e+03, 7.460915867811839917e+02, 1.814505705177087975e+03, 5.764601085952000403e+02, 1.485479266484223899e+03, 3.089881681100799824e+02, 2.472635757756415842e+03
2.069000000000000000e+03, 1.312807622541311957e+03, 2.901327449423872167e+03, 1.231340817088512040e+03, 8.672687203287040347e+02, 5.137208033935360163e+02, 1.638031404564479999e+03, 1.895862452092927924e+03, 1.387947135860735898e+03, 7.460662867394560180e+02, 1.815399326810111916e+03, 5.769133618626559610e+02, 1.485984462012415861e+03, 3.087149679247360154e+02, 2.473184708263936045e+03
2.070000000000000000e+03, 1.312968012726272036e+03, 2.901602595766271861e+03, 1.232208668917759951e+03, 8.670867881983999723e+02, 5.131708798074879496e+02, 1.638846106173439921e+03, 1.895913991700479983e+03, 1.388882901860351922e+03, 7.465214861639680066e+02, 1.814297936134144038e+03, 5.773880228577279468e+02, 1.486630049284096003e+03, 3.088056991088640189e+02, 2.473378518663168052e+03
2.071000000000000000e+03, 1.313054985814015936e+03, 2.902170336755712015e+03, 1.233278518427647896e+03, 8.669659251343359756e+02, 5.136025575751680208e+02, 1.640023061430272037e+03, 1.896211418185728007e+03, 1.389707401363456029e+03, 7.467476430356480250e+02, 1.814359944724479874e+03, 5.777692683141119687e+02, 1.487021830832127989e+03, 3.093579715051519656e+02, 2.473625747718143884e+03
2.072000000000000000e+03, 1.312958349049855997e+03, 2.902356094091263913e+03, 1.234413463535616074e+03, 8.671385962414079813e+02, 5.138802204999680043e+02, 1.640798303027200063e+03, 1.896547096723455979e+03, 1.390711081533439938e+03, 7.476011335680000229e+02, 1.815812717412351958e+03, 5.782411107368959620e+02, 1.487421799661568002e+03, 3.096384530022399986e+02, 2.473987867148287933e+03
2.073000000000000000e+03, 1.313176721293312085e+03, 2.902245498683391816e+03, 1.235254069166079944e+03, 8.674591752847360340e+02, 5.138896157409279795e+02, 1.641789366730751908e+03, 1.896730035486719999e+03, 1.391775025463296060e+03, 7.483102058250240134e+02, 1.816665805291519973e+03, 5.788096570327039672e+02, 1.487634534760447877e+03, 3.098639387852799700e+02, 2.474390520332287906e+03
2.074000000000000000e+03, 1.313480187576320077e+03, 2.902280932163584112e+03, 1.235515391082496080e+03, 8.676496973496319924e+02, 5.133799910277119807e+02, 1.642697618096128053e+03, 1.897096047230975955e+03, 1.392764881207295957e+03, 7.483103400427519318e+02, 1.816550378045439857e+03, 5.793203554877439956e+02, 1.487925116141567969e+03, 3.099173909954560031e+02, 2.474784583581696097e+03
2.075000000000000000e+03, 1.313583803662335868e+03, 2.902197985607680039e+03, 1.236062194106367997e+03, 8.676647968440320255e+02, 5.133962649272319823e+02, 1.643799948296192042e+03, 1.897528765186047849e+03, 1.393717155987455953e+03, 7.492668426813439737e+02, 1.816813579010047988e+03, 5.797586434785280289e+02, 1.488444941402111908e+03, 3.100491928043520033e+02, 2.475109658918911919e+03
2.076000000000000000e+03, 1.313476966350847988e+03, 2.902108059729920114e+03, 1.236937293692928051e+03, 8.677112361779200000e+02, 5.138527394201599918e+02, 1.644685114212351891e+03, 1.897878536585215898e+03, 1.394833713266687937e+03, 7.505077526855679935e+02, 1.817048057380864066e+03, 5.802414917550080418e+02, 1.488898597322752039e+03, 3.104982853222400081e+02, 2.475369504440319815e+03
2.077000000000000000e+03, 1.313298188337151942e+03, 2.902436624728064089e+03, 1.237873864998912040e+03, 8.678620297953279987e+02, 5.138473707110399573e+02, 1.645643697225727919e+03, 1.898279042285568039e+03, 1.395990804299776073e+03, 7.507760539238399815e+02, 1.818122604511231884e+03, 5.805067730943999322e+02, 1.489385002369024050e+03, 3.101881417072639806e+02, 2.475736187273215819e+03
2.078000000000000000e+03, 1.313114846920703940e+03, 2.902955242029056080e+03, 1.238778760921087951e+03, 8.679559150960640181e+02, 5.133967682437120175e+02, 1.646696232648703926e+03, 1.898336755908607984e+03, 1.397155411525631962e+03, 7.509886548049919384e+02, 1.818555859337215907e+03, 5.807772218163199796e+02, 1.489845234958336050e+03, 3.093846137241599763e+02, 2.475878189629439930e+03
2.079000000000000000e+03, 1.313149743529983880e+03, 2.903165426991104141e+03, 1.239225169084415938e+03, 8.679432986296319541e+02, 5.134246855311359923e+02, 1.647536972496895942e+03, 1.898595259252736014e+03, 1.398182445580288004e+03, 7.511371667210239593e+02, 1.817896984510463881e+03, 5.812361122283519990e+02, 1.490244264263679952e+03, 3.095376219340799935e+02, 2.476076563431423892e+03
2.080000000000000000e+03, 1.312979689668607989e+03, 2.902984233058303744e+03, 1.239093233057792077e+03, 8.679508148223999342e+02, 5.137248970342400298e+02, 1.648282149322752048e+03, 1.898937111805951872e+03, 1.399167469486079881e+03, 7.511679696895999996e+02, 1.817484130779135967e+03, 5.815276331335679743e+02, 1.490536456257535974e+03, 3.095565801881600123e+02, 2.476411570880512045e+03
2.081000000000000000e+03, 1.312737963540479996e+03, 2.902560641908735761e+03, 1.239511052845055929e+03, 8.680192658636799479e+02, 5.136706730721280110e+02, 1.649447696072704048e+03, 1.899134680301567869e+03, 1.400056930369536076e+03, 7.511473672683520135e+02, 1.817764511612927890e+03, 5.818684119449600303e+02, 1.490876698198015902e+03, 3.094755797893120075e+02, 2.476798923243519766e+03
2.082000000000000000e+03, 1.312362959208448046e+03, 2.902650836221951977e+03, 1.240052218724352088e+03, 8.680173868154879528e+02, 5.131042742599679514e+02, 1.650332727771135978e+03, 1.899352784109567892e+03, 1.400973905887231922e+03, 7.515531745689600029e+02, 1.817010610634751856e+03, 5.822082512322559751e+02, 1.491193183600639941e+03, 3.090179980001279887e+02, 2.477100913131519974e+03
2.083000000000000000e+03, 1.312286186668032087e+03, 2.902861289619455874e+03, 1.240840076787711951e+03, 8.680851667681280333e+02, 5.129920682393600373e+02, 1.651038981455871863e+03, 1.899734499327999856e+03, 1.401695728828415895e+03, 7.520810528931839372e+02, 1.817049802211327915e+03, 5.824480983121919735e+02, 1.491581072834560018e+03, 3.087259737784319782e+02, 2.477341699735552083e+03
2.084000000000000000e+03, 1.312312761778176082e+03, 2.903139388751872048e+03, 1.241291585224704022e+03, 8.680875155783679702e+02, 5.133248275415039643e+02, 1.651888982327295935e+03, 1.900058232487936039e+03, 1.402569754673151920e+03, 7.525110864936959842e+02, 1.817923828056063940e+03, 5.826696917811200365e+02, 1.491950574239743901e+03, 3.096118778920960040e+02, 2.477594029064192000e+03
