year, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM4-8, CNRM-ESM2-1, NorESM2-MM, CanESM5, TaiESM1, UKESM1-0-LL, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM5-0, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM
2.033000000000000000e+03, 2.878065490722656250e+02, 2.896502990722656250e+02, 2.878286132812500000e+02, 2.881878967285156250e+02, 2.878652343750000000e+02, 2.890867309570312500e+02, 2.888412780761718750e+02, 2.884119567871093750e+02, 2.879221801757812500e+02, 2.885757446289062500e+02, 2.879695129394531250e+02, 2.888635559082031250e+02, 2.877961730957031250e+02, 2.891336669921875000e+02, 2.891749572753906250e+02, 2.888333740234375000e+02
2.034000000000000000e+03, 2.878232116699218750e+02, 2.898321228027343750e+02, 2.878475646972656250e+02, 2.882472229003906250e+02, 2.879106750488281250e+02, 2.890601501464843750e+02, 2.889053649902343750e+02, 2.886151123046875000e+02, 2.879370422363281250e+02, 2.885682067871093750e+02, 2.879307556152343750e+02, 2.887690734863281250e+02, 2.878993835449218750e+02, 2.891738586425781250e+02, 2.890974731445312500e+02, 2.889870300292968750e+02
2.035000000000000000e+03, 2.880923156738281250e+02, 2.894709472656250000e+02, 2.878622741699218750e+02, 2.880937194824218750e+02, 2.879723205566406250e+02, 2.891063537597656250e+02, 2.888352966308593750e+02, 2.884810485839843750e+02, 2.877390441894531250e+02, 2.887204895019531250e+02, 2.879897766113281250e+02, 2.888592224121093750e+02, 2.878638610839843750e+02, 2.890632324218750000e+02, 2.893511962890625000e+02, 2.889662780761718750e+02
2.036000000000000000e+03, 2.882673645019531250e+02, 2.893589782714843750e+02, 2.878566589355468750e+02, 2.882313232421875000e+02, 2.880767822265625000e+02, 2.891850891113281250e+02, 2.889931945800781250e+02, 2.886419372558593750e+02, 2.878020324707031250e+02, 2.889360046386718750e+02, 2.878453674316406250e+02, 2.890472717285156250e+02, 2.878432312011718750e+02, 2.891997680664062500e+02, 2.893069152832031250e+02, 2.890481262207031250e+02
2.037000000000000000e+03, 2.880820617675781250e+02, 2.895174865722656250e+02, 2.878973388671875000e+02, 2.881528625488281250e+02, 2.882625427246093750e+02, 2.891121520996093750e+02, 2.891014099121093750e+02, 2.886607055664062500e+02, 2.879431152343750000e+02, 2.891829223632812500e+02, 2.880719299316406250e+02, 2.888180541992187500e+02, 2.878927001953125000e+02, 2.892666625976562500e+02, 2.892855529785156250e+02, 2.889170837402343750e+02
2.038000000000000000e+03, 2.881502685546875000e+02, 2.898649597167968750e+02, 2.879315185546875000e+02, 2.879853820800781250e+02, 2.882586669921875000e+02, 2.892194824218750000e+02, 2.889750671386718750e+02, 2.886188659667968750e+02, 2.878207092285156250e+02, 2.889454040527343750e+02, 2.881387023925781250e+02, 2.888478698730468750e+02, 2.878670349121093750e+02, 2.892333984375000000e+02, 2.893199157714843750e+02, 2.890807495117187500e+02
2.039000000000000000e+03, 2.880581054687500000e+02, 2.897892761230468750e+02, 2.879937438964843750e+02, 2.881120910644531250e+02, 2.880914916992187500e+02, 2.892740783691406250e+02, 2.889922180175781250e+02, 2.885664367675781250e+02, 2.878137512207031250e+02, 2.886418457031250000e+02, 2.880332031250000000e+02, 2.888083190917968750e+02, 2.879026184082031250e+02, 2.893057250976562500e+02, 2.894794006347656250e+02, 2.890554199218750000e+02
2.040000000000000000e+03, 2.880191345214843750e+02, 2.895307312011718750e+02, 2.879052429199218750e+02, 2.882370300292968750e+02, 2.882339172363281250e+02, 2.892245178222656250e+02, 2.889370117187500000e+02, 2.885641479492187500e+02, 2.877647705078125000e+02, 2.886935729980468750e+02, 2.877713928222656250e+02, 2.886365966796875000e+02, 2.878656311035156250e+02, 2.892379150390625000e+02, 2.893322448730468750e+02, 2.891337585449218750e+02
2.041000000000000000e+03, 2.882821960449218750e+02, 2.894521179199218750e+02, 2.877639160156250000e+02, 2.881126403808593750e+02, 2.883404235839843750e+02, 2.892250366210937500e+02, 2.891213073730468750e+02, 2.886072692871093750e+02, 2.879765930175781250e+02, 2.887937622070312500e+02, 2.879432678222656250e+02, 2.888027038574218750e+02, 2.878403015136718750e+02, 2.892360839843750000e+02, 2.892872314453125000e+02, 2.891824035644531250e+02
2.042000000000000000e+03, 2.883529968261718750e+02, 2.897384338378906250e+02, 2.877945556640625000e+02, 2.882745971679687500e+02, 2.883321838378906250e+02, 2.893185119628906250e+02, 2.892566833496093750e+02, 2.887219848632812500e+02, 2.879601745605468750e+02, 2.889934692382812500e+02, 2.880793762207031250e+02, 2.888561096191406250e+02, 2.877990417480468750e+02, 2.892874450683593750e+02, 2.894404602050781250e+02, 2.890261230468750000e+02
2.043000000000000000e+03, 2.881407165527343750e+02, 2.900645751953125000e+02, 2.879919128417968750e+02, 2.883638610839843750e+02, 2.885890808105468750e+02, 2.893386840820312500e+02, 2.891752014160156250e+02, 2.888152160644531250e+02, 2.879697570800781250e+02, 2.889551391601562500e+02, 2.879640197753906250e+02, 2.886394348144531250e+02, 2.878713989257812500e+02, 2.893143310546875000e+02, 2.894873962402343750e+02, 2.890105285644531250e+02
2.044000000000000000e+03, 2.882268981933593750e+02, 2.897931823730468750e+02, 2.879308166503906250e+02, 2.883735961914062500e+02, 2.885169982910156250e+02, 2.892127990722656250e+02, 2.892741394042968750e+02, 2.888120422363281250e+02, 2.878106994628906250e+02, 2.886663208007812500e+02, 2.881349792480468750e+02, 2.887772827148437500e+02, 2.879029541015625000e+02, 2.892927856445312500e+02, 2.893637390136718750e+02, 2.891852111816406250e+02
2.045000000000000000e+03, 2.882560729980468750e+02, 2.896117553710937500e+02, 2.879562988281250000e+02, 2.882996520996093750e+02, 2.882407226562500000e+02, 2.892956848144531250e+02, 2.892695617675781250e+02, 2.888978576660156250e+02, 2.879065551757812500e+02, 2.884875793457031250e+02, 2.881569519042968750e+02, 2.888916320800781250e+02, 2.878810119628906250e+02, 2.894486999511718750e+02, 2.892925415039062500e+02, 2.890107727050781250e+02
2.046000000000000000e+03, 2.882102966308593750e+02, 2.897274475097656250e+02, 2.880179138183593750e+02, 2.884344177246093750e+02, 2.883096313476562500e+02, 2.895305175781250000e+02, 2.891673278808593750e+02, 2.889280700683593750e+02, 2.880294494628906250e+02, 2.886172485351562500e+02, 2.880635375976562500e+02, 2.888645019531250000e+02, 2.879050598144531250e+02, 2.896224060058593750e+02, 2.893646545410156250e+02, 2.890943298339843750e+02
2.047000000000000000e+03, 2.882701416015625000e+02, 2.899952697753906250e+02, 2.879912719726562500e+02, 2.883182678222656250e+02, 2.884153137207031250e+02, 2.894209899902343750e+02, 2.893882141113281250e+02, 2.888312072753906250e+02, 2.879238891601562500e+02, 2.887348632812500000e+02, 2.882385559082031250e+02, 2.888733215332031250e+02, 2.878774719238281250e+02, 2.895329284667968750e+02, 2.892382507324218750e+02, 2.890224914550781250e+02
2.048000000000000000e+03, 2.883188171386718750e+02, 2.897485656738281250e+02, 2.880133056640625000e+02, 2.885452575683593750e+02, 2.883088684082031250e+02, 2.892486877441406250e+02, 2.895045471191406250e+02, 2.886820373535156250e+02, 2.878965148925781250e+02, 2.889945678710937500e+02, 2.882733764648437500e+02, 2.888077697753906250e+02, 2.879317016601562500e+02, 2.895440979003906250e+02, 2.893542175292968750e+02, 2.892436218261718750e+02
2.049000000000000000e+03, 2.883050231933593750e+02, 2.897648620605468750e+02, 2.880079650878906250e+02, 2.883338928222656250e+02, 2.883314514160156250e+02, 2.894088439941406250e+02, 2.894421386718750000e+02, 2.887118225097656250e+02, 2.880459899902343750e+02, 2.890068359375000000e+02, 2.882795104980468750e+02, 2.890950622558593750e+02, 2.878376159667968750e+02, 2.897046813964843750e+02, 2.895369262695312500e+02, 2.891294250488281250e+02
2.050000000000000000e+03, 2.882115783691406250e+02, 2.899101867675781250e+02, 2.880020446777343750e+02, 2.883591613769531250e+02, 2.884068298339843750e+02, 2.893418579101562500e+02, 2.893475341796875000e+02, 2.888913879394531250e+02, 2.879523620605468750e+02, 2.888042297363281250e+02, 2.884374389648437500e+02, 2.891041564941406250e+02, 2.879766540527343750e+02, 2.896669006347656250e+02, 2.896104431152343750e+02, 2.891721496582031250e+02
2.051000000000000000e+03, 2.883503417968750000e+02, 2.900016174316406250e+02, 2.879947204589843750e+02, 2.883285827636718750e+02, 2.884548034667968750e+02, 2.891736755371093750e+02, 2.894536437988281250e+02, 2.888709716796875000e+02, 2.879633483886718750e+02, 2.886243896484375000e+02, 2.884510803222656250e+02, 2.887227478027343750e+02, 2.879898986816406250e+02, 2.897122802734375000e+02, 2.894676208496093750e+02, 2.891297302246093750e+02
2.052000000000000000e+03, 2.882858581542968750e+02, 2.896344299316406250e+02, 2.879803161621093750e+02, 2.884925842285156250e+02, 2.881678771972656250e+02, 2.894232177734375000e+02, 2.894739379882812500e+02, 2.889590759277343750e+02, 2.879635314941406250e+02, 2.886541442871093750e+02, 2.880636291503906250e+02, 2.888612365722656250e+02, 2.878636779785156250e+02, 2.897389831542968750e+02, 2.894468688964843750e+02, 2.892973327636718750e+02
2.053000000000000000e+03, 2.881965332031250000e+02, 2.895604553222656250e+02, 2.879075012207031250e+02, 2.884190368652343750e+02, 2.881668701171875000e+02, 2.895981140136718750e+02, 2.893496398925781250e+02, 2.890281677246093750e+02, 2.878909606933593750e+02, 2.889442443847656250e+02, 2.881380310058593750e+02, 2.889748229980468750e+02, 2.877402343750000000e+02, 2.896028442382812500e+02, 2.894758605957031250e+02, 2.891579895019531250e+02
2.054000000000000000e+03, 2.881596374511718750e+02, 2.896142272949218750e+02, 2.880263977050781250e+02, 2.885210876464843750e+02, 2.882284851074218750e+02, 2.895231628417968750e+02, 2.893675231933593750e+02, 2.888692321777343750e+02, 2.880114746093750000e+02, 2.890349426269531250e+02, 2.880604553222656250e+02, 2.888979187011718750e+02, 2.877170104980468750e+02, 2.896783447265625000e+02, 2.894458923339843750e+02, 2.892033386230468750e+02
2.055000000000000000e+03, 2.882138977050781250e+02, 2.900484924316406250e+02, 2.880254821777343750e+02, 2.882796325683593750e+02, 2.882194519042968750e+02, 2.894979248046875000e+02, 2.895201721191406250e+02, 2.889978942871093750e+02, 2.881203613281250000e+02, 2.888312072753906250e+02, 2.881884765625000000e+02, 2.889579162597656250e+02, 2.878441467285156250e+02, 2.897769165039062500e+02, 2.893020935058593750e+02, 2.892663879394531250e+02
2.056000000000000000e+03, 2.882943420410156250e+02, 2.900178527832031250e+02, 2.879874572753906250e+02, 2.882236633300781250e+02, 2.882442932128906250e+02, 2.896587219238281250e+02, 2.895268554687500000e+02, 2.890386962890625000e+02, 2.880609436035156250e+02, 2.889593200683593750e+02, 2.883526916503906250e+02, 2.890834655761718750e+02, 2.878795776367187500e+02, 2.896729736328125000e+02, 2.893688964843750000e+02, 2.890913391113281250e+02
2.057000000000000000e+03, 2.882702941894531250e+02, 2.898642883300781250e+02, 2.880670166015625000e+02, 2.882915344238281250e+02, 2.883570251464843750e+02, 2.896851501464843750e+02, 2.894327087402343750e+02, 2.890060119628906250e+02, 2.879507446289062500e+02, 2.890268249511718750e+02, 2.882887573242187500e+02, 2.891049499511718750e+02, 2.878566284179687500e+02, 2.897724609375000000e+02, 2.895511169433593750e+02, 2.892608032226562500e+02
2.058000000000000000e+03, 2.881960144042968750e+02, 2.898698425292968750e+02, 2.880584716796875000e+02, 2.884362487792968750e+02, 2.885198364257812500e+02, 2.895149536132812500e+02, 2.895505065917968750e+02, 2.891366271972656250e+02, 2.878277893066406250e+02, 2.889089660644531250e+02, 2.883853759765625000e+02, 2.890860290527343750e+02, 2.877843322753906250e+02, 2.898648681640625000e+02, 2.896919860839843750e+02, 2.893251037597656250e+02
2.059000000000000000e+03, 2.882939147949218750e+02, 2.898319396972656250e+02, 2.880556945800781250e+02, 2.884338684082031250e+02, 2.883137817382812500e+02, 2.895591430664062500e+02, 2.896887512207031250e+02, 2.893420104980468750e+02, 2.879115905761718750e+02, 2.890672912597656250e+02, 2.883002319335937500e+02, 2.892665710449218750e+02, 2.879378356933593750e+02, 2.899661560058593750e+02, 2.895801086425781250e+02, 2.891018981933593750e+02
2.060000000000000000e+03, 2.885118713378906250e+02, 2.898478088378906250e+02, 2.880766601562500000e+02, 2.885784912109375000e+02, 2.883639831542968750e+02, 2.896837463378906250e+02, 2.895093078613281250e+02, 2.891157836914062500e+02, 2.880731201171875000e+02, 2.889765930175781250e+02, 2.881491088867187500e+02, 2.891042785644531250e+02, 2.878048095703125000e+02, 2.899306945800781250e+02, 2.894782409667968750e+02, 2.892944641113281250e+02
2.061000000000000000e+03, 2.885007019042968750e+02, 2.897283935546875000e+02, 2.880464782714843750e+02, 2.885066833496093750e+02, 2.885214233398437500e+02, 2.895857849121093750e+02, 2.895105285644531250e+02, 2.889763488769531250e+02, 2.881282043457031250e+02, 2.888807678222656250e+02, 2.881517333984375000e+02, 2.889455261230468750e+02, 2.879710388183593750e+02, 2.898271789550781250e+02, 2.895318908691406250e+02, 2.892779846191406250e+02
2.062000000000000000e+03, 2.881339416503906250e+02, 2.897186889648437500e+02, 2.881057739257812500e+02, 2.885441894531250000e+02, 2.884352722167968750e+02, 2.896581726074218750e+02, 2.896395568847656250e+02, 2.889413757324218750e+02, 2.880083007812500000e+02, 2.889025573730468750e+02, 2.883459167480468750e+02, 2.889827880859375000e+02, 2.879845886230468750e+02, 2.896626892089843750e+02, 2.895346984863281250e+02, 2.891416320800781250e+02
2.063000000000000000e+03, 2.881061706542968750e+02, 2.900064697265625000e+02, 2.880390930175781250e+02, 2.886224365234375000e+02, 2.886889343261718750e+02, 2.897098388671875000e+02, 2.895696411132812500e+02, 2.890946044921875000e+02, 2.879371643066406250e+02, 2.889488830566406250e+02, 2.884253234863281250e+02, 2.889358215332031250e+02, 2.880386962890625000e+02, 2.895473632812500000e+02, 2.895600891113281250e+02, 2.892608337402343750e+02
2.064000000000000000e+03, 2.881828308105468750e+02, 2.900135192871093750e+02, 2.880703430175781250e+02, 2.883782348632812500e+02, 2.885094299316406250e+02, 2.896500549316406250e+02, 2.895456848144531250e+02, 2.890183410644531250e+02, 2.879263305664062500e+02, 2.888305969238281250e+02, 2.884626464843750000e+02, 2.891277160644531250e+02, 2.879692382812500000e+02, 2.896843566894531250e+02, 2.895308532714843750e+02, 2.894472961425781250e+02
2.065000000000000000e+03, 2.881399841308593750e+02, 2.896269226074218750e+02, 2.880677185058593750e+02, 2.886191711425781250e+02, 2.882911376953125000e+02, 2.895270690917968750e+02, 2.896678161621093750e+02, 2.887203369140625000e+02, 2.879661560058593750e+02, 2.890412292480468750e+02, 2.883289794921875000e+02, 2.892577819824218750e+02, 2.878547973632812500e+02, 2.899190368652343750e+02, 2.893547058105468750e+02, 2.893399658203125000e+02
2.066000000000000000e+03, 2.881397399902343750e+02, 2.895969238281250000e+02, 2.880606994628906250e+02, 2.887262268066406250e+02, 2.882920227050781250e+02, 2.895989074707031250e+02, 2.894074707031250000e+02, 2.890039062500000000e+02, 2.881293029785156250e+02, 2.890451660156250000e+02, 2.882906494140625000e+02, 2.891195373535156250e+02, 2.879574584960937500e+02, 2.899891357421875000e+02, 2.895846557617187500e+02, 2.891991271972656250e+02
2.067000000000000000e+03, 2.881921691894531250e+02, 2.898222351074218750e+02, 2.880874328613281250e+02, 2.883200378417968750e+02, 2.885241394042968750e+02, 2.895466613769531250e+02, 2.894046630859375000e+02, 2.892150878906250000e+02, 2.880038146972656250e+02, 2.888398132324218750e+02, 2.882351989746093750e+02, 2.890409545898437500e+02, 2.880002136230468750e+02, 2.897237854003906250e+02, 2.896559143066406250e+02, 2.893088378906250000e+02
2.068000000000000000e+03, 2.884009704589843750e+02, 2.900935363769531250e+02, 2.880581970214843750e+02, 2.884765319824218750e+02, 2.884950866699218750e+02, 2.895257263183593750e+02, 2.896550598144531250e+02, 2.891097106933593750e+02, 2.881193847656250000e+02, 2.889195251464843750e+02, 2.882496643066406250e+02, 2.893306579589843750e+02, 2.879134216308593750e+02, 2.896593322753906250e+02, 2.896156005859375000e+02, 2.894297790527343750e+02
2.069000000000000000e+03, 2.882592468261718750e+02, 2.897586975097656250e+02, 2.880180969238281250e+02, 2.886898193359375000e+02, 2.885148925781250000e+02, 2.896900329589843750e+02, 2.897127075195312500e+02, 2.891732177734375000e+02, 2.881485900878906250e+02, 2.891142272949218750e+02, 2.882516784667968750e+02, 2.891694335937500000e+02, 2.877931823730468750e+02, 2.896533813476562500e+02, 2.898364257812500000e+02, 2.894604797363281250e+02
2.070000000000000000e+03, 2.882227783203125000e+02, 2.895403747558593750e+02, 2.880387573242187500e+02, 2.887366638183593750e+02, 2.886037597656250000e+02, 2.897080688476562500e+02, 2.895361022949218750e+02, 2.892741394042968750e+02, 2.880464172363281250e+02, 2.891437072753906250e+02, 2.883929443359375000e+02, 2.890191345214843750e+02, 2.877954406738281250e+02, 2.896103515625000000e+02, 2.898000793457031250e+02, 2.893215637207031250e+02
2.071000000000000000e+03, 2.882350158691406250e+02, 2.894871826171875000e+02, 2.880585327148437500e+02, 2.887655944824218750e+02, 2.884836120605468750e+02, 2.896169738769531250e+02, 2.894434509277343750e+02, 2.891870117187500000e+02, 2.879710693359375000e+02, 2.887426147460937500e+02, 2.883282775878906250e+02, 2.892301330566406250e+02, 2.878493652343750000e+02, 2.897255859375000000e+02, 2.897902526855468750e+02, 2.893486328125000000e+02
2.072000000000000000e+03, 2.882096862792968750e+02, 2.896390991210937500e+02, 2.881258850097656250e+02, 2.885818786621093750e+02, 2.884242248535156250e+02, 2.896128234863281250e+02, 2.895838623046875000e+02, 2.891020507812500000e+02, 2.879961547851562500e+02, 2.888483581542968750e+02, 2.881852722167968750e+02, 2.890943908691406250e+02, 2.878636169433593750e+02, 2.897808227539062500e+02, 2.896021728515625000e+02, 2.894087829589843750e+02
2.073000000000000000e+03, 2.882848815917968750e+02, 2.898706359863281250e+02, 2.882005310058593750e+02, 2.886217041015625000e+02, 2.884360046386718750e+02, 2.896687316894531250e+02, 2.897199401855468750e+02, 2.890902709960937500e+02, 2.879136047363281250e+02, 2.889587707519531250e+02, 2.883005065917968750e+02, 2.889668273925781250e+02, 2.878437805175781250e+02, 2.900055847167968750e+02, 2.896814880371093750e+02, 2.892745971679687500e+02
2.074000000000000000e+03, 2.881323242187500000e+02, 2.899837036132812500e+02, 2.881180725097656250e+02, 2.885383605957031250e+02, 2.883016357421875000e+02, 2.897194519042968750e+02, 2.896520080566406250e+02, 2.893056335449218750e+02, 2.879544677734375000e+02, 2.891796569824218750e+02, 2.883458862304687500e+02, 2.890486755371093750e+02, 2.878596496582031250e+02, 2.898353576660156250e+02, 2.898374023437500000e+02, 2.893891906738281250e+02
2.075000000000000000e+03, 2.881055908203125000e+02, 2.897318420410156250e+02, 2.880899047851562500e+02, 2.886907043457031250e+02, 2.884012756347656250e+02, 2.896331481933593750e+02, 2.897140502929687500e+02, 2.892553710937500000e+02, 2.878961486816406250e+02, 2.890489501953125000e+02, 2.882737731933593750e+02, 2.890298156738281250e+02, 2.878560485839843750e+02, 2.897030639648437500e+02, 2.897027893066406250e+02, 2.892764282226562500e+02
2.076000000000000000e+03, 2.882428283691406250e+02, 2.897054748535156250e+02, 2.880479736328125000e+02, 2.887434997558593750e+02, 2.883570556640625000e+02, 2.895659484863281250e+02, 2.896912536621093750e+02, 2.891162109375000000e+02, 2.877860412597656250e+02, 2.889911499023437500e+02, 2.885235595703125000e+02, 2.891694030761718750e+02, 2.879408264160156250e+02, 2.896517333984375000e+02, 2.896408996582031250e+02, 2.892787780761718750e+02
