year, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.083000000000000000e+03, 2.807955783680000095e-01, 7.522716483583999469e+00, 1.841477923635200042e+01, 2.805830516736000035e+00, 9.556205895680000006e-01, 1.130478279065600056e+01, 5.774426111999999556e-01, 5.327430352896000088e+00, 1.289822614323199979e+01
2.084000000000000000e+03, 2.875063336959999827e-01, 7.506434719744000006e+00, 1.842920344780799979e+01, 2.806888529920000153e+00, 9.610579148800000304e-01, 1.123711818137599927e+01, 6.094984970239999411e-01, 5.314043183104000256e+00, 1.287734060646399925e+01
2.085000000000000000e+03, 2.948305059840000131e-01, 7.536181248000000110e+00, 1.829167221964799950e+01, 2.808084955136000094e+00, 9.669516328959999463e-01, 1.117291806719999947e+01, 6.335178997760000374e-01, 5.292778061823999458e+00, 1.280701051699199944e+01
2.086000000000000000e+03, 2.919004569599999988e-01, 7.499692900351999647e+00, 1.822293596569599927e+01, 2.772231782400000011e+00, 9.336866078719999740e-01, 1.110035870515199896e+01, 6.168526847999999951e-01, 5.265304322048000252e+00, 1.275410251775999981e+01
2.087000000000000000e+03, 2.900969717759999678e-01, 7.466240704511999837e+00, 1.818703691776000042e+01, 2.741775368192000073e+00, 9.050387906560000140e-01, 1.103192758681599983e+01, 6.156434145279999770e-01, 5.239848042495999891e+00, 1.268648299724799955e+01
2.088000000000000000e+03, 2.892556861439999905e-01, 7.417409044480000269e+00, 1.817270707814400055e+01, 2.714885685247999891e+00, 8.800443432960000090e-01, 1.093953545830400031e+01, 6.243064872960000233e-01, 5.216457457664000152e+00, 1.269575031193599912e+01
2.089000000000000000e+03, 2.890626826239999780e-01, 7.339230363647999411e+00, 1.816775779942399893e+01, 2.690554003456000043e+00, 8.585069854719999949e-01, 1.088213745664000065e+01, 6.404995809279999675e-01, 5.195189714944000059e+00, 1.264218275840000061e+01
2.090000000000000000e+03, 2.899475169279999709e-01, 7.385693290495999541e+00, 1.800690204672000050e+01, 2.669780140032000038e+00, 8.460379750400000010e-01, 1.080815937126399895e+01, 6.513652531199999318e-01, 5.155486957567999795e+00, 1.253767538278400018e+01
2.091000000000000000e+03, 2.835533987839999881e-01, 7.236113924096000183e+00, 1.787912047820799799e+01, 2.597915721728000005e+00, 7.911600291839999688e-01, 1.074046225612799965e+01, 6.138365870080000342e-01, 5.101372047359999939e+00, 1.244506305331199947e+01
2.092000000000000000e+03, 2.775643914239999677e-01, 7.184081485823999635e+00, 1.776138217062399960e+01, 2.537052962815999901e+00, 7.399617331200000203e-01, 1.064188982067200051e+01, 5.866645749759999973e-01, 5.055436029952000254e+00, 1.235027912294400032e+01
2.093000000000000000e+03, 2.717291806719999703e-01, 7.169617428479999610e+00, 1.766019458662399799e+01, 2.482050957311999984e+00, 6.941666181119999779e-01, 1.056618892492799944e+01, 5.692723691519999685e-01, 5.014857711616000024e+00, 1.231263000166399912e+01
2.094000000000000000e+03, 2.665725296639999686e-01, 7.092020707327999496e+00, 1.758861249740800048e+01, 2.435877437439999849e+00, 6.538106634239999604e-01, 1.048309347123199942e+01, 5.588269793279999620e-01, 4.977497997311999711e+00, 1.224648792473599990e+01
2.095000000000000000e+03, 2.616437637119999882e-01, 7.084373966848000137e+00, 1.743254139699200067e+01, 2.394873659392000143e+00, 6.227827752960000129e-01, 1.041253688934400046e+01, 5.488950968319999957e-01, 4.935478935552000124e+00, 1.211523976396799895e+01
2.096000000000000000e+03, 2.519993384959999805e-01, 7.022303510528000281e+00, 1.730965458124800094e+01, 2.343555301375999989e+00, 5.761426391039999872e-01, 1.034159652864000023e+01, 5.245429022719999557e-01, 4.889074204672000157e+00, 1.204228823449600050e+01
2.097000000000000000e+03, 2.429074800640000087e-01, 6.930689425407999593e+00, 1.718557238886399929e+01, 2.299924840447999941e+00, 5.337738117120000014e-01, 1.024764307046399914e+01, 5.040740433920000152e-01, 4.845905379328000251e+00, 1.196186140672000064e+01
2.098000000000000000e+03, 2.346436526079999918e-01, 6.840888328191999435e+00, 1.706182154649599880e+01, 2.259866091520000175e+00, 4.954730004479999672e-01, 1.016481500364800006e+01, 4.870505758720000133e-01, 4.805303468032000147e+00, 1.184384942079999981e+01
2.099000000000000000e+03, 2.274200944639999944e-01, 6.817814413311999999e+00, 1.693720877465599983e+01, 2.225728126976000087e+00, 4.617938862079999929e-01, 1.007968531251199984e+01, 4.720065576959999731e-01, 4.767645958143999607e+00, 1.172645714329599897e+01
2.100000000000000000e+03, 2.204976250879999988e-01, 6.716902604799999565e+00, 1.684370934988799817e+01, 2.198644064255999897e+00, 4.377682575360000161e-01, 9.999983050752000224e+00, 4.580469309440000081e-01, 4.562633621504000203e+00, 1.158621744332799963e+01
