year, INM-CM5-0, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, CanESM5, CESM2-WACCM, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, EC-Earth3-Veg
2.025000000000000000e+03, 3.051071951631456614e+00, 2.895894320681691170e+00, 3.122354380320757627e+00, 2.979321812745183706e+00, 3.058171214070171118e+00, 3.111191256903111935e+00, 3.259707475081086159e+00, 3.154396614991128445e+00, 2.858443558216094971e+00, 2.862314425874501467e+00, 2.922865294385701418e+00, 2.998019848018884659e+00, 3.061375091783702374e+00, 2.989115752279758453e+00, 3.198839456308633089e+00, 2.952634671237319708e+00
2.026000000000000000e+03, 3.062617289833724499e+00, 2.891091175843030214e+00, 3.147926309611648321e+00, 2.982205711305141449e+00, 3.041009895969182253e+00, 3.130528307519853115e+00, 3.251966368407011032e+00, 3.156504454091191292e+00, 2.856533427257090807e+00, 2.893564256373792887e+00, 2.937446348369121552e+00, 2.958050428424030542e+00, 3.068475925829261541e+00, 2.991708903573453426e+00, 3.206599422264844179e+00, 2.973036014009267092e+00
2.027000000000000000e+03, 3.082553122658282518e+00, 2.872381825000047684e+00, 3.166627173777669668e+00, 2.962868346367031336e+00, 3.038859937805682421e+00, 3.149354585912078619e+00, 3.268852655310183764e+00, 3.169809363316744566e+00, 2.860167296603322029e+00, 2.884300891309976578e+00, 2.943555812817066908e+00, 2.961905580013990402e+00, 3.064828540664166212e+00, 3.000174521002918482e+00, 3.203856968320906162e+00, 2.981704368721693754e+00
2.028000000000000000e+03, 3.074883366934955120e+00, 2.898437494877725840e+00, 3.145364904776215553e+00, 2.977826271671801805e+00, 3.053561062552034855e+00, 3.178761235903948545e+00, 3.273416915908455849e+00, 3.182639647275209427e+00, 2.866905089467763901e+00, 2.878532151225954294e+00, 2.953343151602894068e+00, 2.978333586361259222e+00, 3.052797890268266201e+00, 2.977714373264461756e+00, 3.228551626671105623e+00, 2.949400304351001978e+00
2.029000000000000000e+03, 3.088042431045323610e+00, 2.876766293775290251e+00, 3.153271973133087158e+00, 2.981499431189149618e+00, 3.046716086100786924e+00, 3.159893781412392855e+00, 3.272999182809144258e+00, 3.155067376792430878e+00, 2.875971060711890459e+00, 2.884554862976074219e+00, 2.943251235410571098e+00, 2.968766272533684969e+00, 3.065277705900371075e+00, 2.963097800966352224e+00, 3.255408816039562225e+00, 2.959028596524149179e+00
2.030000000000000000e+03, 3.064122889190912247e+00, 2.879143191967159510e+00, 3.166042221710085869e+00, 2.993619348853826523e+00, 3.057827032171189785e+00, 3.145043668337166309e+00, 3.265599114820361137e+00, 3.159212332684546709e+00, 2.870182204060256481e+00, 2.887625468429177999e+00, 2.956922329030930996e+00, 2.997480158228427172e+00, 3.071622911375015974e+00, 2.978123934008181095e+00, 3.220673475880175829e+00, 2.980742545332759619e+00
2.031000000000000000e+03, 3.072655142750591040e+00, 2.896466385573148727e+00, 3.150539577472954988e+00, 2.986653987318277359e+00, 3.061157895717769861e+00, 3.144823329057544470e+00, 3.276362421456724405e+00, 3.177971660625189543e+00, 2.881472941953688860e+00, 2.867156860884279013e+00, 2.949831553269177675e+00, 2.954480366315692663e+00, 3.070921974722296000e+00, 3.000239271204918623e+00, 3.207421058323234320e+00, 2.967181778512895107e+00
2.032000000000000000e+03, 3.060348518192768097e+00, 2.900705009233206511e+00, 3.147024521604180336e+00, 2.974632137920707464e+00, 3.045075957197695971e+00, 3.142478491645306349e+00, 3.282107587438076735e+00, 3.161910467315465212e+00, 2.873662055935710669e+00, 2.918291918467730284e+00, 2.969850052613765001e+00, 2.969255356583744287e+00, 3.081609529908746481e+00, 2.990541828330606222e+00, 3.222938789986073971e+00, 2.968298562336713076e+00
2.033000000000000000e+03, 3.067619085777550936e+00, 2.871378511190414429e+00, 3.152808663435280323e+00, 2.989847178105264902e+00, 3.067041048780083656e+00, 3.160374378785490990e+00, 3.274852421600371599e+00, 3.167269018013030291e+00, 2.847609529271721840e+00, 2.882283891085535288e+00, 2.968766272533684969e+00, 2.979609416797757149e+00, 3.086611325852572918e+00, 2.968020702246576548e+00, 3.235686093103140593e+00, 2.979610359761863947e+00
2.034000000000000000e+03, 3.096223273314535618e+00, 2.865624544210731983e+00, 3.170563734602183104e+00, 3.008922084700316191e+00, 3.060211159754544497e+00, 3.162978217005729675e+00, 3.259783855173736811e+00, 3.195781738031655550e+00, 2.866073709446936846e+00, 2.870588621590286493e+00, 2.965267561376094818e+00, 3.015950939152389765e+00, 3.084478026721626520e+00, 3.004666173364967108e+00, 3.261821600608527660e+00, 2.980656421277672052e+00
2.035000000000000000e+03, 3.091766824945807457e+00, 2.877335215453058481e+00, 3.151906875427812338e+00, 2.973158913664519787e+00, 3.067363228183239698e+00, 3.161378006916493177e+00, 3.286388330161571503e+00, 3.172907629050314426e+00, 2.867740869987756014e+00, 2.878380648326128721e+00, 2.963432238902896643e+00, 2.995865175034850836e+00, 3.078891593031585217e+00, 2.970357367303222418e+00, 3.221375041175633669e+00, 2.972943289205431938e+00
2.036000000000000000e+03, 3.090294857975095510e+00, 2.858827030286192894e+00, 3.175943030510097742e+00, 2.992342889774590731e+00, 3.059954044874757528e+00, 3.175875137094408274e+00, 3.281087300274521112e+00, 3.191570774652063847e+00, 2.874666627030819654e+00, 2.898367715533822775e+00, 2.994221902918070555e+00, 3.012955770827829838e+00, 3.085593238938599825e+00, 3.009355219546705484e+00, 3.219941735733300447e+00, 3.006840019952505827e+00
