year, GFDL-ESM4, TaiESM1, NorESM2-LM, CNRM-ESM2-1, NorESM2-MM
2.037000000000000000e+03, 7.320284733251373196e-11, 2.054417567077088255e-11, 1.197436715448993585e-10, 2.693780918724795766e-10, 9.753953588461830536e-11
2.038000000000000000e+03, 9.775414852134025065e-11, 3.435714272720168571e-11, 1.180587243208303927e-10, 2.016344639737866959e-10, 1.359184603730562563e-10
2.039000000000000000e+03, 1.358696109070710468e-10, 2.554660904999052679e-11, 1.157088692049287818e-10, 1.953052244828113693e-10, 1.689016511813297868e-10
2.040000000000000000e+03, 7.636555399110391421e-11, 1.920924584112692403e-11, 1.159409186566484395e-10, 2.038428434011052657e-10, 1.232209361908600481e-10
2.041000000000000000e+03, 7.498690707006887580e-11, 2.389686658409417651e-11, 1.165145996874946667e-10, 1.553403017292500691e-10, 1.143501540629978651e-10
2.042000000000000000e+03, 1.042827380833039810e-10, 2.213299591417198805e-11, 1.140514841435094516e-10, 2.237502504046897445e-10, 1.162665805340199900e-10
2.043000000000000000e+03, 1.163263869213840201e-10, 2.515987671223127106e-11, 1.025547928662995713e-10, 1.981108150875382108e-10, 1.179854076820123950e-10
2.044000000000000000e+03, 1.202859983687739538e-10, 2.372031366562411862e-11, 1.596598194086303245e-10, 2.321602610398476342e-10, 1.231485379165657347e-10
2.045000000000000000e+03, 8.977296172611164046e-11, 2.926831186320637062e-11, 1.907047659082474426e-10, 1.799222993658646990e-10, 1.534417402448690990e-10
2.046000000000000000e+03, 8.632483777144021922e-11, 3.056318739122769191e-11, 1.316966230309227421e-10, 2.996217267417484388e-10, 1.367786093687310706e-10
2.047000000000000000e+03, 1.580226908571003325e-10, 2.925672607360154983e-11, 1.137730598039358810e-10, 2.197451724365858969e-10, 1.259317643775305134e-10
2.048000000000000000e+03, 9.997278130795215695e-11, 3.138822579952001334e-11, 1.207372081426617258e-10, 1.852908926455135636e-10, 2.015238517603004743e-10
2.049000000000000000e+03, 8.518467092204567042e-11, 2.630195422238572661e-11, 1.006059792218489106e-10, 2.129716598726483756e-10, 1.778705375535232826e-10
2.050000000000000000e+03, 1.382191624602831878e-10, 3.160126191244795111e-11, 1.467777049205624815e-10, 2.092423977658192692e-10, 1.769825876095364361e-10
2.051000000000000000e+03, 1.340836819535922046e-10, 2.413811103364953465e-11, 1.168622354306307199e-10, 1.819858681596134713e-10, 1.556177351372445592e-10
2.052000000000000000e+03, 1.270584244884536866e-10, 2.757216146048424643e-11, 1.245859575643993862e-10, 1.909222782568438791e-10, 1.866365245025284535e-10
2.053000000000000000e+03, 1.934059857616193466e-10, 2.843033311496962069e-11, 9.561527060032546196e-11, 2.189178143852414276e-10, 1.591045170100930399e-10
2.054000000000000000e+03, 1.597425334332076353e-10, 3.156080364882070769e-11, 1.282256754232181430e-10, 2.605211197781675007e-10, 1.107397268620500304e-10
2.055000000000000000e+03, 9.710416144207325999e-11, 2.904702834344536058e-11, 1.714235821489913850e-10, 1.963672608893232648e-10, 1.277421238538993806e-10
2.056000000000000000e+03, 1.672013778277772570e-10, 3.633314724455235465e-11, 1.389914790445155103e-10, 2.182720930035793390e-10, 1.380549433679442000e-10
2.057000000000000000e+03, 1.634398236405094336e-10, 4.121772220870175692e-11, 1.303069130013420055e-10, 2.114594329204691318e-10, 1.371711765072478409e-10
2.058000000000000000e+03, 1.370358117249245368e-10, 3.122415199074383192e-11, 1.455748139256305124e-10, 2.093754966132014632e-10, 1.349528507376253999e-10
2.059000000000000000e+03, 9.104341889684085102e-11, 2.744737812249139450e-11, 1.407123260667148659e-10, 1.791188093857453664e-10, 1.401401437702443028e-10
2.060000000000000000e+03, 1.122059405034363137e-10, 4.283260582029098033e-11, 1.975710714995256610e-10, 2.733750308598250667e-10, 1.523564835142511526e-10
2.061000000000000000e+03, 1.567937236377719616e-10, 2.902025765246669018e-11, 1.659072413983881249e-10, 2.697589201589948196e-10, 1.710613153498994848e-10
2.062000000000000000e+03, 1.623328647979995632e-10, 2.439156785120083159e-11, 1.729144157361390429e-10, 2.343916066281438586e-10, 1.553373499160561462e-10
2.063000000000000000e+03, 1.737595505951418602e-10, 3.033701687572881693e-11, 1.178727290668115535e-10, 2.620222542520241605e-10, 1.428343075876069520e-10
2.064000000000000000e+03, 2.014029967645910041e-10, 2.502823590425209210e-11, 1.385338154032334337e-10, 2.046972753319583448e-10, 1.183608471883575784e-10
2.065000000000000000e+03, 1.436817257787399553e-10, 2.695436680917485971e-11, 1.642404806941014552e-10, 2.143031896411874217e-10, 1.659042764364592169e-10
2.066000000000000000e+03, 6.569378175530646239e-11, 3.831858780083760655e-11, 1.893575910251703222e-10, 2.846099009498206142e-10, 1.948763329918747595e-10
2.067000000000000000e+03, 1.129221798166104920e-10, 3.366689985046705066e-11, 2.168678771839440097e-10, 2.021696228662834173e-10, 1.296963829594149920e-10
2.068000000000000000e+03, 1.160757691918660635e-10, 2.383820859979633107e-11, 1.715940737655715198e-10, 1.740680771677644496e-10, 2.129554212175976864e-10
2.069000000000000000e+03, 1.845231305956884930e-10, 2.196639101544713289e-11, 1.430004244732889228e-10, 2.390818335285135411e-10, 1.671934492346502152e-10
2.070000000000000000e+03, 1.410320314576612156e-10, 2.968759023374561628e-11, 1.825009151307983558e-10, 2.062785088354831299e-10, 1.685339450271630680e-10
2.071000000000000000e+03, 1.669043432342470479e-10, 3.077052057369421297e-11, 1.861087882644921535e-10, 2.212113410126291058e-10, 1.722507623477629243e-10
2.072000000000000000e+03, 1.302019887942695104e-10, 2.683552653194614223e-11, 2.104524013898927877e-10, 2.037185678313910672e-10, 1.562327169446507581e-10
2.073000000000000000e+03, 1.343642481346686598e-10, 2.008941972876774194e-11, 1.494244141819435082e-10, 2.664677752017446211e-10, 1.797406495422370518e-10
2.074000000000000000e+03, 1.109366613024301940e-10, 3.073780576920367994e-11, 1.605447209871552554e-10, 2.468827893912134735e-10, 1.883468632981230849e-10
2.075000000000000000e+03, 1.904694784453314866e-10, 3.758742156611483127e-11, 1.481675900165820329e-10, 2.492911690453793567e-10, 1.488373599548120548e-10
2.076000000000000000e+03, 1.157751974010554047e-10, 2.792539611531715453e-11, 1.375446141085564809e-10, 2.233904691745852793e-10, 1.790728242397586982e-10
2.077000000000000000e+03, 8.958871457008585212e-11, 2.235624032410502718e-11, 1.750346182844657378e-10, 2.200853295851737744e-10, 1.791706849918706383e-10
2.078000000000000000e+03, 1.083027974237559513e-10, 2.895917899538294967e-11, 1.941909394881090265e-10, 2.178381049234431214e-10, 1.351386188885762857e-10
2.079000000000000000e+03, 1.641224423012314931e-10, 4.365174242927808052e-11, 1.427998583788314235e-10, 2.334924703806434220e-10, 1.713371014271379479e-10
2.080000000000000000e+03, 1.112173579352894069e-10, 2.452169718172158362e-11, 1.312646897878888161e-10, 1.964817395862200101e-10, 1.924968605078807319e-10
2.081000000000000000e+03, 1.455889457146593791e-10, 2.802636252584986546e-11, 1.364475058133323994e-10, 3.133845549891812858e-10, 1.631137153870150080e-10
2.082000000000000000e+03, 9.328384959887456824e-11, 3.539259012905256625e-11, 1.357475891726908784e-10, 1.897510718358814881e-10, 1.449990279063701578e-10
2.083000000000000000e+03, 2.007698156961468267e-10, 3.386199189791539123e-11, 1.546850573854284455e-10, 1.771668386425634811e-10, 1.935216799560856871e-10
2.084000000000000000e+03, 2.159483959628071093e-10, 3.270670415230210336e-11, 1.776472471298860928e-10, 2.643276822798058359e-10, 1.333638943162085342e-10
2.085000000000000000e+03, 1.482923802363136522e-10, 2.689309640509947571e-11, 1.955326038632808998e-10, 2.022896964863217505e-10, 1.533665167750353935e-10
2.086000000000000000e+03, 1.206679811030264305e-10, 3.476940060858781133e-11, 1.844323077526618729e-10, 2.604767503591659704e-10, 1.489889483738711685e-10
2.087000000000000000e+03, 1.292026295935924745e-10, 2.823160920592709548e-11, 2.061733138647557994e-10, 1.960558623175987315e-10, 2.339620609973876148e-10
2.088000000000000000e+03, 1.067356969261470034e-10, 2.478083348467361344e-11, 1.349789149173303895e-10, 2.346650177605230787e-10, 2.378364012670880503e-10
2.089000000000000000e+03, 1.576298782971039634e-10, 3.229765888613493115e-11, 1.315504097901449166e-10, 1.847026766917124032e-10, 1.472782428326514953e-10
2.090000000000000000e+03, 1.314897646819076338e-10, 2.540136607817032660e-11, 2.227285622976635282e-10, 1.851876350584031589e-10, 1.562359231784298377e-10
2.091000000000000000e+03, 1.612059117713741260e-10, 2.212774809494265107e-11, 1.426947064543737126e-10, 2.789396127902731359e-10, 1.372465536469401656e-10
2.092000000000000000e+03, 1.225476516318551463e-10, 3.065531049140688394e-11, 1.778792428976555469e-10, 1.842532063002250348e-10, 1.940012011076105019e-10
2.093000000000000000e+03, 1.536546398815284757e-10, 2.898582567456511284e-11, 1.900338899512785694e-10, 2.056908166212900286e-10, 1.752580558000791441e-10
2.094000000000000000e+03, 1.288688569175971165e-10, 2.513326301162971472e-11, 1.344227742063275358e-10, 2.122851007295453440e-10, 1.918633127809498979e-10
2.095000000000000000e+03, 1.529780532202375669e-10, 3.307962289720052598e-11, 1.656138973198819660e-10, 2.309344294550382735e-10, 2.029429002078148272e-10
2.096000000000000000e+03, 9.697391645346281676e-11, 2.991518841111727489e-11, 2.399316215330514630e-10, 1.990225614886317694e-10, 2.142589800670293898e-10
2.097000000000000000e+03, 1.576406547167912279e-10, 3.002601445131282303e-11, 2.158399646347324481e-10, 2.608940722487730587e-10, 1.184912084120120671e-10
2.098000000000000000e+03, 1.942907266789035515e-10, 3.507570413726169649e-11, 1.508792979069293295e-10, 2.091123454900804912e-10, 1.399996158924125396e-10
2.099000000000000000e+03, 1.523664233427379403e-10, 3.449963417383312934e-11, 1.802690470097975802e-10, 1.996311896050432700e-10, 2.542666226069880993e-10
2.100000000000000000e+03, 1.424407706379674094e-10, 3.375731113741658797e-11, 1.881506925535826664e-10, 2.191586018896298369e-10, 2.125344425413375020e-10
