year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM4-8, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, INM-CM5-0
2.028000000000000000e+03, 1.326361198172921085e+00, 2.305008200807999064e+00, 4.993047539211052488e+00, 2.043921912024531551e+00, 5.098648057603567096e+00, 1.959633019454078529e+00, 4.166571248442869191e+00, 4.373906898784654551e+00, 5.105690227218209643e+00, 7.943022658574491857e+00, 5.125102848663404487e+00, 1.647682061042433643e+00, 5.299176936885575451e+00, 1.620198230235934345e+00, 1.724450024403318515e+00, 9.685750892051213867e+00
2.029000000000000000e+03, 1.479641963425618600e+00, 2.338678776509896640e+00, 5.029239690376849481e+00, 2.085328646076701986e+00, 5.144667114834741817e+00, 1.996732590374509675e+00, 4.220723525486027583e+00, 4.016797160306603054e+00, 5.208470926219186836e+00, 7.912866337136089001e+00, 5.075470616558058090e+00, 1.676977963754943568e+00, 5.284721378911003242e+00, 1.642480221233187043e+00, 1.666700411242859836e+00, 9.693415750714622803e+00
2.030000000000000000e+03, 1.370473684882070664e+00, 2.429520167536117103e+00, 5.073248235611114154e+00, 2.129283349401391412e+00, 5.144749670154294741e+00, 2.126060318779276148e+00, 4.318052640673047726e+00, 4.099556165651969231e+00, 5.247598920204251449e+00, 7.973596121699524808e+00, 5.202175995341865367e+00, 1.629634017560595671e+00, 5.280435073616281727e+00, 1.596091776476733948e+00, 1.635779268599625969e+00, 9.662829198968188038e+00
2.031000000000000000e+03, 1.290694320289682784e+00, 2.528611486320613277e+00, 5.093126086846503142e+00, 2.149280621802828417e+00, 5.054594605373523564e+00, 1.988099350846376012e+00, 4.382751589313584439e+00, 4.413027474199919808e+00, 5.233427568599839930e+00, 8.049053749895858090e+00, 5.262879944632042672e+00, 1.620600132541913929e+00, 5.324858408616060856e+00, 1.616912106504064583e+00, 1.658701520186997014e+00, 9.648855296894167211e+00
2.032000000000000000e+03, 1.413968243880163511e+00, 2.415337566093702648e+00, 5.122736813751298079e+00, 2.118765370569855033e+00, 4.990249546060278263e+00, 1.964255157150947895e+00, 4.394432696240877512e+00, 4.560816161217317699e+00, 5.241373073194116827e+00, 8.058514129662686543e+00, 5.334204428680628496e+00, 1.616404693294754447e+00, 5.335216497604596597e+00, 1.743696516935864693e+00, 1.793359987781488973e+00, 9.660542652351322701e+00
2.033000000000000000e+03, 1.357714286996335895e+00, 2.299548204473232271e+00, 5.140489544265922639e+00, 2.149316708413617327e+00, 4.983138669201299997e+00, 1.964873067102423487e+00, 4.458396555023029784e+00, 4.521414267008593058e+00, 5.250360091336624180e+00, 8.202639576766305396e+00, 5.252118087267601432e+00, 1.561363392522530313e+00, 5.372191753400655578e+00, 1.774628490658897606e+00, 1.766442888501903452e+00, 9.743367513168898597e+00
2.034000000000000000e+03, 1.353463748478978657e+00, 2.283344236181560571e+00, 5.196248926688221026e+00, 2.147706947519060883e+00, 4.993247969910532547e+00, 2.069463570599337388e+00, 4.514431480197440116e+00, 4.544402644754829801e+00, 5.260088765698665902e+00, 8.288805103900521942e+00, 5.367439368780653197e+00, 1.563424243339259334e+00, 5.461723856230761953e+00, 1.715582959240230965e+00, 1.712873036959734918e+00, 9.891915052938250241e+00
2.035000000000000000e+03, 1.408161738180251588e+00, 2.448539726247005444e+00, 5.261568589867186674e+00, 2.131859028408182866e+00, 5.015513931974234119e+00, 2.054672578138215133e+00, 4.519005973357180572e+00, 4.687069153724115367e+00, 5.267286565981160074e+00, 8.291606909550953475e+00, 5.317812911422300282e+00, 1.568560822336875216e+00, 5.509266365239227525e+00, 1.651735412975911643e+00, 1.724307294339509689e+00, 1.002975452383134147e+01
2.036000000000000000e+03, 1.387599063936276744e+00, 2.522722639652029919e+00, 5.327146560943701203e+00, 2.154163871864214652e+00, 4.998190998642210836e+00, 2.184058861158522102e+00, 4.517250656320404012e+00, 4.702895909634851712e+00, 5.301046209459691738e+00, 8.271618586522786032e+00, 5.412474194239225156e+00, 1.579189019460203625e+00, 5.552435401383847946e+00, 1.706661905657548051e+00, 1.754282354568047486e+00, 1.003666248443468589e+01
2.037000000000000000e+03, 1.229485864565465825e+00, 2.425483302604539926e+00, 5.350529084119035161e+00, 2.196696531042714451e+00, 4.921755184061916921e+00, 2.038767584744018091e+00, 4.602061735192153336e+00, 4.649105527021571760e+00, 5.333038644818402396e+00, 8.300866065011065942e+00, 5.437433424441707963e+00, 1.744338507119725490e+00, 5.604811889119436508e+00, 1.764648497432014906e+00, 1.855402586328936732e+00, 9.975885696507280187e+00
