year, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, NorESM2-LM, MIROC-ES2L, CanESM5
2.051000000000000000e+03, 1.483635681126876715e+00, 6.742187729129081042e-01, 1.236918975905196838e+00, 8.221735545250120625e-01, 1.033845282351572914e+00, 5.538893717912539705e-01, 1.856929068588625720e+00, 6.677126230040061339e-01, 1.198357137234906666e+00, 6.870587079019541132e-01, 7.931652524635810497e-01, 5.365251465306872802e-01, 7.774592460059955856e-01, 2.081550269507817852e+00
2.052000000000000000e+03, 1.287958932416461977e+00, 6.588207639109218139e-01, 1.242172464046892744e+00, 8.764861858261441263e-01, 1.056368277119578813e+00, 5.434006476549201325e-01, 2.159374835305616802e+00, 6.520536136796497573e-01, 1.100726849713285604e+00, 6.905657947201012670e-01, 6.531281338807928272e-01, 5.288373250002673664e-01, 7.536643285462182318e-01, 2.164520757436266596e+00
2.053000000000000000e+03, 1.249477576787191513e+00, 6.470480969269718496e-01, 1.240385536998048988e+00, 8.065904036069398986e-01, 9.713471376171646243e-01, 5.929637625159298597e-01, 1.928151012450176172e+00, 6.395597378435114999e-01, 1.116976327499518362e+00, 6.511118125326846862e-01, 6.769198994412025661e-01, 6.688889397493161804e-01, 7.371041599016563417e-01, 2.259505406032897401e+00
2.054000000000000000e+03, 1.365442257453753250e+00, 6.379154148226857668e-01, 1.236658696187576956e+00, 8.839956615850944610e-01, 1.185909149870188584e+00, 5.680146284412076474e-01, 1.746947699164196122e+00, 6.524438348327241677e-01, 1.056336618065742528e+00, 6.861079705671970785e-01, 7.247248816154743256e-01, 5.885209740279252477e-01, 7.616308769771741316e-01, 2.205567472012663899e+00
2.055000000000000000e+03, 1.238603754306034421e+00, 6.194012732726892345e-01, 1.269812396240359575e+00, 9.408253242205285583e-01, 1.026027929391927440e+00, 5.355094860437846771e-01, 1.924188368309720287e+00, 6.346962735144420220e-01, 1.085605526360866158e+00, 7.032909918276049055e-01, 6.719642164065356971e-01, 5.552425802018718937e-01, 7.943497180140317582e-01, 2.242360271939642491e+00
2.056000000000000000e+03, 1.470654025199342296e+00, 6.355332122221800661e-01, 1.240642727702897075e+00, 7.289380274254627645e-01, 1.042530151275351535e+00, 5.682243384992385904e-01, 2.073201069556989573e+00, 6.602661095369953825e-01, 1.191214024609485334e+00, 6.822109820837839456e-01, 6.352041008276030354e-01, 6.855344638888049014e-01, 7.950886098011974434e-01, 2.277403982305140406e+00
2.057000000000000000e+03, 1.192183356278128326e+00, 6.234870826346926576e-01, 1.224048619609669375e+00, 9.112383017422085452e-01, 1.044102725485835714e+00, 5.957636578425963281e-01, 2.036841202197598122e+00, 6.791957345997690076e-01, 1.060224526687435942e+00, 6.857319852174555974e-01, 7.460969562551813539e-01, 7.509709167890052939e-01, 7.850452809932266796e-01, 2.282836742944412300e+00
2.058000000000000000e+03, 1.229303804861077376e+00, 6.486986408876125321e-01, 1.244818660432265300e+00, 8.212061901839234901e-01, 1.044756263334596369e+00, 5.626532812418727492e-01, 2.099982418511964433e+00, 7.074400898505071034e-01, 1.031953475830470923e+00, 6.742958878271783085e-01, 7.661895162232340573e-01, 7.002434113515241254e-01, 7.883973040113235742e-01, 2.157507693713364816e+00
2.059000000000000000e+03, 1.391556371338493303e+00, 6.482247222198413983e-01, 1.191649185680724532e+00, 7.224881037611454726e-01, 1.173814138578041621e+00, 5.187384323270249897e-01, 2.070643720971480306e+00, 6.730214257058779737e-01, 1.145331726666715344e+00, 7.349000790303791275e-01, 6.997066392260522516e-01, 7.832525314250655679e-01, 7.695187737115607440e-01, 2.157287150734807479e+00
2.060000000000000000e+03, 1.505097643116631412e+00, 6.686774707352685088e-01, 1.234766035079185587e+00, 8.390911655135244729e-01, 1.074795249503350369e+00, 5.857761203834070951e-01, 1.807980102891504570e+00, 6.791112703378299198e-01, 1.131581567294779100e+00, 7.146701893675001527e-01, 7.684743608957306238e-01, 6.941976109908474246e-01, 7.601428052033564198e-01, 2.399329422572138881e+00
