year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, INM-CM5-0, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, CMCC-ESM2, INM-CM4-8, EC-Earth3-Veg, MIROC-ES2L, NorESM2-MM, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR
2.040000000000000000e+03, 4.842448725496465434e-01, 5.718210990919491143e-01, 2.675220304189478426e-01, 4.005753047695614355e-01, 6.174558005349829459e-01, 2.117771936941509059e-01, 4.935914923149714584e-01, 3.377155381403635359e-01, 2.092089320108811434e-01, 4.777239792538650054e-01, 8.311503476314494598e-01, 2.137533447438288714e-01, 3.513057021352224418e-01, 2.464834389859642816e-01, 1.060336037820709842e+00, 2.624570989109373254e-01
2.041000000000000000e+03, 4.390563805382274309e-01, 5.856819921565719067e-01, 3.474718771901856851e-01, 4.342285144092538074e-01, 5.691101788428851727e-01, 2.083325071296951991e-01, 4.792964664651931939e-01, 3.376322695691194031e-01, 2.136787765414580598e-01, 4.763433004430759898e-01, 9.189500199149148729e-01, 2.269749154662037693e-01, 3.736051884384506971e-01, 2.869006474748863056e-01, 1.025199834048399650e+00, 2.734459641711421418e-01
2.042000000000000000e+03, 4.835408323260106389e-01, 5.662360122640831550e-01, 3.846499620403279196e-01, 4.144876125048749804e-01, 6.349812960016201213e-01, 2.105438942235875188e-01, 3.817667634753192374e-01, 3.481655704064269830e-01, 2.663722572592335802e-01, 4.908072073630704857e-01, 8.920053058272258140e-01, 2.153864343817753491e-01, 3.377299505336303076e-01, 3.112694730295246237e-01, 1.028748426881507694e+00, 2.619524673989641061e-01
2.043000000000000000e+03, 4.968697241982532598e-01, 5.869056630804783126e-01, 3.912362492312577156e-01, 4.189824505797603016e-01, 6.208316309578730818e-01, 2.097529554582301947e-01, 4.342906434935467908e-01, 3.634616072624281546e-01, 2.604867993031264595e-01, 5.411148635422324826e-01, 7.808935835754202692e-01, 2.025740172873824740e-01, 4.110807321830359240e-01, 3.095533377920882123e-01, 1.075770716763486901e+00, 2.407571427760932525e-01
2.044000000000000000e+03, 4.649851583004198652e-01, 6.058288342116473491e-01, 3.240665737323839002e-01, 4.073666576989271593e-01, 6.098211431719600117e-01, 2.122344605311926591e-01, 4.210861432149416439e-01, 3.768786973567766485e-01, 2.495176018246714755e-01, 5.212294766869653984e-01, 6.917942398582659358e-01, 1.989454497861575799e-01, 3.929520006663562159e-01, 3.042335816675324489e-01, 1.051046579233088307e+00, 2.410398070552241812e-01
2.045000000000000000e+03, 4.702459881685938647e-01, 5.985111813667599590e-01, 2.522130215549763244e-01, 4.293568361001733336e-01, 6.582739028340688359e-01, 2.061993087262553870e-01, 3.835018524055965328e-01, 3.578964862361378452e-01, 2.579463181862380883e-01, 5.129010483201272841e-01, 8.798936903404832588e-01, 2.279386717068634938e-01, 3.589184427470949457e-01, 3.105263192809424866e-01, 1.054938718462496539e+00, 2.448344429985446769e-01
2.046000000000000000e+03, 4.928234931231012528e-01, 5.919720115229973878e-01, 2.403360638238058178e-01, 4.542092660827169448e-01, 6.278560698593480538e-01, 2.148198793089479974e-01, 4.061455889186016965e-01, 3.470884744102806785e-01, 2.538998353227223115e-01, 4.792040088083543425e-01, 1.096175376399784351e+00, 2.045837971671373434e-01, 3.782183379323481587e-01, 2.906926584245168588e-01, 1.093363127010739344e+00, 2.610484819508210874e-01
2.047000000000000000e+03, 4.165529973160883581e-01, 5.737602531156053010e-01, 3.095673437485650381e-01, 4.340146222634783668e-01, 5.926255387316240464e-01, 2.064922909027008813e-01, 3.376646960929912122e-01, 3.517980011892413161e-01, 2.556409100752351504e-01, 5.215170794539260024e-01, 8.543399190512975805e-01, 2.078371320207715311e-01, 3.999857873299051403e-01, 2.812214599408159876e-01, 1.094370694939871491e+00, 2.452656421786908736e-01
2.048000000000000000e+03, 4.742587843682436466e-01, 6.150125427591198735e-01, 3.107729639128392618e-01, 4.343980077272202589e-01, 6.204257333345325476e-01, 2.068014845304502469e-01, 3.899061729052884506e-01, 3.260940775175358297e-01, 2.361639355338654434e-01, 4.881376083428110024e-01, 7.386875741120249028e-01, 1.968751356381601147e-01, 3.951167328427334091e-01, 2.693549086851963481e-01, 1.037070709078263819e+00, 2.541125345598844176e-01
2.049000000000000000e+03, 4.558297210575604219e-01, 5.985158376565090643e-01, 3.516288684270047482e-01, 4.598094908675622317e-01, 5.651119324974865910e-01, 2.149831558646291552e-01, 4.086060913819641871e-01, 3.519532039612718877e-01, 2.607016410187703026e-01, 5.310981661529075026e-01, 9.425179664648950517e-01, 1.983956159736483538e-01, 3.760872720592500218e-01, 2.728243852628004507e-01, 9.691815313977076851e-01, 2.545531358168524605e-01
2.050000000000000000e+03, 4.809524058136672719e-01, 5.508374642180478009e-01, 2.737947642758595257e-01, 4.687118622351246211e-01, 6.467942615697339637e-01, 2.048598344839256402e-01, 4.528993853648928258e-01, 3.754599951029431448e-01, 2.833813939766670065e-01, 5.031184524312142248e-01, 1.007369710460871870e+00, 2.149951991089964765e-01, 3.565874938367051272e-01, 2.766569519688555356e-01, 1.006299644190726816e+00, 2.735913274885578561e-01
