year, UKESM1-0-LL, INM-CM4-8, CMCC-CM2-SR5, CanESM5, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR
2.040000000000000000e+03, 2.902050343874162195e+02, 2.895729705493208712e+02, 2.911281130344766552e+02, 2.900793956885666489e+02, 2.880273395381644832e+02, 2.909420064367635064e+02, 2.922158624149540742e+02, 2.899544410063912778e+02, 2.890066261476652016e+02, 2.895971283674326742e+02, 2.923860329000471552e+02, 2.935428030856128885e+02, 2.900038479975367522e+02, 2.905580062464529192e+02, 2.911519993245740920e+02, 2.902369714420656237e+02
2.041000000000000000e+03, 2.904850929526826349e+02, 2.899468650588210608e+02, 2.920471812546070396e+02, 2.898019019018453264e+02, 2.886865468734644651e+02, 2.900707582319329276e+02, 2.917280504676095347e+02, 2.900786811671460441e+02, 2.899597108519513426e+02, 2.892944344556848932e+02, 2.933027438569457104e+02, 2.931002232470933109e+02, 2.896529590683184665e+02, 2.903752027551149695e+02, 2.913781623919245476e+02, 2.901154557959636691e+02
2.042000000000000000e+03, 2.907628853167748844e+02, 2.897536996675789283e+02, 2.920279406913222147e+02, 2.907911169557000903e+02, 2.883867834773818686e+02, 2.903552659173204802e+02, 2.922593467525524602e+02, 2.902911173890164491e+02, 2.892095430833051068e+02, 2.893297252271569846e+02, 2.928256065911863288e+02, 2.939080955669104469e+02, 2.898363373584705300e+02, 2.902348779232778497e+02, 2.913119538304129605e+02, 2.910171080470886977e+02
2.043000000000000000e+03, 2.904035903681470927e+02, 2.902892708109578734e+02, 2.918524845973919923e+02, 2.904620282270793155e+02, 2.889069374841352555e+02, 2.911335717760063062e+02, 2.912888928520765717e+02, 2.905631474732261381e+02, 2.897575213832438976e+02, 2.895559141333449134e+02, 2.922407205859607870e+02, 2.939208133040774555e+02, 2.898517278364800518e+02, 2.900060358292308251e+02, 2.913356576325384140e+02, 2.909099483642484643e+02
2.044000000000000000e+03, 2.910480791015767181e+02, 2.898213636301432530e+02, 2.914676750804172229e+02, 2.900248889009095592e+02, 2.887953753385398272e+02, 2.916465719408744235e+02, 2.915513628612151820e+02, 2.897795043273990814e+02, 2.898045272127923795e+02, 2.896778626352501078e+02, 2.927085851107230496e+02, 2.936442952561709490e+02, 2.897989075456800947e+02, 2.901723855103313099e+02, 2.908330165086289867e+02, 2.906254477814579786e+02
2.045000000000000000e+03, 2.910711545614921079e+02, 2.901770346888387166e+02, 2.922982480399827523e+02, 2.903752577356252687e+02, 2.880060761705012169e+02, 2.913714587392029784e+02, 2.921354678989332569e+02, 2.906035315524709972e+02, 2.894378876370849412e+02, 2.897711132351909669e+02, 2.927851299472170012e+02, 2.940522344869503399e+02, 2.898927082499073435e+02, 2.905809200555976872e+02, 2.908047215278183444e+02, 2.914523871076672776e+02
2.046000000000000000e+03, 2.905257828548698171e+02, 2.901347435393445835e+02, 2.923065350088358514e+02, 2.908542713472088508e+02, 2.886708834347084007e+02, 2.911869557605817818e+02, 2.915375341899244859e+02, 2.907839822796599947e+02, 2.896958820946076685e+02, 2.897804840726524844e+02, 2.928758345395427796e+02, 2.937592805504388593e+02, 2.899443637178057998e+02, 2.900426124676440054e+02, 2.911672114851742208e+02, 2.909527751292260973e+02
2.047000000000000000e+03, 2.907317893738353405e+02, 2.899455531807920465e+02, 2.922712559464503101e+02, 2.904443683887909629e+02, 2.887678195420350562e+02, 2.907053276383894627e+02, 2.914978261620936451e+02, 2.902264583989178846e+02, 2.896708586442439355e+02, 2.900139808326152888e+02, 2.938354055755035574e+02, 2.935145681445115429e+02, 2.901982839106038909e+02, 2.901447771014962314e+02, 2.912141759316884873e+02, 2.911583699395592930e+02
2.048000000000000000e+03, 2.906685076186756191e+02, 2.901588008672779893e+02, 2.925842003467491281e+02, 2.901170180226115463e+02, 2.895616315156883047e+02, 2.911555864883493996e+02, 2.921430189480705621e+02, 2.909882659906054982e+02, 2.893951204941927813e+02, 2.896177824414678525e+02, 2.932387336330507992e+02, 2.937299476321729230e+02, 2.906526505337242838e+02, 2.900337945750697486e+02, 2.911105371098453816e+02, 2.908629388739975639e+02
2.049000000000000000e+03, 2.900523769503215590e+02, 2.905241621050791423e+02, 2.927827816710490652e+02, 2.905143144691940620e+02, 2.888511045046210484e+02, 2.912679784771472669e+02, 2.919775063482575774e+02, 2.907705907080281236e+02, 2.894889044311453290e+02, 2.903753528842520382e+02, 2.934048650613327709e+02, 2.937970619969205472e+02, 2.901223217747217404e+02, 2.899364612740627081e+02, 2.911855842474893166e+02, 2.912827471164105759e+02
