year, NorESM2-LM, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, CNRM-ESM2-1, INM-CM5-0, GFDL-ESM4, TaiESM1, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, CMCC-CM2-SR5, MIROC-ES2L, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg
2.035000000000000000e+03, 1.473351037655753704e+00, 2.635223086813898608e+00, 3.179976134686693712e+00, 4.114081755743035806e+00, 1.906286436854165878e+00, 3.550297646891189540e+00, 1.594528597091333877e+00, 1.175039329082987916e+00, 2.015393060937419545e+00, 1.989640310987509597e+00, 1.702859138587288879e+00, 1.409750225953315894e+00, 1.516009276884508150e+00, 2.122520525904243005e+00, 2.765580437131114344e+00, 5.932767406607525551e+00
2.036000000000000000e+03, 1.843206041575618626e+00, 2.586396994536197980e+00, 3.306174310903347013e+00, 4.096370618635174488e+00, 2.372494522759673430e+00, 3.213092421296715795e+00, 1.592997006978426944e+00, 1.369321916247530302e+00, 2.667187545399512860e+00, 1.917107114724437622e+00, 1.762596914873921117e+00, 1.338680103955078637e+00, 1.559422881043089015e+00, 2.202999047215679518e+00, 2.546101568722042074e+00, 7.399306857664856629e+00
2.037000000000000000e+03, 1.832654693095181697e+00, 2.495454986006283793e+00, 3.271120626808857512e+00, 3.223394412071575399e+00, 2.222942954708650110e+00, 3.103218074904866786e+00, 1.815624048480920960e+00, 1.482868757584692609e+00, 1.681377641861037553e+00, 2.338580159978101314e+00, 1.873108862034575717e+00, 1.143698159754013233e+00, 1.531388915912674342e+00, 2.175813471195293225e+00, 2.684393516247799649e+00, 5.824243307582393392e+00
2.038000000000000000e+03, 1.801369875271943588e+00, 2.441436777139505132e+00, 3.140663432527701193e+00, 3.960998271198845178e+00, 2.059340635457965529e+00, 3.186270189355902893e+00, 1.737253292600121846e+00, 1.215288332496974100e+00, 2.247082210626550669e+00, 1.991337888898405906e+00, 2.096566091913147467e+00, 1.265921680239084912e+00, 1.572218591201383742e+00, 2.217049168458459008e+00, 2.883311673005017450e+00, 5.767095642722850357e+00
2.039000000000000000e+03, 1.822627839048424736e+00, 2.455734689735086462e+00, 3.268645335411827002e+00, 3.779673835264097281e+00, 1.961384457192424158e+00, 3.326924492118263466e+00, 1.500925845531976499e+00, 1.194007842361737071e+00, 2.519343089421600901e+00, 1.735777872655591469e+00, 1.951318741976588278e+00, 1.582272801394036366e+00, 1.682331742097885829e+00, 2.138584898655863320e+00, 2.455084498286338235e+00, 6.241108569375816373e+00
2.040000000000000000e+03, 1.432326685256168020e+00, 2.601800636949350931e+00, 3.304584215454997587e+00, 3.784278176134654892e+00, 2.309654551410796230e+00, 3.236924717088670356e+00, 1.595232454281041434e+00, 1.329555086798295260e+00, 2.516523517337263982e+00, 1.900542974871689106e+00, 1.749525886311537937e+00, 1.532394495821062907e+00, 1.491356717311330238e+00, 2.021991879104141354e+00, 2.325985915973964424e+00, 6.208637322157978033e+00
2.041000000000000000e+03, 1.944295909727456584e+00, 2.039014540814102272e+00, 3.292224203807132543e+00, 4.009518620430396751e+00, 1.956943177574282933e+00, 2.992411221226365381e+00, 1.829053538675228463e+00, 1.385189291869705519e+00, 2.628916745334700433e+00, 2.127880858561103317e+00, 1.895064569037304913e+00, 1.208860481347528770e+00, 1.496820904975795008e+00, 2.049230628573108781e+00, 2.447207558010476625e+00, 6.329116034398496460e+00
2.042000000000000000e+03, 2.077030860604315077e+00, 2.435213674113798632e+00, 3.289345017798013693e+00, 3.411040741963394574e+00, 2.258292724148001973e+00, 3.373906664249539666e+00, 1.712647027541461808e+00, 1.495645014125779548e+00, 1.985165310100039049e+00, 1.874084891446905266e+00, 1.759923124132702243e+00, 1.326577805931152154e+00, 1.608348346656652383e+00, 2.125588780192762428e+00, 2.498491144936609842e+00, 7.027027035855907044e+00
2.043000000000000000e+03, 2.072384812909180418e+00, 2.685150734050223864e+00, 3.312715854765484025e+00, 3.771502499414264076e+00, 2.348515802239270922e+00, 3.307354477880227961e+00, 1.734103419361751275e+00, 1.416657505001194250e+00, 2.362962356395595265e+00, 2.190857993584975905e+00, 1.604801088588444946e+00, 1.419642900057986656e+00, 1.766521296526304852e+00, 2.196472347984342655e+00, 2.834868153478638853e+00, 5.238956548068468777e+00
2.044000000000000000e+03, 1.610157492170599003e+00, 2.515045532173066256e+00, 3.319524893035907365e+00, 3.975144302362750182e+00, 2.214402635552591647e+00, 3.190109848524134595e+00, 1.598026501507008756e+00, 1.457993934229748545e+00, 2.342569816230523294e+00, 2.238945312455815184e+00, 1.665213660375181259e+00, 1.335388725452118397e+00, 1.557480406354519120e+00, 2.250478559238598297e+00, 2.681308983343342334e+00, 5.638566989469684820e+00
