year, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-MM
2.031000000000000000e+03, 2.004992034014953661e-10, 2.373223989676834587e-10, 6.959713800055016962e-14, 4.185398598346915106e-13, 1.063507505412331267e-09, 1.703094932021942349e-10, 4.992586652257046457e-10, 4.905463133584146059e-11, 9.485529794033880828e-13
2.032000000000000000e+03, 1.845285688836078322e-10, 2.367722242951908703e-10, 6.996060122417958849e-14, 4.218452722526651129e-13, 1.006611651317727471e-09, 1.621332625151949132e-10, 4.872101345647013699e-10, 6.239194959684565487e-11, 9.732376418275495121e-13
2.033000000000000000e+03, 1.973559735768396211e-10, 1.941846787006209135e-10, 7.129460880261236188e-14, 4.223293369749376651e-13, 9.893044913397168474e-10, 1.833936055678538098e-10, 5.316752755669639761e-10, 4.810178386625892766e-11, 9.936798028474728772e-13
2.034000000000000000e+03, 2.300350715128435716e-10, 1.728334266079927553e-10, 7.174829723991327031e-14, 4.233225365827995371e-13, 1.033771513436042653e-09, 2.399999602904651712e-10, 4.743461885042364983e-10, 5.476941402140987022e-11, 1.013663882003469211e-12
2.035000000000000000e+03, 2.341618674155859514e-10, 1.950848632787572130e-10, 7.209016271319043379e-14, 4.244582542540216576e-13, 1.004112952401366394e-09, 2.320916031267622216e-10, 4.521322033914277390e-10, 4.246918111250491464e-11, 1.014522505531188162e-12
2.036000000000000000e+03, 2.568655109368359334e-10, 2.236823801608816926e-10, 7.149680022729725058e-14, 4.226605017396915133e-13, 1.013227418078819581e-09, 2.358500394442604525e-10, 4.695460732772024902e-10, 4.007531755185774297e-11, 1.063478818267970750e-12
2.037000000000000000e+03, 2.154875215205397778e-10, 2.251719322699847081e-10, 7.068916575236169178e-14, 4.218487291226591720e-13, 9.738446105489140362e-10, 2.301869296655747110e-10, 5.004594839581510546e-10, 4.052409214435145307e-11, 1.055103401245855940e-12
2.038000000000000000e+03, 2.206822763846343605e-10, 2.249418282754947998e-10, 6.990351718578839478e-14, 4.190028766081866093e-13, 9.448997062008360278e-10, 2.378834616240606855e-10, 5.517743184753777734e-10, 5.962112668250570291e-11, 1.060535784033645959e-12
2.039000000000000000e+03, 2.533966196104102479e-10, 2.352935973187097413e-10, 6.943773528787463299e-14, 4.178561914711983661e-13, 1.008822125835526340e-09, 2.194187628873569159e-10, 5.243028410255902993e-10, 4.696601050739086646e-11, 1.001194398260602158e-12
2.040000000000000000e+03, 2.687199748109232839e-10, 2.383664528274773833e-10, 6.935894860861168580e-14, 4.173780481395683336e-13, 9.877878398764678672e-10, 2.329918739816542948e-10, 4.649815065962998825e-10, 3.992077275915296484e-11, 9.981421807234961806e-13
2.041000000000000000e+03, 2.830829726547078743e-10, 2.415508791981950652e-10, 6.926406370422728171e-14, 4.185351912105775360e-13, 1.036281204501073145e-09, 1.730195209271817288e-10, 5.096011443121331576e-10, 3.136541480668867945e-11, 1.002553928650086569e-12
2.042000000000000000e+03, 2.131808308441674725e-10, 2.412176236808756779e-10, 6.923395780556838552e-14, 4.165335689386953099e-13, 1.072096431557682494e-09, 2.057992425594819262e-10, 4.684447251501427361e-10, 6.355056943464717278e-11, 1.023040576559370134e-12
2.043000000000000000e+03, 2.039883223981797882e-10, 2.193997171636441371e-10, 6.874807553375416528e-14, 4.146486702488843836e-13, 1.027250674462538314e-09, 2.327611543020045334e-10, 4.207335254362067587e-10, 3.375057378189561569e-11, 1.016398583498069080e-12
2.044000000000000000e+03, 2.445294002526970053e-10, 2.198165024500766035e-10, 6.827263086610697484e-14, 4.202495306128661361e-13, 9.182124946552353865e-10, 2.235820954067775880e-10, 4.542572391275275783e-10, 3.830045661698842682e-11, 1.012395182511504812e-12
2.045000000000000000e+03, 2.130084332958186990e-10, 2.225005093046730929e-10, 7.036384839573640638e-14, 4.204899856080008531e-13, 1.071031225841101183e-09, 2.097991100655928944e-10, 4.636406408664387294e-10, 3.716294787624572156e-11, 1.076286998030069912e-12
2.046000000000000000e+03, 2.282547049927450400e-10, 2.160334498653457922e-10, 7.010323826595379822e-14, 4.177823081090653354e-13, 1.081479578140041858e-09, 2.459792366225743974e-10, 5.127659552684111663e-10, 5.850960171646191482e-11, 1.089193180629749993e-12
2.047000000000000000e+03, 2.270402761458562175e-10, 2.107235412664276302e-10, 7.049268803963184808e-14, 4.175368105211181438e-13, 1.078400396294031342e-09, 2.461274113163553212e-10, 4.466166705622280529e-10, 6.124095814341863979e-11, 1.052505825358370082e-12
2.048000000000000000e+03, 2.457698396782021650e-10, 2.289932635462763892e-10, 7.033434367528733457e-14, 4.150321928902857073e-13, 1.017160139860796498e-09, 1.856556755264212569e-10, 4.751174596422737150e-10, 6.780930716546269918e-11, 1.053970998106373120e-12
2.049000000000000000e+03, 2.528378276666466163e-10, 2.473862787085638384e-10, 6.964228636974016552e-14, 4.130576926059320589e-13, 9.390778223206649647e-10, 1.363207294271866238e-10, 4.754617826918994497e-10, 4.592090472790129021e-11, 1.034915656976879827e-12
2.050000000000000000e+03, 2.692704068144569006e-10, 2.263865295818429651e-10, 6.781911415783091348e-14, 3.943761837326059023e-13, 1.131194065873957792e-09, 1.754545133528342133e-10, 5.301832452109390217e-10, 5.392088222427626950e-11, 1.039518431882778124e-12
2.051000000000000000e+03, 2.275813785560425287e-10, 2.219822719222050190e-10, 5.827521047330587434e-14, 3.939167575201805594e-13, 1.051715992779922518e-09, 2.267082196717332882e-10, 5.606900495847211801e-10, 7.404425404050181014e-11, 6.693039389416345818e-13
2.052000000000000000e+03, 2.462482128107344312e-10, 2.378395976755433841e-10, 5.765093723060083047e-14, 3.917666667769476543e-13, 9.604646917004056303e-10, 1.839591645690932168e-10, 4.880886904061601285e-10, 6.527311586840356510e-11, 6.582628620540949225e-13
2.053000000000000000e+03, 2.232494166803151119e-10, 2.257878667740491464e-10, 5.743116268608282449e-14, 3.885002247749479945e-13, 9.344210977802725147e-10, 2.050530999228659878e-10, 4.954363021665500714e-10, 7.395320945442251162e-11, 6.420845955534263535e-13
2.054000000000000000e+03, 2.292554131720486562e-10, 2.259088592700851383e-10, 5.759431096817662917e-14, 3.861625795161723535e-13, 1.114014619594638349e-09, 1.604919684720306473e-10, 5.077887165802110230e-10, 4.468452159533151585e-11, 6.035674440916968410e-13
2.055000000000000000e+03, 3.041800149864638021e-10, 2.272697115388812101e-10, 5.709612152587678210e-14, 3.856534676563782827e-13, 1.111445554169715674e-09, 2.130551767360760185e-10, 5.089488778813423590e-10, 6.326622202971206440e-11, 6.027593267239716872e-13
2.056000000000000000e+03, 2.420404231742169715e-10, 2.320689367809334480e-10, 5.459127624513405957e-14, 3.836016070364397152e-13, 1.108072986640106050e-09, 2.411573548650477859e-10, 4.950583062440201278e-10, 5.220017286002736706e-11, 6.020957489003048755e-13
2.057000000000000000e+03, 2.204432319818035467e-10, 2.220628370236169205e-10, 5.445738276260692033e-14, 3.808709749424150009e-13, 1.059060220062802456e-09, 1.688562221132809397e-10, 5.502928124830042676e-10, 6.190598779702235658e-11, 5.961985674862965345e-13
2.058000000000000000e+03, 2.481390379151314849e-10, 2.090936269655248232e-10, 5.384035957853589542e-14, 3.800237009299150872e-13, 9.479866398936866894e-10, 1.471838822547518872e-10, 5.600565413333716386e-10, 5.533819194629495263e-11, 5.840940936919056360e-13
2.059000000000000000e+03, 2.149895032779398748e-10, 2.048961923725537310e-10, 5.577082096918808614e-14, 3.797533019320370417e-13, 1.034752787254652056e-09, 1.977939259866288330e-10, 4.901185861493050740e-10, 6.725191265248758198e-11, 6.066902575008795055e-13
2.060000000000000000e+03, 2.204483975757369358e-10, 2.166969788899000435e-10, 5.531225363825324538e-14, 3.765570001377497531e-13, 1.057873697127296785e-09, 1.978169529056992005e-10, 5.435613537387668769e-10, 4.583857778841594287e-11, 5.955888384342551898e-13
2.061000000000000000e+03, 2.064837575115094508e-10, 2.457554829944326057e-10, 5.418689869169612868e-14, 3.731364571000064227e-13, 1.007711784967606385e-09, 1.645115801770757590e-10, 5.265125403170667222e-10, 6.924989964410698942e-11, 5.828628328807634758e-13
2.062000000000000000e+03, 2.033571271021624006e-10, 2.382938041604729457e-10, 5.370884618303391659e-14, 3.705062213121221154e-13, 9.380168520292401633e-10, 1.748384653732809418e-10, 5.076872895652335143e-10, 8.139974767577640780e-11, 5.768124850399919850e-13
2.063000000000000000e+03, 2.652379834039114518e-10, 1.989430795485659813e-10, 5.320671200926262802e-14, 3.658267107787878874e-13, 9.199283620992860440e-10, 1.933687631508982845e-10, 5.417915355221216354e-10, 5.002415001985660334e-11, 5.479401176074252281e-13
2.064000000000000000e+03, 2.824005391657998328e-10, 2.146583612901775850e-10, 5.276380550702025641e-14, 3.642682481073895250e-13, 1.059787844023933012e-09, 2.048303208970600124e-10, 5.103110781121522835e-10, 6.866748443916418670e-11, 5.419529599138796135e-13
2.065000000000000000e+03, 3.342467603746770417e-10, 2.324008131854985523e-10, 4.967494952110618178e-14, 3.619214908971609896e-13, 1.110794408271200426e-09, 1.685044968506356263e-10, 4.779865306750281533e-10, 5.680693353992886055e-11, 5.489745672178638428e-13
2.066000000000000000e+03, 2.687805040122913949e-10, 2.309657302754044167e-10, 4.949929937653609325e-14, 3.584885945621201762e-13, 1.019633658637356107e-09, 1.569435876592665792e-10, 5.037747268704898347e-10, 3.898345661267330124e-11, 5.433089051582891167e-13
2.067000000000000000e+03, 2.479097219071948923e-10, 2.295453750781909250e-10, 4.754197694121523001e-14, 3.515585196001619070e-13, 9.701419312843455910e-10, 2.100332426146173171e-10, 5.103069052331775975e-10, 4.745789484971806855e-11, 5.596409606122732482e-13
2.068000000000000000e+03, 2.740605607062640179e-10, 2.330468783311642979e-10, 4.715157885391604862e-14, 3.748446860911345363e-13, 1.097883613886510683e-09, 1.900063427092088567e-10, 5.257585321002912109e-10, 6.384780596337737129e-11, 5.606456096816606816e-13
2.069000000000000000e+03, 2.864347112330714746e-10, 2.312143987447006125e-10, 1.078523611809571819e-13, 3.853014368956737351e-13, 1.136105448806117520e-09, 2.106380653649740292e-10, 5.497066428095422990e-10, 7.150083679745222259e-11, 6.705739492663893449e-13
2.070000000000000000e+03, 2.256226475636701325e-10, 2.319205326596428655e-10, 1.321612161792653691e-13, 3.826751092010643697e-13, 1.062722968184753616e-09, 2.836845079693584264e-10, 5.488497268484562992e-10, 6.740165432548051979e-11, 7.225693558374696721e-13
2.071000000000000000e+03, 2.471897870570897971e-10, 2.348548927638625494e-10, 1.310739404069573249e-13, 3.763878828755689011e-13, 1.025814276437820969e-09, 2.366424140292915842e-10, 5.117251495039457369e-10, 5.445788101589003290e-11, 7.104155519611033354e-13
2.072000000000000000e+03, 3.008787030947667030e-10, 2.386699379597944384e-10, 1.220491418580036592e-13, 3.961834112346288742e-13, 1.051847978838594517e-09, 1.696488483530948764e-10, 5.010669868432784389e-10, 4.897371106058055278e-11, 6.866881198866636953e-13
2.073000000000000000e+03, 2.560437605266399702e-10, 2.378761560313360712e-10, 3.368045836875789428e-13, 3.822238365872243744e-13, 1.045932375825004154e-09, 1.404618674163285817e-10, 5.492486172162648846e-10, 5.840429297783969229e-11, 8.051029360817258878e-13
2.074000000000000000e+03, 2.477839727089875035e-10, 2.239538547620765365e-10, 2.583759308017616400e-13, 3.943743615269075939e-13, 1.081666799634366174e-09, 1.933476311855191299e-10, 5.180642979999770508e-10, 7.415254630409070237e-11, 7.272005164318340759e-13
2.075000000000000000e+03, 2.930474675553301376e-10, 2.205732158546380670e-10, 3.338740173259354375e-13, 3.915291214126059333e-13, 1.036159084166660847e-09, 2.133846957184999563e-10, 4.935209467019771937e-10, 4.771425664893250643e-11, 8.155549457546647624e-13
2.076000000000000000e+03, 2.388509612045800023e-10, 2.139290996457269727e-10, 3.404679521173867208e-13, 4.147617961381358266e-13, 1.146917967673352964e-09, 1.700801862143531410e-10, 5.329797588797191250e-10, 6.456696850719174839e-11, 8.094352311256117117e-13
2.077000000000000000e+03, 3.089382771100250790e-10, 2.369723983509223388e-10, 7.850731026779717658e-13, 4.089136232269490035e-13, 1.116928885897459620e-09, 1.583007826944982164e-10, 5.160676025164054507e-10, 6.839510941913952980e-11, 1.216478268705570438e-12
2.078000000000000000e+03, 2.757925760117479542e-10, 2.351633341854271304e-10, 7.902734115327733023e-13, 4.052730761494508727e-13, 1.030670433819783348e-09, 1.582002765505556328e-10, 5.241515913943922600e-10, 5.131783016913564706e-11, 1.200731071238299319e-12
2.079000000000000000e+03, 2.668346630615774521e-10, 2.321455587997672807e-10, 7.942261667686133934e-13, 5.265492926392096387e-13, 8.674755569797573654e-10, 2.414615093580911119e-10, 4.468464555003349687e-10, 6.818998240948228356e-11, 1.199539884617762959e-12
2.080000000000000000e+03, 2.864137962005806907e-10, 2.356127120477626909e-10, 9.911065712778952973e-13, 5.169656066100184018e-13, 9.403733886433672737e-10, 2.024988555842163054e-10, 5.375236908806489660e-10, 5.028057576246450452e-11, 1.329632043533936252e-12
2.081000000000000000e+03, 2.411301684740346348e-10, 2.048747301001850811e-10, 9.923703865237584147e-13, 6.173313309321193141e-13, 9.793829708665421868e-10, 2.322593730196714675e-10, 4.872742284023073033e-10, 6.582657659012718747e-11, 1.293400652088904983e-12
2.082000000000000000e+03, 2.154669334455709056e-10, 2.011582638570761272e-10, 1.168880806061640538e-12, 6.309368350759048335e-13, 1.229663637213034288e-09, 2.187067499953165660e-10, 5.456498340274497999e-10, 6.636733787805593617e-11, 1.353159014022491851e-12
2.083000000000000000e+03, 2.378869133602139055e-10, 2.183898844600762208e-10, 1.231147379992258108e-12, 6.191310158516824138e-13, 1.126804519970388330e-09, 2.343725449014640771e-10, 5.158245821885504480e-10, 7.787523250516617367e-11, 1.379715007456784667e-12
2.084000000000000000e+03, 2.962790887840546469e-10, 2.335527553208774262e-10, 1.301411324312788366e-12, 6.084386379208560070e-13, 1.021245449264925495e-09, 1.897909873637322848e-10, 4.661438087234049433e-10, 4.523968269592328366e-11, 1.406842033022060436e-12
2.085000000000000000e+03, 3.295667524589981968e-10, 2.178676484211810638e-10, 1.315004937848187677e-12, 5.993332509260563525e-13, 9.801208392913776767e-10, 2.018551566859574205e-10, 4.528860578092710323e-10, 6.933929566033902288e-11, 1.414077002580569709e-12
2.086000000000000000e+03, 3.163105011175252683e-10, 2.090536751140583835e-10, 1.290052492374721523e-12, 5.932795063714765925e-13, 1.021850490792516010e-09, 2.778025253071183482e-10, 4.805281172333159715e-10, 6.140854541316817723e-11, 1.415902600998654125e-12
2.087000000000000000e+03, 2.876991645478792090e-10, 2.030889752131297309e-10, 1.212849189283964597e-12, 5.943153884011304776e-13, 1.051022187026335113e-09, 2.134889152246004273e-10, 5.351343266191103289e-10, 3.494442001894827461e-11, 1.419369202892156618e-12
2.088000000000000000e+03, 2.968656086673778769e-10, 2.176459184447329859e-10, 1.206397782937543689e-12, 6.001867959315105020e-13, 1.132973346919948218e-09, 1.627861233288048933e-10, 6.124585265794296401e-10, 6.278523977924843823e-11, 1.485798412001494517e-12
2.089000000000000000e+03, 2.968615754817109894e-10, 2.190144477641813641e-10, 1.272130042740926872e-12, 5.935818611099134344e-13, 1.037314486291128880e-09, 2.361400484687309415e-10, 5.295357173768180346e-10, 6.092055142773975686e-11, 1.632985712968662078e-12
2.090000000000000000e+03, 2.914505349502184267e-10, 1.964774905748412454e-10, 1.317307686599949588e-12, 5.937944371192991847e-13, 9.918127572711363306e-10, 2.423118010706305878e-10, 5.251271835175228709e-10, 4.360366026451159921e-11, 1.648442164428302227e-12
2.091000000000000000e+03, 2.813919438229426439e-10, 2.229362117479059732e-10, 1.385806455698893444e-12, 5.991020865236399441e-13, 9.943165723453876583e-10, 2.010185029565784360e-10, 4.996315228482148825e-10, 8.189914954821127826e-11, 1.765948546329384551e-12
2.092000000000000000e+03, 3.060260281628220088e-10, 2.481087705893782686e-10, 1.471998816550954592e-12, 5.964226320565349250e-13, 1.034367022988862644e-09, 2.201388095123974757e-10, 4.618692562860610413e-10, 5.196726581522444755e-11, 1.901286271355336542e-12
2.093000000000000000e+03, 2.499784468570263686e-10, 2.450755930812843286e-10, 1.456500117091647034e-12, 5.903536887124846255e-13, 1.092402981096644944e-09, 2.368762237927454563e-10, 4.695042815396621088e-10, 4.907335142465331754e-11, 1.903046800435383592e-12
2.094000000000000000e+03, 3.162551602036927085e-10, 2.483772410199220018e-10, 1.432191716109965997e-12, 5.834217073207264627e-13, 8.647777821519028377e-10, 1.977633100807449594e-10, 4.899790529239926872e-10, 6.781110877189807990e-11, 1.809110399539736978e-12
2.095000000000000000e+03, 2.530939428901780832e-10, 2.287911558633081332e-10, 1.423780677583549003e-12, 5.735500725847278881e-13, 1.005654735088643814e-09, 2.404172790491536261e-10, 4.756520991975010651e-10, 4.870940994579844848e-11, 1.773241389501823953e-12
2.096000000000000000e+03, 2.401958430868101426e-10, 2.179556453360095303e-10, 1.405391421140296650e-12, 5.639342717004915918e-13, 1.118934634941257822e-09, 2.111870591866260713e-10, 4.525262634573877698e-10, 5.693186938201039595e-11, 1.742068599698550694e-12
2.097000000000000000e+03, 3.059149709343543654e-10, 2.243736102994448614e-10, 1.397782043401111834e-12, 5.574038689747591084e-13, 1.232924025956555341e-09, 1.734723142618885108e-10, 4.608719052108198408e-10, 5.082293846778636089e-11, 1.720839776327422771e-12
2.098000000000000000e+03, 3.129141692881606492e-10, 2.381228368789102227e-10, 1.375065731784172354e-12, 5.516184614551889430e-13, 1.106483253285839006e-09, 2.008275039371281986e-10, 4.937663892062993045e-10, 4.557746468263201769e-11, 1.538455435973626680e-12
2.099000000000000000e+03, 3.215497869109737595e-10, 2.299521803231098106e-10, 1.374212373887641819e-12, 6.732376625206301699e-13, 9.090010853244161403e-10, 2.343633162029034044e-10, 5.374980804342055941e-10, 7.758483993061022970e-11, 1.265706713316135031e-12
2.100000000000000000e+03, 2.832314799851664693e-10, 2.275558682089836209e-10, 1.614207799078786145e-12, 6.753680001480864692e-13, 9.804833718486645328e-10, 1.749305057196998507e-10, 4.806988539651750006e-10, 5.120098284612938789e-11, 2.144888313934553726e-12
