year, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-MM, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CMCC-ESM2
2.025000000000000000e+03, 1.816962315587548053e-12, 7.758859552560211301e-12, 5.201815891959214150e-12, 1.657844838705593902e-10, 1.476497736136460249e-10, 5.851366202564004146e-14, 8.330704200305940743e-13, 2.598375564294016963e-12, 1.776790442134497481e-12, 4.352295671855707435e-12
2.026000000000000000e+03, 1.983610666875829309e-12, 1.091971743487120868e-11, 5.677846259945286149e-12, 2.063523320246916182e-10, 1.590835452140167817e-10, 3.931212199448540941e-14, 1.322892969332980909e-12, 3.245899835560775260e-12, 2.351266508935124941e-12, 3.432536719944798738e-12
2.027000000000000000e+03, 1.958117104508199853e-12, 1.108777118721082323e-11, 5.502581398000652120e-12, 1.978446180717321225e-10, 1.601618699241177072e-10, 3.586149268018785696e-14, 1.012725447477033161e-12, 3.627773770908535033e-12, 2.252894974918835881e-12, 2.811929554080845325e-12
2.028000000000000000e+03, 1.999921718231211351e-12, 1.093891628682647453e-11, 5.455245184877583259e-12, 1.986588849600159356e-10, 1.528152224806603753e-10, 5.703081980787944101e-14, 1.010314595513104769e-12, 3.431462013495894713e-12, 2.284845544630692045e-12, 3.775239224947278074e-12
2.029000000000000000e+03, 1.938457479544795603e-12, 1.092073941886009584e-11, 5.584850235054227780e-12, 1.720154624453537527e-10, 1.754256076601321721e-10, 4.442232006140313465e-14, 1.075055350874390701e-12, 2.994056203603494093e-12, 2.303122146612882006e-12, 3.753744253138082266e-12
2.030000000000000000e+03, 2.101113101063540902e-12, 1.021404662863940744e-11, 3.091280707728798537e-12, 1.797087932228800293e-10, 1.466013934204131886e-10, 2.881294885935204379e-14, 1.093918610896335146e-12, 3.070785954359004104e-12, 2.323678054998905014e-12, 1.202688828492794498e-12
2.031000000000000000e+03, 2.312469609215095665e-12, 1.006937215709326436e-11, 3.038054370435615427e-12, 1.909106715169930489e-10, 1.483397886354506499e-10, 2.207579723076386664e-14, 2.874384998277567399e-12, 3.310698598534670970e-12, 2.324350674840696921e-12, 1.212306576719320099e-12
2.032000000000000000e+03, 2.352995098913105041e-12, 1.029184516417565875e-11, 3.022068090948126590e-12, 2.047808955340009677e-10, 1.955488900314803535e-10, 1.784250062194376018e-14, 2.679702264736725129e-12, 3.750363851916272120e-12, 2.356870785486896726e-12, 1.213998947957741430e-12
2.033000000000000000e+03, 2.185263040400758887e-12, 1.043173035841098595e-11, 2.928729491375627421e-12, 1.909164028583441015e-10, 1.762668841336707716e-10, 1.940099546237447323e-14, 2.505098023172663888e-12, 3.714362213130389178e-12, 2.379514095343763749e-12, 1.229539035689785991e-12
2.034000000000000000e+03, 2.197445734762842041e-12, 1.042312815296274364e-11, 2.992370253572883310e-12, 1.794754109880585144e-10, 1.500775634385167048e-10, 3.756898811799076838e-14, 2.346577968379726940e-12, 3.973533717596721868e-12, 2.417922383247710066e-12, 1.479867899204624475e-12
2.035000000000000000e+03, 2.158610332440597868e-12, 1.044075577671933127e-11, 3.052324514922637372e-12, 1.979951332551996587e-10, 1.554408567658329028e-10, 4.017321423621600728e-14, 2.823681094530545847e-12, 4.340877340105261133e-12, 2.425297229377417778e-12, 1.142435053327137010e-12
2.036000000000000000e+03, 2.113667258128275191e-12, 1.071184618304168962e-11, 3.098613679860996706e-12, 1.964048896474634880e-10, 1.841784222882680857e-10, 3.275278037390580381e-14, 2.359981914909498466e-12, 3.848577663185038842e-12, 2.537798753699177181e-12, 1.104053416330568279e-12
2.037000000000000000e+03, 2.052409079358907409e-12, 1.066064051498475321e-11, 3.377185604223250545e-12, 2.284683612818130849e-10, 1.998135883105972819e-10, 3.116952473813895881e-14, 2.799788172051466930e-12, 4.257377577172875832e-12, 2.542948626698075174e-12, 1.076953942390877049e-12
2.038000000000000000e+03, 2.045558910815934386e-12, 1.091404681860352714e-11, 3.137945025566317341e-12, 2.325440130100264264e-10, 1.907373698653301099e-10, 3.179956027472531421e-14, 2.396128858937019233e-12, 3.857118798428180072e-12, 2.544809026441141064e-12, 1.282908827715387939e-12
2.039000000000000000e+03, 2.096349402491157111e-12, 1.151663118531303973e-11, 2.912045790060152560e-12, 1.924127347844226378e-10, 1.878537476534631205e-10, 3.106498248487217033e-14, 2.367491328275939764e-12, 3.288853758105219109e-12, 2.569181073055560084e-12, 1.178430111545764892e-12
2.040000000000000000e+03, 2.028205030805394518e-12, 1.179399502080794275e-11, 3.778329609482110997e-12, 1.874444208593782753e-10, 1.876462367254262736e-10, 4.157934874133382978e-14, 2.627115604742243115e-12, 3.502427611497352777e-12, 2.553294931096671226e-12, 1.162893782974256641e-12
2.041000000000000000e+03, 2.000640249917707230e-12, 8.598409701412720423e-12, 4.000982169341338033e-12, 2.232606283378984081e-10, 1.958697064417403381e-10, 4.737576575712608611e-14, 2.554822105737006270e-12, 3.603195075304024235e-12, 2.286872699097669819e-12, 1.325675797341343627e-12
2.042000000000000000e+03, 1.966503156761361354e-12, 8.162919011529888750e-12, 4.076449056729498712e-12, 2.180223766982459691e-10, 2.153488893887958613e-10, 4.878919805728401069e-14, 2.582243687294204713e-12, 3.686696519122397926e-12, 2.294407579668194522e-12, 1.504135494578697159e-12
2.043000000000000000e+03, 1.933590570617815595e-12, 7.936316601480878176e-12, 3.905087921806545539e-12, 2.236597038639704231e-10, 2.260065811305904807e-10, 6.268935834359182354e-14, 2.286267445604146396e-12, 3.972689257691568087e-12, 2.287247714401244614e-12, 1.322575786722023302e-12
2.044000000000000000e+03, 1.940264209207597466e-12, 7.691028415772715949e-12, 3.972162628427088250e-12, 2.440049587552794532e-10, 2.020304655564061178e-10, 6.840121411243156106e-14, 2.385642078711100488e-12, 3.819429703038341667e-12, 2.266920733540119820e-12, 1.354186163223481239e-12
2.045000000000000000e+03, 1.913855060630215642e-12, 7.186238684263900950e-12, 4.207093981783710901e-12, 2.108044338763950462e-10, 1.883891536460552041e-10, 6.077882441327846433e-14, 2.543274060493487883e-12, 3.865559769493344976e-12, 2.258570239106884646e-12, 1.664168095667079196e-12
2.046000000000000000e+03, 1.876537985328320150e-12, 8.593545360300658038e-12, 3.981947262074821538e-12, 2.049216895752892406e-10, 1.928622452175798730e-10, 5.889263371120603221e-14, 2.514424141569120011e-12, 3.400640151047492195e-12, 2.138768467191281440e-12, 2.037707207184575970e-12
2.047000000000000000e+03, 1.851872194269822146e-12, 8.477902124290381694e-12, 4.145377585043814069e-12, 2.482434516692947061e-10, 2.080641960786804073e-10, 6.892144590303906427e-14, 2.515243972800805406e-12, 3.367391198845367481e-12, 2.090446836033114773e-12, 1.953196886442133354e-12
2.048000000000000000e+03, 1.923385032634501735e-12, 8.423741955049033037e-12, 4.272752397244569409e-12, 2.384534502707093335e-10, 2.004224471006217798e-10, 8.018548333830201092e-14, 2.614582092983603581e-12, 3.235859816860167357e-12, 2.063736831912387330e-12, 1.767714529416632264e-12
2.049000000000000000e+03, 2.007522372071848961e-12, 8.423957889461475429e-12, 4.027558753328993163e-12, 2.236891216590168443e-10, 2.239132987606370952e-10, 7.168669803556760184e-14, 2.740780104520699181e-12, 3.102869868674435567e-12, 2.029067385337208721e-12, 2.223719410680332509e-12
2.050000000000000000e+03, 1.486080791545157063e-12, 8.254514009620842809e-12, 3.300332773083758078e-12, 2.239582680996286088e-10, 2.033743276454374399e-10, 6.310624591070186948e-14, 2.512297561202603070e-12, 3.219416431917152454e-12, 2.034305199806147818e-12, 2.136478067744120603e-12
2.051000000000000000e+03, 1.173255224248302911e-12, 6.080438098627225114e-12, 3.350118399814956054e-12, 2.427401979288227154e-10, 1.786523757584386524e-10, 4.958701964944325841e-14, 1.782752211565254320e-12, 1.327560102097816575e-12, 1.433350990859824593e-12, 2.064434779649853086e-12
2.052000000000000000e+03, 1.124966678395968902e-12, 6.053930799883478495e-12, 3.498672977534182691e-12, 2.204754700174741450e-10, 1.952757667169054898e-10, 4.083570691702591475e-14, 1.718231736526825880e-12, 1.086566775315266522e-12, 1.372935522236972847e-12, 1.907921460454656842e-12
2.053000000000000000e+03, 1.069988124283186300e-12, 6.366222010024325429e-12, 3.337466306536693211e-12, 1.760485977688946878e-10, 2.428922688974131755e-10, 3.725459838869295160e-14, 1.860208001354355442e-12, 1.152570634700625694e-12, 1.318588166314830654e-12, 1.905425186898427587e-12
2.054000000000000000e+03, 1.043664969266886160e-12, 6.226634449712750869e-12, 3.172756184819970483e-12, 1.850238026008964981e-10, 2.577206855467131005e-10, 2.866797495967650174e-14, 1.689906360949332949e-12, 1.103028325292343560e-12, 1.260511147090153397e-12, 1.984734214881622796e-12
2.055000000000000000e+03, 1.097966238578941862e-12, 6.251607803864119501e-12, 3.618067981603534890e-12, 2.242673187201126103e-10, 1.968397157381269028e-10, 2.640947226838982757e-14, 1.741399797174452120e-12, 1.302962005106747618e-12, 1.203178500942176763e-12, 1.834757794934665908e-12
2.056000000000000000e+03, 1.095606375735697528e-12, 5.107211893724844993e-12, 3.591724213030656533e-12, 2.185333776189219683e-10, 1.934477605593340122e-10, 3.635267196153839507e-14, 2.447157338239624598e-12, 1.585655922613969857e-12, 1.719983969655830602e-12, 1.836463203723676576e-12
2.057000000000000000e+03, 1.059155465663133925e-12, 4.979005926372683483e-12, 3.360381404564131665e-12, 2.143965166264574654e-10, 2.438073618378751057e-10, 2.946102527043003793e-14, 2.329588461572300276e-12, 1.543966269165796391e-12, 1.693354370200900186e-12, 2.054853000825164752e-12
2.058000000000000000e+03, 1.010268943053396281e-12, 5.217895907850862744e-12, 3.414535486173540288e-12, 2.473691055064248267e-10, 2.703082943454512829e-10, 1.903385111485183027e-14, 2.321496507350673217e-12, 1.280030252861220659e-12, 1.693043884779487426e-12, 2.013933173962766703e-12
2.059000000000000000e+03, 9.898814093455701866e-13, 5.198145514465916555e-12, 3.986972895723262554e-12, 2.383118593732073966e-10, 2.705917786615015817e-10, 2.004587416884566310e-14, 2.558826479882425384e-12, 1.213858544521173061e-12, 1.689407863941893287e-12, 2.076396518202862159e-12
2.060000000000000000e+03, 1.033989480084089354e-12, 5.192328024838943755e-12, 3.335914382243566675e-12, 2.111601574586398592e-10, 2.291274476793450010e-10, 2.366377897315737782e-14, 2.279678699948690864e-12, 1.268472782090244590e-12, 1.675579084664594793e-12, 1.853746627519273393e-12
2.061000000000000000e+03, 1.096544172559953384e-12, 4.371560377791996513e-12, 2.837882592775921828e-12, 2.275345604903249927e-10, 2.218806178982631907e-10, 1.725690580257064424e-14, 1.635372536607692423e-12, 9.543846440255479514e-13, 1.091007770124687277e-12, 1.515065266477000998e-12
2.062000000000000000e+03, 1.004958409875275221e-12, 4.121872251493197696e-12, 2.864034491533258785e-12, 2.221982711991620430e-10, 2.122972433719866608e-10, 1.521735784179974476e-14, 1.504679336936017946e-12, 8.508433885115766337e-13, 1.094448732882685419e-12, 1.552728819164827153e-12
2.063000000000000000e+03, 9.303831875204855864e-13, 4.055217491384448159e-12, 2.929345311255164621e-12, 2.368861176009457811e-10, 2.190454472061542409e-10, 2.768648708529687409e-14, 1.473697988444929773e-12, 8.212604740154807370e-13, 1.084359452791625032e-12, 1.696722871056663925e-12
2.064000000000000000e+03, 1.008666997949383989e-12, 3.948581639310565741e-12, 2.944327460238268875e-12, 2.662883273294298901e-10, 2.295296642557121277e-10, 3.423026857918043843e-14, 1.514672561598939913e-12, 8.989064943333251519e-13, 1.077127826047517851e-12, 1.556359036018564248e-12
2.065000000000000000e+03, 1.054447403964042890e-12, 3.866245949602583836e-12, 2.864551463970212547e-12, 2.482384158701846307e-10, 2.375395464274677838e-10, 2.176967486220770939e-14, 1.607036185540513745e-12, 9.871714868348916290e-13, 1.080114666068824299e-12, 1.507255149343287265e-12
2.066000000000000000e+03, 1.051496296244469760e-12, 8.027689751920630537e-12, 2.526180961931657647e-12, 2.320362826454635271e-10, 2.671529965086131449e-10, 1.359917764460009550e-14, 1.623980398899073235e-12, 1.119997556952749179e-12, 1.462803805079580795e-12, 1.721759784190649697e-12
2.067000000000000000e+03, 1.083255712701728187e-12, 8.122332460307252838e-12, 2.354392704162196714e-12, 2.754506990128724674e-10, 2.392529580285984668e-10, 1.447135590917407928e-14, 1.421241522126612429e-12, 1.048596447302449281e-12, 1.461090800261302079e-12, 1.660310087907636131e-12
2.068000000000000000e+03, 1.100285434898412709e-12, 8.168626200935544027e-12, 2.590638999077380379e-12, 2.505656212448263515e-10, 2.172965352979344156e-10, 1.553941273131984250e-14, 1.397562451943667195e-12, 1.106681398051925727e-12, 1.475375488295882994e-12, 1.598466535585378567e-12
2.069000000000000000e+03, 1.046769892263149444e-12, 8.255833869772850816e-12, 2.691299469168682182e-12, 2.466789935215318462e-10, 2.184393520147154507e-10, 1.391039817801778988e-14, 1.590473488975809949e-12, 1.060051673915775707e-12, 1.490611356030346411e-12, 1.603650448932843301e-12
2.070000000000000000e+03, 9.873388143485239334e-13, 8.415804610347724093e-12, 2.219118338144878759e-12, 2.344009675766734962e-10, 2.026611596375664448e-10, 2.157249921699626807e-14, 1.638257157918706531e-12, 1.209166110980977482e-12, 1.453667565544351822e-12, 1.301254021839448534e-12
2.071000000000000000e+03, 9.951060486384733633e-13, 9.361266731333066711e-12, 2.152305751662130699e-12, 2.171086175913069688e-10, 1.868327749615251109e-10, 2.910352877631401511e-14, 1.252726168267595036e-12, 1.220775604040648307e-12, 1.220029884824430932e-12, 1.249839313362989759e-12
2.072000000000000000e+03, 9.860013202538286850e-13, 9.515135109919155080e-12, 2.074972215719404774e-12, 2.054516958358003788e-10, 1.690357276706064255e-10, 1.997012963072464074e-14, 1.310505240103800096e-12, 1.167954433999540702e-12, 1.210450530458537253e-12, 1.392859022422801093e-12
2.073000000000000000e+03, 9.742184101114078937e-13, 9.684997360125734483e-12, 2.000611785204151038e-12, 2.074952817948228230e-10, 1.894400345410111215e-10, 1.113144436726014496e-14, 1.423366200473603158e-12, 1.246195325161512072e-12, 1.207935493121806029e-12, 1.689934540183070625e-12
2.074000000000000000e+03, 9.540679026982286172e-13, 9.842481747696602172e-12, 2.188044880594844910e-12, 2.195598681796375377e-10, 2.409916730674599290e-10, 7.789834818488314258e-15, 1.412480071817632113e-12, 1.200195252116274308e-12, 1.228924069540883322e-12, 1.596046265110550825e-12
2.075000000000000000e+03, 9.037045840714303670e-13, 1.001610650175678402e-11, 1.904212740784964420e-12, 2.513017102678524229e-10, 2.140848715350020152e-10, 1.313996012239002669e-14, 1.420346099937226030e-12, 1.293256717351041097e-12, 1.239407996675907988e-12, 1.086237929687363574e-12
2.076000000000000000e+03, 8.795700506825859537e-13, 6.594792035990105362e-12, 2.021592770209146454e-12, 2.459552256061259766e-10, 2.237381343586274793e-10, 1.441211839024771246e-14, 1.731918827075965736e-12, 8.044105128481309519e-13, 1.292826553117846771e-12, 1.150455232909839278e-12
2.077000000000000000e+03, 8.593365470779913315e-13, 6.476679621205102155e-12, 2.045373904982015961e-12, 2.403535489459154702e-10, 2.170962906700817946e-10, 1.197565802605148196e-14, 1.821042771023791334e-12, 9.874892787902177532e-13, 1.288508138819556706e-12, 1.324911199362118077e-12
2.078000000000000000e+03, 8.363001958762040414e-13, 6.301229956139760387e-12, 2.206418107456378018e-12, 2.492813130265693703e-10, 2.187398373890846817e-10, 9.398958406079936655e-15, 1.891957519895976677e-12, 1.025413688602797433e-12, 1.278997917579107782e-12, 1.372494346544906192e-12
2.079000000000000000e+03, 8.382169766861737588e-13, 6.173323200542802968e-12, 1.893942743296780628e-12, 2.616007240339087550e-10, 1.989552382061270574e-10, 1.333518540121955894e-14, 1.873631049620882451e-12, 1.004926270635115442e-12, 1.261701086112349378e-12, 1.583510806426449828e-12
2.080000000000000000e+03, 1.823143496731298314e-12, 5.969964358052080849e-12, 2.204447550535904552e-12, 2.389465255709567811e-10, 2.083854675318717484e-10, 1.777773281589229925e-14, 1.930537805040714165e-12, 1.242124129079628650e-12, 1.247535600834666676e-12, 1.598047320629676771e-12
2.081000000000000000e+03, 2.450869452911164546e-12, 8.324452802009427026e-12, 2.420467866262088171e-12, 2.412889591569863963e-10, 2.182614024125756910e-10, 2.497815142557762166e-14, 2.439432776709624628e-12, 2.071562542047029155e-12, 1.838065468454728098e-12, 1.577603128381411804e-12
2.082000000000000000e+03, 2.621238176218339706e-12, 8.396063476603789771e-12, 2.346778077646538442e-12, 2.473332203860762998e-10, 2.463617201028727051e-10, 3.049994341111512602e-14, 2.418658715532658776e-12, 2.674755088197536002e-12, 1.880141368807251043e-12, 1.747880472871447888e-12
2.083000000000000000e+03, 2.744596400823972238e-12, 8.418117618987353296e-12, 2.423866168380958560e-12, 2.142502570295082174e-10, 2.509338454601897291e-10, 2.433156448847815762e-14, 2.537965924536320040e-12, 3.559731012245131838e-12, 1.938196532795183257e-12, 1.747070380229502032e-12
2.084000000000000000e+03, 2.845083487302783081e-12, 8.417243422944915960e-12, 2.459518795918377958e-12, 2.449027748955261142e-10, 2.396060576397366831e-10, 1.988497578725926204e-14, 2.447709547557067081e-12, 3.736618780874190390e-12, 1.973935475475493326e-12, 1.677676709555630311e-12
2.085000000000000000e+03, 1.859272385056513093e-12, 8.327666135813568551e-12, 2.221732990868491675e-12, 2.318524788445130208e-10, 2.162025285996246987e-10, 1.915492535825951319e-14, 2.643462102093243677e-12, 4.146032752879211166e-12, 1.988442264352249293e-12, 1.486144005275664903e-12
2.086000000000000000e+03, 1.217134367738223595e-12, 5.119566460498060291e-12, 2.114860506696889806e-12, 2.329427104453813900e-10, 1.810629922946186390e-10, 1.883387183407037610e-14, 1.890604865093901502e-12, 2.005046522584326697e-12, 1.378362287123423505e-12, 1.425588328872432335e-12
2.087000000000000000e+03, 1.088455590818468748e-12, 5.000442192838692434e-12, 2.146784209547794691e-12, 2.122545163884793388e-10, 1.868302669675317344e-10, 1.749865340433488282e-14, 1.917886166725193560e-12, 2.045040894934284186e-12, 1.377867707094375259e-12, 1.509703706877636051e-12
2.088000000000000000e+03, 1.069493085266258820e-12, 5.043260035470478926e-12, 2.312430426205350297e-12, 2.382570262378913946e-10, 2.162456242246183204e-10, 1.194083892163408551e-14, 1.952222465932455567e-12, 2.230213775730853051e-12, 1.370529225911619450e-12, 1.580482735889939902e-12
2.089000000000000000e+03, 1.045052276480949328e-12, 4.901009798120503700e-12, 2.222003850284937290e-12, 2.747218124107216389e-10, 2.385832016375527121e-10, 1.257385907533723068e-14, 1.936434091936102978e-12, 2.107477834162215749e-12, 1.375748529046688752e-12, 1.573511467453914272e-12
2.090000000000000000e+03, 1.023103092241558727e-12, 4.900216724146824210e-12, 2.305400895336119796e-12, 2.538187522021535445e-10, 2.260929364933428796e-10, 1.855360709009924451e-14, 2.050988454387685292e-12, 2.124878918913508839e-12, 1.383341303238719851e-12, 1.915783903732410551e-12
2.091000000000000000e+03, 1.082693902578559192e-12, 6.015686044819887163e-12, 2.263998884200334340e-12, 2.788919479067822955e-10, 2.453453316711049280e-10, 2.112793178462584941e-14, 2.117947926747647944e-12, 2.173681702089243208e-12, 1.414191469930095418e-12, 2.086464166492848433e-12
2.092000000000000000e+03, 1.090300690642068480e-12, 5.789996862782088353e-12, 2.329906347320140023e-12, 2.624364974476598735e-10, 2.280132418704397284e-10, 2.189176133556805354e-14, 2.130099389448513629e-12, 2.334751864251890774e-12, 1.380691337038525116e-12, 2.074598618545102632e-12
2.093000000000000000e+03, 1.049538141340648177e-12, 5.713320394530877642e-12, 2.177264379357992227e-12, 2.510627912043574767e-10, 2.441286351151136416e-10, 2.913740983529985502e-14, 2.286369924774483461e-12, 1.995225600782274213e-12, 1.354971657679915760e-12, 1.984680597884152292e-12
2.094000000000000000e+03, 1.050428331436410527e-12, 5.622115547906663288e-12, 2.463604418434161248e-12, 3.022564009746244076e-10, 3.005242091542068417e-10, 2.936605217180114102e-14, 2.310619417909990385e-12, 2.367753404825530797e-12, 1.442175470474073234e-12, 2.083221088386217705e-12
2.095000000000000000e+03, 1.461254821848908586e-12, 5.699400200520161546e-12, 3.122163530166924437e-12, 2.971548452548023132e-10, 3.173928178927307919e-10, 2.933712574141569085e-14, 2.362705149168927200e-12, 2.836242733251925515e-12, 1.245772592833329729e-12, 2.810681095176559724e-12
2.096000000000000000e+03, 1.741903109907439719e-12, 6.055349673756475572e-12, 2.863269253038764855e-12, 2.389908867601788030e-10, 2.430775317563540532e-10, 3.782799132751698944e-14, 2.870388399852482087e-12, 2.106774464776609931e-12, 1.507050780669562731e-12, 2.620166281166589464e-12
2.097000000000000000e+03, 1.902923905415921807e-12, 6.157205240480213659e-12, 3.009941381496178912e-12, 3.229008575364056001e-10, 2.201141303047794232e-10, 3.299479891666934153e-14, 2.939070948188285091e-12, 2.071343479280637379e-12, 1.512750921898517313e-12, 2.724470888739018117e-12
2.098000000000000000e+03, 2.147268539815804773e-12, 6.382749836631494635e-12, 3.207434341880805348e-12, 2.967346174678402637e-10, 2.422546895636728994e-10, 3.286729240565220537e-14, 3.076430699759057847e-12, 2.187016042634420972e-12, 1.520301631018645324e-12, 2.503487383183983584e-12
2.099000000000000000e+03, 2.014825713779275366e-12, 6.775836155547049897e-12, 3.175614914895000131e-12, 2.448553238506239351e-10, 2.260870985795962365e-10, 4.586719385663908162e-14, 2.990575755988792013e-12, 2.023297896331520294e-12, 1.537145969973616275e-12, 2.367319570494930644e-12
2.100000000000000000e+03, 1.049636607902402546e-12, 7.050178985600415646e-12, 8.180739731286500134e-13, 2.285836897382839556e-10, 1.969356041418742860e-10, 3.689690113811520804e-14, 3.042818697962760992e-12, 2.171760325808985682e-12, 1.548813412817683089e-12, 1.003187544928075723e-12
