year, TaiESM1, NorESM2-MM, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CanESM5, INM-CM5-0, ACCESS-ESM1-5, CESM2-WACCM, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg
1.921000000000000000e+03, 1.938304222864098847e+02, 1.581468168475451250e+02, 1.217802755817973264e+02, 1.604092717325715682e+02, 1.186187966539099676e+02, 1.015775430431550035e+02, 1.279985912899094416e+02, 1.829354054845757389e+02, 1.564081251024910557e+02, 1.278271748406222486e+02, 1.248793683971841517e+02, 1.511891479263660187e+02, 1.297760048890070834e+02, 2.022916700226143405e+02, 7.962521910503109268e+01, 1.410435748741468842e+02
1.922000000000000000e+03, 1.942884100775854961e+02, 1.579714607802324338e+02, 1.216723695976224349e+02, 1.599143157176774253e+02, 1.175447226281217326e+02, 1.015192912268410623e+02, 1.279246228155337377e+02, 1.832712528885072061e+02, 1.560646884689696776e+02, 1.276486580823244026e+02, 1.249505052220438728e+02, 1.512684146291472018e+02, 1.298992575397459746e+02, 2.021969111458340649e+02, 7.943056422029607688e+01, 1.406392408611966403e+02
1.923000000000000000e+03, 1.937706193513419066e+02, 1.576441189453888683e+02, 1.216065598375076036e+02, 1.597057987632360607e+02, 1.179352110745692954e+02, 1.016775628846156678e+02, 1.277308800067978893e+02, 1.836152917212897364e+02, 1.561119866239402540e+02, 1.278669430560338469e+02, 1.252503596032231172e+02, 1.518153969404791610e+02, 1.303586918805878838e+02, 2.018037626833303193e+02, 7.887336835676792646e+01, 1.404922565620921091e+02
1.924000000000000000e+03, 1.936451008504921845e+02, 1.572617655528497096e+02, 1.216317589329477187e+02, 1.593619707691460405e+02, 1.178665370289755003e+02, 1.000751069567114087e+02, 1.279669272051454385e+02, 1.836177248803737996e+02, 1.554600260278205042e+02, 1.281425219423250610e+02, 1.254759725013575604e+02, 1.521061502556571270e+02, 1.302610282451442458e+02, 2.015968795857214673e+02, 7.903532179225335597e+01, 1.408034791864123747e+02
1.925000000000000000e+03, 1.934829061350641268e+02, 1.569297980279616240e+02, 1.218031788921538379e+02, 1.590358040601835512e+02, 1.182034543345028510e+02, 9.965712522472531987e+01, 1.277624426199416092e+02, 1.834956406344309414e+02, 1.555322014235603376e+02, 1.280812445572222202e+02, 1.252709293824618300e+02, 1.521512443678598459e+02, 1.300797701687900769e+02, 2.012295687835110698e+02, 7.940283923342724393e+01, 1.412960108871754983e+02
1.926000000000000000e+03, 1.933717893308718772e+02, 1.564906254102586729e+02, 1.217991046746162453e+02, 1.586413409723508323e+02, 1.189756687134286608e+02, 9.988147948273839916e+01, 1.276724974263308781e+02, 1.827767340369127851e+02, 1.551875801648046149e+02, 1.277544558838690136e+02, 1.249039361942872972e+02, 1.518210706351108286e+02, 1.301166631578576016e+02, 2.014915764667504448e+02, 7.943813755608304916e+01, 1.398094696668212578e+02
1.927000000000000000e+03, 1.932930610844086914e+02, 1.565070971909893842e+02, 1.218359305799066448e+02, 1.583082756305627186e+02, 1.187560185694235173e+02, 1.006518687429344254e+02, 1.277076143800266266e+02, 1.822643410546012603e+02, 1.552319380233223285e+02, 1.278890702303929032e+02, 1.246786874930643876e+02, 1.516954014746763164e+02, 1.293876772891525775e+02, 2.012416758544140976e+02, 7.937699140804328124e+01, 1.388814026834515971e+02
1.928000000000000000e+03, 1.923802458457816442e+02, 1.567198407933402962e+02, 1.216856338116263885e+02, 1.583038489958653088e+02, 1.181207244843187283e+02, 1.011285913507127958e+02, 1.279573298583041634e+02, 1.822018111562133527e+02, 1.552664161749347045e+02, 1.278023123840391548e+02, 1.248280344140026585e+02, 1.511857428259123424e+02, 1.297859647509709760e+02, 2.012466426473475565e+02, 7.838335746685616812e+01, 1.387536559276038588e+02
1.929000000000000000e+03, 1.919942809264317702e+02, 1.566726336831258664e+02, 1.214034852045689661e+02, 1.580880128665658049e+02, 1.188396875001462263e+02, 1.003133134240606807e+02, 1.280696033745849434e+02, 1.827366853463238385e+02, 1.550066495545569296e+02, 1.273055486416411668e+02, 1.253543143825115607e+02, 1.513990083517173844e+02, 1.300850139713623435e+02, 2.015130477237861442e+02, 7.843225723675480765e+01, 1.384660747795297766e+02
1.930000000000000000e+03, 1.923565622597415086e+02, 1.563030422647562148e+02, 1.213614698854627107e+02, 1.578928048423632902e+02, 1.186440216126175073e+02, 1.008607552770450297e+02, 1.279220121628933242e+02, 1.827595364893135468e+02, 1.544872771814070802e+02, 1.274635451616258450e+02, 1.252235605951449315e+02, 1.516188804863619737e+02, 1.300107766711372506e+02, 2.014643662677424061e+02, 7.808922239854379654e+01, 1.386448799663123168e+02
1.931000000000000000e+03, 1.923477319493903792e+02, 1.558664443840313822e+02, 1.214290744305723422e+02, 1.578087227492131888e+02, 1.184934283730670614e+02, 1.007016926056754613e+02, 1.277651060651914037e+02, 1.828615380437138356e+02, 1.541738321378863930e+02, 1.278843762211007515e+02, 1.255708282223365302e+02, 1.517309900875441429e+02, 1.292157469148187374e+02, 2.015291590125406174e+02, 7.724788808837308807e+01, 1.386944680879970804e+02
1.932000000000000000e+03, 1.917452396818263765e+02, 1.551439456874880705e+02, 1.213167873589465415e+02, 1.576937181474022225e+02, 1.185755641791348438e+02, 1.013217904269463929e+02, 1.277769519612950404e+02, 1.829148307833665967e+02, 1.535856536733706719e+02, 1.282002156665651853e+02, 1.255836317197586709e+02, 1.518363332267786632e+02, 1.288589343673562837e+02, 2.018860194680466975e+02, 7.586651616129086051e+01, 1.387820385432479213e+02
