year, NorESM2-MM, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, INM-CM4-8, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, CMCC-CM2-SR5
1.876000000000000000e+03, 9.933444576054254682e+00, 9.089678178919621487e+00, 1.448285170971466762e+01, 1.732354985120262469e+01, 1.089699311795756920e+01, 1.131014683458830206e+01, 9.496228305510113543e+00, 1.450011351797556003e+01, 1.063897142105674298e+01, 1.023761512668030527e+01, 1.528789190474340920e+01, 1.082886343501134263e+01, 1.678316557816537369e+01, 1.655928644101917868e+01, 1.085069558226022934e+01, 8.243972388755208769e+00
1.877000000000000000e+03, 9.390938999757146632e+00, 9.592121838898281183e+00, 1.429074260610236635e+01, 1.716145844379923346e+01, 1.107108498334389779e+01, 1.226007089233120340e+01, 9.724158916967756028e+00, 1.431701662148815934e+01, 1.162487578376134145e+01, 9.683759613428479796e+00, 1.644615168180996179e+01, 9.688078386708438572e+00, 1.664646708366452899e+01, 1.633932956045249085e+01, 1.151202969831344447e+01, 8.318949955048589473e+00
1.878000000000000000e+03, 9.560829561722080427e+00, 9.165586630287769765e+00, 1.406542766783220877e+01, 1.674494726394313204e+01, 1.143608159069665042e+01, 1.218013855299908066e+01, 9.281472829104245648e+00, 1.319626104737738359e+01, 1.178811714414742795e+01, 9.645226331092388250e+00, 1.676480218561092883e+01, 1.034967272132006677e+01, 1.500901049079394056e+01, 1.632661668771731911e+01, 1.149149510938183738e+01, 8.345711938367342597e+00
1.879000000000000000e+03, 9.768876689001489311e+00, 9.495502696727429637e+00, 1.371488569212810482e+01, 1.584759786164791784e+01, 1.159309294857074768e+01, 1.163662930958763475e+01, 9.346195429793938914e+00, 1.401212063543890451e+01, 1.190561832799769881e+01, 1.007183632903723769e+01, 1.668537271600985861e+01, 1.073259362703343989e+01, 1.700795918685703256e+01, 1.639579795225752079e+01, 1.082279248792636395e+01, 7.787044801478170797e+00
1.880000000000000000e+03, 9.481520560726428570e+00, 7.949028158600605742e+00, 1.316218355980807075e+01, 1.750146111968280849e+01, 1.165046262465977556e+01, 1.200372213750394934e+01, 9.722916505495781792e+00, 1.426629825649046523e+01, 1.125551088207000028e+01, 9.828307134641569576e+00, 1.629916842238622721e+01, 1.005668573151593392e+01, 1.707915602462431082e+01, 1.654151477286792371e+01, 1.076904043635296304e+01, 8.161481908256130069e+00
1.881000000000000000e+03, 9.513986248227327636e+00, 9.360297988076579756e+00, 1.354131173905819097e+01, 1.789082282021102799e+01, 1.149327806923411366e+01, 1.259042137889213464e+01, 9.574341607636903007e+00, 1.369298999061438948e+01, 1.114243256173953434e+01, 9.527305144076496646e+00, 1.629601763378420642e+01, 1.042184659796803281e+01, 1.734595357483723888e+01, 1.600518551762245423e+01, 1.103432902393431547e+01, 8.189915927149442609e+00
1.882000000000000000e+03, 9.605845846707818936e+00, 9.006541765677090083e+00, 1.425738837944912163e+01, 1.833872748628030180e+01, 1.155335137077407737e+01, 1.185629046400548603e+01, 9.527723815041502675e+00, 1.212998108036450162e+01, 1.225489074741014761e+01, 1.031853610883924688e+01, 1.669604090379058903e+01, 1.000137046980114519e+01, 1.652425140047863295e+01, 1.595943582818222595e+01, 1.031626752553396642e+01, 7.989059693775647730e+00
1.883000000000000000e+03, 9.848364136663892765e+00, 9.034308720400021642e+00, 1.285900247882654845e+01, 1.728283952061040907e+01, 1.138685426182324711e+01, 1.214890520303862687e+01, 9.546880105870913624e+00, 1.357750684922797824e+01, 1.111278970976040270e+01, 1.021296391331112652e+01, 1.696064822896504509e+01, 1.024042569333414043e+01, 1.691029175336301194e+01, 1.660827013138192854e+01, 1.005532168127629689e+01, 8.433119833152185052e+00
1.884000000000000000e+03, 1.013973355506011131e+01, 9.276072959425624376e+00, 1.338412705597693098e+01, 1.713030588525487730e+01, 1.172809328969163012e+01, 1.181140990344875874e+01, 9.300571161747651416e+00, 1.459444057160395403e+01, 1.129346150129468640e+01, 1.028694908640839500e+01, 1.659898758181371292e+01, 1.046847939311862064e+01, 1.655184569706644737e+01, 1.710368702467323843e+01, 1.122680400555785951e+01, 8.735028275837681377e+00
1.885000000000000000e+03, 9.892442865678416908e+00, 8.888671977600665741e+00, 1.395018962262423301e+01, 1.761827262734292887e+01, 1.158357474650247099e+01, 1.184878857648915762e+01, 8.855907851286730192e+00, 1.396984529715607515e+01, 1.202432526455156570e+01, 1.015862485577203422e+01, 1.591284924078098229e+01, 1.038512605300425484e+01, 1.744091233837433208e+01, 1.638318656834488607e+01, 1.135329479941514741e+01, 8.196074632259440662e+00
1.886000000000000000e+03, 9.781565327003509225e+00, 9.793512456497973417e+00, 1.423325662760272436e+01, 1.734919046791535635e+01, 1.151934400795221514e+01, 1.218390729910151471e+01, 9.184980429104893318e+00, 1.382802058126381439e+01, 1.241529726328174377e+01, 9.800412042020056447e+00, 1.655609261711213520e+01, 1.018159112634012864e+01, 1.810020030332889007e+01, 1.601228482419110577e+01, 1.074499263086469014e+01, 7.892925919363454668e+00
1.887000000000000000e+03, 9.516210155039759755e+00, 8.890878599247177050e+00, 1.406798897426125805e+01, 1.661591641329079039e+01, 1.164559516619853063e+01, 1.215465676406675222e+01, 9.957216760952587009e+00, 1.353901107929741343e+01, 1.159801526750442591e+01, 1.027768757423221224e+01, 1.606273947505866317e+01, 1.034555694465766962e+01, 1.693752980916019624e+01, 1.621004204091177314e+01, 1.048773642657634930e+01, 8.686226286545386088e+00
1.888000000000000000e+03, 9.396428682244291508e+00, 1.018008806992425619e+01, 1.380335442778442179e+01, 1.750099919552274841e+01, 1.119040688091127578e+01, 1.198801675169117686e+01, 9.639998739974842579e+00, 1.444881215644323191e+01, 9.935385639068030628e+00, 1.036208012655517585e+01, 1.574395921823751365e+01, 1.029612393200817344e+01, 1.618591163750238948e+01, 1.688538939055701249e+01, 9.761159387330096138e+00, 8.808848043465815181e+00
1.889000000000000000e+03, 9.463520055872317371e+00, 9.620641207701130071e+00, 1.441727260840417912e+01, 1.756420762035082461e+01, 1.162774354466433024e+01, 1.211643245506495603e+01, 1.018810882376553906e+01, 1.402518250967212587e+01, 1.231794484440926496e+01, 9.746575700450522461e+00, 1.606622100239197692e+01, 1.006358213881950370e+01, 1.686436402124002498e+01, 1.712096098989272974e+01, 9.276156241875519015e+00, 8.320244778413682596e+00
1.890000000000000000e+03, 9.711722216797973317e+00, 8.691715880026732677e+00, 1.404048908504891813e+01, 1.662799927033876202e+01, 1.154551050561575742e+01, 1.220371690522780916e+01, 9.788567386481291877e+00, 1.341731100321078252e+01, 1.136972585385315959e+01, 9.829374599147575609e+00, 1.579227508056259843e+01, 1.055633763442056683e+01, 1.759108982440867308e+01, 1.672829629540757068e+01, 9.347149766052895714e+00, 8.418755180010972339e+00
1.891000000000000000e+03, 9.796905515350742277e+00, 9.509047395280317616e+00, 1.423202588305255745e+01, 1.834639692631781571e+01, 1.161880797636572460e+01, 1.216566004761351039e+01, 9.915765444476020818e+00, 1.418459163434504511e+01, 1.173733343733166201e+01, 9.997754249106398206e+00, 1.615655198178708574e+01, 1.018045226528921177e+01, 1.633317504438402068e+01, 1.651396719395443569e+01, 1.018405031870485011e+01, 7.966640789035226433e+00
1.892000000000000000e+03, 9.335097686487873858e+00, 9.290412174812820112e+00, 1.346619338148875222e+01, 1.841863653228298503e+01, 1.172278051253330311e+01, 1.176396662923079539e+01, 9.976749378452154815e+00, 1.340095276486814946e+01, 1.213182177858164579e+01, 9.248689300425116500e+00, 1.649280799181795487e+01, 1.073366641711255021e+01, 1.555432446858116435e+01, 1.656617702535019632e+01, 1.066573270298273890e+01, 8.668732809751451995e+00
1.893000000000000000e+03, 9.905164040732504560e+00, 9.904214747771549199e+00, 1.388190452553498666e+01, 1.754289981822772404e+01, 1.107722394833831459e+01, 1.195675221420783529e+01, 9.894079099968278612e+00, 1.440059186463043162e+01, 1.206947805675616969e+01, 1.011992253204717152e+01, 1.603123599150470113e+01, 1.018656075316115661e+01, 1.748575707196925322e+01, 1.662161557790177469e+01, 1.086668670799682168e+01, 8.487507434129511807e+00
1.894000000000000000e+03, 9.785025571143114220e+00, 8.938431087189355750e+00, 1.350671005478657882e+01, 1.821946879345404469e+01, 1.151535605326406575e+01, 1.226010818723292850e+01, 9.990042578727278411e+00, 1.384407907637838520e+01, 1.140163697596182857e+01, 1.031711190678341872e+01, 1.605920804201178598e+01, 1.035445518058667780e+01, 1.647194898123398232e+01, 1.605430993956418106e+01, 1.126303270220912367e+01, 7.667173801749304296e+00
1.895000000000000000e+03, 9.969399008987124944e+00, 9.326603414474897491e+00, 1.350284889345343764e+01, 1.853228712796132527e+01, 1.164498526657528643e+01, 1.185169555463184921e+01, 1.012286466380067829e+01, 1.370023831825289662e+01, 1.206854103782512766e+01, 1.002523486105191530e+01, 1.626804643845991549e+01, 9.760662252398853767e+00, 1.647419242971929165e+01, 1.668862777591597890e+01, 1.070630811780288738e+01, 8.326168106232408661e+00
1.896000000000000000e+03, 9.708824713058735512e+00, 9.995760479883200489e+00, 1.331445564144127225e+01, 1.742854219982228869e+01, 1.168962508461264704e+01, 1.226020404752507176e+01, 1.024710226626077691e+01, 1.119346855464789137e+01, 1.242517873978720644e+01, 9.953601188409910705e+00, 1.707106597323889474e+01, 1.071520940839980796e+01, 1.672085613001615201e+01, 1.714233368828609727e+01, 1.099572915757102010e+01, 9.039844667582917381e+00
1.897000000000000000e+03, 9.225684353082385769e+00, 9.236673967620653514e+00, 1.407379953908773018e+01, 1.759148857251859610e+01, 1.151920586787960232e+01, 1.157885122641323683e+01, 9.127765213367968755e+00, 1.335420315914852729e+01, 1.198276739142578151e+01, 1.059566525766460643e+01, 1.634902909303999508e+01, 1.039313050685846029e+01, 1.719779103598164127e+01, 1.711643627233746301e+01, 1.024981891212469343e+01, 8.320170407812547353e+00
1.898000000000000000e+03, 9.524059502044677217e+00, 9.788829346731928283e+00, 1.382877876282814178e+01, 1.825910652731825579e+01, 1.140047067686631976e+01, 1.140821682820519101e+01, 9.654094708888322884e+00, 1.397070830360964777e+01, 1.226665572401724980e+01, 1.005520353379974274e+01, 1.561469692014080657e+01, 1.004509503275642679e+01, 1.689768097382967227e+01, 1.656547148726815877e+01, 1.096458639655411993e+01, 8.916379032201932731e+00
1.899000000000000000e+03, 9.681878411065731882e+00, 9.535422143564749931e+00, 1.277836380584005127e+01, 1.829622738944273053e+01, 1.148375221980183269e+01, 1.221270877564263557e+01, 9.976617972998262474e+00, 1.404908946797990410e+01, 1.161373057870845571e+01, 1.020092260828558572e+01, 1.626695198393434794e+01, 1.031305217823547338e+01, 1.770364371632018674e+01, 1.714354158382121440e+01, 1.056372722233135519e+01, 7.909478005954129642e+00
1.900000000000000000e+03, 9.908870671680928055e+00, 9.643373179158331254e+00, 1.264434457663656985e+01, 1.814483433730843132e+01, 1.158312781348939247e+01, 1.230993361665919750e+01, 1.004809157806554865e+01, 1.363739254447816407e+01, 1.164840557252307640e+01, 9.957732036703134781e+00, 1.609213871722342049e+01, 1.023969883847966145e+01, 1.716601973248944901e+01, 1.675072959935741324e+01, 1.022980899524524823e+01, 8.349514817619478890e+00
1.901000000000000000e+03, 9.909920018277601272e+00, 1.053876952803791767e+01, 1.301999711846922203e+01, 1.745548371749315919e+01, 1.174283125644830861e+01, 1.151842890319928792e+01, 1.030935548494003484e+01, 1.386460411125821679e+01, 1.201620447309172945e+01, 1.003931167414132375e+01, 1.669364725259443460e+01, 1.049297043230339632e+01, 1.690024672167808362e+01, 1.717345601704561986e+01, 1.046926057257979714e+01, 8.479743525108608182e+00
1.902000000000000000e+03, 9.961987257135653806e+00, 9.636215998447170250e+00, 1.456227525736690076e+01, 1.724382452706962709e+01, 1.129372171453312745e+01, 1.218557466021312941e+01, 9.789312594260085376e+00, 1.399792138495484828e+01, 1.258469423839580337e+01, 9.754400134972849301e+00, 1.666302601740132516e+01, 1.097357177024335328e+01, 1.716103757845503708e+01, 1.652764333699067123e+01, 1.108349249993445618e+01, 8.130129900845973978e+00
1.903000000000000000e+03, 9.979965528228934346e+00, 8.804103056627821999e+00, 1.431397378387543462e+01, 1.736836398835560402e+01, 1.162706250596899515e+01, 1.179792250163365885e+01, 9.641509307735896428e+00, 1.382330599738545551e+01, 1.120996264376306151e+01, 1.009925879998828790e+01, 1.690640980317333586e+01, 9.882038026575735046e+00, 1.674554024662124974e+01, 1.732888186455553736e+01, 1.105937446128648460e+01, 8.788303101272269657e+00
1.904000000000000000e+03, 1.010628932064852847e+01, 9.458300358747314007e+00, 1.351475193444917444e+01, 1.670104868070194826e+01, 1.161893589536069626e+01, 1.119065124075002515e+01, 1.002563476759683603e+01, 1.464623339616905895e+01, 1.191219338127523386e+01, 1.031952537784931501e+01, 1.683525221992766774e+01, 1.025219372075439317e+01, 1.706688135690046693e+01, 1.750145357264709034e+01, 1.131307359079830022e+01, 8.855903358757990063e+00
1.905000000000000000e+03, 9.964422101351926742e+00, 9.919251190979968769e+00, 1.386740807166072287e+01, 1.707338899206402161e+01, 1.165200353621469453e+01, 1.211671209465524868e+01, 1.004318651417959174e+01, 1.373277247158536873e+01, 1.195068360282649955e+01, 1.040584479018481012e+01, 1.672315261235053185e+01, 1.041179056672537406e+01, 1.748406538934043652e+01, 1.649393709105796901e+01, 1.130139206265990559e+01, 8.604686420478595110e+00
1.906000000000000000e+03, 9.564095165570021706e+00, 9.659053673446484467e+00, 1.396281549997266502e+01, 1.834103764888957855e+01, 1.143774910784718379e+01, 1.199392067734472356e+01, 9.621614214829014244e+00, 1.338304954367745658e+01, 1.170597283860114324e+01, 1.040332374157173234e+01, 1.660629745509994493e+01, 1.046513851057251010e+01, 1.784141799904996617e+01, 1.665889988968745072e+01, 1.067203076036163445e+01, 8.385155882541994288e+00
1.907000000000000000e+03, 1.029758451260164698e+01, 8.955459798878559141e+00, 1.449605304436132158e+01, 1.883392725206316598e+01, 1.148503063940609081e+01, 1.179400489333610480e+01, 9.807021572645984619e+00, 1.329816308116255108e+01, 1.234679844955384631e+01, 1.069872256919831344e+01, 1.635821471903624769e+01, 1.044270716459515036e+01, 1.678065238785435653e+01, 1.668281348010680532e+01, 1.095435151775211935e+01, 8.806232879148863546e+00
1.908000000000000000e+03, 1.013407775740317085e+01, 8.815923674749081229e+00, 1.431577585591871227e+01, 1.911588152360043225e+01, 1.132366709988915865e+01, 1.195769214182255702e+01, 9.819045404780343489e+00, 1.350858042555652183e+01, 1.193725356267974469e+01, 1.021619329064917281e+01, 1.661792466724539707e+01, 1.011544421796114257e+01, 1.700001276657823368e+01, 1.664285861731175586e+01, 1.085033447366329540e+01, 8.800653565028182967e+00
1.909000000000000000e+03, 1.019394024346764915e+01, 9.705897244304468430e+00, 1.349894764140626968e+01, 1.814164112553500985e+01, 1.138144410416105679e+01, 1.197148462346286735e+01, 9.901754016319809892e+00, 1.419807305585095847e+01, 1.212362442521972916e+01, 9.747054770792205503e+00, 1.640762843762886547e+01, 1.039568103254152298e+01, 1.703888303669780058e+01, 1.676438392737463801e+01, 1.106274030063402947e+01, 8.021122210082769044e+00
1.910000000000000000e+03, 1.002791534558650710e+01, 9.388257084534011199e+00, 1.353661956226107499e+01, 1.792788032607889548e+01, 1.177685570251740188e+01, 1.134356014257150491e+01, 9.927556337597895464e+00, 1.392198631537850062e+01, 1.084356175066005079e+01, 1.066054097694011560e+01, 1.610934021853534048e+01, 1.119557282838463053e+01, 1.795161377832625860e+01, 1.668163552198383925e+01, 1.106175864141952836e+01, 7.714198179083695095e+00
