year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.875000000000000000e+03, 8.146238167542166969e-11, -2.111043045845552294e-10, 6.094353717557910461e-12, 1.017498402602655512e-10
1.876000000000000000e+03, 8.195330136108750929e-11, -2.138083855375550578e-10, 6.237432062948581085e-12, 1.067702573866864860e-10
1.877000000000000000e+03, 8.249366790535659407e-11, -2.202751411599101624e-10, 6.557771378455991115e-12, 1.056875399798541202e-10
1.878000000000000000e+03, 8.300935374535183590e-11, -2.169499103306049857e-10, 6.741287757284938618e-12, 1.093594314844542607e-10
1.879000000000000000e+03, 8.290059357797998633e-11, -2.199146259487902448e-10, 6.833027203125258814e-12, 1.086116646775053483e-10
1.880000000000000000e+03, 8.301452359164543060e-11, -2.190988634456146241e-10, 8.063055248426579954e-12, 1.089703596456213634e-10
1.881000000000000000e+03, 1.021982358093155426e-10, -2.270599228682184992e-10, 1.104743659889006588e-11, 1.061368327103626523e-10
1.882000000000000000e+03, 1.036087034342738015e-10, -2.342101076255012115e-10, 1.218200922332728012e-11, 1.098461822562415354e-10
1.883000000000000000e+03, 1.046822897081028748e-10, -2.310523533486795315e-10, 1.251380492921565397e-11, 1.073157027609635229e-10
1.884000000000000000e+03, 1.057277486505516105e-10, -2.385912968341095155e-10, 1.297733946373013087e-11, 1.031709864210956695e-10
1.885000000000000000e+03, 1.059921540256592750e-10, -2.332395343699543735e-10, 1.311399421956901640e-11, 1.076088202223393837e-10
1.886000000000000000e+03, 1.060224885238053772e-10, -2.365142178971769888e-10, 1.377760899630038556e-11, 1.104821132219414386e-10
1.887000000000000000e+03, 1.060534348464821515e-10, -2.354147905049630068e-10, 1.437926106737953447e-11, 1.058339139633657948e-10
1.888000000000000000e+03, 1.070197066562163975e-10, -2.428568360177144197e-10, 1.556473231539395133e-11, 1.106940950579467417e-10
1.889000000000000000e+03, 1.076451490448327972e-10, -2.455663281128114718e-10, 1.653613832331105037e-11, 1.154249415027440941e-10
1.890000000000000000e+03, 1.086160019353407661e-10, -2.539856908169291564e-10, 1.722273024913779407e-11, 1.155892619845679752e-10
