year, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, CanESM5, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5
1.870000000000000000e+03, 4.627428174675802808e+00, 6.161850061919480481e+00, 2.957898872460988571e+01, 5.392041907804777878e+01, 4.638891579777221885e+00, 3.251341303071694000e+01, 3.425524015936152722e+01, 1.882893705110247851e+01, 1.130327367328516885e+01, 2.028036045179552271e+00, 4.829954795170566584e+00, 6.354587481552938399e+00, 6.602914467342147375e+00
1.871000000000000000e+03, 4.620037160339382609e+00, 6.114863270023523256e+00, 2.937560130964794070e+01, 5.404131843064699581e+01, 4.698012000564786739e+00, 3.243206407020340265e+01, 3.412011377525537625e+01, 1.884757176173883053e+01, 1.167225239225200717e+01, 2.044267693719552970e+00, 4.931467418612707654e+00, 6.399602193971900554e+00, 6.654812222007043587e+00
1.872000000000000000e+03, 4.688754996633178962e+00, 6.128057453353659589e+00, 2.923610596893894353e+01, 5.419672053404634227e+01, 4.791735336663618838e+00, 3.244734245816815843e+01, 3.382534213884379426e+01, 1.893248021349005583e+01, 1.143380680568161267e+01, 2.168630014709278964e+00, 4.940785339962628697e+00, 6.435212933518010381e+00, 6.626736963855282880e+00
1.873000000000000000e+03, 4.849977612697840001e+00, 6.150078466974164826e+00, 2.929575023990797078e+01, 5.418606947893704273e+01, 4.712130013198643219e+00, 3.219857313092884965e+01, 3.383356323408420963e+01, 1.888313821941768467e+01, 1.141504380509012861e+01, 1.957213339428115484e+00, 4.856429149511569676e+00, 6.475250494983611382e+00, 6.651237816713355677e+00
1.874000000000000000e+03, 4.739958436841754441e+00, 6.001141508330480434e+00, 2.914307917114939173e+01, 5.422072020002139681e+01, 4.682034145695559424e+00, 3.188973975023600005e+01, 3.400503423533300662e+01, 1.890113016945121771e+01, 1.150025633495503108e+01, 1.980646877563447372e+00, 4.653232616795613730e+00, 6.446084644452392709e+00, 6.594107459642745361e+00
1.875000000000000000e+03, 4.546668680684602393e+00, 6.209335474358940843e+00, 2.946238484100440402e+01, 5.400512137907657717e+01, 4.697786401047826743e+00, 3.176869893473346806e+01, 3.398997949180782996e+01, 1.884468023564820527e+01, 1.169798328795839559e+01, 2.161355931806316466e+00, 4.822157438659778528e+00, 6.420018629612387784e+00, 6.607403499742743769e+00
1.876000000000000000e+03, 4.571833407858923337e+00, 6.375438023776347940e+00, 2.943716576158844589e+01, 5.411926317946471698e+01, 4.664617367507609025e+00, 3.172926804459894612e+01, 3.365404187413415826e+01, 1.878032026822613076e+01, 1.169558901933379857e+01, 2.088252016879940332e+00, 4.883755810147515142e+00, 6.469494665698482194e+00, 6.640467305484739846e+00
1.877000000000000000e+03, 4.714267531856862092e+00, 6.141308204252626801e+00, 2.950327774414976645e+01, 5.421541584123384183e+01, 4.670988891973115287e+00, 3.213917728838169552e+01, 3.344341191474264008e+01, 1.884530900299650824e+01, 1.142145529017466821e+01, 2.049236922002714678e+00, 4.818859201191176389e+00, 6.542944417727167838e+00, 6.731887418269688617e+00
1.878000000000000000e+03, 4.674971426326930413e+00, 6.033845463487530481e+00, 2.946411427170609443e+01, 5.447010770323748829e+01, 4.695429252368161777e+00, 3.249330030602098418e+01, 3.351356218710297696e+01, 1.885983214237726457e+01, 1.138100375221060112e+01, 2.054241958208842700e+00, 4.826072324094478283e+00, 6.573696969777989452e+00, 6.842665906241972351e+00
1.879000000000000000e+03, 4.664095446445460702e+00, 6.157488933287751820e+00, 2.952952526899303720e+01, 5.448936577214472976e+01, 4.723569590402639129e+00, 3.261472017053206685e+01, 3.364982225960311979e+01, 1.885707927684898877e+01, 1.115706849686981350e+01, 2.120658349380638796e+00, 4.756964865335927328e+00, 6.576125541773695460e+00, 6.874199111153735942e+00
