year, NorESM2-LM, MPI-ESM1-2-LR, ACCESS-ESM1-5, CNRM-ESM2-1, INM-CM5-0, CanESM5, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CMCC-CM2-SR5, GFDL-ESM4
1.860000000000000000e+03, 2.637361358037477643e+01, 3.099637988681521250e+01, 3.180466500130301100e+01, 2.241628222818522076e+01, 3.812068652214490072e+01, 2.730984242212035085e+01, 2.427374952506484718e+01, 2.668191954112505471e+01, 3.773868893238300615e+01, 3.744056748796531764e+01, 2.563737716014748003e+01, 3.679017797080430086e+01, 3.514814047121848972e+01, 2.296421859700579660e+01, 2.143709087874566777e+01, 3.112376573582508854e+01
1.861000000000000000e+03, 2.645575978039151366e+01, 3.021430525526669442e+01, 3.129263703304283339e+01, 2.343918380201862917e+01, 3.782081586966037889e+01, 2.771000735061075204e+01, 2.467933290545559544e+01, 2.709978733591484001e+01, 3.779354261153199701e+01, 3.670578582695095804e+01, 2.540844009172290185e+01, 3.800531374283451669e+01, 3.548652835755896717e+01, 2.279621896673781478e+01, 2.192435423759112822e+01, 3.100614485986472246e+01
1.862000000000000000e+03, 2.598384228280111685e+01, 3.112219919549393410e+01, 3.155234403469422233e+01, 2.413660700201241482e+01, 3.764830808983525401e+01, 2.866449792017541753e+01, 2.398545759512935760e+01, 2.759841919463588411e+01, 3.570439008879891674e+01, 3.485399737346138238e+01, 2.608610342399278181e+01, 3.744481564353350933e+01, 3.548490774359803623e+01, 2.303183164173528041e+01, 2.079969358813655234e+01, 3.030872688534298831e+01
1.863000000000000000e+03, 2.631722661723905432e+01, 3.288292626077198122e+01, 2.945826074990979038e+01, 2.294801060658053160e+01, 3.775074417548906780e+01, 2.914963263330573540e+01, 2.419945748287090126e+01, 2.821149909858245763e+01, 3.640201097836264665e+01, 3.492312880474146652e+01, 2.508993110209386757e+01, 3.715341402181707053e+01, 3.438912492169217217e+01, 2.271231589776638415e+01, 2.117166440383085657e+01, 3.114942241432801850e+01
1.864000000000000000e+03, 2.563441375323358429e+01, 3.314687633199144301e+01, 2.806020610142553906e+01, 2.294708044754162657e+01, 3.645407411869654624e+01, 2.829113894634137694e+01, 2.464255018786674967e+01, 2.792985562065843652e+01, 3.609752656818804439e+01, 3.287059230751106043e+01, 2.516813237321642660e+01, 3.766880393449673647e+01, 3.502118965544334372e+01, 2.297037849400269849e+01, 2.127739626476238755e+01, 2.827550055816857366e+01
1.865000000000000000e+03, 2.642601468856576119e+01, 3.244832112850710359e+01, 3.078305824815475233e+01, 2.325992780169270802e+01, 3.664930257189720919e+01, 2.865218963918357886e+01, 2.519308263826511762e+01, 2.737663815233070963e+01, 3.734998834538919255e+01, 3.482019424783879913e+01, 2.526633332593314307e+01, 3.778912408495319397e+01, 3.552423233421378512e+01, 2.273877275012547372e+01, 2.171680405982728601e+01, 2.776705025451263609e+01
1.866000000000000000e+03, 2.584820870276109162e+01, 3.310580475016423208e+01, 3.139354692271205494e+01, 2.227079839679425888e+01, 3.739166414069725874e+01, 2.726132260876212143e+01, 2.430554898847652012e+01, 2.713319537940768456e+01, 3.767859533034899044e+01, 3.740286378798227673e+01, 2.393543447628303866e+01, 3.764242086134862575e+01, 3.613335158682705384e+01, 2.273696665915946369e+01, 2.127128482992204894e+01, 2.846014389624740915e+01
1.867000000000000000e+03, 2.597353918905442782e+01, 3.255798844863733166e+01, 3.044376469236035021e+01, 2.355139654628882440e+01, 3.687378132612362691e+01, 2.782145673103184080e+01, 2.357738783851216269e+01, 2.679807838210446391e+01, 3.585590613494350265e+01, 3.565339280701245173e+01, 2.425323379588672523e+01, 3.727584738978231371e+01, 3.593217100489545146e+01, 2.321518758508597102e+01, 2.114133826628119550e+01, 2.682816107937837202e+01
1.868000000000000000e+03, 2.598602498077611145e+01, 3.211997891537650673e+01, 2.943947704149840661e+01, 2.318586754530098659e+01, 3.711523570363327451e+01, 2.867939050575306581e+01, 2.484743180833514486e+01, 2.689368187072598460e+01, 3.571459021607481787e+01, 3.556629921801717131e+01, 2.527242519675375831e+01, 3.786647868703390429e+01, 3.509773659772786658e+01, 2.300879569743279518e+01, 2.110295407108286980e+01, 2.761416603802547343e+01
1.869000000000000000e+03, 2.571684495683897254e+01, 3.299039273670295813e+01, 3.024927525556071473e+01, 2.344519368968414952e+01, 3.740528612804995845e+01, 2.903396920392087210e+01, 2.539581510411671772e+01, 2.723980012702424247e+01, 3.677625764367707717e+01, 3.744804834070315991e+01, 2.552986947092724890e+01, 3.788343108562905570e+01, 3.531999844624709084e+01, 2.335890164511969047e+01, 2.076298115623471574e+01, 3.016758536947271452e+01
1.870000000000000000e+03, 2.633849763538520605e+01, 3.330058829304854839e+01, 3.156244803637606822e+01, 2.278587818398636600e+01, 3.583294954498342832e+01, 2.847449459008841188e+01, 2.578994493143055422e+01, 2.794155761812614003e+01, 3.924516838857081780e+01, 3.644219855238304717e+01, 2.537280917990687001e+01, 3.825218443652340738e+01, 3.560198035473968758e+01, 2.298716154246069365e+01, 1.981137326273633903e+01, 2.945390155685243627e+01
1.871000000000000000e+03, 2.600331934276794854e+01, 3.282235212477000630e+01, 3.070720289636776457e+01, 2.270415979664146278e+01, 3.876458907542674837e+01, 2.795410754390828956e+01, 2.514380850074328677e+01, 2.775922050249354811e+01, 3.762598408496295832e+01, 3.650389847057633119e+01, 2.484590306430807161e+01, 3.874442378441152357e+01, 3.576883302163473388e+01, 2.303887339601134343e+01, 2.132682380825822577e+01, 2.926172438374263507e+01
1.872000000000000000e+03, 2.552268925262388066e+01, 3.288898099110822670e+01, 3.029194154607965928e+01, 2.469425794786515027e+01, 3.796051746374837421e+01, 2.887567815955344486e+01, 2.513714091830614805e+01, 2.726608052984198594e+01, 3.613945686754527031e+01, 3.528071357578817668e+01, 2.411067220323424110e+01, 3.882838215145727645e+01, 3.513355640303021943e+01, 2.293156811779558879e+01, 2.189984808368238234e+01, 2.866147400631966136e+01
1.873000000000000000e+03, 2.454536975961787348e+01, 3.240080691418835102e+01, 3.041024787330397317e+01, 2.385889791174708918e+01, 3.571868261127605848e+01, 2.845009496155596551e+01, 2.521792588871578999e+01, 2.737077406659825485e+01, 3.665948598189818597e+01, 3.395451662175547369e+01, 2.424508215746224238e+01, 3.806697504058784176e+01, 3.587767438357792571e+01, 2.293177304993394472e+01, 2.217204119814181951e+01, 2.799357175400632869e+01
1.874000000000000000e+03, 2.549403168584516166e+01, 3.214458751796109937e+01, 3.044193379429371049e+01, 2.450880411569125528e+01, 3.722782391173029737e+01, 2.828964789300140836e+01, 2.515267552295962972e+01, 2.761284499006486826e+01, 3.608995031244074880e+01, 3.634622488700345144e+01, 2.584092074710137865e+01, 3.819019717242979084e+01, 3.613406257121398113e+01, 2.296751642993294951e+01, 2.237596079741099686e+01, 2.887392905467521231e+01
1.875000000000000000e+03, 2.597763129792041781e+01, 3.337412902243504931e+01, 3.103964841241565509e+01, 2.328325010131595008e+01, 3.757522249662544311e+01, 2.780240172930817977e+01, 2.478265434451349947e+01, 2.850145501337008724e+01, 3.671094692336921383e+01, 3.551231593523381491e+01, 2.490325730118081538e+01, 3.848667478686685683e+01, 3.581935549510945549e+01, 2.303856322134072343e+01, 2.162775131256549699e+01, 2.876727638102189388e+01
1.876000000000000000e+03, 2.640900596149182888e+01, 3.237361838179583629e+01, 3.150732382949273713e+01, 2.393220841593641524e+01, 3.745278499364445679e+01, 2.732821923791338392e+01, 2.541396103696196462e+01, 2.919928607865709935e+01, 3.511063005643828916e+01, 3.612120868922782790e+01, 2.486094554687739588e+01, 3.899436557840570572e+01, 3.516627547997654091e+01, 2.256041904350955463e+01, 2.162739384848225299e+01, 3.104083057970756698e+01
1.877000000000000000e+03, 2.591010325449418872e+01, 3.236694956455215788e+01, 3.275249049190765049e+01, 2.428688927617223214e+01, 3.720752647870454410e+01, 2.828265947390841717e+01, 2.486352742110153358e+01, 2.737561156010634278e+01, 3.686066191113812351e+01, 3.660411550567311423e+01, 2.518767330735136056e+01, 3.877411708964352499e+01, 3.602406954364897018e+01, 2.260754433590816248e+01, 2.168816999819731706e+01, 3.140028024224856651e+01
1.878000000000000000e+03, 2.579075640192342078e+01, 3.174305929795105641e+01, 3.289975847688715049e+01, 2.447331200286393127e+01, 3.726898120941025638e+01, 2.841145352650025302e+01, 2.498387310610513623e+01, 2.786548889431920983e+01, 3.749259561319431100e+01, 3.345157682314639658e+01, 2.473883674484033079e+01, 3.795647863726389204e+01, 3.644189181616315665e+01, 2.300691337382415114e+01, 2.182069733198149208e+01, 3.086116751810634184e+01
1.879000000000000000e+03, 2.605225933029836582e+01, 3.060707114253087724e+01, 3.197870166707874873e+01, 2.423523682483998343e+01, 3.716671783572103038e+01, 2.881406184841481277e+01, 2.533758174673551622e+01, 2.860628717813936461e+01, 3.750389051942919139e+01, 3.631964568143733629e+01, 2.474479230527271056e+01, 3.881357760761283515e+01, 3.575461226100691903e+01, 2.328534574811012803e+01, 2.091170941561705021e+01, 3.031027621638676806e+01
1.880000000000000000e+03, 2.597483642843843654e+01, 3.286488865859780617e+01, 3.161270863288249444e+01, 2.282909578344157353e+01, 3.739524129296310662e+01, 2.804005745870533062e+01, 2.507842440547525698e+01, 2.792979945805695863e+01, 3.707281949535998677e+01, 3.696373071697981061e+01, 2.530851325415752129e+01, 3.825236322768817843e+01, 3.584542662629905152e+01, 2.346469263793072102e+01, 2.129493765587973186e+01, 2.912274987419206695e+01
1.881000000000000000e+03, 2.558430229022441083e+01, 3.318678309812749205e+01, 3.184935361405577225e+01, 2.371874262021261615e+01, 3.624091220283922610e+01, 2.780465188848614133e+01, 2.503968854145430356e+01, 2.824187628754201995e+01, 3.696846530528136299e+01, 3.714193170956788492e+01, 2.492483175821723407e+01, 3.851344474385919625e+01, 3.700871368407381823e+01, 2.320528830668816056e+01, 2.144646072434008488e+01, 2.968455650530418310e+01
1.882000000000000000e+03, 2.635875474186716261e+01, 3.387055616642420830e+01, 3.117044754187125477e+01, 2.383763757293409924e+01, 3.642300554008396318e+01, 2.937676751756892202e+01, 2.501534701731434396e+01, 2.763563190184375884e+01, 3.776998982098674418e+01, 3.582653541411382037e+01, 2.498650291369709109e+01, 3.718978496161407321e+01, 3.677913947022092600e+01, 2.346785866166359469e+01, 2.115444395405927835e+01, 3.083643410812047847e+01
1.883000000000000000e+03, 2.662065509727796453e+01, 3.246566785469281768e+01, 3.001310679300850026e+01, 2.338337447324784790e+01, 3.736136028428605727e+01, 2.799437632907165252e+01, 2.555339233261968346e+01, 2.772801771158200523e+01, 3.765692773280139960e+01, 3.668351136120659106e+01, 2.472542544210053350e+01, 3.866216388131994819e+01, 3.659693359858087547e+01, 2.320916768670968722e+01, 2.148995063098839609e+01, 2.866180929527558163e+01
1.884000000000000000e+03, 2.698703844553008935e+01, 3.193461424103524848e+01, 3.159401381430428657e+01, 2.367562905180103883e+01, 3.796453495369205200e+01, 2.768744803202174509e+01, 2.610929121469438741e+01, 2.820524388320475850e+01, 3.645705330834093161e+01, 3.532157877661863665e+01, 2.444173834718109006e+01, 3.826086049999489802e+01, 3.600994738917631821e+01, 2.345143662138914920e+01, 2.218631159425514809e+01, 2.878185553946880049e+01
1.885000000000000000e+03, 2.654205438501575287e+01, 3.274198790857642649e+01, 3.235713519858690290e+01, 2.402187535455344403e+01, 3.686060370527251706e+01, 2.878301693910100312e+01, 2.567797032076677155e+01, 2.812172155622724645e+01, 3.582151949464005725e+01, 3.695108782331616482e+01, 2.387974103343024623e+01, 3.818546910420471363e+01, 3.560064464307967569e+01, 2.325092484980019591e+01, 2.183596482369927827e+01, 3.025620287642608730e+01
1.886000000000000000e+03, 2.615616820194762226e+01, 3.241011250729561510e+01, 3.185839047515746358e+01, 2.497898129998191763e+01, 3.618525876769737692e+01, 2.931521031192346882e+01, 2.570377360188797766e+01, 2.809187625387216158e+01, 3.721137493678843100e+01, 3.854343374216936979e+01, 2.404955703064394967e+01, 3.788262160326254246e+01, 3.606333681975117145e+01, 2.326621234378137970e+01, 2.104743942486458863e+01, 3.086352736341633118e+01
1.887000000000000000e+03, 2.650795526764027343e+01, 3.123025364968410500e+01, 3.093274005311932129e+01, 2.392671896632213446e+01, 3.646361818736850324e+01, 2.870986384364070432e+01, 2.525887508634141199e+01, 2.797928556140643153e+01, 3.644750912729058712e+01, 3.676382224413602984e+01, 2.527494532985277331e+01, 3.828520328394145622e+01, 3.625377005224623161e+01, 2.360517521854610834e+01, 2.211273572411119304e+01, 3.080189055237380913e+01
1.888000000000000000e+03, 2.685630451819525177e+01, 3.265730953913041645e+01, 2.929296523891617809e+01, 2.545969557273826211e+01, 3.760955546634318836e+01, 2.678173187772557284e+01, 2.492334112558565451e+01, 2.798463020975758297e+01, 3.566730927713476262e+01, 3.543765455843362133e+01, 2.508528363496099800e+01, 3.849357674914222827e+01, 3.610975423145666952e+01, 2.303833176944231909e+01, 2.270602709860470014e+01, 3.000602184468740319e+01
1.889000000000000000e+03, 2.628485314961763564e+01, 3.328187776493740557e+01, 2.889103478479662002e+01, 2.590687688011095346e+01, 3.871976202741157636e+01, 2.900427658580127499e+01, 2.498353043313498389e+01, 2.758997348167544317e+01, 3.631125638148574808e+01, 3.677006463265033887e+01, 2.612237025305301330e+01, 3.800632961059443460e+01, 3.616263584924224261e+01, 2.333386527287354184e+01, 2.222505926312163638e+01, 3.127663454203711879e+01
1.890000000000000000e+03, 2.613803383488893672e+01, 3.185668441131564776e+01, 2.860521868207968765e+01, 2.423821532583714244e+01, 3.784972463270210596e+01, 2.828023754066965267e+01, 2.528669770021902963e+01, 2.849534565686974474e+01, 3.565558609744989127e+01, 3.791225122534036274e+01, 2.538531327321025444e+01, 3.779158533262103248e+01, 3.660143509097001413e+01, 2.319488417083025311e+01, 2.193697682587297493e+01, 3.090034856273470609e+01
1.891000000000000000e+03, 2.633600410797957636e+01, 3.404734776747611846e+01, 2.955576389003259052e+01, 2.458275190690833512e+01, 3.755052551334760835e+01, 2.833942711514341894e+01, 2.535712040206190210e+01, 2.801982875333546374e+01, 3.632470259556277625e+01, 3.622194328564287247e+01, 2.586263835340158224e+01, 3.866029417431398230e+01, 3.673902850114222929e+01, 2.344213068222541096e+01, 2.098191055947841122e+01, 3.083847791620861045e+01
1.892000000000000000e+03, 2.538469959116758190e+01, 3.407775710005088143e+01, 3.091037108864894734e+01, 2.459349493283420074e+01, 3.740967350405937708e+01, 2.899491657913327458e+01, 2.475694645134632665e+01, 2.876900295279238762e+01, 3.687774706774103350e+01, 3.471286135024161723e+01, 2.618908090270127431e+01, 3.766461278950432501e+01, 3.572780813254126997e+01, 2.376576474369988645e+01, 2.202639329742148533e+01, 2.996915100647856889e+01
1.893000000000000000e+03, 2.614423114243451707e+01, 3.301401309458609035e+01, 3.129960127160078187e+01, 2.558436095991778458e+01, 3.740169466603554582e+01, 2.889634284520743535e+01, 2.543442903539648725e+01, 2.790482570334375012e+01, 3.613623811203104452e+01, 3.720217469657512055e+01, 2.591484561216651272e+01, 3.903603949254564043e+01, 3.543370026872299405e+01, 2.281378583817814487e+01, 2.270130568898787615e+01, 3.033764866643824476e+01
1.894000000000000000e+03, 2.654061328024763355e+01, 3.399350367864541766e+01, 3.226695797254276243e+01, 2.501232877074897232e+01, 3.640942447268498938e+01, 2.847054597106147611e+01, 2.559201113830352270e+01, 2.819909746128935879e+01, 3.630507627728282216e+01, 3.525204558929428345e+01, 2.617424999063305080e+01, 3.797075708639600577e+01, 3.642219417853641517e+01, 2.311885613283313390e+01, 2.134718089502388594e+01, 2.955691643049602391e+01
1.895000000000000000e+03, 2.655740354892933297e+01, 3.441058260340188468e+01, 3.135911147382425668e+01, 2.450651311386498321e+01, 3.747876282321931996e+01, 2.905791747275105763e+01, 2.590791300726569446e+01, 2.729421774811339674e+01, 3.669994107658382632e+01, 3.558287272917922195e+01, 2.626402108380347045e+01, 3.821210878065865302e+01, 3.658758544181559103e+01, 2.324705631234805381e+01, 2.141914786869592646e+01, 2.970320473287348051e+01
1.896000000000000000e+03, 2.620952696251228886e+01, 3.298468131205270026e+01, 3.196516015045072834e+01, 2.579776146587097330e+01, 3.863038617252934870e+01, 2.948649762787682249e+01, 2.553065273128913049e+01, 2.834696199018246787e+01, 3.837654825811026882e+01, 3.658659562718884217e+01, 2.659504793894137720e+01, 3.603861639122533234e+01, 3.676593965098825123e+01, 2.347174585299082494e+01, 2.271357949721280534e+01, 2.952982487311834703e+01
1.897000000000000000e+03, 2.691983618309771487e+01, 3.327625482877051866e+01, 3.058532300392403158e+01, 2.514024760176806339e+01, 3.831656705742351932e+01, 2.909067847988291078e+01, 2.491869259470135844e+01, 2.845056899862259669e+01, 3.705558963827884611e+01, 3.739524723431276243e+01, 2.478761173239745474e+01, 3.892471501837111703e+01, 3.580872841664412931e+01, 2.350960079736432107e+01, 2.182424387083617745e+01, 3.050308513879795314e+01
1.898000000000000000e+03, 2.660759184685975498e+01, 3.392326847927211730e+01, 3.153679452908734149e+01, 2.505778486644429748e+01, 3.739657687536225694e+01, 2.947120927460460393e+01, 2.488431245328225927e+01, 2.776098071991066618e+01, 3.555241792379773358e+01, 3.671350020892143107e+01, 2.538551722371713026e+01, 3.867701237279509741e+01, 3.484100248864167781e+01, 2.331981323971747955e+01, 2.275404460608963930e+01, 3.024553852198353354e+01
1.899000000000000000e+03, 2.673168717367169833e+01, 3.401722536453196000e+01, 3.088699476071593253e+01, 2.523957155907322303e+01, 3.845397328413051241e+01, 2.866941681899846728e+01, 2.528034328683926901e+01, 2.804482347676291454e+01, 3.660462056817980425e+01, 3.802619943317432671e+01, 2.578372969913232282e+01, 3.901120396349595154e+01, 3.546829530100819028e+01, 2.323018341465881420e+01, 2.144126883924147720e+01, 2.852403900921110846e+01
1.900000000000000000e+03, 2.646139047214553131e+01, 3.360889226883702463e+01, 3.032724246735464746e+01, 2.527116479588123710e+01, 3.807189124610584230e+01, 2.876839778449202001e+01, 2.557103820049998788e+01, 2.787119496220613613e+01, 3.645522554051718345e+01, 3.715405915879205168e+01, 2.612350770460882998e+01, 3.889493669752337723e+01, 3.638729040641051427e+01, 2.327924880435836030e+01, 2.203052430646544835e+01, 2.807213844056866492e+01
1.901000000000000000e+03, 2.637737857709472067e+01, 3.275635955681907063e+01, 3.035431647445078696e+01, 2.731712880591243220e+01, 3.867910125492606710e+01, 2.893557699776263803e+01, 2.592928263424195379e+01, 2.836729933964128847e+01, 3.766501026625376625e+01, 3.644728809141290071e+01, 2.667739923111387768e+01, 3.854837821033648737e+01, 3.569565185306736765e+01, 2.375523318709611686e+01, 2.265017545476279537e+01, 2.826147904189289051e+01
1.902000000000000000e+03, 2.609776359968859794e+01, 3.255845813075114137e+01, 3.151622529703002229e+01, 2.606885399866425601e+01, 3.769088318291299800e+01, 2.969036906748405258e+01, 2.593716757926134520e+01, 2.925462570186305200e+01, 3.746235840917367454e+01, 3.716496494860280109e+01, 2.591253239406312758e+01, 3.900079290852917779e+01, 3.587137406593333111e+01, 2.327842963990379488e+01, 2.168845930435240987e+01, 3.110623942792046748e+01
1.903000000000000000e+03, 2.631525745666314364e+01, 3.239419888624920674e+01, 3.192572075139224452e+01, 2.446903334663623042e+01, 3.894267082130325264e+01, 2.838978517153973868e+01, 2.596078312897107665e+01, 2.776449729928637922e+01, 3.753552091826378501e+01, 3.660540432842460490e+01, 2.560556458007908986e+01, 3.841010492330038772e+01, 3.566927126025006345e+01, 2.335102581208218453e+01, 2.240710320720243232e+01, 3.114788186362681799e+01
1.904000000000000000e+03, 2.688354748357481938e+01, 3.194055450384527362e+01, 3.199241779187427426e+01, 2.445747903481196062e+01, 3.906748478000502445e+01, 2.893624057050005405e+01, 2.612341701268242034e+01, 2.774594587759465014e+01, 3.756736271577278075e+01, 3.654722873417586726e+01, 2.585300638231673531e+01, 3.862269457024064678e+01, 3.525243686341539728e+01, 2.336474479065230270e+01, 2.270910608157953092e+01, 3.003753580150429059e+01
1.905000000000000000e+03, 2.718234247217061395e+01, 3.244326364435819698e+01, 3.258025441172541292e+01, 2.567656929605131921e+01, 3.739230735173452302e+01, 2.892832543002692347e+01, 2.598490885503818504e+01, 2.821343600580743072e+01, 3.768496748763209325e+01, 3.737788235970268147e+01, 2.610031649044779201e+01, 3.766120004822630563e+01, 3.569460916257470018e+01, 2.353719925792335133e+01, 2.258715206560980704e+01, 3.028411914671062277e+01
1.906000000000000000e+03, 2.710848886032187721e+01, 3.390519851141927887e+01, 3.164573058123687943e+01, 2.547765723240755165e+01, 3.798772822883322675e+01, 2.857152334825302731e+01, 2.569277932420259702e+01, 2.834158294398106648e+01, 3.727192617947142850e+01, 3.831943225254278218e+01, 2.547120881455818520e+01, 3.808854032973183479e+01, 3.598449196826513941e+01, 2.322608544496942429e+01, 2.178051406864644335e+01, 3.011841867195456857e+01
1.907000000000000000e+03, 2.755981036748191570e+01, 3.476449930863771698e+01, 3.198972469478617597e+01, 2.475777931901434314e+01, 3.817579897701941150e+01, 2.954632323760905521e+01, 2.651129562405897033e+01, 2.851160363478469861e+01, 3.643197260115736213e+01, 3.681899799593201550e+01, 2.559328226877580548e+01, 3.791446168854162124e+01, 3.563580638814463697e+01, 2.341801391116048237e+01, 2.234512793529089691e+01, 3.103210447899522606e+01
1.908000000000000000e+03, 2.691584925201322775e+01, 3.510012080694572489e+01, 3.223365975928407323e+01, 2.408349374472815185e+01, 3.767065436334726769e+01, 2.907907568876429849e+01, 2.623758649671061249e+01, 2.782465146846685045e+01, 3.727205862469848796e+01, 3.701272288787257025e+01, 2.562148705040997498e+01, 3.869900917437058041e+01, 3.588872279635360485e+01, 2.306178937736942558e+01, 2.290122256735977757e+01, 3.129827161191342810e+01
1.909000000000000000e+03, 2.653239105117448915e+01, 3.364893140336821631e+01, 3.234011017734224680e+01, 2.507938621653387656e+01, 3.778331123736448660e+01, 2.951445927474549080e+01, 2.639148328818169986e+01, 2.816134168391309345e+01, 3.721140073039757112e+01, 3.679800299950454701e+01, 2.587859251042227271e+01, 3.854593863204221549e+01, 3.599444883493237057e+01, 2.292389230415313861e+01, 2.233297098930934865e+01, 2.948359369654608031e+01
1.910000000000000000e+03, 2.745248604407520077e+01, 3.344070132906055193e+01, 3.216947777923150653e+01, 2.466064942234748258e+01, 3.785301298206732667e+01, 2.813519000727025698e+01, 2.633996104320839038e+01, 2.968940097418838420e+01, 3.610949584708767901e+01, 3.842845504275260993e+01, 2.610757180667905430e+01, 3.817809991094392075e+01, 3.480687537642858587e+01, 2.355487567135569549e+01, 2.071798440801046937e+01, 2.960327233054744767e+01
1.911000000000000000e+03, 2.715669823615420597e+01, 3.377279922834489412e+01, 3.183268732202856555e+01, 2.511531834279951880e+01, 3.837522890715338519e+01, 2.889159319555142957e+01, 2.642334963772885104e+01, 2.897244113503444751e+01, 3.704731276807139295e+01, 3.780264736908560508e+01, 2.575256061997544776e+01, 3.866888501963601499e+01, 3.487831759751016136e+01, 2.360993786407582107e+01, 2.151391390205751719e+01, 2.877979310220995401e+01
