year, NorESM2-MM, CESM2-WACCM, INM-CM4-8, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, CanESM5, EC-Earth3-Veg, MIROC-ES2L
1.870000000000000000e+03, 4.413237671609227419e+00, 4.225413472260967751e+00, 5.123999958570658819e+00, 4.447954289423800667e+00, 4.796632014139119882e+00, 3.917779137974274573e+00, 4.770712128673340047e+00, 5.110530671255240520e+00, 4.043515280146595892e+00, 4.081260266728616415e+00, 5.424985680589201387e+00, 4.426439233996245726e+00, 4.405371360727149188e+00, 4.361962244436521807e+00, 4.518148641586591019e+00, 5.011066928477326599e+00
1.871000000000000000e+03, 4.128896681933584389e+00, 4.416275577996122692e+00, 4.982928034179901822e+00, 4.272987889417713347e+00, 5.072276906795776696e+00, 4.012949685768036012e+00, 4.807166472794346390e+00, 5.196644561301151377e+00, 3.911393497878442815e+00, 4.551735787470746253e+00, 4.981006523955993970e+00, 4.550146772186303146e+00, 4.220243777013782172e+00, 4.501452812944709336e+00, 4.794327360601963406e+00, 4.839759967163059784e+00
1.872000000000000000e+03, 4.067427138006429743e+00, 4.125604315396899757e+00, 4.682627108956694428e+00, 4.276287200227124607e+00, 4.974125707157016407e+00, 4.089752230734134741e+00, 4.641493956847912550e+00, 4.958563866722042413e+00, 3.882804356876037755e+00, 4.513459191854286345e+00, 5.107773160132317081e+00, 4.483763351726460122e+00, 3.981041580332111085e+00, 4.657747832994402870e+00, 4.878002181577349106e+00, 4.843027255218984806e+00
1.873000000000000000e+03, 4.212883048643664807e+00, 4.243011600036427744e+00, 4.827429445118845308e+00, 4.261046295766972136e+00, 4.686489140314431090e+00, 4.088668422532792945e+00, 4.652556327250781720e+00, 4.978061738146298154e+00, 3.836132395146854446e+00, 4.415608582837655227e+00, 5.211833284429100210e+00, 4.386449507568983996e+00, 3.803244273109283480e+00, 4.624348828324561289e+00, 4.652853980192650063e+00, 5.143319366047578001e+00
1.874000000000000000e+03, 4.101279106333172386e+00, 4.665452636474703318e+00, 4.676098906584459591e+00, 4.291354466063017625e+00, 4.875446789490063715e+00, 4.218276834873845971e+00, 4.892590342277307158e+00, 5.224144403146669724e+00, 3.953409563291787610e+00, 4.514811898426868808e+00, 5.289226577756100056e+00, 4.580086387420631233e+00, 4.358547081302600823e+00, 4.453658078208569293e+00, 4.440759262746356129e+00, 4.995293052648620780e+00
1.875000000000000000e+03, 3.997837836307213788e+00, 4.563695690282060013e+00, 4.788998256259202613e+00, 4.328916693355614242e+00, 5.100457774016533996e+00, 3.898229477508359686e+00, 4.872409980290881570e+00, 5.111746525734558233e+00, 3.899945759693665082e+00, 4.360587681607555055e+00, 5.497322807356890273e+00, 4.529742167779002848e+00, 4.331636335487224265e+00, 4.067968912192768016e+00, 4.674627299273399927e+00, 4.863542331254272710e+00
1.876000000000000000e+03, 4.247906730600479186e+00, 4.290302982591880365e+00, 4.658105957955686272e+00, 4.718199382147758136e+00, 5.064831186656221007e+00, 3.931766179288382901e+00, 5.015865596897190137e+00, 5.081842164833768827e+00, 3.862550977254291862e+00, 4.486779358304481491e+00, 5.523758694615969134e+00, 4.389011080430771372e+00, 4.351998461062280832e+00, 4.067257416766977940e+00, 4.898797999963854011e+00, 4.905321178071794463e+00
1.877000000000000000e+03, 3.922235280147252645e+00, 4.411604752929825679e+00, 4.794239351908670344e+00, 4.714546620304069791e+00, 4.822655674397711145e+00, 4.082941574748992331e+00, 4.809193919014639107e+00, 5.171061841325393260e+00, 3.691555416738009576e+00, 4.474654006032608322e+00, 5.468191333619506267e+00, 4.599226778688298545e+00, 4.139119537389815306e+00, 4.521521753574273106e+00, 4.630981197724397092e+00, 5.188801496749633202e+00
1.878000000000000000e+03, 4.327040188169027246e+00, 4.190231129666397436e+00, 4.761650721987570556e+00, 4.600984010316357065e+00, 4.899330148718285649e+00, 4.131766563740285392e+00, 4.908865040257652801e+00, 4.765699571097122167e+00, 3.704837497694447368e+00, 4.325536097925504642e+00, 5.544761401352044317e+00, 4.536998276792919782e+00, 3.921867445664163565e+00, 4.629344386965091651e+00, 4.572715362003032524e+00, 5.023167020623366952e+00
1.879000000000000000e+03, 4.337780549185186629e+00, 4.195864070641423638e+00, 4.921028029079314692e+00, 4.490289619630096318e+00, 4.950296384605971767e+00, 4.083242171880645088e+00, 4.980439337632541985e+00, 5.088080827768205694e+00, 3.534271046333881561e+00, 4.148915474467838926e+00, 5.434676693652148671e+00, 4.481232358460331966e+00, 4.341066755579298331e+00, 4.635222630653027309e+00, 4.616362212390638931e+00, 5.041892687475496793e+00
1.880000000000000000e+03, 4.206287832264220761e+00, 4.610430880308640234e+00, 4.759284204474467650e+00, 4.295171195074605208e+00, 4.885192405159382467e+00, 3.699210525927227877e+00, 4.808718900029177235e+00, 5.222770474524280004e+00, 3.965694544587810011e+00, 4.384124484476797257e+00, 5.399789912469803888e+00, 4.487006288100556795e+00, 3.967264969133686314e+00, 4.282830944601649925e+00, 4.775293513001863666e+00, 4.937683477186916470e+00
1.881000000000000000e+03, 4.136272750343502835e+00, 4.356520952422065385e+00, 4.671533413033877480e+00, 4.516912726568426351e+00, 4.934402695808759454e+00, 4.080555546489816443e+00, 4.849697964245215154e+00, 5.347378733318343791e+00, 3.976338154557971460e+00, 4.466392512781711233e+00, 5.463798588121461464e+00, 4.885073546478142070e+00, 4.135648166267261061e+00, 4.553873318946791926e+00, 4.677385879789252243e+00, 5.128746176708152582e+00
1.882000000000000000e+03, 4.185566999773604024e+00, 4.237356766482521131e+00, 4.946080655761784683e+00, 4.617655748905670876e+00, 4.821958270805985158e+00, 3.924364351841088450e+00, 4.910574090040730866e+00, 5.220534383094808106e+00, 4.101856825945232821e+00, 4.529083814756988957e+00, 5.119408702333263506e+00, 4.465253714922305939e+00, 4.620258699856591988e+00, 4.623286608950308185e+00, 4.412706957925456308e+00, 4.760148641360407495e+00
1.883000000000000000e+03, 4.318658542866628203e+00, 4.265781293364244497e+00, 4.662617123102108962e+00, 3.936612476274588435e+00, 4.960666356250949427e+00, 4.024932076998958053e+00, 4.780092540990576566e+00, 5.122240669527591272e+00, 3.636371185169005926e+00, 4.221544539813954167e+00, 5.262423336906109306e+00, 4.597770678503068531e+00, 4.243584391325333272e+00, 4.292835927073280544e+00, 4.359623678930762303e+00, 4.828661185783196252e+00
1.884000000000000000e+03, 4.198577698727669727e+00, 3.917008954025513745e+00, 4.532740240250692665e+00, 4.201036173400491514e+00, 4.815473857105146749e+00, 4.072396383490754168e+00, 4.762516010261252042e+00, 4.858154019906684162e+00, 3.821360271078619419e+00, 4.311512305818940405e+00, 5.219532441691082880e+00, 4.478414018952739717e+00, 4.297384383081208625e+00, 4.253132966670781556e+00, 4.537758532061637595e+00, 4.868742150369096855e+00
1.885000000000000000e+03, 4.201238803249733422e+00, 4.002583155043244467e+00, 4.648204194764019803e+00, 4.589207500997336098e+00, 4.816013794332596909e+00, 3.872605863969388107e+00, 4.868680783126897893e+00, 5.143216674197946148e+00, 3.700464505550513650e+00, 4.382420233012077837e+00, 5.419336161146542707e+00, 4.579529763431778200e+00, 4.342748386601974708e+00, 4.562388893670725309e+00, 4.539114730556444322e+00, 4.984921390520562490e+00
1.886000000000000000e+03, 4.049098707007138032e+00, 4.210732208957611356e+00, 4.789560028801808755e+00, 4.708535262800841892e+00, 4.897843145517483343e+00, 4.117916992946636157e+00, 4.730620568412616578e+00, 5.412254297594986774e+00, 3.664437138671236216e+00, 4.339538491180046975e+00, 5.215047633210567746e+00, 4.662140667362903557e+00, 4.234590320548019093e+00, 4.624643921684996606e+00, 4.560440309935865244e+00, 4.929110928331223995e+00
1.887000000000000000e+03, 3.985123108939041092e+00, 4.543814175516277309e+00, 4.728486333032649647e+00, 4.394049456409592658e+00, 4.767404144976933544e+00, 4.054756098181168333e+00, 4.847545729915180068e+00, 5.152479434061071117e+00, 3.660044917002315934e+00, 4.601901412081415010e+00, 4.921944427851292936e+00, 4.582095839292033013e+00, 4.438279943420640805e+00, 4.173396362303392060e+00, 4.493676358255649816e+00, 4.717921904085580209e+00
1.888000000000000000e+03, 3.929493676881827824e+00, 4.390021468750077815e+00, 4.610924632652356081e+00, 4.556601815403159783e+00, 4.970309071609186446e+00, 4.379396112587728318e+00, 4.928240305641295116e+00, 5.072888832117302016e+00, 3.967344516038900704e+00, 4.652037655283340456e+00, 4.888928231248342193e+00, 4.512341217847835040e+00, 4.286620049290480239e+00, 3.938183049492814725e+00, 4.629974619269281000e+00, 5.089187787205163183e+00
1.889000000000000000e+03, 4.119759223939657211e+00, 4.525737356974101289e+00, 4.691197747727634315e+00, 4.437133490685966741e+00, 5.076456584802502725e+00, 4.245619907386521952e+00, 4.790810405710781872e+00, 5.212482056355681515e+00, 3.899161967798091766e+00, 4.477930331741345249e+00, 5.033618477945026370e+00, 4.585242121347974376e+00, 4.116784726374897119e+00, 4.613359145808071382e+00, 4.688932192385006914e+00, 5.107624054974372108e+00
1.890000000000000000e+03, 4.317472457102736527e+00, 4.325816265629451429e+00, 4.657668321820356283e+00, 4.486845866270170013e+00, 5.040620816192380893e+00, 4.045260384467257886e+00, 4.888098052524169290e+00, 5.315151833836087469e+00, 3.893170307251581974e+00, 4.433990135030819957e+00, 5.264301305048292079e+00, 4.704760955516127829e+00, 4.019573061169165129e+00, 4.281334298724135401e+00, 4.711361428370650195e+00, 5.175194622586984039e+00
1.891000000000000000e+03, 4.122225282577696603e+00, 4.594338557960891301e+00, 4.677285671469576300e+00, 4.562706285901404257e+00, 5.121275614642190277e+00, 4.133270246977586382e+00, 4.752598391415384427e+00, 4.999381192545210517e+00, 4.218757559815855984e+00, 4.161833407242275129e+00, 5.397365939164004978e+00, 4.625159641595617543e+00, 4.084088396074585070e+00, 4.283058748358209655e+00, 4.800031145543485422e+00, 4.836137625534121298e+00
1.892000000000000000e+03, 3.936765175817404927e+00, 4.474819949689385901e+00, 4.651778083111486772e+00, 4.391317768635578211e+00, 4.970224664567205686e+00, 4.247475320210189587e+00, 4.810190921200018899e+00, 4.958480211723401254e+00, 4.022554458270302113e+00, 4.427805389858554541e+00, 5.507606071816929294e+00, 4.496363201249839570e+00, 3.877455774167678726e+00, 4.611534518334134525e+00, 4.599433104948287721e+00, 4.782325564571961785e+00
1.893000000000000000e+03, 4.234961966323463223e+00, 4.235335222275031342e+00, 4.780586656768694986e+00, 4.474044990533957211e+00, 4.844137886414461747e+00, 4.290627664069814884e+00, 4.836555160292650868e+00, 5.312263438440528063e+00, 3.935646899997752080e+00, 4.391162614721079827e+00, 5.370030451229194313e+00, 4.505402326909066169e+00, 4.413678358731897511e+00, 4.497242683863636792e+00, 4.846789595763252301e+00, 5.053723372867183095e+00
1.894000000000000000e+03, 4.135139191289760596e+00, 4.456045712979386231e+00, 4.709680441801002537e+00, 4.440987864565939525e+00, 4.791024198341633955e+00, 4.120705223413675178e+00, 4.750327401659308002e+00, 4.961258726836630828e+00, 4.112857730021573843e+00, 4.172573142522518985e+00, 5.511383881120558215e+00, 4.648255134152907253e+00, 4.360824280602447089e+00, 4.173399173861928269e+00, 4.882178663801421514e+00, 5.313675040578083042e+00
1.895000000000000000e+03, 4.341956661573443732e+00, 4.510939458919120071e+00, 4.822647535772126126e+00, 4.167981119983450888e+00, 4.926876001385245729e+00, 4.246631345832614812e+00, 4.700317997247325685e+00, 5.169592893973825376e+00, 4.050577867060116688e+00, 4.384900193660206114e+00, 5.314879206487510110e+00, 4.536661740393147291e+00, 4.246700274338744308e+00, 4.477395669332374872e+00, 4.614958760806982419e+00, 5.243502320208920153e+00
1.896000000000000000e+03, 4.094205188043475552e+00, 4.563020265726724034e+00, 4.899883328659941917e+00, 4.208592748375972192e+00, 5.049498641777104169e+00, 4.190305989829187894e+00, 5.040894355627457024e+00, 5.118246194067916477e+00, 3.704558684637170973e+00, 4.605382717424113537e+00, 5.199009680148669155e+00, 4.675137374981836125e+00, 4.288311953295394829e+00, 4.663105328685307249e+00, 4.205512349757718482e+00, 4.956908549044378276e+00
1.897000000000000000e+03, 3.858610422135628770e+00, 4.215523665206981185e+00, 4.874925775029251618e+00, 4.681080069789227416e+00, 5.118779138109118776e+00, 4.045876973592731574e+00, 4.708852867022177868e+00, 5.287698620944089711e+00, 3.805187265740514579e+00, 4.431061509030609358e+00, 5.208239102893257311e+00, 4.547057925989538951e+00, 4.825067959368853465e+00, 4.765859273846368538e+00, 4.548086080176248380e+00, 4.662003796082919038e+00
1.898000000000000000e+03, 4.016807687097990076e+00, 4.245044207839910655e+00, 4.532688438710299472e+00, 4.713261778324232765e+00, 4.910816926448064557e+00, 4.145968966278312351e+00, 4.669207898989648164e+00, 5.064992887030797419e+00, 4.142066438822125996e+00, 4.541686605940332910e+00, 5.603551038038371956e+00, 4.329066380805835834e+00, 4.220120990319706777e+00, 4.592319311892934408e+00, 4.606066773793624947e+00, 4.876034041258431984e+00
1.899000000000000000e+03, 4.080384538614920231e+00, 4.451084197380623664e+00, 4.837874208537757070e+00, 4.056437353050251993e+00, 4.937441003264781969e+00, 4.253364609163345911e+00, 4.697255023210773928e+00, 5.390442083616084012e+00, 3.852858864017354446e+00, 4.219577193965314166e+00, 5.197832480020482038e+00, 4.547918345281753538e+00, 4.289812865271123599e+00, 4.443686033321514017e+00, 4.773271007569429791e+00, 5.147241678572538781e+00
1.900000000000000000e+03, 4.325102449525854098e+00, 4.471982235190456123e+00, 4.858085321263319933e+00, 4.040296658734772173e+00, 4.965138330330531424e+00, 4.257950503146319399e+00, 4.727456036684971608e+00, 5.300527781242099223e+00, 3.841179868359265726e+00, 4.372160610320698026e+00, 5.237625034374389088e+00, 4.555780778673551801e+00, 3.980971436641359773e+00, 4.384041386578496180e+00, 4.470044191006209644e+00, 5.025430082727361025e+00
1.901000000000000000e+03, 4.167258025402466259e+00, 4.513645646005179479e+00, 4.875800674227831699e+00, 4.257151835003603502e+00, 5.031196617585987241e+00, 4.339613353920575456e+00, 4.880102923437115159e+00, 5.225324518630200643e+00, 3.732921110534171749e+00, 4.364703026447225298e+00, 5.302368628289530150e+00, 4.525875064575083151e+00, 4.193703196676158207e+00, 4.702581463118652216e+00, 4.715132378943977187e+00, 4.566557012922414671e+00
1.902000000000000000e+03, 4.066850955583612759e+00, 4.218728199167613546e+00, 4.855881336545101234e+00, 4.685549708376578693e+00, 5.012324768530656449e+00, 4.192076920422686648e+00, 4.940673749630660083e+00, 5.230309463237308165e+00, 3.805375518999902340e+00, 4.424423143595475949e+00, 5.337182509141308984e+00, 4.710392429445478868e+00, 3.975660156070224716e+00, 4.682730219572599495e+00, 4.629780662861098683e+00, 4.929356047968236787e+00
