year, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, TaiESM1, NorESM2-MM
1.907000000000000000e+03, 1.477688145990954516e-09, 9.882002609273394459e-10, 1.069539460593688498e-09, 1.235125605579635667e-09, 1.083061387392144342e-09
1.908000000000000000e+03, 2.486835285379784317e-09, 1.082786461178330042e-09, 1.085750893394505974e-09, 1.105872289500461796e-09, 1.257714099751958992e-09
1.909000000000000000e+03, 1.982464875461857639e-09, 1.026036280891653839e-09, 9.803460296044884776e-10, 1.122784239102445747e-09, 1.150582238777963711e-09
1.910000000000000000e+03, 1.633569523051192906e-09, 7.787507135530012753e-10, 1.064872185748718580e-09, 1.417756947025169348e-09, 1.056842395471220249e-09
1.911000000000000000e+03, 2.020528212597394210e-09, 1.739861079185521656e-09, 9.764319590841023562e-10, 1.494521101759287911e-09, 1.326622240407506151e-09
1.912000000000000000e+03, 2.004084494175956301e-09, 1.302425084620600319e-09, 1.026884635301248988e-09, 1.042024626535320745e-09, 1.737820456530876976e-09
1.913000000000000000e+03, 1.343035656548801323e-09, 1.031087397536439416e-09, 1.000311276007621818e-09, 9.778316588874378110e-10, 1.311158582375847730e-09
1.914000000000000000e+03, 1.374103978424196932e-09, 1.423799817386465996e-09, 1.057318958096895788e-09, 1.398945175685767599e-09, 1.578212276158315046e-09
1.915000000000000000e+03, 1.966852674496764937e-09, 1.097388085814665289e-09, 9.102324853804060692e-10, 1.172185209737788942e-09, 1.655306410469308859e-09
1.916000000000000000e+03, 2.073242439407749311e-09, 8.870162568676742192e-10, 1.089131854717797856e-09, 1.129410060040055797e-09, 1.552249749292197901e-09
1.917000000000000000e+03, 1.983531194333981181e-09, 1.339972597151692563e-09, 8.889375240383063473e-10, 1.458202909310577351e-09, 1.196618808713155558e-09
1.918000000000000000e+03, 2.260191055641974122e-09, 1.237064481854332725e-09, 9.955850179123022370e-10, 1.073508210889957041e-09, 1.515978611009727155e-09
1.919000000000000000e+03, 1.897445369266336034e-09, 6.980398346480972978e-10, 1.007688135461059851e-09, 1.255439600085332609e-09, 1.198636986456285403e-09
1.920000000000000000e+03, 1.227065054823794998e-09, 1.298045150445924574e-09, 1.066248516684201576e-09, 1.435880502996884006e-09, 1.429046886595040404e-09
1.921000000000000000e+03, 2.262573976202255735e-09, 1.509769007478627538e-09, 9.073054927637193170e-10, 9.762022610125961831e-10, 1.816562923454994619e-09
1.922000000000000000e+03, 1.738349256771762338e-09, 1.579914449386378136e-09, 1.047414352973801100e-09, 1.023789401465367881e-09, 1.556807143446358689e-09
1.923000000000000000e+03, 1.687951551599742722e-09, 1.634828366116064224e-09, 9.861466808671549924e-10, 1.358341200086858158e-09, 2.055529088672694112e-09
1.924000000000000000e+03, 1.418454739201632383e-09, 1.348879052718773004e-09, 1.021837167642757215e-09, 1.264212043961645793e-09, 1.698382332075583638e-09
1.925000000000000000e+03, 1.913599015848691388e-09, 1.533358044296515815e-09, 1.041132218578592343e-09, 1.185624598431397453e-09, 1.937450126425078963e-09
1.926000000000000000e+03, 1.702240429303669599e-09, 1.281341216560412923e-09, 1.025923066857878690e-09, 1.090619797216578021e-09, 1.430085855637708289e-09
1.927000000000000000e+03, 2.539444888056635247e-09, 1.162355525484002325e-09, 1.088294385024841644e-09, 1.223270074832720587e-09, 1.404366521281441309e-09
1.928000000000000000e+03, 3.232753075430028222e-09, 1.100959362738321172e-09, 1.012876316322546558e-09, 1.547100218100723945e-09, 9.368811559574723652e-10
1.929000000000000000e+03, 1.531050738241715721e-09, 1.127169446438171219e-09, 9.690177834202773359e-10, 1.064593427485261046e-09, 1.586178307851399099e-09
1.930000000000000000e+03, 2.171182134557168488e-09, 1.263988044594878961e-09, 1.129482315879268161e-09, 9.867245768571773200e-10, 1.294325493013014466e-09
1.931000000000000000e+03, 2.587292038799061193e-09, 1.171355906136966611e-09, 1.001492797176582849e-09, 1.252294567167724808e-09, 1.763087488829727353e-09
1.932000000000000000e+03, 4.407803188055516717e-09, 1.487349289077234096e-09, 9.914664701934526073e-10, 1.229826157939018435e-09, 2.138649852678119455e-09
1.933000000000000000e+03, 1.494014462408140217e-09, 1.657886368699175263e-09, 1.171582617531684045e-09, 1.231372273235758542e-09, 1.280311865006212573e-09
