year, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.921000000000000000e+03, 3.021521080622747580e-11, 3.044312114154865761e-11, 5.320569539452687500e-11, 3.019672346178245452e-11, 3.405270753873869925e-10, 2.133911887451375178e-10, 2.128349412734266251e-10, 1.033270837381379248e-10
1.922000000000000000e+03, 3.113508306714150752e-11, 3.116687193345537273e-11, 5.730567830067559659e-11, 3.088632611285172251e-11, 3.751239039151721864e-10, 2.239150025834011650e-10, 2.033985586320311265e-10, 1.105951706365307729e-10
1.923000000000000000e+03, 3.201086810759715129e-11, 3.184056347406038722e-11, 6.859720919489601676e-11, 3.156986970065206357e-11, 3.717750310173582450e-10, 2.235049606533107351e-10, 2.099377660473506008e-10, 1.112110290416173073e-10
1.924000000000000000e+03, 3.276752060116475154e-11, 3.247838395398737229e-11, 5.653787308338641613e-11, 3.222034085099097620e-11, 3.933007940149734242e-10, 2.420517017688777435e-10, 2.275810039819810744e-10, 1.232467170870864271e-10
1.925000000000000000e+03, 3.362996948091930490e-11, 3.317320152161326986e-11, 6.248477466377314082e-11, 3.289320131134456761e-11, 3.916723534808892146e-10, 2.479867691910027539e-10, 2.244098638855599010e-10, 1.250512676117489297e-10
1.926000000000000000e+03, 3.415947698568292860e-11, 3.384324245010914149e-11, 6.182545578468172838e-11, 3.350098240667631595e-11, 4.107518066146402496e-10, 2.497040004525774578e-10, 2.365027248440153468e-10, 1.277904284178792576e-10
1.927000000000000000e+03, 3.504265804520397180e-11, 3.451670919702507824e-11, 6.681734929526741520e-11, 3.417283364199445797e-11, 4.330334686661046769e-10, 2.719408208553992346e-10, 2.600065781624577984e-10, 1.313425131780039740e-10
1.928000000000000000e+03, 3.584781367520619072e-11, 3.518323581683990632e-11, 7.467406903487786588e-11, 3.486621098507982835e-11, 4.192570462407473718e-10, 2.713174905792367250e-10, 2.555434858119364938e-10, 1.292416887112075412e-10
1.929000000000000000e+03, 3.666236360359261358e-11, 3.583950708826120747e-11, 6.800521785424645776e-11, 3.558263447541907479e-11, 4.510880280535540660e-10, 2.713578393482567189e-10, 2.663652497189401754e-10, 1.326508589933621732e-10
1.930000000000000000e+03, 3.719282276276851404e-11, 3.647268677358146473e-11, 7.978764662976555965e-11, 3.608733925327452568e-11, 4.508033390848193894e-10, 2.960195714187349758e-10, 2.888227933598229404e-10, 1.327660862697205141e-10
1.931000000000000000e+03, 3.809072849108254542e-11, 3.716085691267409797e-11, 7.790309563894071702e-11, 3.683407244056684581e-11, 4.652501942362808508e-10, 3.029512476096227805e-10, 2.967627913998556250e-10, 1.310023506712829030e-10
1.932000000000000000e+03, 3.840626082191138074e-11, 3.733527642363628934e-11, 8.002877405148678163e-11, 3.705087175736770885e-11, 4.582347975636692784e-10, 2.983336563119918308e-10, 2.816441552694344621e-10, 1.352080906427232522e-10
1.933000000000000000e+03, 3.871150120669631976e-11, 3.750535332801862139e-11, 7.632620306013866249e-11, 3.717534237183137315e-11, 4.807011989829708640e-10, 2.917100422580450716e-10, 2.841060420783451109e-10, 1.375842671317336752e-10
1.934000000000000000e+03, 3.898249566663988374e-11, 3.765229053957950784e-11, 8.244868249790280862e-11, 3.736982718896928129e-11, 4.623732060617881472e-10, 3.187773445542390586e-10, 2.827513701383544185e-10, 1.461665699730222492e-10
1.935000000000000000e+03, 3.888741990966405556e-11, 3.765507524698475341e-11, 7.857433785456355682e-11, 3.722685787136492244e-11, 5.065487994587180328e-10, 3.282873018991182589e-10, 2.875917835373439583e-10, 1.560502450034649038e-10
1.936000000000000000e+03, 3.922251483874046660e-11, 3.781478800904507250e-11, 9.513814690966874001e-11, 3.738844264257548258e-11, 5.003505685558907051e-10, 3.576426563148346092e-10, 2.843056977611854186e-10, 1.575215663031748278e-10
1.937000000000000000e+03, 3.945455388382385503e-11, 3.799795123815452441e-11, 8.983764781779017600e-11, 3.751240193578125671e-11, 5.129058615188885867e-10, 3.357211094325085914e-10, 3.161999909786349124e-10, 1.642217658533758268e-10
1.938000000000000000e+03, 3.972519613417744590e-11, 3.812102200516778039e-11, 7.854200531354393081e-11, 3.771432782977368967e-11, 5.077344180465245847e-10, 3.173999988123864060e-10, 3.275328969753246505e-10, 1.629616442264690149e-10
1.939000000000000000e+03, 4.000302141016383650e-11, 3.824819338097109246e-11, 8.718819077649484940e-11, 3.789066282627456420e-11, 5.146662070656034677e-10, 3.266725439910565649e-10, 3.228550708345751624e-10, 1.540486102623321752e-10
1.940000000000000000e+03, 4.025838917047942888e-11, 3.837012878720277509e-11, 8.582281962686467413e-11, 3.808062669660084585e-11, 5.357690499081867868e-10, 3.441268218751137889e-10, 3.074146411892720155e-10, 1.500333309479411181e-10
1.941000000000000000e+03, 3.973497215935623092e-11, 3.826966265531427823e-11, 9.555216568108416493e-11, 3.806555924744541867e-11, 5.566892804220351646e-10, 3.465160553866867867e-10, 3.175124027505345234e-10, 1.560533403340070357e-10
1.942000000000000000e+03, 4.072368466499444055e-11, 3.910275167603078874e-11, 9.574360893783636201e-11, 3.900387693904234313e-11, 5.394958484289200105e-10, 3.663243491234797427e-10, 3.732856407202216369e-10, 1.654984019242393731e-10
1.943000000000000000e+03, 4.171600376156969213e-11, 3.993982404755562320e-11, 9.966941674851496297e-11, 3.998765037815018870e-11, 5.437872425428397984e-10, 3.723530410073933951e-10, 3.416315569004860116e-10, 1.649190874638897963e-10
1.944000000000000000e+03, 4.267891814615539275e-11, 4.077965474975106683e-11, 8.982907720767838034e-11, 4.087006827968836759e-11, 5.398492081333669090e-10, 3.674368537195823922e-10, 3.120183686397234044e-10, 1.687836963260909072e-10
1.945000000000000000e+03, 4.367888904918833039e-11, 4.166510328429994772e-11, 8.693553021053212618e-11, 4.170673244409992399e-11, 5.558541940749645123e-10, 3.572728281263098092e-10, 3.124973958953812748e-10, 1.703210421483240112e-10
1.946000000000000000e+03, 4.466497339766253543e-11, 4.253124233096412061e-11, 9.230147804471328100e-11, 4.257987511710639124e-11, 5.682599769653776741e-10, 3.517529159196817481e-10, 3.314872096332572639e-10, 1.682468357560942641e-10
1.947000000000000000e+03, 4.557900113446133406e-11, 4.337581080104351580e-11, 8.618675899857256901e-11, 4.345335030596116856e-11, 5.761627876952352660e-10, 3.670240806102131728e-10, 3.244327817057601217e-10, 1.658888811689420520e-10
1.948000000000000000e+03, 4.646993826588258871e-11, 4.422114900434292548e-11, 8.661362283375860703e-11, 4.434930231486512241e-11, 5.735569444867984026e-10, 3.641150403746565803e-10, 3.374583671992395670e-10, 1.726768885540259338e-10
1.949000000000000000e+03, 4.750275832163393640e-11, 4.506934456821736425e-11, 9.140185368121326422e-11, 4.524279687820120518e-11, 5.846561936268257260e-10, 3.611580056701539460e-10, 3.578429241347596480e-10, 1.740800073639694916e-10
1.950000000000000000e+03, 5.465388122774227222e-11, 4.560295826304769131e-11, 9.573938503565875857e-11, 5.079697807760014169e-11, 5.634644312549495410e-10, 3.417777179492874912e-10, 3.120829787515136165e-10, 1.753654656985401174e-10
1.951000000000000000e+03, 5.576056594585051495e-11, 4.553385838481743701e-11, 9.068292834583697715e-11, 5.169180134461918920e-11, 6.058703974566652072e-10, 3.452187872978799158e-10, 3.425835213974092363e-10, 1.760393993999143894e-10
1.952000000000000000e+03, 5.748946305715711424e-11, 4.689336729679830151e-11, 9.420851505808318078e-11, 5.345522452971951522e-11, 5.846709751689580600e-10, 3.900839756132586126e-10, 3.443545351260072073e-10, 1.791077928147195059e-10
1.953000000000000000e+03, 5.874466764979463323e-11, 4.953896970100633057e-11, 9.269807025951913914e-11, 5.699832432142937622e-11, 6.212965053343857541e-10, 3.776299354736202899e-10, 3.340668012546058028e-10, 1.888521789410355127e-10
1.954000000000000000e+03, 6.018208618923238470e-11, 5.128521611266313919e-11, 9.177606916620213473e-11, 5.928528288100230812e-11, 6.197867732199393676e-10, 4.126448818117922125e-10, 3.605538060294681007e-10, 1.932936182494514293e-10
1.955000000000000000e+03, 6.179630920429493943e-11, 5.272786372120144000e-11, 1.030258066691600101e-10, 6.115783214705644160e-11, 6.528898382452969247e-10, 4.121276618222092214e-10, 3.888243245860736938e-10, 1.948026398390775057e-10
1.956000000000000000e+03, 6.326108298161047746e-11, 5.417144950185335499e-11, 1.017610211242029856e-10, 6.271623056459215217e-11, 6.348379581413183009e-10, 4.000918835744343804e-10, 4.000637335725333864e-10, 1.990359212536515059e-10
1.957000000000000000e+03, 6.467622202218700673e-11, 5.555111925625944660e-11, 1.123236542826831411e-10, 6.431084137340480867e-11, 6.784742335234983031e-10, 4.043380010631009036e-10, 4.132157038439258017e-10, 2.059636118604187742e-10
1.958000000000000000e+03, 6.623424789163041856e-11, 5.687930944550471482e-11, 1.142795274756252044e-10, 6.592157915017137403e-11, 6.688140968098382293e-10, 4.378982191634219320e-10, 4.081718271462109448e-10, 2.134693724785811761e-10
1.959000000000000000e+03, 6.763271008309251932e-11, 5.826567892170919316e-11, 1.046430886500012127e-10, 6.756797407190609899e-11, 7.006406627828953314e-10, 4.230486329964079503e-10, 3.847337708509236082e-10, 2.214192448146473523e-10
1.960000000000000000e+03, 6.320381548610180930e-11, 6.042458048864574499e-11, 1.085429949222001327e-10, 6.906535506540793773e-11, 6.963278879086584095e-10, 4.321588749804454378e-10, 4.265958767888463517e-10, 2.194638883966570462e-10
1.961000000000000000e+03, 6.320661894488530531e-11, 6.198872279792629378e-11, 1.298589781783758083e-10, 7.079223961948786697e-11, 7.213204560405043996e-10, 4.452319909926973289e-10, 4.333634980665550359e-10, 2.288472648662094373e-10
1.962000000000000000e+03, 6.781419323946770809e-11, 6.596785597162492224e-11, 1.250164507224772580e-10, 7.522451092944727058e-11, 7.127781215486705942e-10, 4.153923595688832537e-10, 4.533669449752642960e-10, 2.373576751688058273e-10
1.963000000000000000e+03, 6.763483347578228919e-11, 6.652040746018717618e-11, 1.431859419146925746e-10, 7.576748574435624833e-11, 7.353693707783666175e-10, 4.443940267913724168e-10, 4.419079853808905083e-10, 2.387455900615352872e-10
1.964000000000000000e+03, 6.713189990345364050e-11, 6.593363402443048487e-11, 1.487525239604990624e-10, 7.529572372316146862e-11, 7.222932895940111413e-10, 4.612911689306416427e-10, 4.672731113815495930e-10, 2.457557468464839575e-10
1.965000000000000000e+03, 6.793028881241270160e-11, 6.670839703680592507e-11, 1.490317919412872389e-10, 7.608415505677960135e-11, 7.461764950758696276e-10, 4.805621499827206167e-10, 5.165045596325517627e-10, 2.515585921541838003e-10
1.966000000000000000e+03, 6.846255019009636751e-11, 6.730823332455440022e-11, 1.406977951022629332e-10, 7.672897040804407598e-11, 7.619207043581040486e-10, 5.077047885028726273e-10, 5.385886432667496918e-10, 2.605395064504639744e-10
1.967000000000000000e+03, 6.767738089500356037e-11, 6.762979648938931370e-11, 1.527777553597554188e-10, 7.555209774309602533e-11, 7.938865096230650648e-10, 4.703958766160206564e-10, 5.195865081447970740e-10, 2.721427594327302314e-10
