year, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, IPSL-CM6A-LR, CMCC-ESM2
1.886000000000000000e+03, 1.987716539461533975e-12, 6.374747987249723544e-11, 3.933023146499706819e-12, 5.297757790268157265e-11, 2.189051759624390246e-10, 3.146251088961135766e-10, 2.286489341614475855e-10, 2.415945603492145212e-11
1.887000000000000000e+03, 1.975217402626989767e-12, 6.732011964191812504e-11, 4.240067745450363692e-12, 5.408109643018887592e-11, 2.217854037219787545e-10, 3.147483418010524754e-10, 2.271680370564461847e-10, 2.462631768270060024e-11
1.888000000000000000e+03, 1.966221089020891815e-12, 6.697211290896759823e-11, 4.560006839239352686e-12, 5.404946301758859694e-11, 2.236644820169919657e-10, 3.172358448202906501e-10, 2.342199153182108784e-10, 2.506565774848921233e-11
1.889000000000000000e+03, 1.945588182751264910e-12, 6.907027855598058810e-11, 4.928282527596869639e-12, 5.493617975382425604e-11, 2.278226438756292551e-10, 3.215965761769031147e-10, 2.365306518785041232e-10, 2.547747201605918171e-11
1.890000000000000000e+03, 1.712718747135699602e-12, 7.034227895650576101e-11, 5.277121095039052801e-12, 5.576587383207486643e-11, 2.154796441995647060e-10, 3.174336415139600248e-10, 2.446425151506602266e-10, 2.589405289837303022e-11
1.891000000000000000e+03, 1.494885048328825233e-12, 7.040294215312679859e-11, 5.488060014509153399e-12, 5.472105063153344176e-11, 2.128792540683029026e-10, 3.141996622709772699e-10, 2.380483197081143096e-10, 2.631585257366452040e-11
1.892000000000000000e+03, 1.386211987662642311e-12, 6.892781628951620721e-11, 5.811158670047304239e-12, 5.419330560437908540e-11, 2.123018202041015140e-10, 3.175956278027715561e-10, 2.415905604814892746e-10, 2.671148988444802347e-11
1.893000000000000000e+03, 1.280629715797026410e-12, 7.244774784816454733e-11, 6.166848515560454439e-12, 5.402051742143087262e-11, 2.127423408527277889e-10, 3.199062717882256882e-10, 2.309819851950266628e-10, 2.709471113148965359e-11
1.894000000000000000e+03, 1.188118171690951350e-12, 7.106065103305473737e-11, 6.496818483650297505e-12, 5.394624046327549720e-11, 2.120450233464182355e-10, 3.195628556856140077e-10, 2.330523810602287624e-10, 2.744770955458424194e-11
1.895000000000000000e+03, 1.068710814969260207e-12, 7.212473257569792844e-11, 6.866964535000440981e-12, 5.399167217189256592e-11, 2.108897072251127321e-10, 3.202602632290943827e-10, 2.320907693846685772e-10, 2.775371955497519204e-11
1.896000000000000000e+03, 1.028194390350165500e-12, 7.229000789767666742e-11, 7.208779826076154106e-12, 5.430086165160315424e-11, 2.110001288518209445e-10, 3.194027711608511447e-10, 2.326071640499752828e-10, 2.804333330303471171e-11
1.897000000000000000e+03, 1.028242216438311641e-12, 7.506677923886632922e-11, 7.550257256263675553e-12, 5.446591327456426401e-11, 2.108614859158202598e-10, 3.196140741282711639e-10, 2.412927642370024649e-10, 2.832415725015940309e-11
1.898000000000000000e+03, 9.564568059842467409e-13, 7.420876662369981054e-11, 7.850993301116519888e-12, 5.508834620046414107e-11, 2.120314617851765623e-10, 3.193472283860950459e-10, 2.465724985851476063e-10, 2.859592754434023629e-11
1.899000000000000000e+03, 9.128921172835775745e-13, 7.633108695936920853e-11, 8.338185474704829655e-12, 5.467457475523195258e-11, 2.119557500680035778e-10, 3.210586887692827190e-10, 2.455540982758158482e-10, 2.888934887155649522e-11
1.900000000000000000e+03, 9.232558107926015251e-13, 7.519360240638806988e-11, 9.099766481713426623e-12, 5.498508684819155833e-11, 2.311532313717590673e-10, 3.302157718458301164e-10, 2.439035767197212192e-10, 2.985885892081829872e-11
1.901000000000000000e+03, 1.027211140730184390e-12, 8.101097181334107782e-11, 9.735626446672377359e-12, 6.122916746708579102e-11, 2.360891817014736854e-10, 3.386825156973705368e-10, 2.585940910685246228e-10, 3.129706792973332544e-11
1.902000000000000000e+03, 1.005378592120457929e-12, 8.065989123001865365e-11, 1.044020358013081749e-11, 6.374194288135647159e-11, 2.396178013853716722e-10, 3.418995667220878310e-10, 2.647153637006655964e-10, 3.248961774986581879e-11
1.903000000000000000e+03, 1.057155574533924297e-12, 8.390263312134131199e-11, 1.122825648955049032e-11, 6.561960698205765241e-11, 2.428354274204678365e-10, 3.441079619343190815e-10, 2.699329989325736112e-10, 3.350034203498379874e-11
1.904000000000000000e+03, 1.142821429037277917e-12, 8.707782262066268869e-11, 1.201788875913167035e-11, 6.667497388278221577e-11, 2.452966503928898922e-10, 3.457784774936428169e-10, 2.575444332251490921e-10, 3.437034191047838172e-11
1.905000000000000000e+03, 1.118300318153648190e-12, 9.079543830683975547e-11, 1.291569615998387389e-11, 6.733099829955288262e-11, 2.476528193697309909e-10, 3.471221036901427555e-10, 2.624147141834534045e-10, 3.512497226212596696e-11
1.906000000000000000e+03, 1.084419412516153652e-12, 8.994064946079057124e-11, 1.405361146066406412e-11, 6.944091172898106216e-11, 2.523855947564792333e-10, 3.494976804840870713e-10, 2.577356798778200152e-10, 3.581186900717528450e-11
1.907000000000000000e+03, 1.082816745280501594e-12, 9.528061807492985936e-11, 1.540870755394497972e-11, 6.886855152928773623e-11, 2.532772443846287117e-10, 3.516324844197880257e-10, 2.750831283969402893e-10, 3.646172895457233835e-11
1.908000000000000000e+03, 9.330903987552937574e-13, 9.493327105708905584e-11, 1.662443073492073018e-11, 6.941688608172509878e-11, 2.544742075539598640e-10, 3.555390350057865286e-10, 2.660011565051699348e-10, 3.708754906023249245e-11
1.909000000000000000e+03, 8.443084605555104107e-13, 9.652390076763845479e-11, 1.775001547805684610e-11, 6.997909520330677872e-11, 2.562731883052805073e-10, 3.613783997338962594e-10, 2.751971986960501920e-10, 3.769139204192322289e-11
1.910000000000000000e+03, 1.157907443858502831e-12, 9.718527856101494952e-11, 1.896049160182909125e-11, 7.090621507349299076e-11, 3.065795678911702755e-10, 3.817861909381186821e-10, 2.899091505626930473e-10, 3.980878951754595984e-11
1.911000000000000000e+03, 1.396254767946862918e-12, 1.073126029626018323e-10, 2.014867307258038702e-11, 8.498602992868833724e-11, 3.196907300780015336e-10, 3.989679794803296901e-10, 3.314761738696075427e-10, 4.304206594042461485e-11
1.912000000000000000e+03, 1.310842563748842555e-12, 1.144026204489480259e-10, 2.181856149687123329e-11, 9.046498013156346024e-11, 3.294271985959698453e-10, 4.119444108342381442e-10, 3.401906887252076736e-10, 4.576096548640524510e-11
1.913000000000000000e+03, 1.489267778066092668e-12, 1.152062746470727389e-10, 2.389892872056382139e-11, 9.373458364499545099e-11, 3.371205731698994947e-10, 4.199260589861649364e-10, 3.301722321106682402e-10, 4.807613397029342523e-11
1.914000000000000000e+03, 1.615146162038635010e-12, 1.215418568659964374e-10, 2.621754631931497405e-11, 9.606100954641268428e-11, 3.446355401635316901e-10, 4.238389033200311645e-10, 3.446448507664773493e-10, 5.005754825714405310e-11
1.915000000000000000e+03, 1.483811550151619825e-12, 1.256645305560866424e-10, 2.847089076940492864e-11, 9.717931523651564218e-11, 3.520892916647058551e-10, 4.307202250532110883e-10, 3.665038542211541712e-10, 5.177084962817123059e-11
1.916000000000000000e+03, 1.331919826123790438e-12, 1.287416033095436910e-10, 3.072000631730318899e-11, 9.824252681997833717e-11, 3.590682918081375282e-10, 4.359145524784535588e-10, 3.773879198287261696e-10, 5.326654595212674471e-11
1.917000000000000000e+03, 1.746666447747350144e-12, 1.347077758239448962e-10, 3.294415189801953637e-11, 9.923014206451208157e-11, 3.667362252936003173e-10, 4.401021768267353568e-10, 3.714990279577276499e-10, 5.461225857425923570e-11
1.918000000000000000e+03, 2.785927565327070519e-12, 1.376805036054844430e-10, 3.517227621540207259e-11, 1.002143439894791245e-10, 3.729782146537548080e-10, 4.485597218910082859e-10, 3.881248817712309106e-10, 5.581797189159009650e-11
1.919000000000000000e+03, 3.452552376821768791e-12, 1.359636373014057071e-10, 3.748869665223664475e-11, 1.007005305009367347e-10, 3.768701655006094722e-10, 4.580788472392970922e-10, 3.984874569266337430e-10, 5.684922824689817761e-11
1.920000000000000000e+03, 4.288694567184091350e-12, 1.389113051396677263e-10, 4.020137381474596032e-11, 1.015854565668804016e-10, 4.000835224779424574e-10, 4.727048301679078833e-10, 3.960376208680510954e-10, 5.862822091653005352e-11
1.921000000000000000e+03, 5.848048673260595832e-12, 1.489565499907763746e-10, 4.246396570710994654e-11, 1.080718211467230021e-10, 4.144390767405599411e-10, 4.811950912104401695e-10, 4.334937719107865548e-10, 6.098417698454533855e-11
1.922000000000000000e+03, 6.464474011083136660e-12, 1.579643388352477430e-10, 4.505303806511070575e-11, 1.112240933202265556e-10, 4.245748708971179521e-10, 4.950273131824907662e-10, 4.244810089809633930e-10, 6.296355025462711988e-11
1.923000000000000000e+03, 7.471385748238914406e-12, 1.733774056040609414e-10, 4.760707714044621772e-11, 1.140280809688903090e-10, 4.308224714553991711e-10, 5.024847616747706797e-10, 4.318694154127847960e-10, 6.453054431844341657e-11
1.924000000000000000e+03, 1.000254677422922941e-11, 1.647460371142597567e-10, 5.004216718489902286e-11, 1.151026892157807806e-10, 4.369255167610235668e-10, 5.204859069255997308e-10, 4.502941594129592516e-10, 6.574093654246725068e-11
1.925000000000000000e+03, 1.441089574277818201e-11, 1.736563663115514325e-10, 5.252991110291295096e-11, 1.166249268301677108e-10, 4.432265774782369128e-10, 5.285740399789988885e-10, 4.486690088122522346e-10, 6.673772551882274287e-11
1.926000000000000000e+03, 1.766125735694931628e-11, 1.754502654089670550e-10, 5.506206651349593865e-11, 1.191493930531214892e-10, 4.492040742149152458e-10, 5.356993490596789886e-10, 4.615307216192905865e-10, 6.760815595363609519e-11
1.927000000000000000e+03, 2.226559613055708755e-11, 1.825794045843434387e-10, 5.743806810202888376e-11, 1.197969760446308935e-10, 4.571970738301132704e-10, 5.429251331086925223e-10, 4.851201960600948372e-10, 6.839767796416404935e-11
1.928000000000000000e+03, 2.616799945693696165e-11, 1.923978633350364435e-10, 5.986684378126778696e-11, 1.211105582509741537e-10, 4.623261009658238821e-10, 5.437667547783309964e-10, 4.823040609076604998e-10, 6.911527531321192183e-11
1.929000000000000000e+03, 2.813946159286179830e-11, 1.876340537777085520e-10, 6.214600425121201870e-11, 1.229599190355005688e-10, 4.701577392896554654e-10, 5.513669458200137829e-10, 4.929417212242111414e-10, 6.973494319845092169e-11
1.930000000000000000e+03, 2.382514708405603559e-11, 2.009797395215763295e-10, 6.464801014510312409e-11, 1.240054589391557890e-10, 4.681148802176957125e-10, 5.396437617234403281e-10, 5.161211030614478814e-10, 7.020723667867380408e-11
1.931000000000000000e+03, 1.983272916962352027e-11, 2.017686593837210209e-10, 6.694251877150035503e-11, 1.340969003808356874e-10, 4.718459629014683201e-10, 5.292820278449563819e-10, 5.055355781062685781e-10, 7.062243788966707883e-11
1.932000000000000000e+03, 2.083398738813673911e-11, 2.058626636457490591e-10, 6.834064528704411657e-11, 1.370146660707828975e-10, 4.733801767914260111e-10, 5.354265281278365682e-10, 4.891776129723341135e-10, 7.108901776816948770e-11
1.933000000000000000e+03, 2.207263892066090306e-11, 2.037623025575189576e-10, 6.993392020435853649e-11, 1.399720665234573394e-10, 4.766366738475649344e-10, 5.416270473498436093e-10, 4.918719872130443154e-10, 7.150681621979150892e-11
1.934000000000000000e+03, 2.371815346750639741e-11, 2.111210508608953462e-10, 7.152745560855487206e-11, 1.428538314079160520e-10, 4.809110353409921856e-10, 5.536071395154098787e-10, 4.899695693074935543e-10, 7.182500516016689584e-11
1.935000000000000000e+03, 2.512906893628455893e-11, 2.079199277336607172e-10, 7.309160758371017753e-11, 1.435493053289333505e-10, 4.821433151896648980e-10, 5.653839872461328883e-10, 4.954461830394062180e-10, 7.203351367943276618e-11
1.936000000000000000e+03, 2.604713928517833183e-11, 2.250816899164989278e-10, 7.505271892565546338e-11, 1.460285995633236047e-10, 4.856676706474059352e-10, 5.678298288621669109e-10, 4.919915508900014146e-10, 7.215788650352084663e-11
1.937000000000000000e+03, 2.686494532227341466e-11, 2.204109533160418972e-10, 7.714484395545001289e-11, 1.464474832919511451e-10, 4.891658584653931666e-10, 5.773663385603253080e-10, 5.237187896545721823e-10, 7.216777067437980311e-11
1.938000000000000000e+03, 2.773130411342748791e-11, 2.096654598287623698e-10, 7.908930872306454847e-11, 1.485385641008270706e-10, 4.949910824757393898e-10, 5.785692404927195663e-10, 5.344264925442075540e-10, 7.213457523637753435e-11
1.939000000000000000e+03, 2.909186812244190018e-11, 2.185792227949930112e-10, 8.072867730957303650e-11, 1.500369537187192674e-10, 4.997380811324947355e-10, 5.724327710247371831e-10, 5.294771572943326242e-10, 7.205335753729775681e-11
1.940000000000000000e+03, 2.802577954377644241e-11, 2.170525015187114741e-10, 8.209964329446679867e-11, 1.501592532717381145e-10, 4.728817441041243564e-10, 5.511514501786975352e-10, 5.138486596391117133e-10, 7.184997812708707573e-11
1.941000000000000000e+03, 2.630537687340501660e-11, 2.262951355570269652e-10, 8.424742097980610177e-11, 1.454303731325197473e-10, 4.657821188645842344e-10, 5.436131461199021473e-10, 5.242377545090389095e-10, 7.154687113156774005e-11
1.942000000000000000e+03, 2.641412289738509568e-11, 2.262820919241680222e-10, 8.376791229762084637e-11, 1.460378794443648800e-10, 4.610729318319285866e-10, 5.483249555811677640e-10, 5.800281018398145250e-10, 7.130142957715141034e-11
1.943000000000000000e+03, 2.695135600423420073e-11, 2.302458469554090389e-10, 8.322095784313980992e-11, 1.456255983534600893e-10, 4.587983137907958942e-10, 5.424842264099065806e-10, 5.484894730719380209e-10, 7.118875543504048293e-11
1.944000000000000000e+03, 2.730225431989146863e-11, 2.207589947970386386e-10, 8.300722162708848960e-11, 1.459925914394691503e-10, 4.554820752822944118e-10, 5.414870907223268067e-10, 5.185667487254403011e-10, 7.121352669862937697e-11
1.945000000000000000e+03, 2.754039584396521992e-11, 2.184840185623500903e-10, 8.271744549700677115e-11, 1.470106757947760965e-10, 4.601517212223611028e-10, 5.376932085311883739e-10, 5.201033765681527031e-10, 7.134610737200928054e-11
1.946000000000000000e+03, 2.793849708665553229e-11, 2.246483775752374322e-10, 8.223048402313248539e-11, 1.481362882591719916e-10, 4.587867589041480390e-10, 5.330712313415517094e-10, 5.372654125716477298e-10, 7.155325328873438345e-11
1.947000000000000000e+03, 2.861990296846000327e-11, 2.193424295318987846e-10, 8.166015544377389218e-11, 1.481896047908524541e-10, 4.604144866343396679e-10, 5.281854679066683923e-10, 5.306999082875116040e-10, 7.174105094673808120e-11
1.948000000000000000e+03, 2.997595991962002638e-11, 2.204679709086726307e-10, 8.116205236116022836e-11, 1.485296291169687562e-10, 4.595033392521209912e-10, 5.333886216360048570e-10, 5.432215331689519879e-10, 7.196398091201938363e-11
1.949000000000000000e+03, 3.112796423411870679e-11, 2.260999643488509689e-10, 8.121351961027191516e-11, 1.478294165089532390e-10, 4.638325020864433201e-10, 5.337534720278470155e-10, 5.646155939260402697e-10, 7.222674263197025194e-11
1.950000000000000000e+03, 3.245084006079519845e-11, 2.333742928210907670e-10, 8.161884289797628896e-11, 1.538376406908792808e-10, 5.628021823917553655e-10, 5.689210444014695190e-10, 5.179738709301168231e-10, 7.505383023786487392e-11
1.951000000000000000e+03, 3.351831912112083554e-11, 2.381619510602411632e-10, 8.483989328538886360e-11, 1.773403890395215426e-10, 5.909234556750348502e-10, 5.951625025284797994e-10, 6.407500821016936035e-10, 7.967017130479662643e-11
1.952000000000000000e+03, 3.645810822140877459e-11, 2.496022362164792872e-10, 9.104982152129247102e-11, 1.840055535121287442e-10, 6.071345188250220188e-10, 6.055328411172444317e-10, 6.448071737852078242e-10, 8.345775648385177605e-11
1.953000000000000000e+03, 4.340223791837070181e-11, 2.547245792679034445e-10, 9.727140787357385965e-11, 1.879878077969496128e-10, 6.238554454534329392e-10, 6.250372288754632710e-10, 6.362874165175228508e-10, 8.680893883066835774e-11
1.954000000000000000e+03, 5.156435587890769396e-11, 2.594229042007200191e-10, 1.032390902865034936e-10, 1.902052371173841071e-10, 6.394989419969901338e-10, 6.384317101690999164e-10, 6.627233939700403920e-10, 8.984853025574585017e-11
1.955000000000000000e+03, 5.951173559801082784e-11, 2.754586077705862867e-10, 1.094748807312610174e-10, 1.908811809174080265e-10, 6.500353840098419334e-10, 6.469811420851521160e-10, 6.946127265344159865e-10, 9.260803462549391346e-11
1.956000000000000000e+03, 6.565561944914004132e-11, 2.783949120309680391e-10, 1.163953354007293363e-10, 1.933844797813268531e-10, 6.577195332266819062e-10, 6.602433681246332853e-10, 7.094782912299692297e-10, 9.510161090568580288e-11
1.957000000000000000e+03, 7.228346746614582048e-11, 2.927803877171556065e-10, 1.241122766703316528e-10, 1.961060401740389014e-10, 6.725139686320059018e-10, 6.727312033175233233e-10, 7.256245878554431663e-10, 9.730851318158428977e-11
1.958000000000000000e+03, 7.929356194047400829e-11, 2.982749428716233895e-10, 1.319223968134986400e-10, 1.983775731663625185e-10, 6.769751514999237901e-10, 6.845363351726341509e-10, 7.227032221505123963e-10, 9.926532151292224199e-11
1.959000000000000000e+03, 8.481953588956358292e-11, 2.908747854756250935e-10, 1.397902254769038059e-10, 1.997838492143367133e-10, 6.818271109199903402e-10, 6.986912858691028805e-10, 7.009399648470262946e-10, 1.008671206204499032e-10
1.960000000000000000e+03, 7.369319319743018367e-11, 2.939526766989673821e-10, 1.475394871615782649e-10, 2.018938355702849237e-10, 7.176307437298083781e-10, 7.716306634508892536e-10, 7.461458354226500112e-10, 1.024364188338883727e-10
1.961000000000000000e+03, 6.046978420084059367e-11, 3.178343374227726238e-10, 1.525937110035028674e-10, 2.207711138995795117e-10, 7.371893272055900497e-10, 8.403165272939681681e-10, 7.882695222478140357e-10, 1.040011876460338193e-10
1.962000000000000000e+03, 5.977457814820964399e-11, 3.152842875197198233e-10, 1.561871223692340240e-10, 2.246782483725319201e-10, 7.554150389915372699e-10, 8.753620587027400275e-10, 8.078510046918168920e-10, 1.055328340915434878e-10
1.963000000000000000e+03, 6.469860735134877534e-11, 3.348422229611573573e-10, 1.599522958506555210e-10, 2.285527663117878529e-10, 7.717275387958697528e-10, 8.998436452415485991e-10, 7.968552296464119548e-10, 1.069869339783736839e-10
1.964000000000000000e+03, 7.118179295239226717e-11, 3.408136467117786630e-10, 1.639138668418940634e-10, 2.295320256150019940e-10, 7.860542864067710243e-10, 9.259146435098708044e-10, 8.223762991057055371e-10, 1.079960616636413278e-10
1.965000000000000000e+03, 7.556332947170022042e-11, 3.413285038121773342e-10, 1.676735928738715527e-10, 2.306509412551458181e-10, 8.095591586485961819e-10, 9.478534999035303386e-10, 8.705347483053482094e-10, 1.086617100420515822e-10
