year, GFDL-ESM4, CanESM5, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, NorESM2-LM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM4-8, INM-CM5-0, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.064000000000000000e+03, -1.098532297077339681e+00, -3.255102218406457498e-02, 1.813547289966294940e-01, -1.076184728033725335e+00, 1.339791892979141696e+00, 1.037157237437499324e+00, 1.116917947899242591e+00, 1.665906262326015685e+00, 2.096365311348430960e-01, 1.187475138928862917e+00, -7.916223459731690504e-01, 2.499012245950007430e-03, 2.898203478022285395e-01, 3.316675664404483137e-01, 5.225532662373439940e-01, 1.372911459687681690e+00
2.065000000000000000e+03, -1.043311683167876591e+00, -1.777304709601067456e-01, -4.808786735224061526e-01, -4.243116891312664896e-01, 7.551245239958552791e-01, 1.129250554672943663e+00, 1.408723147591490532e+00, 9.210217878603955688e-01, 1.874415964593865724e-01, 9.185017593732826002e-01, -1.251660420736529167e+00, 6.514386884465971084e-02, 6.307826523014246067e-01, 1.418430710635751435e+00, 9.006824102257933173e-01, 7.752741420931813510e-01
2.066000000000000000e+03, 2.414773329542688973e+00, 6.855864865818430687e-01, 4.225414850542606460e-01, -4.626142544651720145e-01, 6.565217620064928150e-01, 3.656856853951962472e-01, 9.560524132846969225e-01, -3.787567922529617159e-01, -3.502280515806185934e-02, 4.577412676485406728e-01, 6.081554886858654002e-02, 2.091089130856421952e-01, 1.225418574201126987e+00, 3.056561348948513834e-01, 4.623452237635896321e-03, -5.151327673578667832e-02
2.067000000000000000e+03, 8.549614095149987714e-01, 1.244165010049345932e-02, 3.644643962297035023e-01, -1.482106402978347282e+00, 1.328446191244281760e+00, 6.572045646313344758e-01, -3.346534360393306762e-01, -1.684255523847725922e+00, -2.122930051090582138e-01, 3.434442116154425295e-01, 4.015958068557111404e-02, -7.530431270473489924e-01, 1.263271037325045754e+00, 9.272683884734962689e-02, -1.116524770581402148e-01, 8.459435058495685666e-01
2.068000000000000000e+03, -7.342523509656634362e-01, -1.989513052368232227e-01, 3.974035997099503170e-01, -6.836260669041058780e-01, 1.343312545864251861e+00, 5.716709059195087539e-01, 1.017690637430432199e+00, -8.195856967824945161e-02, 4.897264427696957911e-01, 4.750151842000151503e-01, -5.264855349139481167e-01, -1.824107936235585425e+00, -2.341233858085432218e-01, 1.989960595946602961e-01, -2.359087384276334354e-01, 2.893555354989097439e-01
2.069000000000000000e+03, -2.112525863027892914e+00, 1.453619032200363259e+00, -3.264213491343797013e-01, -5.548556932113807294e-01, 9.669214782994356439e-01, 2.583611600220933613e-01, 1.193418070101419204e+00, -7.097047227856257967e-01, 5.316045964493990679e-04, 1.014031575677485364e+00, -1.193678887731759675e+00, 1.851461439315313484e+00, 4.325039449860260121e-01, 6.609399935761772760e-01, 6.694253679113111311e-01, -1.810026892491467185e-02
2.070000000000000000e+03, 1.839885416401396689e+00, 6.832855143636212825e-01, 7.029940440213103825e-01, -9.291784136402465588e-01, 1.351719718668331405e+00, 8.556975347484259142e-01, 9.433007128176391642e-01, -2.319175837597232670e-01, 3.136224743636296247e-02, 8.970883470128974135e-01, -1.165969440653426226e+00, 1.901515762386070785e+00, 2.633421993225897761e+00, -2.471957221389447401e+00, -8.517155490300146181e-02, -8.588448968928022453e-02
2.071000000000000000e+03, 1.015615215490321965e+00, 1.221852975375436134e+00, -4.041160311697511442e-01, -8.219787532288354015e-01, 6.648195625339913262e-01, 3.086488009948247235e-01, -1.696529740649976858e-01, -9.376304636982653040e-01, -1.934567694420812056e-01, 8.410152505962278369e-01, 3.862705111542360514e-01, 8.356855780012485413e-01, 9.926652262513184777e-01, 1.540027988099486600e-01, 2.800272583526884351e-01, 3.288312717194452062e-01
2.072000000000000000e+03, -1.506158774126185262e+00, 5.477212036500412468e-02, -2.333040048048712692e-02, -8.198231557662361002e-01, 1.161264885516983369e+00, 5.866809221699936794e-01, 1.086318739562402769e+00, -5.192317436666354924e-01, -5.473152339018673151e-01, 6.719826821471621692e-01, -6.821248897391590793e-01, -5.255424451294257171e-01, -9.341622025394547002e-01, 1.188460010599319272e+00, 1.494005204260643871e-01, 1.240302028670800194e+00
2.073000000000000000e+03, -1.425020603802160002e+00, 6.115333018826952793e-01, -8.456934193398023547e-01, -1.348636483139902920e+00, 1.257300605616764377e+00, 6.550930080005202827e-01, 1.367914318576049393e+00, -1.356343487330973430e+00, 2.336061091794523759e-02, 7.110106360063001008e-01, -7.522775729484624252e-01, 6.900824414325451572e-01, -2.287646280674973942e-01, 9.713455467411307165e-01, 3.113163299082380986e-01, 2.086927291637115101e-01
2.074000000000000000e+03, 7.109578762369003213e-01, 5.144075127782763435e-01, 1.664388163951578681e-01, -1.971199897387466982e-01, 1.247401139963918215e+00, 8.609679994855314877e-01, 9.376705643624757558e-01, -2.253892983429595986e+00, -1.250083075672377420e-01, 1.538920599052261862e+00, 2.977369275297016560e-01, 1.330442671604409766e+00, 4.860442906731791690e-01, -4.229719202389258248e-01, 8.531760326329121402e-02, -8.160085436983215423e-01
2.075000000000000000e+03, 2.712388816547859349e-01, -4.329881500917729525e-02, 1.636301006189125884e-01, -6.654723653720757692e-01, 7.329033223711817202e-01, 7.505776605165339621e-01, 9.601497829371554715e-01, 6.740364388169933774e-01, 9.503194902733727023e-01, 7.927994892453358311e-01, 3.244530689849183802e-01, -8.362884017858209784e-01, -7.274744786709479438e-01, 1.477721999319150159e+00, -3.487777152400727831e-01, 1.665659633563920106e-01
