year, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, CMCC-ESM2, ACCESS-ESM1-5, CanESM5, CESM2-WACCM, TaiESM1, NorESM2-MM, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L
2.056000000000000000e+03, 2.655638950514064955e+00, 4.496068701572763615e+00, 3.260335007960773357e+00, 4.370018883022755318e+00, 2.523906217881758174e+00, 3.182420667938695047e+00, 2.355392889555592451e+00, 2.424028197321285383e+00, 3.665104049488502991e+00, 4.039705557368326261e+00, 3.451302267920634659e+00, 2.440463983434838724e+00, 3.419427759890783847e+00, 2.848841337751645053e+00, 3.330545761039906072e+00, 2.896307281677739098e+00
2.057000000000000000e+03, 2.624476466763406179e+00, 4.501640162600140549e+00, 3.143796058965291795e+00, 4.300205540847566787e+00, 2.525221930849692153e+00, 3.101723341994004901e+00, 2.217450418251111888e+00, 2.333066483016937642e+00, 3.641456810034820801e+00, 3.903496467382707724e+00, 3.452610079995542591e+00, 2.496370053151517610e+00, 3.422423962963507371e+00, 3.095286360467591980e+00, 3.462991581543251929e+00, 2.900091678199818723e+00
2.058000000000000000e+03, 2.592137192656961631e+00, 4.486959136674546933e+00, 3.168723541932758181e+00, 4.415650761735726348e+00, 2.482550932677813904e+00, 3.050839391385633093e+00, 2.111067586245575001e+00, 2.342836733725331744e+00, 3.639014047804826735e+00, 3.857314529614625620e+00, 3.514883519593501315e+00, 2.459663765361933763e+00, 3.517038941883782410e+00, 3.269137036290344689e+00, 3.403381210429557768e+00, 2.891237138792798866e+00
2.059000000000000000e+03, 2.643378344877074237e+00, 4.480943647054471235e+00, 3.179972078785212375e+00, 4.217775082865530933e+00, 2.475683537269440126e+00, 3.212641392169057308e+00, 2.246514490568446654e+00, 2.323355093776954927e+00, 3.616456150752367815e+00, 3.738273123970083933e+00, 3.542366001683147747e+00, 2.460855940503561268e+00, 3.558347904693930364e+00, 2.998178286317433994e+00, 3.325121090853244255e+00, 2.905266413953981885e+00
2.060000000000000000e+03, 2.616402143433901095e+00, 4.481926415956075438e+00, 2.922920819225943045e+00, 4.344741396044170756e+00, 2.484024146625873897e+00, 3.339048667167876960e+00, 2.152461707699689697e+00, 2.263302680454858606e+00, 3.626127085617011581e+00, 3.739028075430345766e+00, 3.575859111183121719e+00, 2.484299883011203747e+00, 3.658747994935483749e+00, 2.834983951815079450e+00, 3.374437698914464878e+00, 2.895276930150378458e+00
2.061000000000000000e+03, 2.619838399908770654e+00, 4.487848701184066869e+00, 2.863298051883145234e+00, 4.230097931560488078e+00, 2.490458705319261945e+00, 3.296229104224456918e+00, 2.207447816315835531e+00, 2.247387419585479940e+00, 3.709531492389389395e+00, 3.850931300815298108e+00, 3.486498142244501608e+00, 2.505441592550902374e+00, 3.733079043425414856e+00, 2.846459493800722385e+00, 3.425531075770435585e+00, 2.912499878171169065e+00
2.062000000000000000e+03, 2.622879263764073432e+00, 4.483825154799601087e+00, 2.874397399413142207e+00, 4.481864523905846553e+00, 2.495420677422370392e+00, 3.024446233803902206e+00, 2.200001282076678777e+00, 2.449834458316371588e+00, 3.676376892997285761e+00, 3.846081826724599750e+00, 3.479503739747555890e+00, 2.534810006802084015e+00, 3.704595709910048829e+00, 3.002017438614655642e+00, 3.437645573789827047e+00, 2.938403341736360197e+00
2.063000000000000000e+03, 2.611334131666456226e+00, 4.484762474215560069e+00, 3.200692186960810925e+00, 4.507765417102106653e+00, 2.427528655732764218e+00, 3.036588607807269025e+00, 2.289229233602277702e+00, 2.412129348719743938e+00, 3.705384506943779410e+00, 3.883916761448932498e+00, 3.594921965578896650e+00, 2.521009333620629178e+00, 3.689761457857062776e+00, 3.157208501439727311e+00, 3.323634989249593108e+00, 2.945724149518313961e+00
2.064000000000000000e+03, 2.593237938624388672e+00, 4.486351831258105882e+00, 3.086979003140984723e+00, 4.484933601328557451e+00, 2.472568136270920647e+00, 3.249271452892737333e+00, 2.493773026737829301e+00, 2.364919907941266608e+00, 3.767712367701465670e+00, 3.936092084767409904e+00, 3.680195928892580515e+00, 2.462906046571331942e+00, 3.674503842732423031e+00, 3.199432272635889252e+00, 3.387235804336475198e+00, 2.926134833667072055e+00
2.065000000000000000e+03, 2.560956241824317026e+00, 4.481864251019455736e+00, 2.887516870735775232e+00, 4.425192158494739125e+00, 2.485937221403011765e+00, 3.356487869369668697e+00, 2.529342017582663971e+00, 2.362318493795532603e+00, 3.750621421558546054e+00, 3.860644073085999217e+00, 3.638317944658489456e+00, 2.503841014857575598e+00, 3.772399800675316328e+00, 3.069177643861740634e+00, 3.447643557957448035e+00, 2.950029912628528095e+00
