year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L
2.043000000000000000e+03, 2.966071282713701862e+02, 2.962463699198427776e+02, 2.965955795864202855e+02, 2.980005965992642700e+02, 2.954038330120510523e+02, 2.972435954339465525e+02, 2.976577480328713250e+02, 2.952696239055218825e+02, 2.965845800881618288e+02, 2.978515410211409176e+02, 2.950164894674907714e+02, 2.986098870693678577e+02, 2.975988968744439376e+02, 2.954837015752219145e+02, 2.952116831141448188e+02, 2.970704248844124322e+02
2.044000000000000000e+03, 2.958867332413483382e+02, 2.957227771435940440e+02, 2.965958567813273703e+02, 2.982132108116148856e+02, 2.954970848144513411e+02, 2.969688134280760323e+02, 2.969600231823758918e+02, 2.959212882817624859e+02, 2.969550408651392104e+02, 2.977184158161539358e+02, 2.951078358182592751e+02, 2.984577585843873067e+02, 2.975604164468714998e+02, 2.959506645618410516e+02, 2.952818539823821311e+02, 2.969790815422363153e+02
2.045000000000000000e+03, 2.962365104691784268e+02, 2.957944022148431031e+02, 2.965291086979206057e+02, 2.971877987514381516e+02, 2.962499844381736125e+02, 2.972542666898631296e+02, 2.968696171885850390e+02, 2.961258281300530371e+02, 2.970274457874264158e+02, 2.974736407418146769e+02, 2.951341610641794091e+02, 2.990060139738108091e+02, 2.977044093409308516e+02, 2.959356158406719715e+02, 2.949451871901931668e+02, 2.974695990064601574e+02
2.046000000000000000e+03, 2.961370048264095090e+02, 2.960751108825504048e+02, 2.965273026086966865e+02, 2.969289975821469625e+02, 2.960775164327116613e+02, 2.973841866404347911e+02, 2.968011087732616602e+02, 2.959145124484006715e+02, 2.964973150051980042e+02, 2.982216568787338815e+02, 2.951084709194110474e+02, 2.985282536633970949e+02, 2.985078477364921810e+02, 2.961588879810194044e+02, 2.954245584584680842e+02, 2.984848476000349820e+02
2.047000000000000000e+03, 2.966476309865078633e+02, 2.960587618449516185e+02, 2.975166333597313724e+02, 2.972636479945920200e+02, 2.961029359723135030e+02, 2.968183511112088695e+02, 2.969621528975128513e+02, 2.955227564243289180e+02, 2.968833840347816704e+02, 2.983380694040137087e+02, 2.953962158930070814e+02, 2.978377979580073998e+02, 2.982369240290171319e+02, 2.963295695568391466e+02, 2.956042743555761376e+02, 2.975231099313117511e+02
2.048000000000000000e+03, 2.964372397499587350e+02, 2.959419917612849531e+02, 2.964603912842367777e+02, 2.979156223356295641e+02, 2.965755737046288800e+02, 2.973234456340737211e+02, 2.972173440193616898e+02, 2.955307198039083119e+02, 2.971495864615675941e+02, 2.982693068972592982e+02, 2.954738187991450786e+02, 2.988251892934211469e+02, 2.982402628393286363e+02, 2.960214542514474374e+02, 2.953354983990524261e+02, 2.971968714590441323e+02
2.049000000000000000e+03, 2.968273276739338939e+02, 2.967775190568984840e+02, 2.962430168536511701e+02, 2.982305070325651855e+02, 2.958206672349738255e+02, 2.978311508763839015e+02, 2.977387939391580858e+02, 2.959652262862821317e+02, 2.965143077888172343e+02, 2.981968797033588885e+02, 2.950905054877046609e+02, 2.991966769650863398e+02, 2.983305358764002335e+02, 2.965490756064988886e+02, 2.952751012305507174e+02, 2.977780371997871498e+02
2.050000000000000000e+03, 2.968738363641780893e+02, 2.962716456774752487e+02, 2.966678844293836050e+02, 2.977105088170985141e+02, 2.958586285651676917e+02, 2.970988211820102265e+02, 2.976279706915790939e+02, 2.952627465973149015e+02, 2.964078917281204326e+02, 2.982540685890991767e+02, 2.955956697678703335e+02, 3.003441222837726059e+02, 2.985399733020113899e+02, 2.963710027637348503e+02, 2.954100513777784158e+02, 2.988413191313715060e+02
2.051000000000000000e+03, 2.964790374580117600e+02, 2.960052723550708151e+02, 2.973301966727656236e+02, 2.975071471803874488e+02, 2.965012329582329471e+02, 2.975088732190599217e+02, 2.968650524290027306e+02, 2.952727350815505929e+02, 2.967175206240243597e+02, 2.982818823304754687e+02, 2.951596104812666113e+02, 2.990475852984687890e+02, 2.978532144767727914e+02, 2.966687549390719028e+02, 2.953713969105103274e+02, 2.975874944746760207e+02
2.052000000000000000e+03, 2.965412258879302385e+02, 2.964789141888173845e+02, 2.969946209510587778e+02, 2.980750770712932649e+02, 2.958070232680390177e+02, 2.978371540405883593e+02, 2.968748561358696634e+02, 2.952851191731148219e+02, 2.973310764927587115e+02, 2.985632725004975327e+02, 2.954745764297612141e+02, 2.983047430823502282e+02, 2.981614031016015929e+02, 2.968946722980926438e+02, 2.955380760944170788e+02, 2.970694417075062574e+02
2.053000000000000000e+03, 2.969312170185214086e+02, 2.963044880014438718e+02, 2.968731082812906266e+02, 2.985920380630741420e+02, 2.959569924553481428e+02, 2.972352365659832572e+02, 2.974070512223187279e+02, 2.952979916412804187e+02, 2.975725417281751106e+02, 2.987321300021399679e+02, 2.955570405914738217e+02, 2.990951628234456621e+02, 2.982784688107277020e+02, 2.965943271835865289e+02, 2.954243487657365108e+02, 2.973021962955746744e+02
2.054000000000000000e+03, 2.961430897946883078e+02, 2.960038917882915825e+02, 2.969050992566939158e+02, 2.981584375976839851e+02, 2.959931890350998742e+02, 2.968144172436779513e+02, 2.974930577868441333e+02, 2.955908293018719064e+02, 2.973855242053219285e+02, 2.986537894163678857e+02, 2.953835975913795551e+02, 2.991878391328506268e+02, 2.976836185140442694e+02, 2.961112957649237956e+02, 2.952010925492771207e+02, 2.979571504626045453e+02
2.055000000000000000e+03, 2.962673043031415432e+02, 2.965746688587159383e+02, 2.969525367141606580e+02, 2.975378208546687233e+02, 2.952024230443609554e+02, 2.977306902820328673e+02, 2.973627788613248413e+02, 2.960334653948557957e+02, 2.971600300221163593e+02, 2.986039842976060186e+02, 2.954263102434957773e+02, 2.987709280490241213e+02, 2.979507862995775440e+02, 2.967622082692070080e+02, 2.956854181156188019e+02, 2.984458759410317725e+02
2.056000000000000000e+03, 2.967259019694910194e+02, 2.957154510186903167e+02, 2.975859177672820692e+02, 2.976554502434887581e+02, 2.961274270634729078e+02, 2.977225437193708331e+02, 2.975958176563476627e+02, 2.963295184462208454e+02, 2.973589548796269924e+02, 2.991341174412994519e+02, 2.954388931629767399e+02, 2.988072536335692462e+02, 2.975591026734282423e+02, 2.965549265497309079e+02, 2.954770752054211584e+02, 2.980259640954087104e+02
2.057000000000000000e+03, 2.968034736605388844e+02, 2.963137247768145812e+02, 2.977649120319381950e+02, 2.977455204853077362e+02, 2.964264770988294231e+02, 2.977763286757784158e+02, 2.974994374545634628e+02, 2.958005433858099877e+02, 2.977158381851040190e+02, 2.992108282359992018e+02, 2.954891943772797163e+02, 2.994600588633098255e+02, 2.984654041362899761e+02, 2.963307092207923574e+02, 2.954635609577773039e+02, 2.975192609828395689e+02
2.058000000000000000e+03, 2.968033276452052291e+02, 2.963871988686689747e+02, 2.968713058334334391e+02, 2.981288813547510017e+02, 2.962938478692963713e+02, 2.981891378019232661e+02, 2.981919758483483633e+02, 2.951157493374996648e+02, 2.982043988417161700e+02, 2.992543027809702494e+02, 2.954754408328300883e+02, 2.996432432009938225e+02, 2.989293823407668356e+02, 2.968760010426520921e+02, 2.956115120131815956e+02, 2.982849559500539272e+02
2.059000000000000000e+03, 2.972142962894727134e+02, 2.959432971680859055e+02, 2.965958661549387330e+02, 2.980516701919137290e+02, 2.960633240978894491e+02, 2.982546206001470637e+02, 2.972712279823456356e+02, 2.959216823305046660e+02, 2.983876743839454662e+02, 2.988769098284824963e+02, 2.955266333045515239e+02, 2.998501715924825248e+02, 2.985416069970692661e+02, 2.966586882602284163e+02, 2.957068551957013369e+02, 2.987637299780094509e+02
2.060000000000000000e+03, 2.976096787859321466e+02, 2.966888007761347694e+02, 2.972639120163589723e+02, 2.987566510788672645e+02, 2.968507330592324820e+02, 2.976870641001714830e+02, 2.973049507594955685e+02, 2.964621042680936966e+02, 2.974980486793967316e+02, 2.993980783322449497e+02, 2.956989206863879645e+02, 3.003521187215882264e+02, 2.982093428985187984e+02, 2.963984742605587144e+02, 2.956849353108462992e+02, 2.977951351198055931e+02
2.061000000000000000e+03, 2.970039534666738632e+02, 2.962179373164667027e+02, 2.971392464009334162e+02, 2.990058640874813705e+02, 2.966907316970269903e+02, 2.981054822324847464e+02, 2.977304250258079605e+02, 2.966652230012248310e+02, 2.974991484617330002e+02, 2.991413231119943248e+02, 2.954671144896474289e+02, 2.996684067576194934e+02, 2.985837928493594973e+02, 2.966074787972822833e+02, 2.957550293526822429e+02, 2.973590502130793425e+02
2.062000000000000000e+03, 2.962921564119668574e+02, 2.967375323021090594e+02, 2.968395187646960380e+02, 2.984439459233382195e+02, 2.965997353453253140e+02, 2.983230689299857659e+02, 2.981513667626879851e+02, 2.961526450791031380e+02, 2.982152089041401837e+02, 2.994354062764089690e+02, 2.954916391129597173e+02, 2.991912901979945332e+02, 2.989137640740522670e+02, 2.970867480912999099e+02, 2.958681450688368955e+02, 2.977678202483872383e+02
2.063000000000000000e+03, 2.966857447229207310e+02, 2.968038097452038073e+02, 2.964986778726002399e+02, 2.983336680064776942e+02, 2.961870992894562846e+02, 2.979539415872450832e+02, 2.973078242679600862e+02, 2.957919062682997833e+02, 2.983140889640973228e+02, 2.986684042020597190e+02, 2.956588469961308192e+02, 2.998336225047957555e+02, 2.987720092244589409e+02, 2.972807292737706462e+02, 2.961168561880649577e+02, 2.983625027000823025e+02
