year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM
2.025000000000000000e+03, 1.467619493454624191e+01, 5.188338603339484045e+00, 3.550649299087312727e+01, 2.823952141302926222e+01, 2.102923265463949321e+01, 6.870915515227519421e+00, 5.306177171327761677e+00, 6.345401262632249129e+00, 7.827299591208412011e+00, 3.492716000340467986e+01, 2.160309748803356023e+00, 5.588934293997566982e+01, 5.421422502934054144e+00
2.026000000000000000e+03, 1.465002712227661164e+01, 5.237647035501150405e+00, 3.546304326490812997e+01, 2.791373456743355774e+01, 2.099832778172699577e+01, 7.038460535667443452e+00, 5.276242370764963496e+00, 6.509025710136960186e+00, 8.087810783633278433e+00, 3.527616887800952838e+01, 2.528752686113238557e+00, 5.585622721599725082e+01, 5.271147041132883793e+00
2.027000000000000000e+03, 1.471875990912391785e+01, 5.344963553402357626e+00, 3.548894129615587900e+01, 2.797406909611511239e+01, 2.101117188730492558e+01, 7.003758805171554691e+00, 5.259351285114801655e+00, 6.622259643631506876e+00, 8.043791965507828934e+00, 3.524342385921455190e+01, 2.301763693801962773e+00, 5.616858449812238518e+01, 5.290360986503753971e+00
2.028000000000000000e+03, 1.517008862213167752e+01, 5.288231612532781512e+00, 3.532914261587007587e+01, 2.794242763036296751e+01, 2.090632632644511801e+01, 6.905069221270017543e+00, 5.287019990602665587e+00, 6.696145721059300726e+00, 8.296944049000105181e+00, 3.514181693250010596e+01, 2.089227158478251134e+00, 5.672040803167566025e+01, 5.394992124936816680e+00
2.029000000000000000e+03, 1.483944400325405510e+01, 5.332274170168644467e+00, 3.547930690026112899e+01, 2.787690924193565678e+01, 2.084687375487247607e+01, 6.747622686295534855e+00, 5.383766250429054878e+00, 6.532135386845276059e+00, 8.663958528024828354e+00, 3.512699473216807888e+01, 2.184573236187608014e+00, 5.638081159932239927e+01, 5.533313515746403510e+00
2.030000000000000000e+03, 1.482830247262650403e+01, 5.282736089567531934e+00, 3.542837436156229813e+01, 2.765048039106456912e+01, 2.082387165287437725e+01, 6.812103330550186797e+00, 5.487509755855223936e+00, 6.648931754076014222e+00, 8.294371685697969454e+00, 3.538929157061455300e+01, 2.339587913579761036e+00, 5.607026403184966767e+01, 5.486580303520915969e+00
2.031000000000000000e+03, 1.508959220697704140e+01, 5.336826430145551470e+00, 3.556349432871779470e+01, 2.785608382762205082e+01, 2.090815463010303077e+01, 6.914711696131121244e+00, 5.418815602926613906e+00, 6.586241788524712426e+00, 8.173172068999662088e+00, 3.554043729746637581e+01, 2.265989122615587714e+00, 5.650535551570705195e+01, 5.598678342261375285e+00
2.032000000000000000e+03, 1.554536353096547252e+01, 5.529749177024724460e+00, 3.549227893303081771e+01, 2.812527359463042131e+01, 2.099274214417600959e+01, 6.923051489379896672e+00, 5.325741119297880743e+00, 6.400795168438022209e+00, 8.740623316822471622e+00, 3.537048698852415640e+01, 2.227597586091917048e+00, 5.668213773163442681e+01, 5.537471160313514495e+00
2.033000000000000000e+03, 1.562209296158584948e+01, 5.404162946027279091e+00, 3.556504475851836844e+01, 2.821022435681722129e+01, 2.118115794323848888e+01, 6.940280531971622757e+00, 5.407468739415367764e+00, 6.445296882848902342e+00, 8.254005981566798766e+00, 3.534229938415036543e+01, 2.232051410231998823e+00, 5.690912507025143441e+01, 5.448916428310509374e+00
2.034000000000000000e+03, 1.546919251154972308e+01, 5.461792082301824003e+00, 3.559449230704825595e+01, 2.764485385262067751e+01, 2.113587449123515327e+01, 6.924901669566653872e+00, 5.435514097507296860e+00, 6.656543213725890418e+00, 8.262861329269567179e+00, 3.561259339127532542e+01, 2.159623432208677585e+00, 5.699106962358207795e+01, 5.472388976145018624e+00
2.035000000000000000e+03, 1.559531116376359705e+01, 5.424414556527585418e+00, 3.532118029415494931e+01, 2.739363218039781955e+01, 2.130115405578660415e+01, 6.943567722118131336e+00, 5.422517880419357006e+00, 6.608450979709810547e+00, 8.756663430747989807e+00, 3.584785871498674936e+01, 2.271961552429178965e+00, 5.706344754827242127e+01, 5.613664717965440865e+00
2.036000000000000000e+03, 1.596692757373304694e+01, 5.402968094332292637e+00, 3.537276873378162634e+01, 2.730080516844061833e+01, 2.124414850324989246e+01, 6.943405073041314601e+00, 5.403907936372068121e+00, 6.499677475662328341e+00, 8.637741234336273166e+00, 3.584917632716921077e+01, 2.304320307970054049e+00, 5.721991430053686400e+01, 5.729874447093518341e+00
2.037000000000000000e+03, 1.594484818571776863e+01, 5.508780303617050400e+00, 3.563576914995388023e+01, 2.742752130646271880e+01, 2.117993532339977847e+01, 6.729487729157048292e+00, 5.569159284442182667e+00, 6.368009395581419874e+00, 8.494820436971345146e+00, 3.580113306100882653e+01, 2.393938970198146610e+00, 5.735904623395128965e+01, 5.676331441567673330e+00
2.038000000000000000e+03, 1.533202319755442566e+01, 5.572680856467183474e+00, 3.561979092299375083e+01, 2.734268533462324413e+01, 2.109710513480882810e+01, 6.647293200003923985e+00, 5.565451348863954095e+00, 6.547101889768183192e+00, 8.432687025082104881e+00, 3.576717476401766049e+01, 2.111171714494199492e+00, 5.732661335364841904e+01, 5.568627521562314442e+00
2.039000000000000000e+03, 1.551338232782715920e+01, 5.556084424832655522e+00, 3.580193240514353903e+01, 2.701886945569849274e+01, 2.112993638671360941e+01, 6.814834101065069483e+00, 5.572474232982901121e+00, 6.462367612679871698e+00, 8.595530898820459953e+00, 3.582790014340592677e+01, 2.142859411054169883e+00, 5.714084737957631432e+01, 5.760210171486726871e+00
2.040000000000000000e+03, 1.537007908777215981e+01, 5.556218104609878417e+00, 3.584277105208271763e+01, 2.736107387446973505e+01, 2.112238179342988786e+01, 6.881650861946525310e+00, 5.616059463917696171e+00, 6.496128645178210093e+00, 8.822806523278524438e+00, 3.622833160022757681e+01, 2.209296854673365118e+00, 5.707314554470883650e+01, 5.783004115537822010e+00
2.041000000000000000e+03, 1.542529667994818610e+01, 5.526619505474733351e+00, 3.590328905941166227e+01, 2.772320805607699157e+01, 2.122927999261195353e+01, 7.013504391929484605e+00, 5.546743213222222302e+00, 6.687165890085156938e+00, 8.609082755274569010e+00, 3.652216332364228890e+01, 2.356121613529055026e+00, 5.747778212639856577e+01, 5.831073058427318934e+00
2.042000000000000000e+03, 1.564395878606555890e+01, 5.488315288996330921e+00, 3.599198243741363967e+01, 2.746063168037651181e+01, 2.130285529212156703e+01, 7.058608705548509832e+00, 5.643878960806093303e+00, 6.977562391545462539e+00, 8.790968148417109163e+00, 3.646205491191809500e+01, 2.323403799345120202e+00, 5.765761654648833456e+01, 5.581930327463279440e+00
2.043000000000000000e+03, 1.581113984495805092e+01, 5.554187568217758830e+00, 3.593193450224764263e+01, 2.702345374606834838e+01, 2.135348375182434566e+01, 7.081602602757037346e+00, 5.796449073604490465e+00, 6.835854323908210795e+00, 8.718781007669788252e+00, 3.639190097886348951e+01, 2.162918506453451073e+00, 5.805309326153704319e+01, 5.754763111604487058e+00
2.044000000000000000e+03, 1.610373871084588515e+01, 5.667955308504607714e+00, 3.578766087711994714e+01, 2.727880637544709685e+01, 2.144963134192674659e+01, 7.097402114563673869e+00, 5.645519977356892483e+00, 6.772223125201708882e+00, 8.286098974897942782e+00, 3.668257236725073511e+01, 2.345233119434675828e+00, 5.863308905181342112e+01, 5.839429008726900072e+00
2.045000000000000000e+03, 1.613243336581665588e+01, 5.657016288218041034e+00, 3.569943483714423138e+01, 2.742896813473249296e+01, 2.144222721143418653e+01, 7.146233324371165097e+00, 5.681645129390107130e+00, 6.777817793589407280e+00, 8.830460705949501943e+00, 3.687117497522637422e+01, 2.230188965164147774e+00, 5.849462875595962430e+01, 5.832489158955878494e+00
2.046000000000000000e+03, 1.607103722320227845e+01, 5.725004520506019823e+00, 3.561048407990109865e+01, 2.724482919936260217e+01, 2.144265603984768376e+01, 7.151878253562629517e+00, 5.542380792974372916e+00, 6.732124736415197930e+00, 8.997403873526680584e+00, 3.693618362131662991e+01, 2.234072435245148203e+00, 5.782027447074226245e+01, 5.827723906926761899e+00
2.047000000000000000e+03, 1.568268430860182505e+01, 5.823921831223074719e+00, 3.555026328693054438e+01, 2.722268958441303610e+01, 2.145408650795001648e+01, 7.052214545878886298e+00, 5.675089014206663229e+00, 6.641834710200366310e+00, 9.091652312437219052e+00, 3.686064345167333300e+01, 2.100738155973143062e+00, 5.774143878018693954e+01, 5.848069438777989681e+00
2.048000000000000000e+03, 1.615505249864675719e+01, 5.870505690249949282e+00, 3.552502047975942645e+01, 2.702964311881127202e+01, 2.131246089852407621e+01, 6.956164747036318374e+00, 5.655067363383841084e+00, 6.587424433477733210e+00, 8.838895891741303856e+00, 3.731694515694920966e+01, 2.207466965715624063e+00, 5.819183513287592291e+01, 5.960378850631361303e+00
2.049000000000000000e+03, 1.647479285118177827e+01, 5.695187631068052703e+00, 3.580423835524812404e+01, 2.641768708066805260e+01, 2.131130205192254223e+01, 6.859879560723255665e+00, 5.717945595567915262e+00, 6.365186900981347762e+00, 8.627574742588036472e+00, 3.765804510000694449e+01, 2.298184095363037471e+00, 5.819998901142544412e+01, 5.837599368697313551e+00
2.050000000000000000e+03, 1.645718047861591415e+01, 5.775285838068106692e+00, 3.544682061514802740e+01, 2.631634034703961333e+01, 2.134538083669150055e+01, 6.884800977762921548e+00, 5.717952070423929278e+00, 6.301298712099886679e+00, 8.527774563645186490e+00, 3.760845468131351765e+01, 2.348566400419850098e+00, 5.817078022800573933e+01, 5.935365184658548898e+00
2.051000000000000000e+03, 1.602983086433789950e+01, 5.798958750694622744e+00, 3.533659816557629796e+01, 2.572522300848631716e+01, 2.133258737567228991e+01, 6.905770758315587621e+00, 5.756914012950765880e+00, 6.366688839156549484e+00, 8.926991673412040029e+00, 3.744119438672520062e+01, 2.291278859429123571e+00, 5.797992071631723121e+01, 6.042959985853885385e+00
2.052000000000000000e+03, 1.578184178982883168e+01, 5.995170984009970283e+00, 3.546006326758515570e+01, 2.448690150422471135e+01, 2.123008724559917582e+01, 6.768167091193951102e+00, 5.761131098259068217e+00, 6.474603581851281930e+00, 8.927298649445512879e+00, 3.728748200919496014e+01, 2.361166345390746546e+00, 5.815882148826148068e+01, 6.132768987370750935e+00
2.053000000000000000e+03, 1.640392754383736218e+01, 6.085528231099380569e+00, 3.518572226825381932e+01, 2.444932441961095293e+01, 2.125313533656736809e+01, 6.691702769333575773e+00, 5.792204389305170231e+00, 6.511647104055287905e+00, 8.688648162363664440e+00, 3.755924798531705733e+01, 2.256593044467800180e+00, 5.843752802349949604e+01, 5.935371322193478072e+00
2.054000000000000000e+03, 1.650911768002415769e+01, 5.901780886589547137e+00, 3.535474960082733986e+01, 2.441417799174671899e+01, 2.132958567557559348e+01, 6.677435507634047696e+00, 5.941812936281836599e+00, 6.634964851623813331e+00, 8.749210578150913520e+00, 3.781008258406644273e+01, 2.087739338028684610e+00, 5.865242718367120034e+01, 5.992614354029305979e+00
2.055000000000000000e+03, 1.662793854278845629e+01, 5.886586998743772448e+00, 3.515366637559229446e+01, 2.465962101067691137e+01, 2.139204188465360801e+01, 6.643642474880980586e+00, 6.006447586487813517e+00, 6.775466723977726424e+00, 9.109027730728939787e+00, 3.741517647982797001e+01, 2.241477489884772911e+00, 5.886729537350678498e+01, 6.219807567306996354e+00
2.056000000000000000e+03, 1.642058228375823958e+01, 5.977291808497031234e+00, 3.523896108062801602e+01, 2.556682373262261621e+01, 2.131662649876050963e+01, 6.593120699004972884e+00, 5.802116462597433078e+00, 6.627016082426480104e+00, 9.037528164562505850e+00, 3.717168132145980053e+01, 2.230756149209159656e+00, 5.885810051932494957e+01, 6.180583049525611550e+00
2.057000000000000000e+03, 1.666740972046336822e+01, 6.282877201071146445e+00, 3.541851175073644953e+01, 2.606233208038766591e+01, 2.136508158406327595e+01, 6.474826494535529164e+00, 5.794303950396643366e+00, 6.580990254855592525e+00, 9.125023314912477090e+00, 3.748500593462171793e+01, 2.325910249745243075e+00, 5.868168567898344889e+01, 6.183603695277491319e+00
2.058000000000000000e+03, 1.688144476296244889e+01, 6.139017268647688930e+00, 3.529325294599808416e+01, 2.632675165165152720e+01, 2.139764014853640717e+01, 6.293853610917306440e+00, 5.928626545894347899e+00, 6.613920423035986040e+00, 8.811053446198151562e+00, 3.770506052991841983e+01, 2.129443437853765442e+00, 5.861445732900334349e+01, 6.005182676672274233e+00
2.059000000000000000e+03, 1.681520451911343272e+01, 6.044999364866611380e+00, 3.544370346272475558e+01, 2.641776972148289104e+01, 2.140599859704762054e+01, 6.257752260207136707e+00, 6.029792033079641733e+00, 6.531396645293526149e+00, 8.659447909908223551e+00, 3.758379347181178076e+01, 2.221717386975867736e+00, 5.920751462265187115e+01, 6.090049172458741999e+00
2.060000000000000000e+03, 1.713563222103673667e+01, 6.194627478687210420e+00, 3.538258962583590517e+01, 2.613079025357163232e+01, 2.141837867334312406e+01, 6.174516188187173071e+00, 5.972357575377476024e+00, 6.313074245490681413e+00, 9.239871719074331580e+00, 3.719564094465516035e+01, 2.201099051786412186e+00, 5.930495811821938190e+01, 6.159993273149473758e+00
2.061000000000000000e+03, 1.730630360915369437e+01, 6.171571115570431587e+00, 3.547515606578375014e+01, 2.529750300285017062e+01, 2.142265436566893655e+01, 6.169111345806052249e+00, 6.018661007157477982e+00, 6.388545453829809873e+00, 9.018842328052871338e+00, 3.742379501070375625e+01, 2.188378092963171540e+00, 5.923159192480152768e+01, 6.138888513489791698e+00
2.062000000000000000e+03, 1.662910763052386542e+01, 6.106358894435198970e+00, 3.539394330984809756e+01, 2.372577226967007391e+01, 2.138221467910206641e+01, 6.161991073263569874e+00, 5.988769848287216035e+00, 6.579714061944854642e+00, 8.781876761279523436e+00, 3.768349533133352480e+01, 2.179712673267297340e+00, 5.911491064567479725e+01, 6.157411814635473490e+00
2.063000000000000000e+03, 1.665348205931820758e+01, 6.194581156987487347e+00, 3.530253467051970517e+01, 2.333050695074953396e+01, 2.131532093058165955e+01, 6.214442433205896066e+00, 5.944732586923130668e+00, 6.743918480049904574e+00, 9.615025248169407845e+00, 3.743771668997616331e+01, 2.047451694223936247e+00, 5.875399675011198042e+01, 6.253090003917359141e+00
2.064000000000000000e+03, 1.699615653602607779e+01, 6.268198917158914085e+00, 3.533355301807163329e+01, 2.381448347073069982e+01, 2.127591168283997547e+01, 6.449603564761036800e+00, 5.989406906945908382e+00, 6.799848175223027091e+00, 9.204973197027124243e+00, 3.744420491286039976e+01, 2.311669718046681421e+00, 5.886473849778098355e+01, 6.386331940870134005e+00
2.065000000000000000e+03, 1.708256279091416374e+01, 6.417337389826517580e+00, 3.522794186497252866e+01, 2.383544511608096883e+01, 2.122279313142305668e+01, 6.538056327094024844e+00, 6.039071244015403295e+00, 6.779053283336556213e+00, 8.724386706847880646e+00, 3.778520260521606389e+01, 2.312472626034142831e+00, 5.930777298089760308e+01, 6.236113475109791082e+00
2.066000000000000000e+03, 1.681856494406990166e+01, 6.217197646439057479e+00, 3.521989240360844775e+01, 2.374577106590683684e+01, 2.121245035353816988e+01, 6.574196962996738058e+00, 6.130592005473918249e+00, 6.811028855422931905e+00, 9.130149348407439192e+00, 3.818774460502058332e+01, 2.111920541728163236e+00, 5.951537688292706463e+01, 6.123782229120175558e+00
2.067000000000000000e+03, 1.711521676246217183e+01, 6.203098373347565087e+00, 3.508541822949930378e+01, 2.430652802711059479e+01, 2.123657389531882700e+01, 6.383619483088757818e+00, 6.188858064218909938e+00, 6.813005625406884924e+00, 9.402343450404947234e+00, 3.801534437479398321e+01, 2.303593107641749516e+00, 5.974292965779883957e+01, 6.180109684991456298e+00
2.068000000000000000e+03, 1.753156233317455914e+01, 6.253378241603073207e+00, 3.506585028884355637e+01, 2.466723802892134998e+01, 2.121565330742376432e+01, 6.348521324647245834e+00, 6.278447563432759004e+00, 6.457994263383324274e+00, 9.120710166593189783e+00, 3.782857618330505289e+01, 2.387925732216094055e+00, 5.997169827558143140e+01, 6.343847586842731978e+00
2.069000000000000000e+03, 1.695380701254804379e+01, 6.292280879725280052e+00, 3.499003244790412737e+01, 2.422595674690308698e+01, 2.120516866879452067e+01, 6.273060699593221656e+00, 6.214860624967172953e+00, 6.426525653375053437e+00, 8.893804952387062812e+00, 3.809844695827509753e+01, 2.240389622482649834e+00, 5.970514478273001657e+01, 6.424641537127090629e+00
2.070000000000000000e+03, 1.728886796434564133e+01, 6.407028168015008518e+00, 3.494405408413926750e+01, 2.375941358580718443e+01, 2.127711187917112312e+01, 6.246982052277914477e+00, 6.270416081751704951e+00, 6.604186403513917725e+00, 9.810414000644469112e+00, 3.835837589834921602e+01, 2.106976534974195125e+00, 5.998343134712452240e+01, 6.241624746695830339e+00
2.071000000000000000e+03, 1.745403411429580842e+01, 6.519595022860137590e+00, 3.521338791542149238e+01, 2.434410540876887197e+01, 2.125568457326514249e+01, 6.187348180013735544e+00, 6.123835264491024333e+00, 6.819076329918562607e+00, 9.645704978676974406e+00, 3.851728061743609999e+01, 2.239470933741257497e+00, 6.005078372545396803e+01, 6.391122925077868722e+00
2.072000000000000000e+03, 1.738643635502762308e+01, 6.517882192108637618e+00, 3.508511773492939056e+01, 2.466315440834877393e+01, 2.123335038957439025e+01, 6.171436648179389195e+00, 6.167951909218040818e+00, 6.868820411076249854e+00, 9.537049171465898922e+00, 3.839828300168154129e+01, 2.169037740051183771e+00, 5.968261825495898876e+01, 6.377640646766509214e+00
2.073000000000000000e+03, 1.719963742670616824e+01, 6.385062661519195437e+00, 3.517585210443809984e+01, 2.438557956026915718e+01, 2.122385282437810972e+01, 6.069548688113895807e+00, 6.209358239082455988e+00, 6.727330046195624469e+00, 9.507584837267298639e+00, 3.872896587413713831e+01, 2.197914921188906412e+00, 6.027360905822435200e+01, 6.611636461864984327e+00
2.074000000000000000e+03, 1.753788561210350494e+01, 6.298012046877881076e+00, 3.490848893600223590e+01, 2.403567360732592206e+01, 2.117405883341786677e+01, 5.879377035812241914e+00, 6.309290859727054723e+00, 6.772733732061006151e+00, 9.549195156833933495e+00, 3.892017617012732700e+01, 2.086400442089038965e+00, 6.077683265947417368e+01, 6.545205716032926446e+00
2.075000000000000000e+03, 1.759747125777178312e+01, 6.519220153630898018e+00, 3.466883356134152194e+01, 2.422602558965909836e+01, 2.104623307889202266e+01, 5.919326403838879536e+00, 6.310601033300459406e+00, 6.662015440081678896e+00, 9.489530056893576315e+00, 3.894742446576706385e+01, 2.019686533065324863e+00, 6.016247783890590739e+01, 6.402410768118855344e+00
2.076000000000000000e+03, 1.739330098045441275e+01, 6.579227638547524570e+00, 3.489302597465977129e+01, 2.453518748090285939e+01, 2.109186127550045242e+01, 6.038492191509024387e+00, 6.346292233567659480e+00, 6.499702090325430781e+00, 9.380847707550756809e+00, 3.880371055184595264e+01, 2.151089524633114980e+00, 5.986203322639089919e+01, 6.508898237388526020e+00
2.077000000000000000e+03, 1.853087249407441206e+01, 6.483193967347763653e+00, 3.468531889059646289e+01, 2.510522410966829199e+01, 2.108780622971520202e+01, 5.935719670086625932e+00, 6.524630756398302367e+00, 6.530100114845604153e+00, 9.604295240141267342e+00, 3.883916430107194628e+01, 2.043101139666857691e+00, 5.996864158490433994e+01, 6.504764338296182835e+00
2.078000000000000000e+03, 1.824291335491087906e+01, 6.569145946664105118e+00, 3.464524312335070988e+01, 2.569808370882791237e+01, 2.115690929494029149e+01, 5.708398358846881848e+00, 6.518985071901201245e+00, 6.531817659963088829e+00, 9.649459450919316339e+00, 3.921006484574392914e+01, 2.192357441542075680e+00, 6.000985292070964050e+01, 6.528433109361530207e+00
2.079000000000000000e+03, 1.851838786804636072e+01, 6.784341365011782976e+00, 3.465470714742561142e+01, 2.587382476389246477e+01, 2.098501682911228627e+01, 5.612385115590464046e+00, 6.395690588909256569e+00, 6.499838267796973490e+00, 9.702487461083988407e+00, 3.955104647833919529e+01, 2.147318898939989396e+00, 6.071171590142273544e+01, 6.603582383305981018e+00
2.080000000000000000e+03, 1.776428019598588648e+01, 6.885598350561193293e+00, 3.455260735743060962e+01, 2.618349485394807630e+01, 2.109241345129505874e+01, 5.762321723924295647e+00, 6.363970889527548636e+00, 6.292436490316537956e+00, 9.436852403050691507e+00, 3.960900659577940530e+01, 2.053402374060333546e+00, 6.107009334263739930e+01, 6.704616069668474232e+00
2.081000000000000000e+03, 1.787367229040949113e+01, 6.788346816931715821e+00, 3.434396770671918375e+01, 2.659004296676781465e+01, 2.109398492493101784e+01, 5.753043596741687971e+00, 6.521724436335174069e+00, 6.353038955201702365e+00, 8.895847091079291502e+00, 3.949033614032259010e+01, 2.078819406507184553e+00, 6.096295615649597721e+01, 6.709814630875402308e+00
2.082000000000000000e+03, 1.816114937603759216e+01, 6.775738092915261745e+00, 3.423669563295462126e+01, 2.628174892797484929e+01, 2.107689957333703390e+01, 5.811375422452396577e+00, 6.493430934349735395e+00, 6.514888612096451759e+00, 9.647744261497393836e+00, 3.942555687022884570e+01, 2.181203873997584974e+00, 6.070580467271788194e+01, 6.668823475155114977e+00
2.083000000000000000e+03, 1.767153032224955567e+01, 6.863129766689461064e+00, 3.425512780851878603e+01, 2.593926716867489901e+01, 2.105712270352807636e+01, 5.814945364257069649e+00, 6.507258711016485897e+00, 6.467578039906801912e+00, 9.938603426339161828e+00, 3.970317075743604818e+01, 2.337528061691378944e+00, 6.046025066662652847e+01, 6.670307535348812600e+00
2.084000000000000000e+03, 1.789175898112009477e+01, 6.834178624161082460e+00, 3.403139621666844050e+01, 2.587201814001192801e+01, 2.098555014346561620e+01, 5.632692812589903397e+00, 6.656508207497861207e+00, 6.418034649794886803e+00, 1.000546355428213197e+01, 3.995368467954413205e+01, 2.064582077090369783e+00, 6.043025079292415569e+01, 6.564403108450953539e+00
2.085000000000000000e+03, 1.816914651592351504e+01, 6.823656550562992251e+00, 3.384769432327756533e+01, 2.526392821512017761e+01, 2.086145120110196061e+01, 5.679340168282126733e+00, 6.699197621299935790e+00, 6.341121743653752141e+00, 9.495852821801628707e+00, 3.988653480158554743e+01, 1.922240164158928399e+00, 6.069049513294662290e+01, 6.782289130537046518e+00
2.086000000000000000e+03, 1.830631903489042145e+01, 6.693190950993277433e+00, 3.373983857920188711e+01, 2.401609311363036170e+01, 2.081637964990466827e+01, 5.689458803701924694e+00, 6.561060915020588524e+00, 6.351026894922327415e+00, 9.374931399023544998e+00, 3.941177676863082979e+01, 2.154402450590680917e+00, 6.048560787007559014e+01, 6.896585074029404794e+00
2.087000000000000000e+03, 1.834967797051920257e+01, 6.961653826110050680e+00, 3.369810835107566049e+01, 2.240105415011274914e+01, 2.081163305909306871e+01, 5.757277235620025024e+00, 6.501891272529864985e+00, 6.389158879454388540e+00, 9.589333183691795881e+00, 3.938937526371331188e+01, 2.344166416517163842e+00, 6.046356848742941992e+01, 6.986148902161515295e+00
2.088000000000000000e+03, 1.842980845900268605e+01, 7.008781323495997029e+00, 3.362881395750247293e+01, 2.124996120046222359e+01, 2.076302437370909360e+01, 5.815643045848545079e+00, 6.449252618039875706e+00, 6.481435647368989805e+00, 9.954444784440413585e+00, 3.978080319930791120e+01, 2.043048597813008183e+00, 6.073675983967702763e+01, 6.637102202541792728e+00
2.089000000000000000e+03, 1.835618134102221788e+01, 6.959207709080717841e+00, 3.345099653300876241e+01, 2.102805230612111131e+01, 2.078079777040396081e+01, 5.712428032632221431e+00, 6.460262991590339787e+00, 6.330025635383270455e+00, 9.762969413457884826e+00, 3.963208787676106937e+01, 2.012816607235996536e+00, 6.093581903255756060e+01, 6.964122005345104505e+00
