year, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-ESM2, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, NorESM2-MM
2.025000000000000000e+03, 6.964490965479464142e-10, 4.927404983641213507e-10, 2.974779232890638611e-10, 2.064373055705985458e-10, 4.149727120373714428e-11, 2.623664277600851302e-10, 2.596964415517521121e-10, 9.429857841400808280e-10, 4.547801654558330925e-10, 9.287095752964640754e-10
2.026000000000000000e+03, 6.933330610595183863e-10, 4.386782544589645405e-10, 2.959768587404361244e-10, 2.091091674289592505e-10, 3.327394801291794680e-11, 2.105981078315112143e-10, 2.263092613378906640e-10, 9.057815720217636405e-10, 4.381417488114111376e-10, 9.058205696731240057e-10
2.027000000000000000e+03, 6.914763433434559774e-10, 4.360159502829627310e-10, 2.947130502405333161e-10, 2.070705614499775641e-10, 3.415196973268429965e-11, 2.162752231127847747e-10, 2.259550752787603782e-10, 9.253635183382566664e-10, 4.238386181137606219e-10, 8.905026270600058259e-10
2.028000000000000000e+03, 6.847640813565807530e-10, 4.352935592612558421e-10, 2.925080420637344217e-10, 2.041461070771983843e-10, 4.075368396882614964e-11, 2.153034156168605417e-10, 2.247888362921546930e-10, 9.847049301541847717e-10, 4.148529372097170683e-10, 9.167325775346418608e-10
2.029000000000000000e+03, 6.800824867848605460e-10, 4.311866234585998998e-10, 2.898460450144821206e-10, 2.027007731459597242e-10, 4.582308657180828365e-11, 2.120348463363492497e-10, 2.238529349331466448e-10, 9.028170602072448544e-10, 4.080818706727972853e-10, 9.068228639632725360e-10
2.030000000000000000e+03, 6.825797028961577878e-10, 4.237981783394803982e-10, 2.993975526819321466e-10, 2.018632864470948547e-10, 4.858413426583343461e-11, 2.095447845113517358e-10, 2.215923066207651941e-10, 9.284956960067568725e-10, 4.060606915212105974e-10, 9.037547698058964416e-10
2.031000000000000000e+03, 6.849884608983521574e-10, 4.147764997649360628e-10, 2.993707850773592267e-10, 2.105492325760862753e-10, 4.813994253364160069e-11, 2.101301011944148984e-10, 2.236803058553334059e-10, 8.954816615739424624e-10, 4.009330779299519272e-10, 8.961072367409243401e-10
2.032000000000000000e+03, 6.826744882365427772e-10, 4.198997206611927206e-10, 2.978999269867252924e-10, 2.106898637767811731e-10, 5.247879476886746622e-11, 2.073827182562593041e-10, 2.241032605597571547e-10, 9.135240705430751946e-10, 3.983037102143291592e-10, 9.295143434633474531e-10
2.033000000000000000e+03, 6.797999889302575925e-10, 4.166004118223012803e-10, 2.964649239421540210e-10, 2.136265267588367154e-10, 5.479133227015520946e-11, 2.076606658447108698e-10, 2.245867832707031088e-10, 9.147280404722127615e-10, 3.951911568088030143e-10, 9.257315021586674259e-10
2.034000000000000000e+03, 6.785600959956023308e-10, 4.222563215552735110e-10, 2.951812310503959806e-10, 2.131102449978583847e-10, 5.613220166640095632e-11, 2.045522059325345040e-10, 2.248006741371156070e-10, 9.883280826953785377e-10, 3.924107579244415262e-10, 9.178932767186056871e-10
2.035000000000000000e+03, 6.662928056633866157e-10, 4.093925794789229861e-10, 3.053013199176974495e-10, 2.147680826708960187e-10, 5.597618667819733752e-11, 1.964933003235904481e-10, 2.232731527675286430e-10, 1.054595329261968300e-09, 3.911351530041043599e-10, 9.243565429827935339e-10
2.036000000000000000e+03, 6.569898660288561807e-10, 3.923234789921628714e-10, 3.031383567542932897e-10, 2.298415475218628194e-10, 4.877552572337548819e-11, 1.925192614202805216e-10, 2.088235160573485834e-10, 9.840361096492281534e-10, 3.910356745321354193e-10, 9.802481105326727353e-10
2.037000000000000000e+03, 6.529807821177629144e-10, 4.015755081805528378e-10, 3.026396035874394872e-10, 2.324544764860230049e-10, 4.611542612504262576e-11, 1.931141727642465374e-10, 2.081252471297122201e-10, 9.273764476404233198e-10, 3.891197153965796147e-10, 1.044029803149187952e-09
2.038000000000000000e+03, 6.488230638578888195e-10, 3.974319012997051877e-10, 3.001018171674807433e-10, 2.341118479605403962e-10, 4.647969606491906961e-11, 1.918076414137545111e-10, 2.087915780536406239e-10, 9.976474389865779498e-10, 3.892566292666179352e-10, 9.631632181496801882e-10
2.039000000000000000e+03, 6.463080922107425358e-10, 3.980098338672807304e-10, 2.946277151209182448e-10, 2.368672614033112631e-10, 4.742178591573487809e-11, 1.941124154189729197e-10, 2.086247079007375538e-10, 9.705662381964396808e-10, 3.905010149142393810e-10, 9.241021305123053379e-10
2.040000000000000000e+03, 6.463208549875592874e-10, 3.965987935583774420e-10, 3.120112847045889125e-10, 2.369457571209097072e-10, 4.576837279593854157e-11, 1.964658528262115229e-10, 2.089436472341446099e-10, 9.631717571582061958e-10, 3.998499724523071969e-10, 9.682063820610850155e-10
2.041000000000000000e+03, 6.489095236234767892e-10, 3.790190707138644616e-10, 3.107762032592506540e-10, 1.964731820067724212e-10, 3.782697300565067517e-11, 1.734475647361617377e-10, 2.252161795167261286e-10, 9.442557541850529913e-10, 4.009202677292407502e-10, 9.527329338550114489e-10
2.042000000000000000e+03, 6.494569621822730120e-10, 3.878838240879105257e-10, 3.088178176449137423e-10, 1.951229422050213412e-10, 3.477351542343578453e-11, 1.780386724417551557e-10, 2.257112332842402702e-10, 8.927992212872148332e-10, 4.016953284134131966e-10, 1.023312846291757311e-09
2.043000000000000000e+03, 6.479533594085608957e-10, 3.895120382568409062e-10, 3.050171527582583288e-10, 1.923926811181687838e-10, 3.345963786749343790e-11, 1.795312980039599065e-10, 2.258890326239427157e-10, 1.140984365764953500e-09, 4.034897624780129667e-10, 9.722613569302398649e-10
2.044000000000000000e+03, 6.415617760616080986e-10, 3.918713685353332764e-10, 3.025336982046114384e-10, 1.908078495759132607e-10, 3.499729610027520729e-11, 1.781664190372034540e-10, 2.263031051170077597e-10, 9.951028230429943552e-10, 4.048963086231074849e-10, 8.930832149622822520e-10
2.045000000000000000e+03, 6.339622223881923498e-10, 3.828089354686898989e-10, 3.086175805160098340e-10, 1.885405313314925064e-10, 3.618206290725970851e-11, 1.778926974498752997e-10, 2.257205558382013087e-10, 1.008817258480297608e-09, 4.089146502588137718e-10, 9.286485671580432989e-10
2.046000000000000000e+03, 6.322033122199358453e-10, 3.516770516570104365e-10, 3.058366509464252303e-10, 2.042812524142699290e-10, 3.161368016968283491e-11, 1.912895569452784503e-10, 2.329020284048364083e-10, 9.870288893994884547e-10, 4.101449502975786062e-10, 9.488505404532410151e-10
2.047000000000000000e+03, 6.328709658202734113e-10, 3.637023119832754276e-10, 3.049470177815872391e-10, 2.050994971854777088e-10, 3.256887063202700946e-11, 1.916886792400055299e-10, 2.330699632498369413e-10, 1.002851688557992361e-09, 4.125338133525756226e-10, 1.137926371123788327e-09
2.048000000000000000e+03, 6.321272500238125860e-10, 3.601103786309771027e-10, 3.019950495300960289e-10, 2.019337918906977876e-10, 3.383900152025683083e-11, 1.932766877796316189e-10, 2.336122979396633298e-10, 1.003469221820614694e-09, 4.128009283762171276e-10, 1.018504659478904778e-09
2.049000000000000000e+03, 6.300136188493319782e-10, 3.755758466292292123e-10, 2.989280048516206784e-10, 2.016397316564507612e-10, 3.468141217971752916e-11, 1.939255821774148789e-10, 2.343503430378051733e-10, 1.047578468042657637e-09, 4.126986150364203640e-10, 9.996952385036441931e-10
2.050000000000000000e+03, 6.497381223933099687e-10, 3.802650213738932469e-10, 3.060635655750087969e-10, 2.029652079363677591e-10, 3.415455836730671472e-11, 1.895500316040124589e-10, 2.351814406157718208e-10, 1.143033045864350336e-09, 4.004261860018292994e-10, 1.023900992450044677e-09
2.051000000000000000e+03, 6.656002729758326293e-10, 3.589239294037801247e-10, 3.014432223100116874e-10, 2.097782261491243488e-10, 2.842746823011252591e-11, 2.084744771934184256e-10, 2.339194835519339863e-10, 1.133920747856405263e-09, 3.927389552320736667e-10, 1.084386826574090415e-09
2.052000000000000000e+03, 6.700646854608822325e-10, 3.656671731951288875e-10, 2.958930898080840284e-10, 2.107300828092896146e-10, 3.633505738253387839e-11, 2.181740891907973084e-10, 2.347547714275251831e-10, 1.049850279190798215e-09, 3.853526576325248986e-10, 1.085777386755720816e-09
2.053000000000000000e+03, 6.696799040808579945e-10, 3.665442327725446306e-10, 2.922756802230588537e-10, 2.098059487388812381e-10, 4.727612594357685056e-11, 2.178973684316204891e-10, 2.350213124101713760e-10, 1.047736809228728524e-09, 3.806594083664852409e-10, 1.062352009106628619e-09
2.054000000000000000e+03, 6.705941422464516210e-10, 3.677468832994769025e-10, 2.888087802739092817e-10, 2.072589456213365057e-10, 5.419081266688828617e-11, 2.186063913931486822e-10, 2.358935147092544342e-10, 1.170746067149435710e-09, 3.761293857402205346e-10, 1.140091844703965075e-09
2.055000000000000000e+03, 6.558588976642541307e-10, 3.682762351848969147e-10, 2.863954686100458137e-10, 2.082704332837215087e-10, 5.497704937736734641e-11, 2.246435271841996416e-10, 2.355665742346753212e-10, 1.091127675762669849e-09, 3.885042877659849659e-10, 1.013121277308491420e-09
2.056000000000000000e+03, 6.446441088917175309e-10, 3.695413173353821390e-10, 2.837669290672484112e-10, 2.301800906706567283e-10, 4.197091023484022080e-11, 1.871993654609825069e-10, 2.647378651286515140e-10, 1.082763946415914200e-09, 3.872318092679072769e-10, 1.069265499338334694e-09
2.057000000000000000e+03, 6.416028777555573306e-10, 3.938066473835939890e-10, 2.805280847408894592e-10, 2.316556366208527833e-10, 3.647192580275348844e-11, 1.874385799150090617e-10, 2.649252041879307116e-10, 1.083103762719340249e-09, 3.857190459738224402e-10, 1.179331974990047062e-09
2.058000000000000000e+03, 6.424653840973852434e-10, 4.044552759062144739e-10, 2.781666912394285820e-10, 2.302740501972345175e-10, 3.353898838833795429e-11, 1.886220442708368019e-10, 2.652315631625289208e-10, 1.094830980484517792e-09, 3.848930111562809018e-10, 1.087055028438069131e-09
2.059000000000000000e+03, 6.406192635935068988e-10, 4.268310301245631650e-10, 2.776739297576583268e-10, 2.320720090350231852e-10, 3.217450300170348678e-11, 1.882693071839731176e-10, 2.661783007323060268e-10, 1.145482708250047027e-09, 3.839595230773932935e-10, 1.059303178784105248e-09
2.060000000000000000e+03, 6.231733921414300213e-10, 4.285554308632155239e-10, 2.819163757744627138e-10, 2.308721033544046600e-10, 3.274650790709350065e-11, 1.873938108526285147e-10, 2.677083612847545246e-10, 1.082238705332592262e-09, 3.652783360374714627e-10, 1.047530695147671069e-09
2.061000000000000000e+03, 6.115453164443365916e-10, 4.126623166196081866e-10, 2.745575473307216907e-10, 2.710924015852191949e-10, 3.506779711485507774e-11, 1.757147148183715014e-10, 2.491692264735353969e-10, 1.096021898577098894e-09, 3.612918943188567438e-10, 1.125586598004249331e-09
2.062000000000000000e+03, 6.064262877356588959e-10, 4.184617535378170071e-10, 2.673335719562593772e-10, 2.695373239202380887e-10, 3.622206068623737144e-11, 1.739630899424301419e-10, 2.491563959972872185e-10, 1.259489686493148587e-09, 3.579977601883190441e-10, 1.052736218357014929e-09
2.063000000000000000e+03, 6.075557042195676184e-10, 4.218900619149538132e-10, 2.627458985150923414e-10, 2.709851328478023484e-10, 3.730793711040392858e-11, 1.716150916627190002e-10, 2.489306651275122723e-10, 1.180585935977307008e-09, 3.545112346915132990e-10, 1.044142613298192771e-09
2.064000000000000000e+03, 6.064686275615234320e-10, 4.218327627758519976e-10, 2.584544518625456733e-10, 2.742857204197176998e-10, 4.269628326954443950e-11, 1.727497862903422211e-10, 2.487242610687931922e-10, 1.067247886504506289e-09, 3.512258521953170866e-10, 1.151244536881058639e-09
2.065000000000000000e+03, 6.228667012935206643e-10, 4.220957332363544593e-10, 2.877397944758380291e-10, 2.751469289643476422e-10, 4.554992320137869811e-11, 1.706222843701425426e-10, 2.494909871604009356e-10, 1.113155256608140614e-09, 3.205966950427087519e-10, 1.187717509381766639e-09
2.066000000000000000e+03, 6.325648787287685272e-10, 3.420893776796088517e-10, 2.835992346580374209e-10, 2.293350099080758659e-10, 3.083840976983158563e-11, 1.999520577028064691e-10, 2.353977347143549153e-10, 1.273121926967916896e-09, 3.160540139238737028e-10, 1.259707865651516906e-09
2.067000000000000000e+03, 6.331826290786842797e-10, 3.649344524955489752e-10, 2.806378790332327016e-10, 2.255844733117447549e-10, 2.285060562827525113e-11, 2.018200992976941015e-10, 2.347693240587032033e-10, 1.267611999226511625e-09, 3.112864304626888903e-10, 1.130957293454086948e-09
2.068000000000000000e+03, 6.332672405095886852e-10, 3.748073553408557730e-10, 2.768037911791099746e-10, 2.242488827224096984e-10, 1.958125464807738735e-11, 2.049505265703902048e-10, 2.341237663400166534e-10, 1.170948049824806427e-09, 3.072110299620644678e-10, 1.114480791302420551e-09
2.069000000000000000e+03, 6.340312955201853606e-10, 3.738270412726658534e-10, 2.735509107298831538e-10, 2.204144420817952217e-10, 1.799778069780986896e-11, 2.067163790754869727e-10, 2.332869303631781989e-10, 1.111635346431353481e-09, 3.040741193745979132e-10, 1.148210004117325939e-09
2.070000000000000000e+03, 6.425376528113781543e-10, 3.824916433096860693e-10, 3.136650610621609943e-10, 2.181433450935674343e-10, 1.673038540257316777e-11, 2.086204869445590491e-10, 2.330204963250658659e-10, 1.118886258622705338e-09, 3.553020273813060325e-10, 1.110482323103991392e-09
2.071000000000000000e+03, 6.468451574367268681e-10, 3.574517444862841430e-10, 3.164278172734786669e-10, 2.624350127926242281e-10, 1.475245799474916530e-11, 2.199243446995396148e-10, 2.295281903198864432e-10, 1.165382897617605536e-09, 3.597061730229757933e-10, 1.171367954637182814e-09
2.072000000000000000e+03, 6.492316233333809319e-10, 3.696145190638370514e-10, 3.169531580240113493e-10, 2.632448513649419041e-10, 1.354206088517591193e-11, 2.264628752528088304e-10, 2.295154494180836572e-10, 1.187100291113015784e-09, 3.621172493017869146e-10, 1.253588624165727127e-09
2.073000000000000000e+03, 6.500484062148141693e-10, 3.754550322507029241e-10, 3.143903115818122355e-10, 2.639959973731416936e-10, 1.309714628954602767e-11, 2.314675373848427780e-10, 2.297331873471785364e-10, 1.214354034222416654e-09, 3.644271687519881586e-10, 1.231881080155937548e-09
2.074000000000000000e+03, 6.443345367041158548e-10, 3.746996388795447322e-10, 3.121793713247606536e-10, 2.670372258781953066e-10, 1.832205999497818123e-11, 2.349600266655715810e-10, 2.310619225155129028e-10, 1.091713289627093250e-09, 3.659838196848572348e-10, 1.180775916053226979e-09
2.075000000000000000e+03, 6.518147784228793906e-10, 3.739822274442048910e-10, 3.228028820726635345e-10, 2.664192016136377789e-10, 2.563154926174051426e-11, 2.385918625023508725e-10, 2.311759830664785263e-10, 1.135887536215824158e-09, 3.666218082923507344e-10, 1.259102863337853938e-09
2.076000000000000000e+03, 6.581119883580517455e-10, 3.902327938165924513e-10, 3.207265401302999521e-10, 2.666681864441635171e-10, 3.448498057835288318e-11, 2.570492347714030136e-10, 2.453229354098510172e-10, 1.230105517197499577e-09, 3.679227846629747263e-10, 1.398873561726093590e-09
2.077000000000000000e+03, 6.593244907649021825e-10, 3.974614849736046547e-10, 3.204523242613945922e-10, 2.639330637194586948e-10, 4.054442989430423249e-11, 2.571148793153125481e-10, 2.449500468280480718e-10, 1.125472035984781587e-09, 3.695513644668464351e-10, 1.316437997983860621e-09
2.078000000000000000e+03, 6.604350420326147656e-10, 4.013776142245921962e-10, 3.189566490451439771e-10, 2.658549980239151046e-10, 4.698062044580540271e-11, 2.599164789545477265e-10, 2.448517320078243316e-10, 1.124004622189230013e-09, 3.706064416581495962e-10, 1.211110097077098988e-09
2.079000000000000000e+03, 6.582690214515150533e-10, 3.985093869840259958e-10, 3.139003938968133846e-10, 2.641892509574990029e-10, 5.088702162871500417e-11, 2.615069745010050812e-10, 2.441247830803044075e-10, 1.161779653317899384e-09, 3.721380043696221203e-10, 1.239686927383569675e-09
2.080000000000000000e+03, 6.560580643881808958e-10, 4.018924780181149356e-10, 3.087481577454560300e-10, 2.624072296882700509e-10, 5.391527029056610822e-11, 2.626080758957886708e-10, 2.439739359358792168e-10, 1.200129628631187806e-09, 3.854063359962949238e-10, 1.347234036699115412e-09
2.081000000000000000e+03, 6.568570890945127911e-10, 3.828248663170455402e-10, 3.055894781874658525e-10, 3.118334218111298203e-10, 6.057230545726143269e-11, 2.532635221516947562e-10, 2.555651459113172479e-10, 1.251078827363398137e-09, 3.877870966253831198e-10, 1.345552223932508383e-09
2.082000000000000000e+03, 6.569056975201428536e-10, 3.914161121612054639e-10, 3.030705373866601101e-10, 3.201162052242673551e-10, 6.793975110678240463e-11, 2.540763034291646259e-10, 2.555834690351763373e-10, 1.194518317504870365e-09, 3.893972187018557227e-10, 1.271383883173916127e-09
2.083000000000000000e+03, 6.567064287870098584e-10, 3.974857953926938867e-10, 3.009927199356381419e-10, 3.149839999476946973e-10, 7.246764126418894883e-11, 2.549354257054622160e-10, 2.556062867090220479e-10, 1.113213563412824643e-09, 3.891461665139216456e-10, 1.338771677761329100e-09
2.084000000000000000e+03, 6.552339961600439147e-10, 3.976403133726954816e-10, 2.974566949408716157e-10, 3.136061484855486503e-10, 7.545000093923269089e-11, 2.561537816985964401e-10, 2.555612338818272933e-10, 1.246391335416246100e-09, 3.901743582977771659e-10, 1.287648264479567137e-09
2.085000000000000000e+03, 6.502881615836334652e-10, 3.991812943647018080e-10, 2.981265679671039754e-10, 3.137647848759125428e-10, 7.356039564161717373e-11, 2.582091166631787303e-10, 2.555771285409065413e-10, 1.341121633788988104e-09, 4.132488231115158311e-10, 1.187726219915402902e-09
2.086000000000000000e+03, 6.469108201393808899e-10, 3.614246306727516029e-10, 2.961928224159848657e-10, 3.027055206790602556e-10, 5.343954457210532479e-11, 2.320294411114088784e-10, 2.906169191428443843e-10, 1.198639425499793415e-09, 4.148728638921352184e-10, 1.181562067223289018e-09
2.087000000000000000e+03, 6.452967209202574604e-10, 3.949611562677258140e-10, 2.946624434432267288e-10, 3.011503974967784435e-10, 4.431741903618206727e-11, 2.328134248920982455e-10, 2.908465631696569626e-10, 1.199152250429752416e-09, 4.151607244675388921e-10, 1.118814763238531723e-09
2.088000000000000000e+03, 6.441230556310771893e-10, 4.020780693674673479e-10, 2.919252290440817981e-10, 2.976646637660911462e-10, 4.317046700961982235e-11, 2.314204754384733824e-10, 2.914512389196031726e-10, 1.239347491921022181e-09, 4.162552596949248263e-10, 1.279923894276014245e-09
2.089000000000000000e+03, 6.419702769207245408e-10, 3.965865289228763457e-10, 2.892114426150542490e-10, 2.977164467316038839e-10, 4.511264953492914989e-11, 2.313001994663543066e-10, 2.927335170220672800e-10, 1.391864229785210987e-09, 4.181255451703024665e-10, 1.381821238129375333e-09
2.090000000000000000e+03, 6.631136404115169580e-10, 4.000664875373603485e-10, 3.130848760907468475e-10, 2.989287552182509396e-10, 4.594861029486951828e-11, 2.300151072705390584e-10, 2.934086120751478316e-10, 1.231438800414619597e-09, 4.001488840326687337e-10, 1.356727215344603473e-09
2.091000000000000000e+03, 6.773531729225190602e-10, 3.974529734400912460e-10, 3.108969889427227257e-10, 2.376600259375395778e-10, 4.113673374449523853e-11, 2.552542793133923860e-10, 2.904750601540700207e-10, 1.188106014525565262e-09, 3.981572944001532742e-10, 1.313369045078783959e-09
2.092000000000000000e+03, 6.785395940193580185e-10, 4.283369528492682372e-10, 3.087799859528330990e-10, 2.303530912582590662e-10, 4.666163397323327230e-11, 2.574028945577575872e-10, 2.903275164659314081e-10, 1.139981076023738949e-09, 3.963583706873684172e-10, 1.276114825870741741e-09
2.093000000000000000e+03, 6.807957194854060055e-10, 4.344548631738934294e-10, 3.036759167241420062e-10, 2.249051205025134912e-10, 5.134647396407461149e-11, 2.592010937781958796e-10, 2.906035042825877644e-10, 1.309091703935694541e-09, 3.949721809085243380e-10, 1.230851859246882821e-09
2.094000000000000000e+03, 6.814900859817103144e-10, 4.274497326625224873e-10, 2.973594616515153809e-10, 2.200775372341258961e-10, 5.680684913431888584e-11, 2.594330251822869136e-10, 2.904614823779457111e-10, 1.257188501893452628e-09, 3.933007902133415432e-10, 1.332923439817074182e-09
2.095000000000000000e+03, 6.760960779046153167e-10, 4.318571500851205216e-10, 2.955600622086914730e-10, 2.207770499487237223e-10, 6.309161905104230045e-11, 2.588557544840354272e-10, 2.896276460292416721e-10, 1.204053659764181315e-09, 4.177950088874698862e-10, 1.398282408222622374e-09
2.096000000000000000e+03, 6.714337750344420330e-10, 4.192988659812542200e-10, 2.928215632640236768e-10, 1.910415555088712696e-10, 6.467130486011690041e-11, 2.694497849972019156e-10, 2.777994384669682308e-10, 1.253854294325258198e-09, 4.190650446178365432e-10, 1.289212880487774702e-09
2.097000000000000000e+03, 6.694209414241232565e-10, 4.342612930121473523e-10, 2.887302481962181323e-10, 1.866728761222247431e-10, 6.568252308076064378e-11, 2.708315198243645680e-10, 2.774803038288506206e-10, 1.275177777797003552e-09, 4.175471161013428965e-10, 1.281903199430134054e-09
2.098000000000000000e+03, 6.674948158909818620e-10, 4.277182931217673071e-10, 2.833138292653454611e-10, 1.825355094827498783e-10, 6.757425442646206930e-11, 2.725636808607024608e-10, 2.767282081703400466e-10, 1.361058216282041712e-09, 4.185113472778164344e-10, 1.332411789677838654e-09
2.099000000000000000e+03, 6.662591022497150157e-10, 4.329484224835544528e-10, 2.803803325689495367e-10, 1.781473841519842162e-10, 7.756009071967858048e-11, 2.757786561217282635e-10, 2.761871467813244581e-10, 1.341891970657117131e-09, 4.234670223277853482e-10, 1.519433513516360414e-09
2.100000000000000000e+03, 3.879907384570529303e-10, 4.497841652555155390e-10, 1.755265398980223628e-10, 1.760824257304002467e-10, 8.257380157717745634e-11, 2.770313805751553985e-10, 2.754977351695926757e-10, 1.325746354274410912e-09, 2.243961703324698356e-10, 1.384738291813757637e-09
