year, GFDL-ESM4, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, NorESM2-MM
2.025000000000000000e+03, 3.035085592223174570e-09, 1.141483644312630980e-09, 1.640350360828503044e-09, 2.004345140152381426e-09, 1.295378433136370647e-09, 8.330211824746330884e-10, 9.361167406855939936e-10, 3.051567958297510150e-09, 1.295378433136370647e-09, 9.361167406855939936e-10, 9.683010815538998389e-10, 2.004345140152381426e-09
2.026000000000000000e+03, 1.943148780730118205e-09, 8.219250233376872326e-10, 2.257691343761865287e-09, 1.367557157548462428e-09, 1.812873932226511196e-09, 8.488987046203547620e-10, 9.805213601017017535e-10, 1.959274467450990681e-09, 1.812873932226511196e-09, 9.805213601017017535e-10, 8.147560559623126535e-10, 1.367557157548462428e-09
2.027000000000000000e+03, 2.232198398072424856e-09, 1.265610779939845665e-09, 1.720157241254241857e-09, 1.193590095504561686e-09, 1.472856534706349632e-09, 9.067383974478672104e-10, 9.161083868935787517e-10, 2.248278068786812556e-09, 1.472856534706349632e-09, 9.161083868935787517e-10, 1.090829628230534165e-09, 1.193590095504561686e-09
2.028000000000000000e+03, 2.304589403304169664e-09, 1.412766033689806180e-09, 2.059805603903766805e-09, 1.392465913028045416e-09, 1.429466915636045266e-09, 9.085563148435351036e-10, 7.998326777409668148e-10, 2.320419503404650981e-09, 1.429466915636045266e-09, 7.998326777409668148e-10, 1.010852413788759205e-09, 1.392465913028045416e-09
2.029000000000000000e+03, 2.767551009220729041e-09, 1.631740883224851282e-09, 2.845920712191003840e-09, 1.300613186704272002e-09, 1.508736745513731459e-09, 8.074557010192299226e-10, 9.384966993409773460e-10, 2.783428394953334769e-09, 1.508736745513731459e-09, 9.384966993409773460e-10, 1.193183047383913461e-09, 1.300613186704272002e-09
2.030000000000000000e+03, 1.791553893744115419e-09, 1.270976872862597894e-09, 2.169380085114710590e-09, 1.730814995278232293e-09, 1.630509336082106120e-09, 8.177671822885781891e-10, 8.203776037479341323e-10, 1.807343983009799677e-09, 1.630509336082106120e-09, 8.203776037479341323e-10, 7.969351096234550528e-10, 1.730814995278232293e-09
2.031000000000000000e+03, 2.540002100884271961e-09, 1.746510154674475238e-09, 2.315259790896548207e-09, 1.135675770335059151e-09, 1.212802156590938572e-09, 8.339665575808215268e-10, 1.009941475151313651e-09, 2.555718057915405990e-09, 1.212802156590938572e-09, 1.009941475151313651e-09, 9.867984066438723398e-10, 1.135675770335059151e-09
2.032000000000000000e+03, 2.095888427034825638e-09, 1.337696100251806021e-09, 2.866833065072364675e-09, 1.715769933911446838e-09, 1.309797068174314307e-09, 8.545589367124135935e-10, 7.300589971609681256e-10, 2.111789767874235795e-09, 1.309797068174314307e-09, 7.300589971609681256e-10, 1.055753629585438623e-09, 1.715769933911446838e-09
2.033000000000000000e+03, 2.568073680776028651e-09, 1.383559740365355137e-09, 1.518966895034043136e-09, 1.532969953667058452e-09, 1.434318822284255314e-09, 9.483674607463383494e-10, 8.735320353626053221e-10, 2.584131517942152477e-09, 1.434318822284255314e-09, 8.735320353626053221e-10, 1.299029618931629623e-09, 1.532969953667058452e-09
2.034000000000000000e+03, 3.472712858670060683e-09, 1.416142229175519967e-09, 2.400177898417589458e-09, 1.247528080485020517e-09, 1.047221363642997187e-09, 9.531158259307269014e-10, 8.843397599807577467e-10, 3.488814133134801589e-09, 1.047221363642997187e-09, 8.843397599807577467e-10, 9.217836034245363235e-10, 1.247528080485020517e-09
2.035000000000000000e+03, 2.901525138645240563e-09, 1.894770301231486804e-09, 2.135563996471573053e-09, 1.578497512707284546e-09, 1.281003625790935150e-09, 8.612128193202321917e-10, 7.468153828776905315e-10, 2.917643288564222743e-09, 1.281003625790935150e-09, 7.468153828776905315e-10, 1.109145869033654157e-09, 1.578497512707284546e-09
2.036000000000000000e+03, 2.222639888723361925e-09, 1.257132411276274300e-09, 3.697274848910146000e-09, 1.111365575522124359e-09, 1.558735791041938204e-09, 1.025839923639561506e-09, 8.566115141281674844e-10, 2.238730837134742105e-09, 1.558735791041938204e-09, 8.566115141281674844e-10, 1.117968034369032059e-09, 1.111365575522124359e-09
