year, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, ACCESS-ESM1-5, NorESM2-LM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-MM, TaiESM1
2.049000000000000000e+03, 4.733179920821800835e+00, 4.758778744827167451e+00, 4.008509257302954154e+00, 3.738134121471607507e+00, 4.292143436453593530e+00, 3.502494279881664507e+00, 3.970675473359410290e+00, 5.171100484330864333e+00, 5.408380341896814159e+00, 4.083898855927249549e+00, 5.243594290821341097e+00, 3.578578095798601311e+00, 4.226529517636544497e+00, 4.209331780864933314e+00, 4.090360028721960362e+00, 4.409150671226237606e+00
2.050000000000000000e+03, 4.855419592211178248e+00, 4.409973515793574883e+00, 3.714738345279837706e+00, 4.101952955285086411e+00, 4.383105760842544107e+00, 3.897108210843887033e+00, 4.116367576321867894e+00, 4.868248818940998035e+00, 5.049322755259156636e+00, 4.086089802788936964e+00, 5.150666845208611733e+00, 3.230632681243822191e+00, 4.270433341407939842e+00, 4.291104699502326092e+00, 4.064728894078620591e+00, 4.307223393773020881e+00
2.051000000000000000e+03, 4.723197043200046075e+00, 4.699605616208882175e+00, 3.483070855244121411e+00, 4.151528228823408107e+00, 5.040147513377180921e+00, 3.971501744231382247e+00, 3.995484148310261219e+00, 5.114887204981806157e+00, 5.224540929535506528e+00, 4.066142664261459316e+00, 4.997216110510323439e+00, 4.017993672472297106e+00, 4.344851840232468732e+00, 4.456006177455233974e+00, 3.793258191608681162e+00, 4.107974432134486875e+00
2.052000000000000000e+03, 4.915987835098273528e+00, 5.051050173717485769e+00, 3.715495379809591547e+00, 3.840360860478820193e+00, 4.969457192008785995e+00, 3.997101487455140933e+00, 3.817760384063163759e+00, 5.146956555695616942e+00, 5.015538720477868750e+00, 4.070067294006459058e+00, 5.054960043061894837e+00, 3.973957115118705641e+00, 4.223434508573467916e+00, 4.543694986158890892e+00, 4.067282807517242915e+00, 4.174208958982001505e+00
2.053000000000000000e+03, 5.037870068872687845e+00, 5.077987204050330661e+00, 3.881070266863715812e+00, 4.049615133404635969e+00, 4.606278421028732417e+00, 3.830531839281792639e+00, 3.929604534425816809e+00, 4.786361900896227262e+00, 5.230935571139780471e+00, 4.040302595878842773e+00, 4.991893853469830056e+00, 3.547204861870782544e+00, 4.138390516755869442e+00, 4.812475097717650918e+00, 3.959665473972290961e+00, 4.172903280770362322e+00
2.054000000000000000e+03, 4.847582219380358381e+00, 5.340242518189296739e+00, 4.097182383675249895e+00, 3.888520852209113254e+00, 4.523606353737932295e+00, 3.869784729376061438e+00, 4.309517049042330683e+00, 5.123532301340311790e+00, 5.133831104611473961e+00, 3.929111808953407614e+00, 5.307741995365386600e+00, 3.820946048670341266e+00, 4.379191409590800887e+00, 4.468479040802653124e+00, 3.861134470130000995e+00, 4.394176523760922493e+00
2.055000000000000000e+03, 4.719696572474343377e+00, 5.254832194970588510e+00, 4.545489113533652592e+00, 3.740890778060519839e+00, 5.000060171712679136e+00, 4.064083281848793305e+00, 3.743791869825304541e+00, 5.100254929443288177e+00, 5.116417025821311526e+00, 3.827058891761451420e+00, 5.064527791394832335e+00, 3.871227104343145431e+00, 4.187738777734493212e+00, 4.554318002209475580e+00, 3.673212246244275114e+00, 4.206222371870514287e+00
2.056000000000000000e+03, 4.850845982962322722e+00, 5.245984240734577142e+00, 3.958518926868188625e+00, 3.684363396743286057e+00, 4.875151403761533331e+00, 4.061321579833768070e+00, 4.100631660769500364e+00, 4.990693706944804298e+00, 4.686895544732907481e+00, 3.684950094528487874e+00, 5.325488496269406014e+00, 3.977550444276415131e+00, 4.270465105117876803e+00, 4.493900661688691400e+00, 3.803737153497175338e+00, 4.163021476178268898e+00
2.057000000000000000e+03, 4.969683126895626302e+00, 4.791165664164467763e+00, 3.841727373974012760e+00, 4.088098352816396996e+00, 4.582112468714693243e+00, 3.896563003751574605e+00, 3.778912938156465007e+00, 5.178432400939368740e+00, 4.699452156171568973e+00, 3.944878905666198587e+00, 5.258342291866028084e+00, 3.431376742424852022e+00, 4.112008509842548065e+00, 4.578487038779109675e+00, 3.979015252655091928e+00, 4.191854098087207880e+00
2.058000000000000000e+03, 4.653833621139931154e+00, 4.874230990135156816e+00, 3.812283730737477949e+00, 4.040406750013681325e+00, 4.363389187635979383e+00, 4.138910306722769050e+00, 3.871751830569662989e+00, 4.854411570732333203e+00, 4.799391111250376873e+00, 4.059764212519554327e+00, 5.103603507546398355e+00, 3.441291961509036046e+00, 4.176319503535268041e+00, 4.469844430941297020e+00, 3.925466461096466908e+00, 4.081215757670011435e+00
