year, IPSL-CM6A-LR, NorESM2-LM, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5
2.042000000000000000e+03, 1.385279947060724908e+02, 1.622494644080211117e+02, 1.022017504762586242e+02, 1.269640955878867601e+02, 1.696121191485857480e+02, 1.584646015384133193e+02, 6.761217845258553893e+01, 1.260664793101139622e+02, 1.275846259033036034e+02, 1.540111389586393500e+02, 1.351337331376786892e+02, 1.575313052825012221e+02, 1.893649731049922593e+02, 1.622140372596777524e+02, 1.574114832203161711e+02, 1.859617015339938746e+02
2.043000000000000000e+03, 1.389858242745353039e+02, 1.627761283845272544e+02, 1.028495120680999548e+02, 1.271093474228510871e+02, 1.707983384608344295e+02, 1.588585060062985690e+02, 6.789263401594840275e+01, 1.260309569827878420e+02, 1.271924140175409264e+02, 1.538050521260884409e+02, 1.353254415441992649e+02, 1.584364892490581269e+02, 1.892335440114314054e+02, 1.623056880694037147e+02, 1.580088507272242566e+02, 1.861193925687889248e+02
2.044000000000000000e+03, 1.393087224620320228e+02, 1.632631392785078788e+02, 1.025481709191556092e+02, 1.277304677041222192e+02, 1.716964819531838202e+02, 1.582322440215729102e+02, 6.830341830894066391e+01, 1.263655658716856607e+02, 1.274457315079375945e+02, 1.524951872548812446e+02, 1.359607753555012266e+02, 1.592323311496765825e+02, 1.890903673472034541e+02, 1.626911405439909402e+02, 1.582086555293982713e+02, 1.863912660184059860e+02
2.045000000000000000e+03, 1.392840751120407958e+02, 1.639244896113705181e+02, 1.016781395543088564e+02, 1.274596787192604666e+02, 1.726363093628233685e+02, 1.578344910501240861e+02, 6.782290928052822210e+01, 1.268081578879271802e+02, 1.282317947893423309e+02, 1.521572280127475665e+02, 1.366723553994487759e+02, 1.593674164639352284e+02, 1.889516512196477436e+02, 1.631536189938024677e+02, 1.588436373027235788e+02, 1.867525961624413640e+02
2.046000000000000000e+03, 1.399746324089750544e+02, 1.648332865570205570e+02, 1.011319499010419634e+02, 1.275465058854793199e+02, 1.732152798429623886e+02, 1.569252596383328466e+02, 6.780811495791601828e+01, 1.271887549322318165e+02, 1.283549501562628734e+02, 1.531025577552660195e+02, 1.371620172006677194e+02, 1.598070069087450804e+02, 1.886175653763004618e+02, 1.639172736938729997e+02, 1.597948384986956967e+02, 1.869422161525837396e+02
2.047000000000000000e+03, 1.398205723236623612e+02, 1.654097936500812125e+02, 1.034885016256517218e+02, 1.273369618127372291e+02, 1.741743353571012278e+02, 1.572906728881300467e+02, 6.783020818210329139e+01, 1.279026712488055324e+02, 1.286184587100390786e+02, 1.539700735401554539e+02, 1.372415413160341586e+02, 1.598180959689698000e+02, 1.879860234206160783e+02, 1.645655776097406147e+02, 1.597339218747968346e+02, 1.865688104916097529e+02
2.048000000000000000e+03, 1.401332304959011310e+02, 1.657911804580041917e+02, 1.044004389974921168e+02, 1.274794917572908588e+02, 1.750850154122520337e+02, 1.563663909611756253e+02, 6.713882864318344446e+01, 1.271695734471207118e+02, 1.292476872865153155e+02, 1.538231637345479896e+02, 1.374549031026250532e+02, 1.596620032167805050e+02, 1.875864747646417072e+02, 1.645098916216109330e+02, 1.596997324980084727e+02, 1.866179192049534947e+02
2.049000000000000000e+03, 1.405370431038233505e+02, 1.659686839320024774e+02, 1.035326790428896260e+02, 1.274888117593061168e+02, 1.761394030360017950e+02, 1.557986327748886879e+02, 6.666253089749670835e+01, 1.271404408975843552e+02, 1.284367439924449172e+02, 1.539459294701488830e+02, 1.378384680653417718e+02, 1.604188139214501518e+02, 1.873365338274043097e+02, 1.653436432899432020e+02, 1.606411378022668828e+02, 1.863127335665448925e+02
2.050000000000000000e+03, 1.406896993243109364e+02, 1.660833859246676809e+02, 1.020224236766190558e+02, 1.283593838054495677e+02, 1.772602880468627973e+02, 1.556505137057943671e+02, 6.723611027300688647e+01, 1.270199444301814964e+02, 1.280089244692593695e+02, 1.543920770937520217e+02, 1.382808340763742194e+02, 1.607106184546287295e+02, 1.868987095735550383e+02, 1.662499761468803854e+02, 1.614039967935838149e+02, 1.866187835726808260e+02
2.051000000000000000e+03, 1.410338058874191631e+02, 1.669360781648535692e+02, 1.009492464463690169e+02, 1.282412925205410374e+02, 1.785262322474146970e+02, 1.552437634392649954e+02, 6.523499166339186672e+01, 1.274475184728671593e+02, 1.291906822609310552e+02, 1.555977096432777671e+02, 1.380718461673035620e+02, 1.606054372212713304e+02, 1.866232719884252731e+02, 1.670405070686538807e+02, 1.620210814145952725e+02, 1.867531017353924199e+02
2.052000000000000000e+03, 1.411135398959984570e+02, 1.675438311240515361e+02, 1.035353294660606167e+02, 1.281431091147031509e+02, 1.790902575042598528e+02, 1.538684589242577374e+02, 6.424676653794881531e+01, 1.282754616877240039e+02, 1.291399105156147016e+02, 1.565677361055467998e+02, 1.385221770904009304e+02, 1.614487097074641895e+02, 1.868236049721936922e+02, 1.674583870055930959e+02, 1.621535892190344725e+02, 1.861679687129823719e+02
2.053000000000000000e+03, 1.413901075063667179e+02, 1.684092885071560772e+02, 1.039769238933298396e+02, 1.280855390328318890e+02, 1.795557360097281219e+02, 1.531840289526088839e+02, 6.425309136312756664e+01, 1.289372599051406496e+02, 1.297631603718112387e+02, 1.566719945820270539e+02, 1.393560839692721345e+02, 1.617931508803335419e+02, 1.869136137763912586e+02, 1.682398588834644215e+02, 1.625078979295955719e+02, 1.855675894844299592e+02
