year, NorESM2-LM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CanESM5, CMCC-CM2-SR5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1
2.058000000000000000e+03, 1.454757475482963684e+02, 1.065202522288007998e+02, 1.061773085509799017e+02, 1.987381314756518975e+02, 1.141783547806766705e+02, 1.247790572040731547e+02, 1.460397302944664091e+02, 1.144953350118236557e+02, 2.009017144071061125e+02, 2.946151706875012337e+02, 1.422641765947771262e+02, 3.188151740971655954e+02, 1.891433383645837694e+02
2.059000000000000000e+03, 1.455484381825548894e+02, 1.062067172058953304e+02, 1.061488915876850569e+02, 1.987102677181011643e+02, 1.141573959863218164e+02, 1.253975572940181422e+02, 1.461702411842664162e+02, 1.143402074964953528e+02, 2.008167291405337664e+02, 2.945977015065923865e+02, 1.424863378848520767e+02, 3.183108296500147389e+02, 1.890724757795027813e+02
2.060000000000000000e+03, 1.457167487787645541e+02, 1.058845739462860251e+02, 1.061074863183006869e+02, 1.985756868981052037e+02, 1.141728670476978351e+02, 1.254534596286709558e+02, 1.463240989239400278e+02, 1.144617068220756124e+02, 2.006481013695527054e+02, 2.946842663090377528e+02, 1.426921702563022905e+02, 3.183423322361133501e+02, 1.890429889352301700e+02
2.061000000000000000e+03, 1.458753432787303836e+02, 1.055821326640742512e+02, 1.059951911807086873e+02, 1.984551386183572674e+02, 1.141838589562075725e+02, 1.253938600476951422e+02, 1.465229501557937510e+02, 1.146290808957582925e+02, 2.005246368543046742e+02, 2.948904955182151184e+02, 1.428475467873393825e+02, 3.187273676367926214e+02, 1.890083085052789897e+02
2.062000000000000000e+03, 1.459934547443537554e+02, 1.053146988567701499e+02, 1.059302995136217476e+02, 1.984764835880897635e+02, 1.141873697315467098e+02, 1.252838008658253983e+02, 1.466740507442663670e+02, 1.148369910830612497e+02, 2.005281613710404827e+02, 2.948502596745082087e+02, 1.430183654762779781e+02, 3.186270508756746267e+02, 1.889984062995333147e+02
2.063000000000000000e+03, 1.461262865485420264e+02, 1.050683871358871500e+02, 1.058344219775582786e+02, 1.985223477336889459e+02, 1.141338224204453127e+02, 1.250875255144846818e+02, 1.468138342675270280e+02, 1.150206487714887800e+02, 2.004445440030749523e+02, 2.949605304975178797e+02, 1.431758352340051488e+02, 3.184839734244555416e+02, 1.889173653387907450e+02
2.064000000000000000e+03, 1.463228286651867336e+02, 1.050333037718309868e+02, 1.056911832808609262e+02, 1.985581853297964585e+02, 1.140860509596171255e+02, 1.252913979774682645e+02, 1.469854455213408926e+02, 1.152236306621642115e+02, 2.003012885757829622e+02, 2.951461736579889248e+02, 1.432895428060165841e+02, 3.182048800324719195e+02, 1.888489233180316091e+02
2.065000000000000000e+03, 1.465031380924006612e+02, 1.050675342078446732e+02, 1.057523334523849314e+02, 1.985787631414198415e+02, 1.140598766075479347e+02, 1.257585815084883620e+02, 1.472107173667132827e+02, 1.154113133548475503e+02, 2.001899259906198836e+02, 2.951483986772683465e+02, 1.434343979884955047e+02, 3.174334429641036195e+02, 1.887769194747778272e+02
2.066000000000000000e+03, 1.466191001828428853e+02, 1.050825537435589752e+02, 1.055072764291049197e+02, 1.985893396996208082e+02, 1.140262854460896023e+02, 1.259859015939017723e+02, 1.474100838625157053e+02, 1.155070436871317412e+02, 2.001563244125740368e+02, 2.951050820919429043e+02, 1.435180072208509046e+02, 3.175047354481635580e+02, 1.886473403478426292e+02
2.067000000000000000e+03, 1.466956111224952224e+02, 1.049335541309674653e+02, 1.054354980726280075e+02, 1.985851626108477319e+02, 1.139876796750976808e+02, 1.263146141341514124e+02, 1.475442504417072769e+02, 1.154541042059637306e+02, 1.999995881104732973e+02, 2.952217655387568698e+02, 1.437148675327688920e+02, 3.173357111237035042e+02, 1.885923190008215897e+02
2.068000000000000000e+03, 1.468476571785801923e+02, 1.047540397658789004e+02, 1.055908279733901054e+02, 1.984598353823300556e+02, 1.139356269653329008e+02, 1.266038850684344226e+02, 1.476637115452123794e+02, 1.157105558683228139e+02, 1.998238013502257502e+02, 2.952999681421510445e+02, 1.439310483836299284e+02, 3.172425469708942956e+02, 1.884683293512687783e+02
