year, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.028000000000000000e+03, 4.075368406941763876e-11, 1.978472848783497756e-10, 2.021966776805490177e-10, 6.904372885104141565e-10, 1.209270685111736750e-09, 1.009965160882469029e-10, 1.361680107847188082e-09, 1.671820721551020336e-09
2.029000000000000000e+03, 4.582308668803617469e-11, 1.947938530059946051e-10, 2.014629695447068567e-10, 6.902822904822545530e-10, 1.217652202301333620e-09, 9.737315005952549828e-11, 1.370846599055160419e-09, 1.749647614324792604e-09
2.030000000000000000e+03, 4.858413303499380131e-11, 1.922801211538390949e-10, 2.015688392164322890e-10, 6.462041434214074434e-10, 1.220809153705226497e-09, 9.380311122736221825e-11, 1.374993358999573750e-09, 1.633086651565416934e-09
2.031000000000000000e+03, 4.813994195206755901e-11, 1.903824227095420184e-10, 2.022884412775536094e-10, 7.186429860937587681e-10, 1.229455423015019442e-09, 9.293351554538584868e-11, 1.396874663798672521e-09, 1.771790459199263650e-09
2.032000000000000000e+03, 5.247879474101937108e-11, 1.881048626786484209e-10, 2.028694391040933249e-10, 7.112606654746855019e-10, 1.234019445507258123e-09, 9.108881573350576855e-11, 1.377227242250459543e-09, 1.828117016626204339e-09
2.033000000000000000e+03, 5.479133225450525600e-11, 1.860946917793879011e-10, 2.033754034474571118e-10, 6.826599632634296854e-10, 1.246390666359292913e-09, 8.913770663926868333e-11, 1.365125267286613542e-09, 1.818394537615331480e-09
2.034000000000000000e+03, 5.613220146434939965e-11, 1.842905237630395955e-10, 2.038469559569982659e-10, 5.881008855894545694e-10, 1.257831556689777157e-09, 8.713329552187221256e-11, 1.372138538092322249e-09, 1.787951311814714589e-09
2.035000000000000000e+03, 5.597618681832938471e-11, 1.825469998961010542e-10, 2.049227441073885768e-10, 7.265318351364722675e-10, 1.249736459399150496e-09, 8.490663399071873904e-11, 1.369192020872848434e-09, 1.783740713009153143e-09
2.036000000000000000e+03, 4.877552523236574239e-11, 1.760124031795011584e-10, 2.060245336592370755e-10, 6.851711362959079998e-10, 1.254525015587296200e-09, 8.496751966136781354e-11, 1.378752964250353399e-09, 1.618276451966943292e-09
2.037000000000000000e+03, 4.611542594478366578e-11, 1.726615743071861790e-10, 2.066478728126443524e-10, 7.154404745414636037e-10, 1.253214195222015308e-09, 8.439284279595418702e-11, 1.360072974025414929e-09, 1.654008080808319330e-09
2.038000000000000000e+03, 4.647969643717034622e-11, 1.703719706511294253e-10, 2.069568591549905420e-10, 7.028093138918011366e-10, 1.244730137988615323e-09, 8.374872672816932561e-11, 1.368326808719218175e-09, 1.913775183377420644e-09
2.039000000000000000e+03, 4.742178736975151773e-11, 1.689065965575317926e-10, 2.066522304353419121e-10, 6.514760476423477845e-10, 1.254387164356404818e-09, 8.301678658716651350e-11, 1.378826230247136174e-09, 1.941931874380921394e-09
2.040000000000000000e+03, 4.576837311421822192e-11, 1.677857599006757239e-10, 2.073036054469175725e-10, 7.395856108327199449e-10, 1.245120487571984863e-09, 8.227347892275114301e-11, 1.392556671268153131e-09, 1.941279126878401720e-09
2.041000000000000000e+03, 3.782697329040376887e-11, 1.724798708010373862e-10, 2.086221165262566284e-10, 6.621696685867502165e-10, 1.250048678900459783e-09, 8.170184267270887559e-11, 1.401370657535943865e-09, 1.983326202533267141e-09
2.042000000000000000e+03, 3.477351566825911230e-11, 1.748603585462418142e-10, 2.094023915032666489e-10, 7.363878263935360892e-10, 1.255243295695438654e-09, 8.046810655534888765e-11, 1.403516440210868388e-09, 1.979555308904195928e-09
2.043000000000000000e+03, 3.345963783290959810e-11, 1.749270949090696577e-10, 2.097468085003294656e-10, 7.357847742798606830e-10, 1.257642953991135414e-09, 7.905186406685139724e-11, 1.404099311859161185e-09, 1.985268780649154444e-09
2.044000000000000000e+03, 3.499729620781268711e-11, 1.747596098148660127e-10, 2.098034370571227428e-10, 7.726894279131552402e-10, 1.257335740453808416e-09, 7.768180305604972980e-11, 1.395953618131107331e-09, 1.979350047505602338e-09
2.045000000000000000e+03, 3.618206160833731408e-11, 1.744511797701820180e-10, 2.101726420702876528e-10, 7.184072202179332710e-10, 1.280980249618505473e-09, 7.715745375458829362e-11, 1.372631051404366532e-09, 1.988885647191630007e-09
2.046000000000000000e+03, 3.161367977832064237e-11, 1.773756607170062178e-10, 2.107312191043905728e-10, 7.084023386209275180e-10, 1.292621482434699225e-09, 7.657478780072111231e-11, 1.371963686485934702e-09, 2.011595224901416707e-09
2.047000000000000000e+03, 3.256887076059642232e-11, 1.755874561979324715e-10, 2.109335201780557241e-10, 7.889585034022581423e-10, 1.295423198210130508e-09, 7.659291967490363039e-11, 1.366900876596991881e-09, 2.010848063019577312e-09
2.048000000000000000e+03, 3.383900134700949316e-11, 1.750845771451642556e-10, 2.105850400344759569e-10, 7.201422105550767358e-10, 1.282125988258128981e-09, 7.699851147226863031e-11, 1.376799861604693619e-09, 1.867554840338615359e-09
2.049000000000000000e+03, 3.468141221535302571e-11, 1.738046012706570347e-10, 2.100741808966382066e-10, 8.121510693879518413e-10, 1.276919238556130699e-09, 7.757366034375472000e-11, 1.390479036222926030e-09, 2.161757607332518808e-09
2.050000000000000000e+03, 3.415455829176810297e-11, 1.733870409439556180e-10, 2.098512241083802929e-10, 8.107960138829267697e-10, 1.312614951681837689e-09, 7.334038693644627825e-11, 1.426936486606169468e-09, 2.160128593218531422e-09
2.051000000000000000e+03, 2.842746830511968705e-11, 1.818297472994999435e-10, 2.084359579613464049e-10, 8.081575604596980947e-10, 1.321216627637509092e-09, 7.411713826028372826e-11, 1.452363805385529270e-09, 2.063248942030777329e-09
2.052000000000000000e+03, 3.633505782206076236e-11, 1.849602907431375110e-10, 2.056779169902766603e-10, 7.592723578394164128e-10, 1.326132130177303504e-09, 7.556556221030583783e-11, 1.462214605121575077e-09, 2.140260761105824141e-09
2.053000000000000000e+03, 4.727612354828509660e-11, 1.866527550650127938e-10, 2.032408722421090187e-10, 7.322594034148034291e-10, 1.342365943914431550e-09, 7.592019030505029107e-11, 1.471476540376886093e-09, 2.147118705127145359e-09
2.054000000000000000e+03, 5.419080832134953204e-11, 1.874287849801888780e-10, 2.011266931539228848e-10, 6.377137150918825695e-10, 1.337588198355785153e-09, 7.653612319607140853e-11, 1.458611802432229617e-09, 2.141014983798685606e-09
2.055000000000000000e+03, 5.497704949245775425e-11, 1.886090639100665307e-10, 1.994936203774683596e-10, 8.991798414289473754e-10, 1.341574922844737972e-09, 7.819116301458238916e-11, 1.439525564849290881e-09, 2.195078627783767380e-09
2.056000000000000000e+03, 4.197090956171633632e-11, 1.804287053445823885e-10, 1.982470496465930322e-10, 8.269587011804018357e-10, 1.335608046573065273e-09, 7.981138314890066298e-11, 1.432057265719500755e-09, 2.224512189932904319e-09
2.057000000000000000e+03, 3.647192487090459480e-11, 1.770981584788875278e-10, 1.970177207628787041e-10, 7.756774177744839395e-10, 1.334095398244897023e-09, 7.929665354515427480e-11, 1.439508609326709864e-09, 2.267592222394546000e-09
2.058000000000000000e+03, 3.353898838806007330e-11, 1.752867488133293243e-10, 1.957847880631811597e-10, 7.743088772611680393e-10, 1.335138305438767203e-09, 7.861087762056156755e-11, 1.436373908108634696e-09, 2.164849857607011799e-09
2.059000000000000000e+03, 3.217450299978954594e-11, 1.745363149567890909e-10, 1.948049993278908913e-10, 8.278801505372333200e-10, 1.348099566966170218e-09, 7.800634780088260399e-11, 1.456788625073564137e-09, 2.153158440034207347e-09
2.060000000000000000e+03, 3.274650716284527960e-11, 1.738894352233509116e-10, 1.944416332028943070e-10, 7.918786051619065937e-10, 1.344622528898371154e-09, 7.743459454369565804e-11, 1.433124940347821789e-09, 2.165547316368125677e-09
2.061000000000000000e+03, 3.506779650217769440e-11, 1.805030044598278406e-10, 1.938631859671748695e-10, 7.804073991492485606e-10, 1.348042400069799537e-09, 7.613269771131081883e-11, 1.429365103624197231e-09, 2.237207671818637364e-09
2.062000000000000000e+03, 3.622206102892140664e-11, 1.824708384153996832e-10, 1.924906644521549087e-10, 9.227900851663404804e-10, 1.348614032660521721e-09, 7.376599946284688736e-11, 1.453407182120789037e-09, 2.295315851743388824e-09
2.063000000000000000e+03, 3.730793780982762643e-11, 1.834207821304768565e-10, 1.907721706773444473e-10, 8.696354858802260050e-10, 1.364815955862232929e-09, 7.146217605634647750e-11, 1.468449885870670704e-09, 2.128041359764974294e-09
2.064000000000000000e+03, 4.269628274464389555e-11, 1.844239992145915206e-10, 1.891538949811029236e-10, 8.735447256587939588e-10, 1.375596705443273465e-09, 6.913574726634791836e-11, 1.457383497858417882e-09, 2.252166715029664389e-09
2.065000000000000000e+03, 4.554992276853957586e-11, 1.843798485223577878e-10, 1.897838995575686639e-10, 8.922339377236578949e-10, 1.400110898639468956e-09, 6.676532620183286668e-11, 1.458529863492494401e-09, 2.269155824448883433e-09
2.066000000000000000e+03, 3.083840945071729297e-11, 1.801854121362120783e-10, 1.913494151680945472e-10, 8.887033354023861553e-10, 1.403946489425494707e-09, 6.659136594629918879e-11, 1.480764256121382488e-09, 2.320354286748038723e-09
2.067000000000000000e+03, 2.285060598172844766e-11, 1.778424489899509850e-10, 1.919137347228364924e-10, 7.646412139158022662e-10, 1.419318410737131628e-09, 6.794215211221266101e-11, 1.505376962058217197e-09, 2.444070988690978288e-09
2.068000000000000000e+03, 1.958125455535819550e-11, 1.768116854888614590e-10, 1.915932854753194710e-10, 8.722601540569702742e-10, 1.428865363044109914e-09, 6.921741212150901915e-11, 1.476466785458199969e-09, 2.224571187195490071e-09
2.069000000000000000e+03, 1.799778045420505255e-11, 1.762722046362383064e-10, 1.907670130307726749e-10, 8.569955087130264878e-10, 1.430577970029964091e-09, 7.057600537318423076e-11, 1.461674272404227929e-09, 2.411394869047783040e-09
2.070000000000000000e+03, 1.673038482585165191e-11, 1.765492345732446795e-10, 1.922940931786080883e-10, 8.482148549488543132e-10, 1.417852523916525745e-09, 7.197465204534488606e-11, 1.496899529297376705e-09, 2.317693366746441817e-09
2.071000000000000000e+03, 1.475245806244773335e-11, 1.812109979937490297e-10, 1.956996718048377187e-10, 8.698398893211835289e-10, 1.417637072476828412e-09, 7.390364747666310256e-11, 1.530052514784970306e-09, 2.385932865409654264e-09
2.072000000000000000e+03, 1.354206083142960283e-11, 1.830014309950874198e-10, 1.982522795414881366e-10, 8.878031064634925581e-10, 1.417041032953257647e-09, 7.632206579253748483e-11, 1.536411554903005909e-09, 2.407604297019526355e-09
2.073000000000000000e+03, 1.309714620185818775e-11, 1.836914808350034559e-10, 1.999281875983242892e-10, 8.837514482993225755e-10, 1.428658820141097391e-09, 7.895392038086752964e-11, 1.530104704431831444e-09, 2.215091229417603584e-09
2.074000000000000000e+03, 1.832206005239600257e-11, 1.840209510258787990e-10, 2.007954914511342334e-10, 1.011476707738294781e-09, 1.418199482669562352e-09, 8.154932203483359832e-11, 1.530107309467218151e-09, 2.331016581892624135e-09
2.075000000000000000e+03, 2.563154915721105088e-11, 1.841054910269255168e-10, 2.022250099182653895e-10, 9.589960067844713438e-10, 1.442199162022843330e-09, 8.420232972087184911e-11, 1.531518139955515144e-09, 2.542158352135983548e-09
2.076000000000000000e+03, 3.448497936810907778e-11, 1.718254528430913551e-10, 2.037209210188037319e-10, 8.450465989287326002e-10, 1.453060848985576930e-09, 8.546563835565244904e-11, 1.534355912002512076e-09, 2.488848646329020135e-09
2.077000000000000000e+03, 4.054442872358398272e-11, 1.661980033041283029e-10, 2.044890177218131612e-10, 9.590419733000156674e-10, 1.469838632579973705e-09, 8.763431037517954649e-11, 1.538607533035232637e-09, 2.439814036808060025e-09
2.078000000000000000e+03, 4.698062032797652299e-11, 1.634931995005996908e-10, 2.049353178589933294e-10, 1.013901230179460228e-09, 1.474754175129552394e-09, 8.959474207163645983e-11, 1.540038818663749593e-09, 2.513124466419588383e-09
2.079000000000000000e+03, 5.088702116351377816e-11, 1.614103990274123963e-10, 2.049751549623642393e-10, 8.575833298085716877e-10, 1.476659873217762554e-09, 9.156718406868579831e-11, 1.535467568307002827e-09, 2.469789804687069580e-09
2.080000000000000000e+03, 5.391527032499702947e-11, 1.604798805156345958e-10, 2.043423517023975307e-10, 8.724958405135991447e-10, 1.479618102095827434e-09, 9.348075856724968520e-11, 1.547968269867218825e-09, 2.569296008378260730e-09
2.081000000000000000e+03, 6.057230837286872663e-11, 1.708113278940783531e-10, 2.033569871689252044e-10, 9.320178565227006571e-10, 1.487053962507342645e-09, 9.496819802672936208e-11, 1.524389014021351659e-09, 2.491794550783497554e-09
2.082000000000000000e+03, 6.793975112275702002e-11, 1.751084459562767560e-10, 2.024024870402982633e-10, 8.990080209609546912e-10, 1.493100040245154740e-09, 9.564533789504705016e-11, 1.528786380314603727e-09, 2.715158072144473850e-09
2.083000000000000000e+03, 7.246764431010438281e-11, 1.769415474866979826e-10, 2.016165330374579236e-10, 9.972752024343325861e-10, 1.502806068148540838e-09, 9.619468610616476396e-11, 1.540215993188004752e-09, 2.637991816337114947e-09
2.084000000000000000e+03, 7.545000203274783140e-11, 1.780488832430894117e-10, 2.007606034052321429e-10, 1.018568574403869017e-09, 1.502013560504176514e-09, 9.671653025623796470e-11, 1.542788908691074681e-09, 2.625374752626818191e-09
2.085000000000000000e+03, 7.356039558451044662e-11, 1.785258278579377253e-10, 2.000297443134376435e-10, 1.023327342297049915e-09, 1.537869753919427320e-09, 9.722396728207091256e-11, 1.530624414761569898e-09, 2.715482846147495109e-09
2.086000000000000000e+03, 5.343954411793725351e-11, 1.891028116778265346e-10, 1.995425893752911251e-10, 1.016185121602643576e-09, 1.551502275279644505e-09, 9.690042345083624726e-11, 1.560761785907063601e-09, 2.630334263070774753e-09
2.087000000000000000e+03, 4.431741822885651007e-11, 1.939310371445967742e-10, 1.990615013086673207e-10, 1.064063538231296354e-09, 1.556667149979058355e-09, 9.526966415373734354e-11, 1.576962906742671975e-09, 2.555246368169265672e-09
2.088000000000000000e+03, 4.317046681067797365e-11, 1.967766633177079086e-10, 1.984975236923441347e-10, 1.077090403904343955e-09, 1.545166336195364970e-09, 9.372076861554027924e-11, 1.595258014632442996e-09, 2.595416355369699394e-09
2.089000000000000000e+03, 4.511264993390383390e-11, 1.985414759737693717e-10, 1.978216090554990239e-10, 1.093626942347097994e-09, 1.570515912266996261e-09, 9.219969475449917956e-11, 1.582200819989932083e-09, 2.842722534112332326e-09
2.090000000000000000e+03, 4.594861025223036103e-11, 1.998489205606498201e-10, 1.987850333889284992e-10, 1.085680555392516235e-09, 1.597620930218311903e-09, 9.079486898293844693e-11, 1.615647035923884256e-09, 2.904976252069438467e-09
2.091000000000000000e+03, 4.113673289744028051e-11, 2.049739583415435095e-10, 2.006084360811404157e-10, 1.092826533588030830e-09, 1.599415469734311787e-09, 8.985855549108451507e-11, 1.620648311143714407e-09, 2.776865139648858944e-09
2.092000000000000000e+03, 4.666163401891905853e-11, 2.075926233447207471e-10, 2.016829007025721755e-10, 9.720684917759202024e-10, 1.588970065596021397e-09, 9.030411807340456330e-11, 1.596686808336801023e-09, 2.760916935742032822e-09
2.093000000000000000e+03, 5.134647537371728288e-11, 2.091970232410412375e-10, 2.019806496082004071e-10, 1.111305526795770834e-09, 1.590352919598140535e-09, 9.083108808011574389e-11, 1.612335289228440196e-09, 2.962017300386644940e-09
2.094000000000000000e+03, 5.680684919129951314e-11, 2.107221363700736937e-10, 2.014436319695766403e-10, 9.972089528614203865e-10, 1.599252912784861494e-09, 9.139533781947449990e-11, 1.589786072148326000e-09, 2.849158158396802982e-09
2.095000000000000000e+03, 6.309161904475449995e-11, 2.115568580887999582e-10, 2.006538138457427496e-10, 1.051201614773319949e-09, 1.603923450457669772e-09, 9.184309097433541323e-11, 1.579386539194055343e-09, 2.828318226484765897e-09
2.096000000000000000e+03, 6.467130481587686433e-11, 2.353586997245588868e-10, 1.998159317497820704e-10, 1.077507217725483021e-09, 1.596738650720006536e-09, 9.370592061175244903e-11, 1.585961272850669989e-09, 2.888018186349405170e-09
2.097000000000000000e+03, 6.568252437439515044e-11, 2.237285500514384743e-10, 1.988750938396844236e-10, 1.061231547219288796e-09, 1.606932311041313172e-09, 9.591669331680357072e-11, 1.604096926559969913e-09, 2.944919762128248000e-09
2.098000000000000000e+03, 6.757425329396385815e-11, 2.199652615863097948e-10, 1.976323575368112700e-10, 1.025773945157366936e-09, 1.621340469002874440e-09, 9.806520926714826422e-11, 1.611893785901154455e-09, 2.757315252385376594e-09
2.099000000000000000e+03, 7.756008959685023994e-11, 2.187378760841456723e-10, 1.961386030341750531e-10, 9.720494511412284165e-10, 1.619131193627663130e-09, 1.001227231535322057e-10, 1.628226602962908865e-09, 2.835724346992357175e-09
2.100000000000000000e+03, 8.257379629930316788e-11, 2.183660729159224860e-10, 1.755265398980223628e-10, 9.437231330541417029e-10, 1.628311684430044945e-09, 1.022374986265876635e-10, 1.348705541256561563e-09, 2.828826476622804445e-09
