year, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, TaiESM1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CESM2-WACCM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, CMCC-CM2-SR5
2.035000000000000000e+03, 3.439546062322480680e+01, 2.913082209667854272e+01, 4.494101813025910985e+01, 4.451383818057675512e+01, 3.448828778056405042e+01, 4.364845776551963041e+01, 3.894618297721637390e+01, 2.798095686356102618e+01, 2.918050350116204683e+01, 3.226019371592779805e+01, 3.257086509994498869e+01, 3.188512708647835936e+01, 4.387598405620011732e+01, 3.662822371582260672e+01, 3.663755927925031131e+01, 2.509291035252929447e+01
2.036000000000000000e+03, 3.357412053102441263e+01, 3.196816111574232622e+01, 4.619957551393094519e+01, 4.363430233847656581e+01, 3.269449346878482032e+01, 4.475649316245942799e+01, 3.825629168315181516e+01, 2.823037419154984207e+01, 2.938652791838731559e+01, 3.265013376788571975e+01, 3.188201892168208218e+01, 3.198072705877241972e+01, 4.650048444678464676e+01, 3.690140186424611812e+01, 3.546015382214139322e+01, 2.490111015515548587e+01
2.037000000000000000e+03, 3.561400602365166179e+01, 3.103555501219145185e+01, 4.608373223420678499e+01, 4.363254351476284398e+01, 3.264283995320016629e+01, 4.317245382679956123e+01, 3.804502505985198724e+01, 2.755028362688508636e+01, 2.923140289817260751e+01, 3.392312594149471039e+01, 3.114686323767239529e+01, 3.175298774348949848e+01, 4.537816743111652329e+01, 3.291198750643440718e+01, 3.744460725890865405e+01, 2.538851569114815376e+01
2.038000000000000000e+03, 3.698796698220557744e+01, 3.204610251387512676e+01, 4.628717920295451194e+01, 4.543467233270811789e+01, 3.497175926968782278e+01, 4.388133726427928138e+01, 3.905272162593511354e+01, 2.772248152397121856e+01, 2.886861931378554047e+01, 3.430880668847048298e+01, 3.201789694936572772e+01, 3.111020222101367949e+01, 4.523177212968571581e+01, 3.485079380266323312e+01, 3.679345669615725711e+01, 2.552314872191760742e+01
2.039000000000000000e+03, 3.660116430733275195e+01, 3.107814614688815169e+01, 4.581581371146441484e+01, 4.601171806999774816e+01, 3.495972852336098669e+01, 4.312269930943648433e+01, 3.909040754690252584e+01, 2.811502304706473154e+01, 3.047595272739425099e+01, 3.438095436335257205e+01, 3.224102343600117848e+01, 3.160476210995966184e+01, 4.666258517195941380e+01, 3.744691566449237285e+01, 3.754279685693914104e+01, 2.509705874207467957e+01
2.040000000000000000e+03, 3.717875377782105772e+01, 3.061678976333400470e+01, 4.426868947152996725e+01, 4.729612453839142461e+01, 3.731315473032521624e+01, 4.274926657248927597e+01, 4.017902415932370985e+01, 2.826599577716486777e+01, 3.152550890232630820e+01, 3.381677629216327574e+01, 3.252079149371285638e+01, 3.196431931326631926e+01, 4.671033852126215180e+01, 3.770908511935198959e+01, 3.734088397559924744e+01, 2.523214935354375754e+01
2.041000000000000000e+03, 3.707027280312028239e+01, 2.900219174063116512e+01, 4.632062238922140551e+01, 4.705344807178217792e+01, 3.682475913797967593e+01, 4.274903405967551606e+01, 3.933952867301682232e+01, 2.882450536447587908e+01, 2.907875427846686378e+01, 3.367807124739433533e+01, 3.290511445314776751e+01, 3.200720808367367454e+01, 4.516018331561493682e+01, 3.973712438815109493e+01, 3.735944803319463858e+01, 2.595706724111100527e+01
2.042000000000000000e+03, 3.654484249237957272e+01, 2.948950644246376385e+01, 4.661200226314342387e+01, 4.709894491232497415e+01, 3.721031755309196143e+01, 4.401731960131363053e+01, 3.921560180537236562e+01, 2.850585838693148233e+01, 2.805821534480675439e+01, 3.429161653457893522e+01, 3.192208227510815988e+01, 3.340271661984553475e+01, 4.664583376320407382e+01, 3.799989140386923481e+01, 3.569958455211776283e+01, 2.571566958710542750e+01
2.043000000000000000e+03, 3.778643777407726390e+01, 2.800395428441441936e+01, 4.750428995499331819e+01, 4.561811199033750341e+01, 3.613882570474098088e+01, 4.274268470556888389e+01, 3.926701326966216499e+01, 2.841482822674374020e+01, 3.025770016411302166e+01, 3.371803672029363241e+01, 3.188027766123938633e+01, 3.313357956724847497e+01, 4.631245434831863150e+01, 3.818574279311187070e+01, 3.701663293622534923e+01, 2.544427480273489195e+01
2.044000000000000000e+03, 3.643872318114770792e+01, 2.952033793564596564e+01, 4.714295505689413091e+01, 4.280628453507611653e+01, 3.600465110370932109e+01, 4.197291350590825232e+01, 3.841012031215043265e+01, 2.886836715273076592e+01, 3.028979038766455645e+01, 3.375748299342009062e+01, 3.245027548986104904e+01, 3.339255290441061419e+01, 4.580794326509649750e+01, 3.831453727329888892e+01, 3.683818875241147595e+01, 2.598525253176246963e+01
