year, CMCC-ESM2, CESM2-WACCM, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1
2.065000000000000000e+03, 3.872835067626951893e-11, 1.341983739016161993e-09, -3.146881566453012991e-10, 1.364504650462313546e-09, 2.497643417719778626e-09, -2.230042481133707039e-09, -8.514399501859776982e-10
2.066000000000000000e+03, 4.168862984584757788e-10, 1.166749987486551206e-09, 1.213893973936494774e-09, -7.468738796908766006e-11, 1.695065507454899130e-09, 1.083530766360781204e-10, 7.481485888131106664e-10
2.067000000000000000e+03, -2.842654103177557108e-10, 2.360873114508416753e-09, 2.202908659724941751e-11, 1.476324445987912741e-09, -5.933351440770987952e-10, 7.155101293419575087e-11, 6.453177577980531195e-10
2.068000000000000000e+03, -2.683751572485606630e-10, 2.387293136007489795e-09, -3.522615968378626137e-10, 5.181024168090707840e-10, 1.804349084629550303e-09, -9.380220778009639105e-10, 7.036396491910604303e-10
2.069000000000000000e+03, 4.587028463652309800e-10, 1.718382676696689546e-09, 2.573766283499778288e-09, -3.705780627490406671e-11, 2.115910988239841187e-09, -2.126738677977731537e-09, -5.779590415412049871e-10
2.070000000000000000e+03, -7.927102567432337626e-10, 2.402234101153836253e-09, 1.209819890849150728e-09, -1.351125726709717908e-10, 1.672456948214047463e-09, -2.077369661358153192e-09, 1.244715656525479661e-09
2.071000000000000000e+03, -7.241549694688656110e-10, 1.181496579636118047e-09, 2.163403148798147894e-09, 5.916942414600726479e-10, -3.007919864839916469e-10, 6.882055506527036878e-10, -7.155246268838657454e-10
2.072000000000000000e+03, 4.879111390189238148e-10, 2.063763715165487429e-09, 9.697908017745885303e-11, 2.188592609529866969e-09, 1.926025602725796340e-09, -1.215319631711173130e-09, -4.130862131485084496e-11
2.073000000000000000e+03, 1.171269661286046199e-10, 2.234435399958128295e-09, 1.082775994780745339e-09, 3.489234230294969897e-10, 2.425290022129216760e-09, -1.340308375567277565e-09, -1.497378034174227132e-09
2.074000000000000000e+03, -1.160837138858620181e-09, 2.216842378530656560e-09, 9.108058459881370145e-10, -1.422055302730642419e-09, 1.662474785818358797e-09, 5.304681570123926847e-10, 2.946952429860737435e-10
2.075000000000000000e+03, -2.123392444349327456e-10, 1.302492912941659869e-09, -7.666453707435628499e-11, 2.922902391756909086e-10, 1.702330077757392176e-09, 5.780674334535637173e-10, 2.897221531979664520e-10
