year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1
2.053000000000000000e+03, 3.008703061593122063e-01, 3.604664327616252884e+00, 6.972900504040275838e-01, 2.262062486857417676e-01, 2.356073288407515509e+00, 6.122202927469875267e-01, 3.583255525802889752e-01, 1.896415268103615714e+00, 2.270569364955598579e-01
2.054000000000000000e+03, 3.102027377328858138e-01, 3.614174731321431633e+00, 6.733663803121744396e-01, 2.214514565999335383e-01, 2.365181261329739826e+00, 6.079134081718314819e-01, 3.587938424583108077e-01, 1.894245203737214833e+00, 2.312435450057085118e-01
2.055000000000000000e+03, 3.147736069352328192e-01, 3.624200129696951045e+00, 7.373596988759334447e-01, 2.170663038348719098e-01, 2.373182693969061674e+00, 6.044280848575592779e-01, 3.586967168632945735e-01, 1.889583240626283578e+00, 2.343036730470278162e-01
2.056000000000000000e+03, 3.050868545213527572e-01, 3.617987691078570656e+00, 7.229971062719068309e-01, 2.129053286164198644e-01, 2.377927511046171283e+00, 6.015108834155611373e-01, 3.580742091628673074e-01, 1.887137559603342174e+00, 2.328088159120938749e-01
2.057000000000000000e+03, 2.994098194214410702e-01, 3.613692460637283332e+00, 7.130052689405319555e-01, 2.093322878150803978e-01, 2.381259149054538060e+00, 5.985925809216741111e-01, 3.580563852216777088e-01, 1.890793433363801235e+00, 2.310921091235194347e-01
2.058000000000000000e+03, 2.949751964261064230e-01, 3.609768796460217644e+00, 7.145870168940610112e-01, 2.061207336249859801e-01, 2.385742884008482001e+00, 5.955656790929393374e-01, 3.585207450991846345e-01, 1.887975695621170624e+00, 2.293064690014150475e-01
2.059000000000000000e+03, 2.915504176368977629e-01, 3.606764887547073695e+00, 7.298968808067047842e-01, 2.034801032546538213e-01, 2.396147773014117632e+00, 5.932527539245996406e-01, 3.580104841113376790e-01, 1.899859081737940825e+00, 2.272553201469124928e-01
2.060000000000000000e+03, 2.899586468056786215e-01, 3.603855684806436255e+00, 7.221082163457915870e-01, 2.011156301785018696e-01, 2.400704701949561759e+00, 5.925638522240461725e-01, 3.596346777470791345e-01, 1.890546806556922865e+00, 2.248337386693444462e-01
2.061000000000000000e+03, 2.904862282692713960e-01, 3.613629870034384073e+00, 7.305938934171773980e-01, 1.982835606718898469e-01, 2.407616902701292805e+00, 5.910477161261440404e-01, 3.575582670701730748e-01, 1.887993083374387648e+00, 2.222710479479118595e-01
2.062000000000000000e+03, 2.905770555657192222e-01, 3.620443592596560567e+00, 7.733727424706211551e-01, 1.960453531614863298e-01, 2.413562676481211700e+00, 5.879276500654018189e-01, 3.553655015332682354e-01, 1.898896391624441460e+00, 2.193574815824989865e-01
2.063000000000000000e+03, 2.909833623079072784e-01, 3.626676545997587375e+00, 7.650766603524850051e-01, 1.943226516304530915e-01, 2.426465529934002330e+00, 5.844149994686249627e-01, 3.541304685808396302e-01, 1.903845845634401401e+00, 2.161403230469405579e-01
2.064000000000000000e+03, 2.960697153093568290e-01, 3.633336608218053598e+00, 7.697187621072306696e-01, 1.931225680401910116e-01, 2.440564335285348996e+00, 5.812412184398249027e-01, 3.536155798688515040e-01, 1.896500295240641121e+00, 2.136678023508624957e-01
2.065000000000000000e+03, 3.000237329662316932e-01, 3.638507854296074928e+00, 7.767789819613089008e-01, 1.924280589859258817e-01, 2.463201946914082452e+00, 5.832400284376115795e-01, 3.526777617932775888e-01, 1.894720160155637156e+00, 2.116054390816912434e-01
2.066000000000000000e+03, 2.867278724463045436e-01, 3.635976816282270541e+00, 7.663462902524524889e-01, 1.876120983692212696e-01, 2.478211771975784128e+00, 5.873765395638136377e-01, 3.513582947400708534e-01, 1.909257566581902488e+00, 2.280095516875008110e-01
2.067000000000000000e+03, 2.763141204509556026e-01, 3.633330904610016177e+00, 7.282124304705508422e-01, 1.831973924815908372e-01, 2.495937044583409925e+00, 5.893585591835996951e-01, 3.499255760776772139e-01, 1.925757333338032451e+00, 2.418470627772940917e-01
2.068000000000000000e+03, 2.689071615735789123e-01, 3.631362143798651854e+00, 7.485806143381468214e-01, 1.791168745649021343e-01, 2.512695688019760620e+00, 5.893142025527268180e-01, 3.484305487831134140e-01, 1.911912856732195021e+00, 2.537162229616070630e-01
2.069000000000000000e+03, 2.628277072830254579e-01, 3.629759600296678101e+00, 7.391617494471049987e-01, 1.754003301605113474e-01, 2.524814476261881158e+00, 5.877304587037704975e-01, 3.473558081447787882e-01, 1.904316815629815807e+00, 2.632072789369589438e-01
2.070000000000000000e+03, 2.571421602832612008e-01, 3.629488227066882455e+00, 7.322249578115122004e-01, 1.720506974454708016e-01, 2.526437028802347218e+00, 5.912403993179800032e-01, 3.465136686057538884e-01, 1.923081474921587430e+00, 2.707201416781336856e-01
2.071000000000000000e+03, 2.508187576169549349e-01, 3.637376149231305256e+00, 7.439784613593506402e-01, 1.678281189566362408e-01, 2.530603765515913484e+00, 5.983302029940800182e-01, 3.462571497292926681e-01, 1.943265006751815349e+00, 2.847770529177568455e-01
2.072000000000000000e+03, 2.451599594740992705e-01, 3.643800009186718203e+00, 7.529907958513014643e-01, 1.641049666694808506e-01, 2.534507839078089741e+00, 6.028909453332814694e-01, 3.465270103933453250e-01, 1.948805894817349227e+00, 2.965959428416744537e-01
2.073000000000000000e+03, 2.403829709359789624e-01, 3.649363684707125799e+00, 7.555387463330820452e-01, 1.609252148114420633e-01, 2.544032698688013738e+00, 6.057104675462242627e-01, 3.472554415382232418e-01, 1.947831254753593866e+00, 3.052878658051350058e-01
2.074000000000000000e+03, 2.416402505886501018e-01, 3.654452240355598569e+00, 7.895421649526681573e-01, 1.581689287819766643e-01, 2.546043811158249959e+00, 6.074815971773849244e-01, 3.480192081703162299e-01, 1.951781663548191270e+00, 3.108479652070488264e-01
2.075000000000000000e+03, 2.466534239018176866e-01, 3.659001986225474123e+00, 7.781399302634365300e-01, 1.558021890675283239e-01, 2.561843753526284573e+00, 6.107524518216096432e-01, 3.490192977069518365e-01, 1.953279645123524810e+00, 3.124575208546567229e-01
2.076000000000000000e+03, 2.553747780917416388e-01, 3.641643735851479491e+00, 7.491817051661946447e-01, 1.530165445318713291e-01, 2.576738683707145761e+00, 6.144120724379216192e-01, 3.485799602115890461e-01, 1.956268133368446183e+00, 3.229551939979368735e-01
2.077000000000000000e+03, 2.634895686504786227e-01, 3.626819560672492226e+00, 7.767460474075374988e-01, 1.506997116564831596e-01, 2.594350749073635054e+00, 6.164570669766326061e-01, 3.479233833863724090e-01, 1.960902765206735454e+00, 3.304730842126760715e-01
2.078000000000000000e+03, 2.732677776668929193e-01, 3.613862389273869269e+00, 7.891807602107920872e-01, 1.487792213973230249e-01, 2.608824129349336385e+00, 6.173416428064074646e-01, 3.471140022557143712e-01, 1.963624402944371239e+00, 3.361565211013909371e-01
2.079000000000000000e+03, 2.816749652773417045e-01, 3.601188056551474226e+00, 7.483948643255214916e-01, 1.472014813454065318e-01, 2.619840312536646287e+00, 6.176692451990923871e-01, 3.453646955025538867e-01, 1.963512635474957913e+00, 3.399327232187050463e-01
2.080000000000000000e+03, 2.895570165139489949e-01, 3.590212393774330213e+00, 7.507010809337041346e-01, 1.460123322560440695e-01, 2.629771330335186175e+00, 6.167784749732518890e-01, 3.441599322554877438e-01, 1.971948902780572999e+00, 3.420283908271865014e-01
2.081000000000000000e+03, 3.014196615569715854e-01, 3.599445307335749522e+00, 7.771768103093841251e-01, 1.449634723000564618e-01, 2.640457238025077036e+00, 6.148979660015619908e-01, 3.454174013734548909e-01, 1.959478651768086666e+00, 3.405566007982445687e-01
2.082000000000000000e+03, 3.151813095666067266e-01, 3.606594392833519791e+00, 7.792844509003825637e-01, 1.442543278010458840e-01, 2.651200424391359167e+00, 6.131839874384531486e-01, 3.469217987862882047e-01, 1.961947545008691396e+00, 3.380083151177278866e-01
2.083000000000000000e+03, 3.272296081486961161e-01, 3.612527348067207100e+00, 8.087165955495297931e-01, 1.438758918916223373e-01, 2.664120123637263582e+00, 6.114173103180708946e-01, 3.484499572866187056e-01, 1.968108499704054326e+00, 3.345851779059033637e-01
2.084000000000000000e+03, 3.381091210720850171e-01, 3.618151691138740578e+00, 8.168408082319438268e-01, 1.437652895900916328e-01, 2.673302487126293592e+00, 6.096541360954514932e-01, 3.498362108923600000e-01, 1.969463947635434309e+00, 3.303283832750079085e-01
2.085000000000000000e+03, 3.439404298287625505e-01, 3.623016341753946268e+00, 8.201615730374399726e-01, 1.439700323569102769e-01, 2.699294106033851559e+00, 6.084230967996048234e-01, 3.510495375639862692e-01, 1.963336223977094175e+00, 3.248374468169915041e-01
2.086000000000000000e+03, 3.298782495586833896e-01, 3.645433687558810920e+00, 8.162735414338304629e-01, 1.428354648023467677e-01, 2.720383159536378326e+00, 6.077263499425253901e-01, 3.557638182853470887e-01, 1.979320083187210866e+00, 3.186491992343488677e-01
2.087000000000000000e+03, 3.212263319761261560e-01, 3.664957136738293375e+00, 8.254667133896000930e-01, 1.422938499338544382e-01, 2.736863605557767976e+00, 6.069626286475483523e-01, 3.597332969846276374e-01, 1.987465849422423991e+00, 3.130302783512762255e-01
2.088000000000000000e+03, 3.183283805128467314e-01, 3.683222503312513219e+00, 8.261632344490867919e-01, 1.420794874048549594e-01, 2.743438047897149179e+00, 6.060656557345057704e-01, 3.627210879984297809e-01, 1.996689139849030958e+00, 3.072164235942403399e-01
2.089000000000000000e+03, 3.185803181573496623e-01, 3.700178298145996969e+00, 8.280804627535636175e-01, 1.420475918515129998e-01, 2.761606727697452079e+00, 6.047284419709915149e-01, 3.652314028415638014e-01, 1.989427220908471572e+00, 3.013594601797871531e-01
2.090000000000000000e+03, 3.184521686480722980e-01, 3.716133497039540323e+00, 8.241853800764364912e-01, 1.423338420282256322e-01, 2.787708607955011963e+00, 6.062792404226474696e-01, 3.676361556808337427e-01, 2.005188042424452810e+00, 2.955717055006671923e-01
2.091000000000000000e+03, 3.129140558615581269e-01, 3.738328974504270263e+00, 8.099249170371176643e-01, 1.407090088231664760e-01, 2.804668595175392021e+00, 6.091626961581886324e-01, 3.675479533857620162e-01, 2.010530106885849655e+00, 3.049037051711292468e-01
2.092000000000000000e+03, 3.167241731807103333e-01, 3.758548222972595720e+00, 7.667500576127196377e-01, 1.396724068774875260e-01, 2.811919206358579615e+00, 6.095730124945822892e-01, 3.673803900554992174e-01, 2.002569141664974683e+00, 3.124470043593180479e-01
2.093000000000000000e+03, 3.212772671144452086e-01, 3.777368631897483287e+00, 7.900442677459381668e-01, 1.390724118332958559e-01, 2.818773890823627948e+00, 6.085967185380884992e-01, 3.671148916597157252e-01, 2.014554206068215336e+00, 3.182852605199260054e-01
2.094000000000000000e+03, 3.278261059394664279e-01, 3.795713555515180193e+00, 7.523574874705657445e-01, 1.388128254971803810e-01, 2.829250133477795082e+00, 6.066599878865600592e-01, 3.664650602443654259e-01, 2.005569731663678468e+00, 3.222256094242456070e-01
2.095000000000000000e+03, 3.366039929443706002e-01, 3.812554262277839001e+00, 7.586276194940669848e-01, 1.389369816077819786e-01, 2.839808509677567816e+00, 6.043936224702257665e-01, 3.651221752821406374e-01, 2.003238237621740581e+00, 3.246539163691881669e-01
2.096000000000000000e+03, 3.420110529700486901e-01, 3.868898546924147919e+00, 7.520616401611252000e-01, 1.403345352763196718e-01, 2.844838256154404554e+00, 6.019669962636648997e-01, 3.646186416510748818e-01, 2.008454319496317808e+00, 3.260558959045136707e-01
2.097000000000000000e+03, 3.468381148819178472e-01, 3.879155148979700041e+00, 7.372780235160044660e-01, 1.422084897041168139e-01, 2.854546616407697801e+00, 5.997645091970068565e-01, 3.632333327683763269e-01, 2.018857990998817797e+00, 3.253206177721449377e-01
2.098000000000000000e+03, 3.524580112737766835e-01, 3.891814108138930806e+00, 7.194538950710372971e-01, 1.443042836260248207e-01, 2.868901745858281060e+00, 5.970859650767710303e-01, 3.620859455394520032e-01, 2.023609170570519478e+00, 3.226039158187426481e-01
2.099000000000000000e+03, 3.663887435892710931e-01, 3.904657482006965274e+00, 6.983853815757478101e-01, 1.467207404304215479e-01, 2.877962406111001403e+00, 5.938271091463220852e-01, 3.612131331663952505e-01, 2.032042238797367339e+00, 3.184978628903624154e-01
2.100000000000000000e+03, 3.775604054561369494e-01, 3.917121366131222526e+00, 6.856018809466398745e-01, 1.495027882690709020e-01, 2.890138883824765692e+00, 5.448605800107410024e-01, 3.604745647355935834e-01, 1.908710023361642083e+00, 3.119812689350336954e-01
