year, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, NorESM2-LM, TaiESM1
2.031000000000000000e+03, 1.938342132408407892e+01, 1.144406496600083933e+01, 1.736833822028986773e+01, 1.136324400692591929e+01, 1.907119991288196648e+00, 4.791760761199934215e+00, 6.159294001898787840e+00, 1.683999263461980078e+01, 1.341446088643819046e+01, 1.146747559152094986e+01, 8.058088317526969746e+00, 1.230549476035763057e+01, 1.772431162409343841e+01, 8.669403205613710028e+00, 9.556902989412954241e+00, 7.508116366863489155e+00
2.032000000000000000e+03, 1.923035186466391266e+01, 1.105083818666508222e+01, 1.717658497763742886e+01, 1.133744495523010087e+01, 1.786237781284983894e+00, 4.360202000486950169e+00, 5.367641299309800829e+00, 1.682201754945344874e+01, 1.328255334634673446e+01, 1.131527439936165180e+01, 8.334495428781666604e+00, 1.244504144876580298e+01, 1.774857970080307723e+01, 8.748871717534610681e+00, 9.576232626053917230e+00, 8.714643354260095620e+00
2.033000000000000000e+03, 1.923046443322721188e+01, 1.095835836669769847e+01, 1.745101901958290824e+01, 1.174825527378860635e+01, 1.714879263286836375e+00, 5.199749304880483258e+00, 5.575022052290720787e+00, 1.676184192728270972e+01, 1.325804877899576084e+01, 1.145657117624696575e+01, 8.365604983728164967e+00, 1.216644435589269513e+01, 1.767891793199873618e+01, 8.977954604810221895e+00, 9.500603841086958212e+00, 7.392200818643985372e+00
2.034000000000000000e+03, 1.942524262629598297e+01, 1.144575369077066185e+01, 1.769749578119645506e+01, 1.239960729550953822e+01, 1.753866401637584449e+00, 5.675174383303781767e+00, 6.112487264141582166e+00, 1.671958214393755782e+01, 1.353129119757267596e+01, 1.177823306023634764e+01, 8.185632363459866667e+00, 1.245250332111856650e+01, 1.765657098039288186e+01, 8.866668703823163966e+00, 9.108945754333838352e+00, 7.346339046049191523e+00
2.035000000000000000e+03, 1.925033899752473232e+01, 1.173660984466390644e+01, 1.768113202936434902e+01, 1.295366839804276005e+01, 1.742013610727801032e+00, 4.922578045675273906e+00, 6.916273058117297090e+00, 1.660926029454347486e+01, 1.389113290695537550e+01, 1.171396060718916843e+01, 8.483918586040859466e+00, 1.267403607007856259e+01, 1.782869049551233687e+01, 8.835889037743639207e+00, 8.961142573352516294e+00, 8.136565082234698210e+00
2.036000000000000000e+03, 1.965513008561598340e+01, 1.139502178912869823e+01, 1.746513455182846286e+01, 1.289188525426438758e+01, 1.733576958767936160e+00, 4.361409923430253244e+00, 6.997610616291635388e+00, 1.669926169984822550e+01, 1.395604300702424183e+01, 1.174664764131096817e+01, 9.472665440476593091e+00, 1.248844117324647662e+01, 1.788195486813952328e+01, 8.793961000054112631e+00, 9.238098642655225845e+00, 7.263654425483943022e+00
2.037000000000000000e+03, 1.982984133652149339e+01, 1.134873469232148047e+01, 1.735011258545286950e+01, 1.211023143007298053e+01, 1.710443880583012222e+00, 4.957392272828442081e+00, 6.041932205826204161e+00, 1.659311915661590575e+01, 1.380766731021304317e+01, 1.157113348403918884e+01, 9.136393278145895636e+00, 1.298307046474972992e+01, 1.795163521192956324e+01, 8.855461704266016199e+00, 9.455661686946235989e+00, 7.230858386364853452e+00
2.038000000000000000e+03, 1.984165123474092240e+01, 1.145974177988317955e+01, 1.732856210588122536e+01, 1.221278628698839341e+01, 1.793309321847749382e+00, 5.731318908455655503e+00, 5.110898061471032428e+00, 1.635100842198297144e+01, 1.378206701330692496e+01, 1.163925206651379085e+01, 8.648266139840421474e+00, 1.261611398911394843e+01, 1.798062824740163990e+01, 8.829749172876633523e+00, 9.319148250495345565e+00, 8.670372517486663710e+00
2.039000000000000000e+03, 1.993348736528921705e+01, 1.125353246884074387e+01, 1.774181731558497788e+01, 1.222325655027582769e+01, 1.852707777432716751e+00, 5.291664607859695835e+00, 5.655059997551760809e+00, 1.620586272204894129e+01, 1.371834564883708119e+01, 1.184430884468921086e+01, 8.750808696523797892e+00, 1.266731425315714787e+01, 1.803158024352581634e+01, 8.951636357804277466e+00, 9.356639750531590138e+00, 8.458981159847931863e+00
2.040000000000000000e+03, 1.992597698555593411e+01, 1.143249885950419475e+01, 1.844556369791015982e+01, 1.195839461510686164e+01, 1.997960965060397998e+00, 4.978967986456118489e+00, 6.330349965013091662e+00, 1.638542132215989611e+01, 1.379088553995571154e+01, 1.181986037176615234e+01, 8.596680286577191410e+00, 1.293043857486419590e+01, 1.806429676497681314e+01, 8.778337292889398569e+00, 9.288899426566086248e+00, 6.997136670670732528e+00
