year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR
2.072000000000000000e+03, 7.641366446157817974e-10, 2.051617003793618485e-09, 4.490454325900537958e-10
2.073000000000000000e+03, 7.711523104958472368e-10, 1.151926029791466183e-09, 3.601697694254549951e-10
2.074000000000000000e+03, 7.047222554587564746e-10, 8.759046030879360156e-10, 2.697683415707534673e-10
2.075000000000000000e+03, 9.209251821054156552e-10, 6.161873564911553094e-10, 2.328943574901889479e-10
2.076000000000000000e+03, 8.086093962304737154e-10, 9.555198502792873787e-10, 2.999143018943007062e-10
2.077000000000000000e+03, 1.109523302452022789e-09, 2.335692557341887419e-09, 3.168546281356119762e-10
2.078000000000000000e+03, 8.421524357943538705e-10, 2.052829003413550558e-09, 4.408140744597861337e-10
2.079000000000000000e+03, 8.685565658124024604e-10, 1.607138396975993945e-09, 3.405652958581718369e-10
2.080000000000000000e+03, 7.004159128998061547e-10, 2.455654252083524451e-09, 3.013552370401322609e-10
2.081000000000000000e+03, 9.805274249985016971e-10, 1.636838292066462336e-09, 2.573522406497834543e-10
2.082000000000000000e+03, 8.282163985238919060e-10, 1.022204841290004190e-09, 2.270340954180446566e-10
2.083000000000000000e+03, 8.864827599724398043e-10, 1.242891811858828520e-09, 3.961361850537987960e-10
2.084000000000000000e+03, 6.783993173477444462e-10, 1.610965326118878441e-09, 4.156304671149399337e-10
2.085000000000000000e+03, 8.854371866346702599e-10, 1.517881666853531642e-09, 3.774032301372119191e-10
2.086000000000000000e+03, 8.836636618652202082e-10, 1.091006748212504404e-09, 1.938029742561485387e-10
2.087000000000000000e+03, 9.761183630916703303e-10, 1.051806098076101463e-09, 2.470228059926456613e-10
2.088000000000000000e+03, 8.028929754057151567e-10, 1.435090183911079952e-09, 3.271990824158806062e-10
2.089000000000000000e+03, 7.649650450999486972e-10, 1.388408619010571034e-09, 3.741974407328368701e-10
2.090000000000000000e+03, 1.118116763626067917e-09, 1.058501424689465494e-09, 1.941074370077616968e-10
2.091000000000000000e+03, 8.910773924404513754e-10, 9.938010418391363150e-10, 3.992849725414586165e-10
2.092000000000000000e+03, 8.516236304715235971e-10, 1.333441755246443946e-09, 4.950103505851466737e-10
2.093000000000000000e+03, 7.529458718710381643e-10, 2.422449678856495456e-09, 4.697923188726224977e-10
2.094000000000000000e+03, 8.671231376274744956e-10, 1.728025576086924128e-09, 3.173712188779451299e-10
2.095000000000000000e+03, 7.435172768894541161e-10, 1.665390150024277773e-09, 3.218877216100710170e-10
2.096000000000000000e+03, 1.016805667986580425e-09, 2.123389054761111556e-09, 4.236688095826643948e-10
2.097000000000000000e+03, 7.692400740641662631e-10, 1.991028668769481126e-09, 3.391880232923887493e-10
2.098000000000000000e+03, 1.015736536018690524e-09, 1.475557728176864193e-09, 3.298838480632676336e-10
2.099000000000000000e+03, 9.276607337649376060e-10, 9.093439236429822827e-10, 4.064565157879356447e-10
2.100000000000000000e+03, 9.565721836400690092e-10, 1.056677614113750978e-09, 4.540505305034681658e-10
