year, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, INM-CM4-8, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, MIROC-ES2L, GFDL-ESM4
2.042000000000000000e+03, 2.414535150372842054e+00, 2.992721610739701887e+00, 1.343420110233823239e+00, 1.135228532976186422e+00, 1.235952547660436718e+00, 2.780357375023712052e+00, 2.085360122680359307e+00, 1.643483175501651239e+00, 1.428367643325056280e+00, 2.546106080491460588e+00, 1.893681083281611777e+00, 1.403165250835691324e+00, 1.512045213137074740e+00, 1.655197944263796295e+00, 2.052265949204348239e+00, 1.550101258743175503e+00
2.043000000000000000e+03, 2.606552423140642727e+00, 2.111175703195447895e+00, 1.137457337968756699e+00, 1.367538807986076188e+00, 1.492403390644486683e+00, 2.102177933410262600e+00, 2.355372580177310216e+00, 2.200689478847635439e+00, 9.373868655113302140e-01, 2.451616327671318540e+00, 2.321848342816520638e+00, 1.369719703188218674e+00, 1.120979625801704627e+00, 1.801925764907718497e+00, 2.294262742166756741e+00, 1.841501087544385795e+00
2.044000000000000000e+03, 2.109457132019029846e+00, 1.378391805341216747e+00, 1.554755939611278448e+00, 1.058670048829589261e+00, 1.365195777238831676e+00, 1.552668770539112009e+00, 2.142860050263557081e+00, 2.169190570055110623e+00, 1.618353164293226509e+00, 2.458363371713411905e+00, 1.640080688158236821e+00, 1.803532637543305395e+00, 7.975498848814399633e-01, 1.868838117670323928e+00, 2.422957768321087446e+00, 1.505335179925510580e+00
2.045000000000000000e+03, 2.126619305282561712e+00, 2.015647422782107956e+00, 1.447972522296278930e+00, 1.146208168100243840e+00, 1.590620011899621433e+00, 2.698930554447713348e+00, 2.115992549747296447e+00, 1.923877316964020645e+00, 1.654169379366847270e+00, 2.454750876517443281e+00, 1.114110354989542140e+00, 1.603524124239966486e+00, 1.423031391574961946e+00, 2.082228900055448584e+00, 1.891729855443349706e+00, 1.356912646762550967e+00
2.046000000000000000e+03, 2.146513573997338664e+00, 2.475852821652989810e+00, 1.194759512193905637e+00, 9.042505185806102297e-01, 1.565433829425429746e+00, 3.450472503674097524e+00, 2.064528757239172396e+00, 1.713300828110436935e+00, 1.663298554229346804e+00, 2.782789023340767720e+00, 1.646547131127316321e+00, 1.465967409748691885e+00, 7.055178584360823901e-01, 2.252474998758652092e+00, 1.879729780104796077e+00, 1.110974567497457377e+00
2.047000000000000000e+03, 2.486015547926760050e+00, 1.689557102098897312e+00, 1.416373474272445865e+00, 9.635738506869699904e-01, 1.281341344783731850e+00, 3.244655222848472853e+00, 1.730999133064613948e+00, 2.034631122524133140e+00, 1.532899831373109256e+00, 2.253552700184418889e+00, 2.307139602227361586e+00, 2.234143927829169485e+00, 1.495107981630848570e+00, 1.971475751876411664e+00, 2.700159379915405555e+00, 1.052572531260364208e+00
2.048000000000000000e+03, 3.072171068201065669e+00, 1.321196138991892921e+00, 8.242540078472884169e-01, 1.242432830343089600e+00, 1.821356707731349056e+00, 2.353547417525278185e+00, 2.349886296628469484e+00, 2.834302413617048710e+00, 1.826633025844011105e+00, 2.744596105214820891e+00, 2.123952571456421801e+00, 1.853963168475460055e+00, 1.106507397086266886e+00, 1.690746753509186684e+00, 2.322927570140755460e+00, 8.786249173871318874e-01
2.049000000000000000e+03, 1.885824518862359467e+00, 2.528944273597663273e+00, 1.052959691862851210e+00, 1.045993067855114811e+00, 1.418584939955737978e+00, 1.612313281698239953e+00, 2.716235354018684323e+00, 2.386991613538004042e+00, 1.799693611324820974e+00, 2.649838439510503019e+00, 1.660647697753781626e+00, 1.339423387578215330e+00, 8.840951303217579049e-01, 1.764427018294233429e+00, 1.669572566702266725e+00, 1.375947764058849110e+00
2.050000000000000000e+03, 2.007593798936533780e+00, 2.802800782406458246e+00, 1.196094468659886889e+00, 1.079925991544514297e+00, 1.504436437693856821e+00, 2.695681236769327249e+00, 2.169373571569388481e+00, 1.765895899431533467e+00, 1.677492482996512324e+00, 2.619609404402885033e+00, 1.573100372042325779e+00, 1.730586276450537087e+00, 1.161190587201515134e+00, 1.880649354123007377e+00, 2.094010902148792930e+00, 1.501144078383031877e+00
2.051000000000000000e+03, 1.762309338236207390e+00, 2.965787832805485191e+00, 1.264968422258933023e+00, 9.967956493686624952e-01, 1.519874043181230983e+00, 2.409219643910617048e+00, 2.593844537158321195e+00, 1.641483850002111833e+00, 1.657568216137177419e+00, 2.657405333408151105e+00, 1.398735072690865611e+00, 1.533102649607253953e+00, 1.213243895873438616e+00, 2.344161013620708722e+00, 2.153183699859217981e+00, 1.333893088383282688e+00
2.052000000000000000e+03, 2.176771338904328612e+00, 1.847156430025377771e+00, 1.304886493379135315e+00, 9.848826261677087190e-01, 1.043238716165768576e+00, 2.062785200604688285e+00, 1.711094488034361039e+00, 1.635325446278975026e+00, 1.468069729132571943e+00, 2.284010562657655896e+00, 1.884159654676589524e+00, 1.988595068241550523e+00, 1.190119486301100871e+00, 2.330783195409555919e+00, 2.279115226567098418e+00, 1.600814982921110241e+00
2.053000000000000000e+03, 2.552147471599886863e+00, 1.866626027628074391e+00, 1.489550622243254852e+00, 1.541040918307122531e+00, 1.115232599541939651e+00, 1.759929628042004035e+00, 1.963024609064121018e+00, 1.507470659247847733e+00, 1.316999569968975159e+00, 2.515974154882185676e+00, 1.995632040813988484e+00, 3.159732500745460637e+00, 7.446928484135718618e-01, 1.463531476680312471e+00, 1.978575366011848802e+00, 1.060725567013150128e+00
2.054000000000000000e+03, 2.814679977586394877e+00, 1.708563788962294883e+00, 1.537686082133554288e+00, 1.108460717344889712e+00, 1.355154325371115576e+00, 2.012415836442921879e+00, 2.133206747960359362e+00, 1.530406825706731588e+00, 2.816855703183248405e+00, 2.809252763154113097e+00, 1.345410909134603594e+00, 2.417298586740900479e+00, 1.179822343553156960e+00, 1.517044768721805381e+00, 1.912270897848158402e+00, 1.959358331676223086e+00
2.055000000000000000e+03, 2.199632816171225080e+00, 2.121037899813843275e+00, 1.881948528113783992e+00, 1.701436613498256589e+00, 1.390399787693887612e+00, 3.307524541625729952e+00, 2.154148320428526997e+00, 2.275235929530780687e+00, 1.658085987300386588e+00, 2.473695811710726389e+00, 2.344156146099811266e+00, 1.660753604525682547e+00, 7.549360436388069528e-01, 1.952488498691845598e+00, 1.959708876029261582e+00, 2.361472537415318040e+00
2.056000000000000000e+03, 2.253467183533770068e+00, 2.275283275115223880e+00, 1.110804743387447724e+00, 1.705992496554173510e+00, 1.217542142439016484e+00, 3.070396066739383922e+00, 2.164929173058491862e+00, 1.610899412620464100e+00, 1.422369986104254913e+00, 2.920886885644307096e+00, 2.078636545224693322e+00, 1.728022082079080368e+00, 8.250558484244642221e-01, 1.859712383745488307e+00, 2.546150423121558148e+00, 1.663341533311586851e+00
2.057000000000000000e+03, 2.653964172790415077e+00, 1.610301838074094105e+00, 1.105074435993394166e+00, 9.266108765708050976e-01, 1.213828629789679869e+00, 2.707501434742400903e+00, 2.218370144175475289e+00, 2.086543604918038586e+00, 1.587870413298771322e+00, 2.609031117775427067e+00, 1.941040471554869029e+00, 2.099699645019869276e+00, 1.184945801161166656e+00, 1.530474236412785238e+00, 2.095477970748964580e+00, 1.129542696591577355e+00
2.058000000000000000e+03, 1.872447836245584751e+00, 1.632603379384075737e+00, 9.006687625013800602e-01, 1.311507979808951507e+00, 1.381487845328852604e+00, 2.528516332074577821e+00, 1.933480106238363971e+00, 2.942545761730964937e+00, 1.416764709546766587e+00, 2.809301030687881173e+00, 1.897014283766933707e+00, 1.532333085360928493e+00, 1.233721613575023746e+00, 1.303586324341925451e+00, 2.006043222022003913e+00, 1.646459413085178181e+00
2.059000000000000000e+03, 2.724127839852666710e+00, 1.479680182007149458e+00, 1.592343221336923520e+00, 1.031481998763042141e+00, 1.444170000754960270e+00, 2.374476896490164357e+00, 2.377395576976448766e+00, 2.168995644380218302e+00, 1.383079315831465594e+00, 2.247048781967466269e+00, 1.959890278560791010e+00, 1.403885869736436254e+00, 1.085789427689227038e+00, 2.096069282621094931e+00, 2.012863598755153749e+00, 1.468775515104324469e+00
2.060000000000000000e+03, 2.107522513260251973e+00, 2.807522131511835717e+00, 1.984092027143477877e+00, 9.953813366557270337e-01, 1.199409896541663967e+00, 1.787859132736580703e+00, 2.227055331539612215e+00, 1.664750305589940194e+00, 1.912199872642798448e+00, 2.643369750478320235e+00, 1.704933576866585199e+00, 1.746765111790778979e+00, 1.395809149499394719e+00, 2.131077397639124626e+00, 2.433438228104209511e+00, 9.796965323797279801e-01
2.061000000000000000e+03, 2.412592912397207190e+00, 2.763993264885163281e+00, 1.292704698230573435e+00, 1.226225210751321626e+00, 1.306966386217667253e+00, 1.823765499675464863e+00, 2.196032218099893907e+00, 2.698204587455917292e+00, 1.437118621217782444e+00, 2.663426646952615773e+00, 1.423400714840155734e+00, 1.232426173257796798e+00, 1.161921590660102810e+00, 1.957335152389570787e+00, 2.105345142098131284e+00, 1.245099943132691900e+00
2.062000000000000000e+03, 2.517657140447369990e+00, 2.340401675975077200e+00, 1.359194313656148623e+00, 1.226724048439459036e+00, 1.149863378231368971e+00, 1.954302822784393046e+00, 2.342865193537305490e+00, 2.860234372952532578e+00, 2.006639870515433355e+00, 2.186559257630478648e+00, 1.580936384556274499e+00, 1.370651747143688093e+00, 9.587180283800683656e-01, 1.871840709436913164e+00, 1.862380218194482850e+00, 1.342506677705274765e+00
2.063000000000000000e+03, 2.361380165814018994e+00, 2.083610431056834411e+00, 1.486720661217929784e+00, 9.994589630139011360e-01, 1.362896231059927299e+00, 2.664702918399150189e+00, 2.304137358018737647e+00, 2.703154591391292882e+00, 1.480973787681823861e+00, 2.442996412214748503e+00, 1.464252267691978915e+00, 1.923544907997455145e+00, 9.320831858766842615e-01, 2.334885770855291920e+00, 2.228274436679146486e+00, 1.676861198498996286e+00
2.064000000000000000e+03, 2.512260579223064116e+00, 3.311973673845109989e+00, 9.743876156374901010e-01, 9.250111254108384085e-01, 1.973982966081306190e+00, 3.313749363696157690e+00, 2.420016310327445463e+00, 1.693250686730342291e+00, 1.563824549649535323e+00, 2.183739784536719686e+00, 1.222988647409888774e+00, 2.178656827482776670e+00, 1.119082263988113279e+00, 2.201492200737509730e+00, 2.267557799818983089e+00, 1.399415123956152973e+00
2.065000000000000000e+03, 2.270983140861309035e+00, 3.020287792403937299e+00, 1.286185683400857149e+00, 1.031305996580198947e+00, 1.307742308490044802e+00, 3.185318030016507151e+00, 2.284082093852534356e+00, 1.855345029073779628e+00, 1.687815622569915464e+00, 2.499739257232628464e+00, 1.502757697566530659e+00, 1.773379248722881218e+00, 9.502405708243564231e-01, 1.997773039911503234e+00, 2.260824344985082668e+00, 1.188668786860579640e+00
2.066000000000000000e+03, 2.121314069998102791e+00, 2.087165710209585523e+00, 1.545448053150556111e+00, 1.086784313996201234e+00, 1.227901772537499214e+00, 2.320174383569932441e+00, 2.060686583462068455e+00, 1.828255546220677319e+00, 1.883254257104414853e+00, 2.987680449198274690e+00, 1.984564275905984720e+00, 1.585055244877047631e+00, 1.270639552534940098e+00, 1.525534785579433450e+00, 2.146634275144368331e+00, 2.116006365460901151e+00
2.067000000000000000e+03, 2.516764636433685087e+00, 1.914160228036461575e+00, 1.341455760163556166e+00, 1.058693392943195200e+00, 1.028748772471324902e+00, 1.963006426852082154e+00, 2.550398979990043280e+00, 2.001488485682022755e+00, 1.553524385233921778e+00, 2.736959170438223676e+00, 1.710195087258867375e+00, 1.579203272741631414e+00, 1.224926577701175523e+00, 1.928299604424847491e+00, 2.182583228402814601e+00, 2.331135832943348252e+00
2.068000000000000000e+03, 2.151868539058193530e+00, 2.590557945024157593e+00, 9.396082113858017504e-01, 1.283429414492228471e+00, 1.695570049388066103e+00, 1.692889915084757613e+00, 1.990069812064968691e+00, 1.438176019447157783e+00, 1.647996154139427682e+00, 2.257758580932687220e+00, 1.448768861814361486e+00, 1.770881945612539532e+00, 1.115525714480784192e+00, 1.576820666290515094e+00, 2.368180908560649556e+00, 1.609619003813043570e+00
