year, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
2.051000000000000000e+03, 2.909170784357920943e-11, 6.235018164889642771e-10, 2.128366262971528374e-10, 1.520494186531923677e-10, 1.429702777788888746e-10, 1.559403835608919427e-10, 1.287705272071694021e-09, 3.911949138043515595e-11, 3.341887581660372165e-11
2.052000000000000000e+03, 2.914022629735821818e-11, 4.522906748297551194e-10, 1.815770023825892016e-10, 1.796518701692239392e-10, 1.148490794832125614e-10, 1.169322110532978257e-10, 1.118873590584141456e-09, 3.930192573957706333e-11, 3.337471684382457730e-11
2.053000000000000000e+03, 2.902455847208548000e-11, 6.800199929110765174e-10, 2.029031773776119664e-10, 1.596507329614211129e-10, 2.173425886031063192e-10, 1.510451411495366425e-10, 1.175490226454337073e-09, 3.937283578883430016e-11, 3.334204452507804069e-11
2.054000000000000000e+03, 2.890753313618018316e-11, 7.638772749399334658e-10, 1.687077691870563001e-10, 1.257514974867584221e-10, 2.350261801679670950e-10, 2.105280840146938825e-10, 1.122016440771356138e-09, 3.952404872047356416e-11, 3.341226936517085169e-11
2.055000000000000000e+03, 2.875773481319898220e-11, 7.804199783416247708e-10, 2.614398085028723783e-10, 1.492769117180851389e-10, 2.388889288312618603e-10, 2.273353865064325922e-10, 1.557023932650424612e-09, 3.959342591660632218e-11, 3.355509840024492236e-11
2.056000000000000000e+03, 2.866163381559896623e-11, 6.759995641383657311e-10, 3.159209148400831088e-10, 1.273409590804968366e-10, 1.855845487716767504e-10, 1.474543382515033625e-10, 1.069965019643172815e-09, 3.966651808119706044e-11, 3.363819741515103380e-11
2.057000000000000000e+03, 2.841414421377728757e-11, 7.628929889405705643e-10, 2.566231889316122619e-10, 1.105424819737126510e-10, 2.101134798843887441e-10, 1.237346744146366306e-10, 1.160189794479433650e-09, 3.976156473795614080e-11, 3.378329744632057198e-11
2.058000000000000000e+03, 2.792611369630010812e-11, 6.378867967381623227e-10, 1.866023844018674125e-10, 1.358131142002397938e-10, 1.968679897259439001e-10, 1.114591326819163606e-10, 1.121987223846837139e-09, 3.986384941179587754e-11, 3.391232244082736555e-11
2.059000000000000000e+03, 2.751554288953273835e-11, 6.687376965418433391e-10, 2.776486690239769089e-10, 1.743216299260718405e-10, 1.333477096828563358e-10, 2.133715859214788529e-10, 1.229379413592128803e-09, 3.990525383349183982e-11, 3.407380308823317468e-11
2.060000000000000000e+03, 2.727957040838782717e-11, 7.571691077181877950e-10, 2.655893434201367165e-10, 1.639083335685190312e-10, 1.937856090990476426e-10, 2.983543700708209147e-10, 1.173767998686699977e-09, 3.997397746897766776e-11, 3.405786397504765529e-11
