year, CMCC-ESM2, TaiESM1, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM
2.025000000000000000e+03, 4.323722553259600378e-11, 9.121268668941135557e-11, 4.832712736414308925e-11, 7.583907865620216270e-13, 4.327946611685437057e-11, 4.357880648764561708e-11, 3.513249959506007836e-11, 2.205849424055889354e-10, 2.799127634551238702e-11, 2.735339250753449823e-10
2.026000000000000000e+03, 4.300371480454122710e-11, 8.391045446792688433e-11, 4.625614271630742309e-11, 1.404036272583595014e-12, 2.558343682149906436e-11, 4.056573732457702237e-11, 3.357053837291551609e-11, 1.917319427342931829e-10, 2.961811623785565744e-11, 2.247097251629775688e-10
2.027000000000000000e+03, 4.195688173393924256e-11, 7.818531186244071568e-11, 4.616402256425259588e-11, 1.439246351801788261e-12, 2.357513868975648540e-11, 4.029268096809974140e-11, 3.448331215623242548e-11, 1.625234505499742036e-10, 2.988200296649139545e-11, 2.109215403746742671e-10
2.028000000000000000e+03, 4.199591929591375710e-11, 7.370344567851621642e-11, 4.598362591643138880e-11, 1.468604506328085364e-12, 2.144919259406690821e-11, 3.969455072125865880e-11, 3.325155484050825675e-11, 1.626107875898741431e-10, 2.992509486492363480e-11, 2.169660831509540726e-10
2.029000000000000000e+03, 4.284012703079159779e-11, 6.946695487447460557e-11, 4.551084559154223654e-11, 1.515516656196725486e-12, 1.968858330891211338e-11, 3.743027346163362462e-11, 3.494308317718923486e-11, 1.759396308717644795e-10, 3.016046601037265741e-11, 2.234197169777537535e-10
2.030000000000000000e+03, 3.937601016089204575e-11, 5.863271616832493398e-11, 4.387507254416152198e-11, 1.557203150753834844e-12, 1.655573601147098491e-11, 3.651683194064562319e-11, 3.648636364298749328e-11, 2.477962828606516738e-10, 2.084368573710605965e-11, 2.149132406730608317e-10
2.031000000000000000e+03, 3.942681076141999306e-11, 5.595490770771049684e-11, 7.360572508171709433e-11, 8.382989745524838648e-13, 1.357844962206901712e-11, 2.187326305744432116e-11, 2.838373403049145434e-11, 2.421887478088130152e-10, 1.458970407265586006e-11, 2.670111568614642108e-10
2.032000000000000000e+03, 3.951732200839389426e-11, 5.377906596302188379e-11, 7.398290478676277979e-11, 5.175659004501467426e-13, 1.288915280994128669e-11, 2.140500818190581271e-11, 2.856108098515150043e-11, 1.867315983361335428e-10, 1.307974410581842489e-11, 2.121518542828863697e-10
2.033000000000000000e+03, 4.010348209774050394e-11, 5.185042782159078599e-11, 7.694376502381776440e-11, 3.820600490943638189e-13, 1.219870620655839686e-11, 2.078700319965657021e-11, 2.802789359995971826e-11, 1.513253513902787739e-10, 1.227163156552515256e-11, 2.520436657805922290e-10
2.034000000000000000e+03, 4.041429102915104801e-11, 5.039373338042147170e-11, 8.116912703526039213e-11, 3.167489319198866224e-13, 1.139511811389606735e-11, 2.017882028910431802e-11, 2.852018645168465171e-11, 1.663391261043669454e-10, 1.173164197834240564e-11, 2.698111929747943919e-10
