year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR
2.090000000000000000e+03, 4.301771347190435700e-11, 6.711740954957380388e-11, 1.481397193373073396e-10, -6.353129926687817515e-10
2.091000000000000000e+03, 5.103771042256115296e-11, 6.832213153433220470e-11, 2.220895145214009394e-10, -7.086206741357493787e-10
2.092000000000000000e+03, 5.241384245590814696e-11, 7.016589044745669051e-11, 2.761922189134119998e-10, -8.846056470731524770e-10
2.093000000000000000e+03, 5.341948409534443772e-11, 7.087176940113760951e-11, 2.583177650981831481e-10, -6.667935211283241883e-10
2.094000000000000000e+03, 5.448682477776526862e-11, 6.879410565750853723e-11, 2.486205894337156243e-10, -5.589902487008157858e-10
2.095000000000000000e+03, 5.429220735976920683e-11, 7.041723531687640166e-11, 3.198539604779994460e-10, -8.000003072586235305e-10
2.096000000000000000e+03, 5.508828159464523714e-11, 6.130550933081140039e-11, 2.800483339721251115e-10, -9.014410949469845046e-10
2.097000000000000000e+03, 5.530026782925181271e-11, 6.072077507582658655e-11, 2.772827664274990946e-10, -7.893911897045638907e-10
2.098000000000000000e+03, 5.456268232083893259e-11, 6.048750850290885389e-11, 1.947153919689182522e-10, -6.440372712278527559e-10
2.099000000000000000e+03, 5.351134883071865855e-11, 6.323919678122847486e-11, 1.922555303224200182e-10, -7.508878579494767086e-10
2.100000000000000000e+03, 5.530935083977489014e-11, 6.383994691340485062e-11, 2.775494640396372426e-10, -6.357274275779522630e-10
