year, INM-CM5-0, NorESM2-LM, INM-CM4-8, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, CanESM5, TaiESM1, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, NorESM2-MM
2.034000000000000000e+03, 2.945435792659667413e+02, 2.972943013941664390e+02, 2.951987106659398705e+02, 2.974114429515308302e+02, 2.964651670229826550e+02, 2.964323829589999377e+02, 2.957412624912662409e+02, 2.956530613923169994e+02, 2.969912810707522226e+02, 2.963659143227301911e+02, 2.944246674249902185e+02, 2.965301053059095580e+02, 2.956609613679653989e+02, 2.965825357330131169e+02, 2.972191604808016905e+02, 2.953840796637369976e+02
2.035000000000000000e+03, 2.946400635151524057e+02, 2.971150863546379242e+02, 2.951581467121789615e+02, 2.959615220912651239e+02, 2.969322108790503307e+02, 2.956391444161548065e+02, 2.956240993245041295e+02, 2.959623195706339516e+02, 2.971685198089782034e+02, 2.967916920330463881e+02, 2.945395467303785608e+02, 2.975924026976705932e+02, 2.965206691417528191e+02, 2.965667664480155850e+02, 2.962305287446671400e+02, 2.956459516778853640e+02
2.036000000000000000e+03, 2.947174587079769026e+02, 2.961806629945880331e+02, 2.948616005555723518e+02, 2.946314691275818518e+02, 2.966695541168834325e+02, 2.957610534420957720e+02, 2.960707743777010705e+02, 2.958903450096244114e+02, 2.975043213584531827e+02, 2.972852725795934248e+02, 2.951467186875660786e+02, 2.978470614469249540e+02, 2.967532535281383730e+02, 2.964032603693335091e+02, 2.966273936730385117e+02, 2.961860753586049668e+02
2.037000000000000000e+03, 2.951936036293643610e+02, 2.963262893080496951e+02, 2.948092573695690248e+02, 2.959948558376065080e+02, 2.965795654996073836e+02, 2.963611844007729701e+02, 2.954446391635323721e+02, 2.965450443497807669e+02, 2.971097041879527865e+02, 2.971306494067902122e+02, 2.948006162574455402e+02, 2.980364293297420204e+02, 2.967722305993770533e+02, 2.962684754259475426e+02, 2.974987517475470327e+02, 2.961715285304772465e+02
2.038000000000000000e+03, 2.945911091555104804e+02, 2.965033740821526180e+02, 2.949258630287668552e+02, 2.968269397522971076e+02, 2.962571663447017158e+02, 2.972104906893530938e+02, 2.960367507709670463e+02, 2.966841890702223168e+02, 2.970573830279257663e+02, 2.961772240828808549e+02, 2.959698683477447503e+02, 2.980097048624793388e+02, 2.965081502924538768e+02, 2.960831486571136679e+02, 2.981250933943828159e+02, 2.955744312750982772e+02
2.039000000000000000e+03, 2.956359535949663382e+02, 2.961486457568919946e+02, 2.953101458509210602e+02, 2.966904914373683368e+02, 2.969164642001336460e+02, 2.970782788914400498e+02, 2.957273573653355925e+02, 2.964783077220795917e+02, 2.964778029930693606e+02, 2.969258467510413197e+02, 2.954243119642420652e+02, 2.977444957205910896e+02, 2.972373564878723187e+02, 2.958814485135866335e+02, 2.972628841215363309e+02, 2.956266957035202836e+02
2.040000000000000000e+03, 2.947543149130490860e+02, 2.966301600106310730e+02, 2.952872471996414561e+02, 2.973497152548421241e+02, 2.968274643823976930e+02, 2.968536882698539330e+02, 2.961799828508246151e+02, 2.971439918873094825e+02, 2.964587794511294305e+02, 2.981182290244380511e+02, 2.947444851134475243e+02, 2.975280592387379102e+02, 2.963491690857707681e+02, 2.953970741860472913e+02, 2.968883096079489405e+02, 2.956686356194632026e+02
2.041000000000000000e+03, 2.949792131313984669e+02, 2.967048280265889844e+02, 2.953867651557617364e+02, 2.972298635044533057e+02, 2.966122739993388109e+02, 2.960115645852798707e+02, 2.958959831120677109e+02, 2.967808875999016891e+02, 2.961743260656788266e+02, 2.968850602937839653e+02, 2.953908198948386712e+02, 2.978468892768726164e+02, 2.963546372281099934e+02, 2.965568478066231819e+02, 2.965877463318897185e+02, 2.961656083574657146e+02
2.042000000000000000e+03, 2.951095875964874153e+02, 2.970028688939243580e+02, 2.950518114593711516e+02, 2.965890985808654250e+02, 2.970990797560976375e+02, 2.966872985057015626e+02, 2.958292731359850904e+02, 2.969242932931041992e+02, 2.973856239050490444e+02, 2.966170261176723102e+02, 2.951883715649984765e+02, 2.981693879977894426e+02, 2.962539758669859111e+02, 2.963401913778446328e+02, 2.971772142716304757e+02, 2.962460177560697048e+02
2.043000000000000000e+03, 2.948348224183464481e+02, 2.968969499054167045e+02, 2.953918755513215615e+02, 2.966132398842945577e+02, 2.983448463867530336e+02, 2.966842286951655865e+02, 2.963932051532005403e+02, 2.972117223063878555e+02, 2.973117234026228743e+02, 2.970077321436629632e+02, 2.951133042601816783e+02, 2.976945304273824604e+02, 2.966493866899620002e+02, 2.958176264836911287e+02, 2.971451984503308950e+02, 2.959246268240244149e+02
2.044000000000000000e+03, 2.949427233603264540e+02, 2.965486790954544745e+02, 2.956235172326991574e+02, 2.970427812863034660e+02, 2.968799052488895995e+02, 2.978457101943987482e+02, 2.961708240005742141e+02, 2.965987185994859487e+02, 2.974645290557410249e+02, 2.984926974971750155e+02, 2.954496020682117319e+02, 2.974631599007922205e+02, 2.973234047310222650e+02, 2.965560055863773528e+02, 2.972123410774495937e+02, 2.958775399817022276e+02
2.045000000000000000e+03, 2.949407060292203369e+02, 2.965718374918392328e+02, 2.957176686070831693e+02, 2.969752827932222203e+02, 2.966725658895311426e+02, 2.965608810099687958e+02, 2.961087129801239826e+02, 2.965367444560706645e+02, 2.979493212255541721e+02, 2.978875670432582297e+02, 2.957925948646079064e+02, 2.983604583365893177e+02, 2.965090777314616162e+02, 2.965949327622307123e+02, 2.970559044597393950e+02, 2.960474015380162314e+02
2.046000000000000000e+03, 2.956412945458561694e+02, 2.966440191977133054e+02, 2.954186432497693318e+02, 2.972534258846044395e+02, 2.972357762704126003e+02, 2.956342589326980601e+02, 2.967114431821227072e+02, 2.969561589281825036e+02, 2.983818310940170022e+02, 2.970113955018877050e+02, 2.956205508857664199e+02, 2.987498526921615394e+02, 2.975645176871864805e+02, 2.964741839123499858e+02, 2.965901383417312331e+02, 2.962184493734796433e+02
2.047000000000000000e+03, 2.959294297083126253e+02, 2.964993536463660462e+02, 2.960199637881794388e+02, 2.973226784832136218e+02, 2.973440476579567076e+02, 2.957817847403793508e+02, 2.965528449684427414e+02, 2.965480200816124920e+02, 2.969820083290753132e+02, 2.977247757699183239e+02, 2.956763015493460216e+02, 2.979727493969568854e+02, 2.964783256767543662e+02, 2.974058594462682663e+02, 2.976338064935335410e+02, 2.966931151072727175e+02
2.048000000000000000e+03, 2.952506459072789085e+02, 2.969353874674638405e+02, 2.954121956521176457e+02, 2.963732504072623328e+02, 2.971293576284058986e+02, 2.966739565454561784e+02, 2.972127446620100955e+02, 2.970471410282773377e+02, 2.973925477760247986e+02, 2.986978068929581127e+02, 2.953265507810924078e+02, 2.971304409165635434e+02, 2.967317038064717849e+02, 2.973031365238611556e+02, 2.971561306152376005e+02, 2.963946999717707058e+02
2.049000000000000000e+03, 2.950755596814909154e+02, 2.973068102692415664e+02, 2.956436636675441605e+02, 2.974204227225864088e+02, 2.970599293680442088e+02, 2.979139508139426198e+02, 2.971654973248333818e+02, 2.978941296781707706e+02, 2.981770559587376397e+02, 2.977322010120142863e+02, 2.957199369851824144e+02, 2.982769516984602660e+02, 2.974867626218199916e+02, 2.963030626126446236e+02, 2.978628859344334501e+02, 2.956441172372843198e+02
2.050000000000000000e+03, 2.954828270860827502e+02, 2.974600418375588902e+02, 2.957599922397388355e+02, 2.972717882067459527e+02, 2.972863956318909686e+02, 2.970140914473421958e+02, 2.975848499147341499e+02, 2.968175029656151196e+02, 2.986832166434436431e+02, 2.970709023510955831e+02, 2.960251385659510674e+02, 2.987581658107533826e+02, 2.974901982440786696e+02, 2.966329625574176134e+02, 2.976679873568727999e+02, 2.965170561317148668e+02
2.051000000000000000e+03, 2.952306868572096050e+02, 2.969650355986393606e+02, 2.955010755604899941e+02, 2.978269481957748894e+02, 2.973436881746222866e+02, 2.969464416198430285e+02, 2.963650734847003605e+02, 2.973406509869406591e+02, 2.988795830131509206e+02, 2.968407525264052538e+02, 2.963902107654840847e+02, 2.982813068427257690e+02, 2.971089151363485144e+02, 2.966012995959401337e+02, 2.975982410867073327e+02, 2.966343976294452887e+02
2.052000000000000000e+03, 2.955846096143782802e+02, 2.967903532653014054e+02, 2.958527905537917491e+02, 2.972699064893722039e+02, 2.975482896335719261e+02, 2.973237591853133495e+02, 2.964100345083966204e+02, 2.979371981960808284e+02, 2.980352475581596536e+02, 2.981410214373754002e+02, 2.963003002728994488e+02, 2.977755721881867998e+02, 2.971865069051997352e+02, 2.959310829506579807e+02, 2.985991075898327836e+02, 2.962135653970603357e+02
2.053000000000000000e+03, 2.960212730016838236e+02, 2.974098802336524727e+02, 2.957647531600034654e+02, 2.965259447032594835e+02, 2.982840979190357302e+02, 2.981288544348079768e+02, 2.972566546054433161e+02, 2.966980964570869901e+02, 2.976395311355859121e+02, 2.981543724660696739e+02, 2.959540134573299497e+02, 2.981789529494159865e+02, 2.976121825527995952e+02, 2.972185327819918825e+02, 2.984917677604484538e+02, 2.965259838013661238e+02
2.054000000000000000e+03, 2.952529101628527997e+02, 2.974116690216743564e+02, 2.955908465092490474e+02, 2.974591388723576983e+02, 2.954504937053499134e+02, 2.979115419191774663e+02, 2.965198040515876983e+02, 2.964629326576254584e+02, 2.987832691437062067e+02, 2.984950370013645511e+02, 2.955521176386736215e+02, 2.985097668432607065e+02, 2.970390735599306140e+02, 2.959762699909658750e+02, 2.980884198022534406e+02, 2.963615598753689255e+02
2.055000000000000000e+03, 2.953044769715418170e+02, 2.973119333850250996e+02, 2.961973464052433656e+02, 2.968054499628987060e+02, 2.965012722019982334e+02, 2.964283006490461503e+02, 2.967378277460600771e+02, 2.972024650942452126e+02, 2.974030470121379608e+02, 2.975945974273713546e+02, 2.957917554930016877e+02, 2.989382297791028122e+02, 2.980322668488142313e+02, 2.950352641370374158e+02, 2.978315633780451321e+02, 2.968522214975081965e+02
2.056000000000000000e+03, 2.955963811719774412e+02, 2.973074893579707805e+02, 2.955795855420434464e+02, 2.960733316079731594e+02, 2.975909780237412861e+02, 2.957084275417309414e+02, 2.972116959622975969e+02, 2.979122463128625782e+02, 2.980634322353826633e+02, 2.980918103273604061e+02, 2.958315113818642885e+02, 2.976690396831368730e+02, 2.976064473307334879e+02, 2.962972483250656524e+02, 2.982414926032450353e+02, 2.968635956102768887e+02
2.057000000000000000e+03, 2.954270317471684848e+02, 2.973802970991678194e+02, 2.959391931786317969e+02, 2.977610238725247314e+02, 2.973218718821646576e+02, 2.969417623812468037e+02, 2.971353403144010485e+02, 2.972174764755736760e+02, 2.986404438734076621e+02, 2.990195998186070483e+02, 2.960989865851159948e+02, 2.979805134081150300e+02, 2.971252872335990673e+02, 2.972799459995607094e+02, 2.979703043616453328e+02, 2.971495674724144465e+02
2.058000000000000000e+03, 2.958249875839712786e+02, 2.978179900287772170e+02, 2.958729123734487416e+02, 2.976737688289263701e+02, 2.976107570186376847e+02, 2.969481841549568344e+02, 2.976882019033512847e+02, 2.972302576484125325e+02, 2.983770285053506655e+02, 2.993207723925990535e+02, 2.962404141117057179e+02, 2.982159566867825902e+02, 2.972721078052214807e+02, 2.966276543440854994e+02, 2.983316716372680162e+02, 2.963562613027939960e+02
2.059000000000000000e+03, 2.952615120120806296e+02, 2.971138533536233695e+02, 2.963437342957770966e+02, 2.977299813195023148e+02, 2.978220216922695158e+02, 2.974081493980388586e+02, 2.973802422566896553e+02, 2.981732265021002490e+02, 2.986821099736793599e+02, 2.998710869813867816e+02, 2.966453742283534893e+02, 2.989579065467644341e+02, 2.974085678948868576e+02, 2.960001244171281201e+02, 2.978264554688314547e+02, 2.962411602531815333e+02
2.060000000000000000e+03, 2.956661445564590736e+02, 2.971944833699837432e+02, 2.959540493310971101e+02, 2.981226834694562626e+02, 2.974635467877909605e+02, 2.984705324271696441e+02, 2.969308167212352600e+02, 2.975526457604885877e+02, 2.991449059765220113e+02, 2.983519949826599031e+02, 2.966777100895863555e+02, 2.983736418492723601e+02, 2.971853993373291019e+02, 2.979167355022466381e+02, 2.981554267830073286e+02, 2.965830525889736577e+02
2.061000000000000000e+03, 2.956380290474390904e+02, 2.972798057466665682e+02, 2.959809376320785077e+02, 2.973328726212016591e+02, 2.982500934750764259e+02, 2.983787345952325154e+02, 2.976341263983260887e+02, 2.981802762552052855e+02, 2.989528916289426661e+02, 2.975826999099153909e+02, 2.962496716987980676e+02, 2.982023660376498810e+02, 2.977255472357056760e+02, 2.973074186088653619e+02, 2.982413709921219720e+02, 2.965014092655584932e+02
2.062000000000000000e+03, 2.956027426110488250e+02, 2.974635152537750287e+02, 2.967069445298707819e+02, 2.977526919759291673e+02, 2.968348320553526491e+02, 2.985220411160175900e+02, 2.972814574123883631e+02, 2.982937976822355495e+02, 2.988597741342202312e+02, 2.982124669945843038e+02, 2.962720513266777971e+02, 2.990435789744713588e+02, 2.976889812708859608e+02, 2.970592213045088670e+02, 2.988919528271950981e+02, 2.961798084505110751e+02
2.063000000000000000e+03, 2.957490725715300073e+02, 2.973423474455058795e+02, 2.960391537766236638e+02, 2.984587311227156761e+02, 2.979394782584583368e+02, 2.976182388600377067e+02, 2.971978854803027161e+02, 2.976272590656705574e+02, 2.991222657853714963e+02, 2.994401153438652159e+02, 2.964698869879738936e+02, 2.989068473393492695e+02, 2.976201585559625755e+02, 2.964548434455618349e+02, 2.978576781368381035e+02, 2.966250533789551582e+02
2.064000000000000000e+03, 2.956321407955234690e+02, 2.970530449232281285e+02, 2.966429627047992312e+02, 2.980208228923816591e+02, 2.979276087500331869e+02, 2.967472187765457079e+02, 2.980383992518384275e+02, 2.972685060647215209e+02, 2.997450536312674103e+02, 2.976362858214660037e+02, 2.963803039523509142e+02, 2.985675830558189432e+02, 2.974129338722826219e+02, 2.978525723907700353e+02, 2.978573991165779944e+02, 2.967535810658437754e+02
2.065000000000000000e+03, 2.955549206174222832e+02, 2.973511935094418845e+02, 2.960639282343653349e+02, 2.985299696463224564e+02, 2.978285566050035413e+02, 2.963607259755511905e+02, 2.977710986124863553e+02, 2.977226748559120892e+02, 2.994088209777104908e+02, 2.976406095126267246e+02, 2.964751137977759186e+02, 2.981001157718960712e+02, 2.981556822239929261e+02, 2.977820233747610246e+02, 2.983803840261376195e+02, 2.973118938515212335e+02
2.066000000000000000e+03, 2.955924871953498041e+02, 2.978715594849969079e+02, 2.955478922648140383e+02, 2.981949713152820323e+02, 2.976080693964406123e+02, 2.971645721818526340e+02, 2.976237283230427693e+02, 2.981477463340158351e+02, 2.990286385831772691e+02, 2.984357981812374305e+02, 2.968422651032000203e+02, 2.988223170595483680e+02, 2.975774616651734163e+02, 2.967503810717236092e+02, 2.987453853200782987e+02, 2.970632783316399923e+02
2.067000000000000000e+03, 2.950252203311062544e+02, 2.978442427286292968e+02, 2.962196975252122115e+02, 2.984682850682175967e+02, 2.987101401548343347e+02, 2.983239623044940458e+02, 2.974793221817925541e+02, 2.977459973460080960e+02, 2.991332231711890017e+02, 2.998712725675416095e+02, 2.962794677091878839e+02, 2.989384686010122323e+02, 2.973882841173215184e+02, 2.958868435826406653e+02, 2.988836531101565015e+02, 2.970564873271088686e+02
2.068000000000000000e+03, 2.961439387534263119e+02, 2.972640303753177022e+02, 2.964075762101276723e+02, 2.981011801393595420e+02, 2.988952547049512987e+02, 2.980714597774946242e+02, 2.978804038313712113e+02, 2.979183389816269596e+02, 3.000699230119887488e+02, 2.981858085720713234e+02, 2.968976989386741252e+02, 2.986741546970176842e+02, 2.976314772961554809e+02, 2.971206573004869824e+02, 2.981536051996707783e+02, 2.972677673524050306e+02
2.069000000000000000e+03, 2.957679046447059363e+02, 2.980371453152000640e+02, 2.966602772429139918e+02, 2.984785993027245468e+02, 2.973062516550664327e+02, 2.987956814654302207e+02, 2.982090788670485608e+02, 2.986734650251227094e+02, 2.994883429057175022e+02, 2.980920883426828141e+02, 2.972238909002034575e+02, 2.984925856388777561e+02, 2.983508741185921735e+02, 2.975269184736418993e+02, 2.987362451837277604e+02, 2.970440756684031385e+02
2.070000000000000000e+03, 2.960389115897536385e+02, 2.977938462514447338e+02, 2.967563938699385631e+02, 2.981417370795236366e+02, 2.970781234662026122e+02, 2.974212736599002369e+02, 2.977973650028325210e+02, 2.981257148685124321e+02, 2.987616355493729543e+02, 2.995255924576711664e+02, 2.964048431035590170e+02, 2.986645963158205745e+02, 2.979925446504867637e+02, 2.975864786609055272e+02, 2.988089613772240796e+02, 2.968541386939002678e+02
2.071000000000000000e+03, 2.960458183921718387e+02, 2.977187590646008175e+02, 2.968227864603837816e+02, 2.982976306842733720e+02, 2.977633575668997992e+02, 2.964677550809412310e+02, 2.975407877331368240e+02, 2.985663276643623476e+02, 2.989301055434430623e+02, 2.994157576344836684e+02, 2.966567748263596513e+02, 2.995430757685618346e+02, 2.973995813301112321e+02, 2.964032489426944608e+02, 2.995304607694815218e+02, 2.972067816108095712e+02
2.072000000000000000e+03, 2.955684998784435606e+02, 2.976968793125852812e+02, 2.968110663428369662e+02, 2.988235236637958678e+02, 2.987136526587866001e+02, 2.968238271359075497e+02, 2.982060051657146573e+02, 2.986492611603711680e+02, 2.990914330563715566e+02, 2.988309779653537817e+02, 2.972082507704120644e+02, 2.993964675781061828e+02, 2.974981377423127356e+02, 2.981707762382544615e+02, 2.994169359021113905e+02, 2.970608289052601663e+02
2.073000000000000000e+03, 2.961281589132029808e+02, 2.974146199113849889e+02, 2.967368583861642151e+02, 2.980719348060053449e+02, 2.992386080365157000e+02, 2.968831349483709801e+02, 2.979241751737588402e+02, 2.986420584382585162e+02, 2.990939814360679065e+02, 2.994333006370821408e+02, 2.966250247926317343e+02, 2.989988408974119238e+02, 2.982048860100222214e+02, 2.977328939711297267e+02, 2.988771175596544936e+02, 2.976756399248992011e+02
2.074000000000000000e+03, 2.964564314867308781e+02, 2.973575478654937569e+02, 2.970481413476219359e+02, 2.988691600525307877e+02, 2.979470413411800109e+02, 2.981625461245097881e+02, 2.976261704731018654e+02, 2.988728984504738833e+02, 3.002021075490129647e+02, 2.988104549748032355e+02, 2.966533223975749252e+02, 2.989594637970919848e+02, 2.983833037215784429e+02, 2.988024068854022062e+02, 2.991416850790016042e+02, 2.969357235177131997e+02
2.075000000000000000e+03, 2.958070837421554415e+02, 2.979307556003878972e+02, 2.966305900580530874e+02, 2.979229132717551352e+02, 2.991183036739190015e+02, 2.991097127083892246e+02, 2.982834281924443758e+02, 2.990661500879905930e+02, 3.001741938129824803e+02, 2.993235053359175026e+02, 2.971269007216687896e+02, 2.994676010740925562e+02, 2.986687321498252459e+02, 2.974599073576301862e+02, 2.988594265183381822e+02, 2.976119354192977084e+02
2.076000000000000000e+03, 2.960951689757114877e+02, 2.980679637362060248e+02, 2.969262704597380775e+02, 2.990386794199902170e+02, 2.983836379595995822e+02, 2.984305833457304402e+02, 2.983073069050806794e+02, 2.985660821537540528e+02, 2.995742899752028165e+02, 2.995643497303908589e+02, 2.977890838501028838e+02, 2.999273652569829096e+02, 2.979204871037107409e+02, 2.968629133852392101e+02, 2.979743748163616601e+02, 2.970556083073398099e+02
