year, IPSL-CM6A-LR, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
2.043000000000000000e+03, 6.847875574494956574e-10, 1.858456820236435217e-10, 7.449601585896221789e-12, 2.615064237531448653e-10, 3.409507081089533394e-11, 1.898292720660648978e-10, 1.551048307660580164e-11, 3.251264044417557911e-12
2.044000000000000000e+03, 6.708137474281350426e-10, 1.889906541930703537e-10, 7.467656568236880587e-12, 2.102126422943277710e-10, 3.437265209436025285e-11, 1.692195806373888821e-10, 1.547923286585344564e-11, 3.115331438568802812e-12
2.045000000000000000e+03, 5.955447886728530512e-10, 1.843923402525266115e-10, 6.964921712228859194e-12, 1.724557852053610366e-10, 3.414028951558639650e-11, 2.277736076371593901e-10, 1.540924088965438059e-11, 2.636782735923282645e-12
2.046000000000000000e+03, 7.322497089758958905e-10, 1.819868986711139544e-10, 7.107463132411739707e-12, 1.542153440520096133e-10, 3.352552918007665415e-11, 1.608052188171331119e-10, 1.486597195804849546e-11, 1.530769601238642505e-12
2.047000000000000000e+03, 5.768412381945843121e-10, 1.823598198910301765e-10, 7.149990742621956407e-12, 1.236653982265060567e-10, 3.305005976223280784e-11, 1.989007708046252048e-10, 1.451940424722562385e-11, 9.897776669983452060e-13
2.048000000000000000e+03, 7.391817500809304876e-10, 1.888429680445329209e-10, 7.245724359736697385e-12, 1.514279706431636792e-10, 3.268703950991046318e-11, 2.591619836114442841e-10, 1.425210319372565417e-11, 7.591661813475869177e-13
2.049000000000000000e+03, 7.693165481133799244e-10, 1.921735846464441511e-10, 6.832324180315997072e-12, 1.311605103247455893e-10, 3.241182042913755193e-11, 2.120522288555347620e-10, 1.406130573003520303e-11, 6.381596560136554376e-13
2.050000000000000000e+03, 7.116888274458863082e-10, 2.071445079588656130e-10, 6.936796466704376558e-12, 1.233942446178146020e-10, 3.251230585893314758e-11, 2.056749565665402057e-10, 1.552689040799903213e-11, 6.854918339236438187e-13
2.051000000000000000e+03, 6.417748956858460896e-10, 2.107737984636559247e-10, 5.061781459393908024e-12, 1.768320823545681244e-10, 3.286801720557577039e-11, 1.929195513234103493e-10, 4.214136305735969675e-11, 8.624551822545791356e-13
2.052000000000000000e+03, 4.704452511938359665e-10, 2.152794570677805707e-10, 5.583532019692401352e-12, 2.048735045744703883e-10, 3.313812865763609713e-11, 1.625592262775472305e-10, 3.039865787450303371e-11, 1.272590459578590732e-12
2.053000000000000000e+03, 6.981988262527317085e-10, 2.224682659410971690e-10, 6.547304378693897691e-12, 1.852560510927228530e-10, 3.335915144354661607e-11, 2.632644232135550327e-10, 2.632700038113878098e-11, 1.434729962210397388e-12
2.054000000000000000e+03, 7.821557122327819852e-10, 2.217296386610858773e-10, 7.428561736719601336e-12, 1.516453441989189607e-10, 3.354497424163544809e-11, 2.794578497328114823e-10, 2.542899897047984994e-11, 1.773157996017511017e-12
2.055000000000000000e+03, 7.987796914489988219e-10, 2.281842681867498421e-10, 8.017515073509169651e-12, 1.740227489344173608e-10, 3.391406903057681428e-11, 2.821294545279729907e-10, 2.570534445833978049e-11, 2.318215014182117961e-12
2.056000000000000000e+03, 6.929777867808156100e-10, 2.288296515996293897e-10, 8.945342364352071609e-12, 1.512703821055358504e-10, 3.440786656861243469e-11, 2.275894223051244925e-10, 3.203135477596680849e-11, 4.587934795213824494e-12
2.057000000000000000e+03, 7.798130939498117557e-10, 2.303767969471753570e-10, 1.135948388330595660e-11, 1.344698424588315811e-10, 3.481140378448563616e-11, 2.511324238245114034e-10, 3.292363842249789209e-11, 6.820789866737310621e-12
2.058000000000000000e+03, 6.547064138492252577e-10, 2.286587017494608241e-10, 1.375587710612503746e-11, 1.595350078876074672e-10, 3.515536955363022633e-11, 2.371079240988335425e-10, 3.383965536583073055e-11, 7.467789462222239498e-12
2.059000000000000000e+03, 6.853975430346297772e-10, 2.293201602001106337e-10, 1.606911598322231442e-11, 1.980575848060123500e-10, 3.544228834293651117e-11, 1.729510395483706693e-10, 3.470954583386382922e-11, 8.682269649767474320e-12
2.060000000000000000e+03, 7.738442164447355085e-10, 2.315556293102433202e-10, 1.814360463229867398e-11, 1.898942756997169613e-10, 3.563687366498388796e-11, 2.328876226862316150e-10, 3.559347892539240764e-11, 1.022458180840552329e-11
2.061000000000000000e+03, 6.587714391726400907e-10, 2.356823621420690075e-10, 1.995070688918491131e-11, 1.959577151519466359e-10, 3.576811136245692635e-11, 2.014029334928482748e-10, 3.438760054851601508e-11, 8.389433606315081898e-12
2.062000000000000000e+03, 8.888658209319352241e-10, 2.445450271786615546e-10, 2.087431503626057791e-11, 1.995927087881327941e-10, 3.587710353430495864e-11, 1.547021949509460184e-10, 3.361557338317625126e-11, 7.477208862573583889e-12
2.063000000000000000e+03, 6.539950382514168509e-10, 2.437906880485566672e-10, 2.183914737385183978e-11, 1.966572996565513928e-10, 3.596566046418405401e-11, 1.990695012215141666e-10, 3.344774376772459630e-11, 7.178232782483581949e-12
2.064000000000000000e+03, 8.424611730969894890e-10, 2.369889337180222385e-10, 2.273244886654348490e-11, 1.975150406180302045e-10, 3.604188448257019103e-11, 2.222533375700130444e-10, 3.368128682987486852e-11, 7.253573194491913746e-12
2.065000000000000000e+03, 7.335381953662050123e-10, 2.295088002433858458e-10, 2.361714643141283215e-11, 1.785114346831005615e-10, 3.648312276305028728e-11, 2.677821988222365740e-10, 3.397048182074996167e-11, 9.040537385307288664e-12
2.066000000000000000e+03, 7.467276902082794387e-10, 2.272869314810856239e-10, 2.318849864195230209e-11, 1.949247676227225834e-10, 3.737115754873389695e-11, 2.007794324994203361e-10, 3.273542345394603386e-11, 6.990470458646672481e-12
2.067000000000000000e+03, 8.578290868204678622e-10, 2.223222235658975586e-10, 2.281164821065982305e-11, 1.760477693657195809e-10, 3.823857396489990841e-11, 1.823936073760957320e-10, 3.227001030266299642e-11, 7.785150481617704277e-12
2.068000000000000000e+03, 8.274550827662926193e-10, 2.216599858022862481e-10, 2.250548781167905153e-11, 1.799586071804138514e-10, 3.891560772197274182e-11, 1.926952755545132257e-10, 3.176185959649074068e-11, 8.481269275270771853e-12
2.069000000000000000e+03, 7.420513756228787479e-10, 2.261346590287716228e-10, 2.220307761853025549e-11, 1.659454633776130978e-10, 3.944090632358241328e-11, 1.914595038241379914e-10, 3.157359073601319716e-11, 8.938545653886066273e-12
2.070000000000000000e+03, 7.316219176818228948e-10, 2.243072834112857689e-10, 2.202315626771115496e-11, 1.530261059567928167e-10, 3.961945618002610602e-11, 2.249972598307609599e-10, 3.056877938810062297e-11, 9.239609261658544489e-12
2.071000000000000000e+03, 7.651874321047189332e-10, 2.228437165568873041e-10, 2.215440255896992319e-11, 1.579264050587869281e-10, 3.953324559665180318e-11, 2.257646404395876567e-10, 2.814526178793070724e-11, 8.253116182739848707e-12
2.072000000000000000e+03, 6.802677268059537229e-10, 2.191055011122318016e-10, 2.138679665071977698e-11, 2.323106077831533736e-10, 3.942419730897329490e-11, 1.845188056052617041e-10, 2.706567202932589458e-11, 8.192808363842619115e-12
2.073000000000000000e+03, 5.803419039831185329e-10, 2.088673265042504833e-10, 2.063109088540546156e-11, 2.640301038617548813e-10, 3.929802851663432935e-11, 1.954239285875737650e-10, 2.627582727830216435e-11, 8.356695120523550696e-12
2.074000000000000000e+03, 6.992334500868543131e-10, 2.039789292649496969e-10, 1.981153165762108422e-11, 2.459111377385702442e-10, 3.885248102664834503e-11, 2.074969378757224047e-10, 2.584707844532073790e-11, 8.537598496695536474e-12
2.075000000000000000e+03, 8.423227928119242501e-10, 2.014221659061565250e-10, 1.906377493756367522e-11, 2.495965932674232921e-10, 3.798850607029072568e-11, 2.146895497270399583e-10, 2.482926403673155756e-11, 8.299399148773593540e-12
2.076000000000000000e+03, 5.571500401758076817e-10, 1.970199778988562923e-10, 1.823323366928944994e-11, 2.003097560715830654e-10, 3.709960743439573961e-11, 2.369973964139313939e-10, 2.484944155344701597e-11, 6.068544326748287808e-12
2.077000000000000000e+03, 6.096370462721901801e-10, 1.973318863883248711e-10, 1.786328551917164921e-11, 1.919716536212628411e-10, 3.635350844645550863e-11, 2.029989602710755564e-10, 2.314758692530717579e-11, 4.930855816418099562e-12
2.078000000000000000e+03, 7.949744595427231950e-10, 2.000815755781257391e-10, 1.746840343537769217e-11, 2.734296440517252912e-10, 3.571882949807945473e-11, 2.385626426269942849e-10, 2.228273758925034189e-11, 4.408636520942246620e-12
2.079000000000000000e+03, 6.873821003210345919e-10, 2.079265916518383328e-10, 1.704199614937882339e-11, 2.785481640686455835e-10, 3.515575607290714075e-11, 2.996467798140223685e-10, 2.173443085392212130e-11, 4.175744155290183635e-12
2.080000000000000000e+03, 8.077097950215086731e-10, 2.036215027008667385e-10, 1.672049695094230003e-11, 2.282586336772636404e-10, 3.466021314790551568e-11, 3.653440281116501773e-10, 2.134791147610869637e-11, 4.353971497983802927e-12
2.081000000000000000e+03, 9.243326659249437797e-10, 1.994667399475095117e-10, 1.723266668786070086e-11, 1.799934227822043096e-10, 3.422370441628793446e-11, 2.933254287128763823e-10, 2.111766936259440407e-11, 5.608672829876136195e-12
2.082000000000000000e+03, 8.253534059456016691e-10, 2.010021170093544350e-10, 1.710480365062071511e-11, 1.451457992230064157e-10, 3.383024328098486511e-11, 3.016624239278471278e-10, 1.934467742345539455e-11, 6.308485073235607493e-12
2.083000000000000000e+03, 7.324398609139605470e-10, 1.995050881394985812e-10, 1.709896004645935043e-11, 1.573174595688477575e-10, 3.346694623578885769e-11, 2.588780828592511867e-10, 1.828415760011575333e-11, 6.589000768830992750e-12
2.084000000000000000e+03, 6.980208591704005458e-10, 2.012862111477409204e-10, 1.701477468523640096e-11, 1.731726952716165089e-10, 3.312286174562216305e-11, 2.676356296837334287e-10, 1.767521827118619382e-11, 6.730379975033845167e-12
2.085000000000000000e+03, 6.307737730020623263e-10, 1.980387035966259141e-10, 1.692680989559697918e-11, 2.250123314263996004e-10, 3.249950768018876685e-11, 2.632343677594996342e-10, 1.722328650821447238e-11, 6.367805760010122624e-12
2.086000000000000000e+03, 5.491309242341714047e-10, 1.917206737330084316e-10, 1.646063836249716655e-11, 2.056741482523176060e-10, 3.168022344372777261e-11, 2.516373345339997265e-10, 1.651395691194177009e-11, 3.973580221670277993e-12
2.087000000000000000e+03, 7.863650818780826110e-10, 1.969040099978055298e-10, 1.643806149684267340e-11, 1.793350129209544992e-10, 3.098034674811506289e-11, 2.388491985767935292e-10, 1.594915739991198158e-11, 2.851001620585642415e-12
2.088000000000000000e+03, 8.727009343309831693e-10, 1.994686178880313596e-10, 1.637291468813384838e-11, 1.609443615725774371e-10, 3.037441057695991878e-11, 2.219974093400870172e-10, 1.541354372357901145e-11, 2.493240537550567366e-12
2.089000000000000000e+03, 7.358053883101537651e-10, 1.941087902628737353e-10, 1.630635072171242144e-11, 1.968745508966849456e-10, 2.983221127700763813e-11, 2.325340424432703134e-10, 1.496589031926982217e-11, 2.277444827445910059e-12
2.090000000000000000e+03, 6.135148317692767676e-10, 1.939473459303749857e-10, 1.616412782347279807e-11, 2.076251657319494075e-10, 2.950491721874725034e-11, 3.051076312072971253e-10, 1.461932878575599568e-11, 2.065180168907353529e-12
2.091000000000000000e+03, 6.870191320685335804e-10, 1.952032474212326818e-10, 1.654961854253926535e-11, 1.792830947725292446e-10, 2.935856231961046493e-11, 2.574791312524823238e-10, 1.481905867378243912e-11, 1.690510369190124552e-12
2.092000000000000000e+03, 8.632271205643572265e-10, 1.984291712681282947e-10, 1.726405788178142804e-11, 2.039853264780413904e-10, 2.919918867035611529e-11, 3.409436470348612226e-10, 1.478828762709902334e-11, 1.459561540155855987e-12
2.093000000000000000e+03, 6.456540448105849101e-10, 2.021073084692157830e-10, 1.803531886951306189e-11, 2.024099316479866874e-10, 2.903709308951931103e-11, 3.046043363192750524e-10, 1.467261543387224506e-11, 1.744317533502565049e-12
2.094000000000000000e+03, 5.381284623767416182e-10, 2.092522642534303451e-10, 1.884580571779398985e-11, 2.589093949657816389e-10, 2.886654432142614756e-11, 2.583828273612550549e-10, 1.453425169911095771e-11, 2.273864581935534602e-12
2.095000000000000000e+03, 7.793055886840017305e-10, 2.107690581404205509e-10, 1.963540443357975829e-11, 2.202944328518535446e-10, 2.847976007946605420e-11, 2.245339034715314486e-10, 1.438905846416037162e-11, 2.288237833666231437e-12
2.096000000000000000e+03, 8.809136517491956587e-10, 2.125782780917129837e-10, 1.988568195941516891e-11, 2.138342367118360300e-10, 2.794692328523657304e-11, 2.718454115068416506e-10, 1.321211664679903331e-11, 1.598612910597044602e-12
2.097000000000000000e+03, 7.690614680105573828e-10, 2.060827853036511521e-10, 2.017821139119413884e-11, 2.309574704044937201e-10, 2.747687288477416673e-11, 2.840051098949255390e-10, 1.262732576892844994e-11, 1.224994976666837655e-12
2.098000000000000000e+03, 6.240176970872100034e-10, 2.055001761027022661e-10, 2.047184435061679706e-11, 2.524476228601691717e-10, 2.705959037474994107e-11, 2.182683625300827827e-10, 1.216488803295269369e-11, 1.035853356582827704e-12
2.099000000000000000e+03, 7.280317727889482542e-10, 2.131336471695057576e-10, 2.073603111349667376e-11, 2.380793325534297083e-10, 2.668445232420261323e-11, 3.239515359531776075e-10, 1.183487083690384564e-11, 8.897774099457109919e-13
2.100000000000000000e+03, 6.128879951564339179e-10, 2.250003323804896493e-10, 2.096435952737956262e-11, 2.034123920398770943e-10, 2.442131711782748293e-11, 3.329530444274308448e-10, 1.157106839288417048e-11, 7.992771798128331510e-13
