year, IPSL-CM6A-LR, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, NorESM2-MM, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, TaiESM1
2.037000000000000000e+03, 7.269285490555001061e+00, 6.119519132685189433e+00, 3.561308595872635596e+00, 4.550186204415525459e+00, 6.463720713496559966e+00, 8.402825626537714143e+00, 3.469451087556301605e+00, 3.001816774491913531e+00, 2.965136325583227705e+00, 7.181902254299479260e+00, 2.470162807373323499e+00, 5.868355315751547785e+00, 8.504378910770030942e+00, 2.950601568508125716e+00, 5.438375333324511729e+00, 5.202765428879191134e+00
2.038000000000000000e+03, 4.926849860532501957e+00, 6.045554121358872379e+00, 2.979930697800744266e+00, 3.488319894266810994e+00, 6.188920971755171863e+00, 8.181048491281568857e+00, 3.804200990413671768e+00, 2.601785156953764222e+00, 2.979705189564473056e+00, 7.717638269966097475e+00, 3.077473063893258143e+00, 6.325673310625825607e+00, 8.580881260377893227e+00, 2.807518414622688141e+00, 6.276852564989337857e+00, 6.045435613600138147e+00
2.039000000000000000e+03, 5.928216178721835483e+00, 5.580203859612775652e+00, 4.379375628730412195e+00, 3.814340807015336399e+00, 7.880991879315955906e+00, 7.046669934934133295e+00, 2.640525316160755587e+00, 3.040780673074561236e+00, 3.033496541111638578e+00, 6.883705507684529046e+00, 3.604788589494664741e+00, 6.373826778801563009e+00, 8.500805471300379779e+00, 3.430745105637862391e+00, 5.646718948176792097e+00, 5.703779007589871775e+00
2.040000000000000000e+03, 6.801951244668862806e+00, 5.708449918928034883e+00, 4.576771595544959048e+00, 3.196374209396335431e+00, 7.847211769434873752e+00, 8.043576164654112404e+00, 4.955887390288575389e+00, 3.531793720255322899e+00, 3.161226106277472248e+00, 7.472695644721347286e+00, 3.979299258796130001e+00, 6.312183171310898011e+00, 8.248858952049603843e+00, 1.813790491110201630e+00, 5.091804925748555810e+00, 4.346750588852896335e+00
2.041000000000000000e+03, 6.616914033909922388e+00, 5.732309686891247758e+00, 4.709323262206330796e+00, 3.618794484552947388e+00, 9.336569275843828564e+00, 8.392918650676152836e+00, 5.981648678418046927e+00, 3.644150180969467190e+00, 3.048526227414420475e+00, 7.620513509580749911e+00, 2.438824046082019414e+00, 5.794123262752427728e+00, 8.517962908958075730e+00, 3.930457972722789073e+00, 5.094091803970353993e+00, 5.516825743570984208e+00
2.042000000000000000e+03, 6.262537543129620410e+00, 5.832422540938845046e+00, 4.872748056572995701e+00, 4.229829884114908012e+00, 7.680777499892684546e+00, 7.534744994791704009e+00, 6.647363841042031929e+00, 3.760819112289919719e+00, 3.018497566548379307e+00, 7.193250701938668001e+00, 3.042702640050883200e+00, 5.592282327037331413e+00, 8.216649713603681349e+00, 3.077615221536373458e+00, 4.948793861105376557e+00, 6.276863376519048465e+00
2.043000000000000000e+03, 7.095475488635595518e+00, 5.285002019236084259e+00, 4.188716617433680511e+00, 4.889348875740367362e+00, 7.561589806735394603e+00, 6.005803261784894431e+00, 5.177623036848478577e+00, 3.640131573877131821e+00, 3.350713157302370515e+00, 7.968983234063451881e+00, 4.440657558714371511e+00, 6.354861269949750202e+00, 8.484828684250619091e+00, 2.351989764924614423e+00, 4.755247902133702631e+00, 5.884641689894484884e+00
2.044000000000000000e+03, 5.823653731562568936e+00, 5.475106074698095071e+00, 3.078119807260818686e+00, 3.824670072760250061e+00, 7.393018482773191735e+00, 7.545670852898436642e+00, 3.146179533988183952e+00, 3.361972671332524865e+00, 3.427264347465860173e+00, 7.632222703084991622e+00, 3.195840869325481837e+00, 6.715606654023488886e+00, 8.599186231385516521e+00, 3.473448553895527091e+00, 5.600050527387813837e+00, 3.712653219486848233e+00
2.045000000000000000e+03, 5.741888485495609373e+00, 5.858963194315751188e+00, 5.236665549130661290e+00, 3.490410317730481271e+00, 6.367087491587370529e+00, 7.508828221953407045e+00, 5.663800063284202935e+00, 3.348180938573093179e+00, 3.080065772644481115e+00, 7.497731964832437868e+00, 3.012020098664773382e+00, 6.613488076628523338e+00, 8.575668271563577250e+00, 3.406195987743972253e+00, 5.734999596586166426e+00, 5.167244854663395337e+00
2.046000000000000000e+03, 6.482275769694707535e+00, 5.982929452180927754e+00, 5.629230862216689779e+00, 3.272883848469634316e+00, 6.356625209784251496e+00, 8.047376640962143668e+00, 3.385291707685659901e+00, 3.816083143826853430e+00, 2.894955345270784797e+00, 7.147723543387766831e+00, 2.925037087409504188e+00, 6.194493563453601581e+00, 9.013991177007364186e+00, 2.306475178057295849e+00, 4.969294801066796552e+00, 5.676459458328105612e+00
