year, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, CESM2-WACCM
2.059000000000000000e+03, 6.492414682616193776e-03, 4.144475246356529169e-02, 1.146298949280749463e-01, 2.325019266913051219e-01, 1.714860533178524382e-01, 2.122535515440441764e-02, 5.752150529380962822e-03, 1.835798015333219846e-01, 1.469207189830594451e-01
2.060000000000000000e+03, 7.794053796131361796e-03, 4.131703418145810103e-02, 1.153718352937451175e-01, 2.360619518108966197e-01, 1.700127715946836704e-01, 2.175935327515560180e-02, 5.828350110779213430e-03, 1.846971979718354528e-01, 1.531252831452942775e-01
2.061000000000000000e+03, 7.650419593692824385e-03, 4.137614860057705485e-02, 1.159960993623067177e-01, 2.379660483849166119e-01, 1.721438158579951250e-01, 2.146841744396006668e-02, 5.903919804359124973e-03, 1.863037694847144154e-01, 1.488088925741646584e-01
2.062000000000000000e+03, 7.649916611427279994e-03, 4.165284154651897885e-02, 1.165832757791546714e-01, 2.395479790869381453e-01, 1.736273654921269283e-01, 2.112993222842014795e-02, 6.012679190912386534e-03, 1.893413465329853718e-01, 1.429009783383149434e-01
2.063000000000000000e+03, 7.785673354423818318e-03, 4.188502704995428899e-02, 1.171269449431516507e-01, 2.411737585862016309e-01, 1.735368556773018156e-01, 2.071383899074331209e-02, 6.141437234248729379e-03, 1.909968287779098828e-01, 1.473548957455187436e-01
2.064000000000000000e+03, 8.040368609753585291e-03, 4.218048247186455962e-02, 1.176321310161016348e-01, 2.429374090252036655e-01, 1.744420125244562636e-01, 2.024440523292575164e-02, 6.258668907563623429e-03, 1.904251217777553351e-01, 1.494812099608068823e-01
2.065000000000000000e+03, 9.066471929583000411e-03, 4.241606609447278603e-02, 1.186669887053631023e-01, 2.447204297594635092e-01, 1.703613660213716130e-01, 1.962923610629597679e-02, 6.396356379091553898e-03, 1.884416491888871170e-01, 1.541789396563807979e-01
2.066000000000000000e+03, 8.508234245437281545e-03, 4.254546670460388619e-02, 1.203692325592973511e-01, 2.452917845860183022e-01, 1.747438866140364755e-01, 1.898775328680199492e-02, 6.464710816632031343e-03, 1.874976792111898716e-01, 1.466223788622826318e-01
2.067000000000000000e+03, 8.982058937687919728e-03, 4.252781993217918943e-02, 1.220786350680681531e-01, 2.459786942827718037e-01, 1.706926325156002677e-01, 1.843641859473185707e-02, 6.556289948097131920e-03, 1.859329492354954705e-01, 1.445295433865937673e-01
2.068000000000000000e+03, 9.480090998075504233e-03, 4.245533994522274202e-02, 1.235510293292504530e-01, 2.464474979340344207e-01, 1.720681390100960995e-01, 1.794876131451651063e-02, 6.656695693600298523e-03, 1.850381977057222460e-01, 1.456379970002961433e-01
2.069000000000000000e+03, 9.917059100404176930e-03, 4.224847806668007716e-02, 1.248240862002596291e-01, 2.469934606409666944e-01, 1.691108641193026507e-01, 1.758065812842907541e-02, 6.770125994224255976e-03, 1.855968457027989682e-01, 1.454444016056776756e-01
2.070000000000000000e+03, 1.030293323597034419e-02, 4.204580332103526052e-02, 1.255819859357975576e-01, 2.468376413945516101e-01, 1.664296238605362799e-01, 1.727380526663646956e-02, 6.929153839668714294e-03, 1.854386336126357671e-01, 1.491676825325548017e-01
2.071000000000000000e+03, 1.010377283046071800e-02, 4.173071677205524022e-02, 1.259268609334518174e-01, 2.452393851163894578e-01, 1.677004511322274516e-01, 1.671305230138804207e-02, 7.020298216106259093e-03, 1.852277050945473069e-01, 1.503842827680577643e-01
2.072000000000000000e+03, 1.018598837203141608e-02, 4.176413275478457060e-02, 1.262325995750106233e-01, 2.439647699150495896e-01, 1.854758732513137887e-01, 1.618853209642879751e-02, 7.115888430243468357e-03, 1.843671091337345802e-01, 1.467238892770924008e-01
2.073000000000000000e+03, 1.035370258186696195e-02, 4.156465007446783627e-02, 1.264972599760691707e-01, 2.426984290571344571e-01, 1.927764477648886698e-01, 1.563819501065293396e-02, 7.219007072361401968e-03, 1.812904864637363833e-01, 1.491703658630602336e-01
2.074000000000000000e+03, 1.053633875776785640e-02, 4.160070000417771807e-02, 1.262071345349513596e-01, 2.416101758009762401e-01, 1.880349497005136261e-01, 1.520167581437549542e-02, 7.262072916687492899e-03, 1.788924786011460155e-01, 1.516567765194655193e-01
