year, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg
1.900000000000000000e+03, 3.465066298275887026e-05, 1.696298822893748531e-02, 3.099624138337866291e-02, 1.984997647904263723e-02, 1.240897679982943397e-01, 4.008166406283329534e-03, 3.398414415375546668e-03, 8.847210229362066636e-02, 1.226612500802023824e-02
1.901000000000000000e+03, 3.601034018111185214e-05, 1.701781442165902283e-02, 3.161481131368983066e-02, 1.984846096273416849e-02, 1.254080786308516826e-01, 4.334760270516701056e-03, 3.393500524086808488e-03, 8.737693820694750202e-02, 1.266299296528091388e-02
1.902000000000000000e+03, 3.512400279766621702e-05, 1.682412636974793194e-02, 3.282390306736859137e-02, 1.916125720585299536e-02, 1.269736892837831921e-01, 4.656086539867668184e-03, 3.444039958130019202e-03, 8.806732546660016314e-02, 1.305407345824538025e-02
1.903000000000000000e+03, 3.585709131592637713e-05, 1.646146961492391675e-02, 3.393607050592043622e-02, 1.876120115652610623e-02, 1.286886240841006168e-01, 4.965165348276890517e-03, 3.504609892233278689e-03, 8.840824446341817577e-02, 1.347304871163565801e-02
1.904000000000000000e+03, 3.346875349110523581e-05, 1.616025969780700289e-02, 3.499952767312127649e-02, 1.952098679221279248e-02, 1.300873238387161013e-01, 5.240994638072212809e-03, 3.606647181812498801e-03, 9.071538619055276309e-02, 1.390957884698776001e-02
1.905000000000000000e+03, 3.296554591120258904e-05, 1.590869624462780407e-02, 3.602702887578253244e-02, 1.881661697102404718e-02, 1.307056967800735436e-01, 5.463616929306951836e-03, 3.699968515842065771e-03, 9.044347878494035653e-02, 1.435187889250576047e-02
1.906000000000000000e+03, 3.341469130005435305e-05, 1.568613929523716283e-02, 3.703020048657571645e-02, 1.852090377016603340e-02, 1.309070417179785673e-01, 5.650885427946904065e-03, 3.743957806699644598e-03, 9.034971795882980328e-02, 1.478431945102179172e-02
1.907000000000000000e+03, 3.258480268054176281e-05, 1.547951845149706657e-02, 3.801413286896469790e-02, 1.943423409076655908e-02, 1.314844373510677400e-01, 5.801843926725284289e-03, 3.849546818976366889e-03, 8.998926379404441345e-02, 1.524609812751874169e-02
1.908000000000000000e+03, 3.541847762045464612e-05, 1.529381267431711294e-02, 3.898201056070114273e-02, 1.851936678219021429e-02, 1.326361885226003123e-01, 5.918539916678822697e-03, 3.941556607153353341e-03, 9.237935198035220064e-02, 1.571291621707840078e-02
1.909000000000000000e+03, 4.003623137001245110e-05, 1.512504028960617863e-02, 3.993431968866585635e-02, 1.795127259687305521e-02, 1.338038573283917287e-01, 6.018093010326546442e-03, 3.944223319758609521e-03, 9.221579098067077263e-02, 1.617335371209125197e-02
1.910000000000000000e+03, 4.288890467129973953e-05, 1.496034711748655231e-02, 4.087064311719301735e-02, 1.810573039073511484e-02, 1.344075993212798803e-01, 6.077979254458848804e-03, 3.968725576470389857e-03, 9.181411896583260845e-02, 1.665427616447637260e-02
1.911000000000000000e+03, 4.282362525668248195e-05, 1.481528199798734687e-02, 3.997112605898953119e-02, 1.838733046200568058e-02, 1.347798954497185508e-01, 6.424196070351875440e-03, 4.501094495069968282e-03, 8.750564138878161313e-02, 1.741255596699421010e-02
1.912000000000000000e+03, 4.570305680849761617e-05, 1.471993089817931477e-02, 3.930903918988445933e-02, 1.835413912073173212e-02, 1.349078852322217470e-01, 6.750553803981739105e-03, 4.654018207751233101e-03, 8.587332467742193887e-02, 1.819861477197821931e-02
1.913000000000000000e+03, 5.373182597546635194e-05, 1.464858956710577385e-02, 3.876437611094712965e-02, 1.823959552748863344e-02, 1.347759193046979831e-01, 7.093899363975625545e-03, 4.699893467330482598e-03, 8.593817193961469925e-02, 1.901393622641513528e-02
1.914000000000000000e+03, 5.457743225818358865e-05, 1.457336980212903428e-02, 3.828954113474365012e-02, 1.810233651483206599e-02, 1.342020997627153267e-01, 7.432436082901252433e-03, 4.768829269945350398e-03, 8.977593592387310417e-02, 1.984182753734565000e-02
1.915000000000000000e+03, 5.267689259767120643e-05, 1.449536542157372175e-02, 3.786463164656984209e-02, 1.798415460946042183e-02, 1.339597773041360795e-01, 7.728235469036303686e-03, 4.783543961190819122e-03, 8.994751790540590763e-02, 2.065415443897567621e-02
1.916000000000000000e+03, 5.049186387380831157e-05, 1.440859082967315720e-02, 3.748938684713071234e-02, 1.795319841675181022e-02, 1.345046263014780252e-01, 8.005481176861251394e-03, 4.768503525887642785e-03, 9.087865960717797509e-02, 2.149450293488425548e-02
1.917000000000000000e+03, 4.478495040204026042e-05, 1.429708592715336034e-02, 3.715408452648415877e-02, 1.771757861218683366e-02, 1.352947489222057487e-01, 8.278763439601459148e-03, 4.728890586216357925e-03, 8.848741458810610583e-02, 2.236391961447576834e-02
1.918000000000000000e+03, 4.542692858193613805e-05, 1.416428567542214571e-02, 3.684535642543748657e-02, 1.807630937341865585e-02, 1.361325487888614127e-01, 8.528772363694534994e-03, 4.706600427142381381e-03, 8.680626978313488173e-02, 2.327058406631068652e-02
1.919000000000000000e+03, 4.958996359325377524e-05, 1.401883032580098117e-02, 3.656286626382195676e-02, 1.788343220586651600e-02, 1.360785143606915992e-01, 8.731359261794956542e-03, 4.715158245028781663e-03, 8.553782485807483182e-02, 2.419734832868896540e-02
1.920000000000000000e+03, 5.087963014095531715e-05, 1.387166738173371480e-02, 3.629806380149146194e-02, 1.734073533284230875e-02, 1.370585844907475648e-01, 8.863454751106818880e-03, 4.724203401192560679e-03, 9.065266136884625459e-02, 2.509128580667542921e-02
1.921000000000000000e+03, 5.757785060662052738e-05, 1.371214105161877757e-02, 3.634634671409316814e-02, 1.853613438673416824e-02, 1.380823086093413976e-01, 8.947995389264204458e-03, 4.923952570027623730e-03, 9.326962134992654307e-02, 2.539023722015658346e-02
1.922000000000000000e+03, 5.490846790476298694e-05, 1.356244221224346680e-02, 3.629959277401498957e-02, 1.813067025333431337e-02, 1.399223824908694680e-01, 9.009121857404687322e-03, 5.009800476137902560e-03, 9.153739770911929752e-02, 2.569574019540104073e-02
1.923000000000000000e+03, 4.852307655521487473e-05, 1.342992752862994660e-02, 3.625944359133595474e-02, 1.742136603782564602e-02, 1.416604189877294362e-01, 9.049842190121195479e-03, 5.092735584149279439e-03, 9.268507933427069800e-02, 2.602349536858617612e-02
1.924000000000000000e+03, 5.264137418796118096e-05, 1.327680064333082097e-02, 3.632555288919198100e-02, 1.726067629704272285e-02, 1.428178549042602441e-01, 9.077841173738269986e-03, 5.174436024842244720e-03, 9.155799005221447462e-02, 2.632303139913328913e-02
1.925000000000000000e+03, 6.068225586671910116e-05, 1.311236971858641479e-02, 3.638807042318168566e-02, 1.708379960338739234e-02, 1.436942436720365923e-01, 9.100232713314304958e-03, 5.255569145409457778e-03, 8.960526847488280155e-02, 2.659788525683923904e-02
1.926000000000000000e+03, 5.931681182937770870e-05, 1.292470673967207988e-02, 3.650774890586358512e-02, 1.691695414687755319e-02, 1.443952230524440383e-01, 9.118895552533069770e-03, 5.306296474083952927e-03, 8.843087254861053959e-02, 2.686587240354827710e-02
1.927000000000000000e+03, 5.385579193421216230e-05, 1.271305090276096846e-02, 3.662424393320328625e-02, 1.713379863446404597e-02, 1.451088812798879968e-01, 9.148472985590145462e-03, 5.354584637116177430e-03, 9.005429330348263539e-02, 2.717277207257004501e-02
1.928000000000000000e+03, 5.657836497597827218e-05, 1.251573316847448374e-02, 3.674101572943347382e-02, 1.692145129354335684e-02, 1.461985992882651741e-01, 9.168535762089110794e-03, 5.345580142944146053e-03, 8.817216982440527484e-02, 2.745427947398895036e-02
